emotion,chatgpt-4o-latest_FRAMES,gpt-5_FRAMES,gpt-5.2-pro_FRAMES,gpt-5.1-chat-latest_FRAMES,gpt-5.2-chat-latest_FRAMES,gpt-5-mini_FRAMES,gpt-5-nano_FRAMES,chatgpt-4o-latest_TEXT,gpt-5_TEXT,gpt-5.2-pro_TEXT,gpt-5.1-chat-latest_TEXT,gpt-5.2-chat-latest_TEXT,gpt-5-mini_TEXT,gpt-5-nano_TEXT,gpt-4o_TEXT,gpt-4o-mini_TEXT,gpt-5.1_TEXT,gpt-5.2_TEXT,gpt-4.1_TEXT,gpt-4.1-mini_TEXT,gpt-4.1-nano_TEXT,gpt-4-turbo_TEXT,gpt-4_TEXT,gpt-3.5-turbo_TEXT,,,,,
Admiration,0,2,1,0,2,0,0,1,2,0,0,0,0,0,1,0,1,1,2,0,3,1,0,2,,0.8,,Admiration,0.8
Adoration,4,2,7,9,5,3,0,4,2,5,2,0,3,2,3,2,3,5,4,3,3,5,4,0,,3.3,,Adoration,3.3
Aesthetic-Appreciation,2,0,2,4,2,1,0,0,0,1,0,0,0,0,0,1,0,1,4,0,1,1,1,1,,0.9,,Aesthetic-Appreciation,0.9
Amusement,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.04,,Amusement,0.04
Anger,6,8,6,8,6,6,5,5,8,6,6,0,6,2,6,7,7,5,7,6,10,10,6,8,,6.3,,Anger,6.3
Anxiety,9,9,5,11,7,9,9,9,9,6,11,0,7,8,10,10,9,7,9,11,9,12,9,8,,8.5,,Anxiety,8.5
Awe,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.04,,Awe,0.04
Awkwardness,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,,0.3,,Awkwardness,0.3
Boredom,6,2,2,2,4,3,6,3,2,2,2,0,2,4,5,5,4,2,5,6,3,4,3,5,,3.4,,Boredom,3.4
Calmness,4,3,4,6,4,3,3,3,2,3,3,0,2,2,4,1,3,2,5,3,4,3,3,2,,3,,Calmness,3
Confusion,1,1,1,1,1,1,0,1,1,1,1,0,1,1,3,4,1,1,1,4,2,1,1,1,,1.3,,Confusion,1.3
Contempt,5,0,0,7,5,3,6,4,4,6,4,0,2,3,4,4,4,5,6,4,4,5,4,6,,4,,Contempt,4
Craving,0,0,2,5,1,0,1,0,1,0,2,0,2,0,0,1,2,4,1,0,0,0,0,2,,1,,Craving,1
Disappointment,3,1,4,1,1,5,5,1,6,2,5,0,0,2,2,7,3,3,3,5,6,6,4,4,,3.3,,Disappointment,3.3
Disgust,9,3,4,9,6,5,8,5,3,3,5,0,5,5,6,7,3,3,7,7,10,7,5,6,,5.5,,Disgust,5.5
Empathic-Pain,8,8,8,8,8,8,2,8,8,8,8,0,8,2,7,8,10,8,8,8,4,10,8,0,,6.8,,Empathic-Pain,6.8
Entrancement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,Entrancement,0
Envy,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0.1,,Envy,0.1
Excitement,4,4,1,4,3,3,4,4,3,1,4,0,2,2,3,1,4,2,4,3,5,1,2,4,,2.8,,Excitement,2.8
Fear,11,10,11,12,10,11,8,11,10,9,12,0,10,9,11,10,10,10,11,10,11,12,11,8,,9.9,,Fear,9.9
Guilt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,Guilt,0
Horror,12,10,10,12,10,10,6,10,10,10,11,0,9,8,10,9,10,10,11,10,12,12,11,12,,9.8,,Horror,9.8
Interest,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,,0.4,,Interest,0.4
Joy,6,3,7,7,6,4,4,5,2,7,5,0,4,2,3,4,5,6,5,4,3,6,4,2,,4.3,,Joy,4.3
Nostalgia,3,3,2,2,0,2,0,1,2,2,2,0,0,1,1,0,1,1,2,2,2,1,1,0,,1.3,,Nostalgia,1.3
Pride,7,5,8,7,7,5,5,7,4,5,4,0,3,3,6,3,4,2,7,4,5,2,6,5,,4.8,,Pride,4.8
Relief,1,1,1,1,0,0,0,2,1,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,,0.5,,Relief,0.5
Romance,3,1,2,4,3,4,2,2,0,1,3,0,1,1,2,1,1,2,3,2,1,3,2,2,,1.9,,Romance,1.9
Sadness,7,6,5,7,4,8,7,8,7,7,6,0,3,3,8,7,8,6,8,8,7,8,8,10,,6.5,,Sadness,6.5
Satisfaction,2,0,0,1,0,1,2,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,,0.5,,Satisfaction,0.5
Sexual-Desire,0,1,0,2,1,0,1,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,2,0,,0.5,,Sexual-Desire,0.5
Surprise,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0.2,,Surprise,0.2
Sympathy,3,3,1,0,0,2,0,1,1,1,0,0,0,0,0,0,0,1,3,0,2,3,5,0,,1.1,,Sympathy,1.1
Triumph,9,7,9,8,9,8,6,5,4,3,6,0,5,3,5,4,5,4,8,5,7,3,5,4,,5.5,,Triumph,5.5
