emotion,approach,arousal,attention,certainty,commitment,control,dominance,effort,fairness,identity,obstruction,safety,upswing,valence
Admiration,-0.01378482095776614,-0.2969569843839352,-0.1399817281011356,0.16143641131331576,-0.06446826201862714,0.3556616544027033,-0.33191526356716444,0.8548214566931138,-0.09687658585179976,0.11201762774784876,-0.5106457972541056,-0.10269399088283312,-0.009235683403942653,0.22835936474858715
Adoration,1.5669109243152275,-1.3237981063357918,-0.311111267474608,-0.13218675515711795,0.24515095125522296,-0.377681774854624,-0.556311997938265,-0.5074220197987391,-0.3133076424048279,0.09727351611227665,-0.48489300707890154,0.13739381323801195,0.6494326194269682,0.052084659981185395
Aesthetic-Appreciation,0.19570183540277167,-0.46796460785812116,0.7698082297684068,0.3058743667001027,-0.39455439406954385,-0.0842295946138307,-0.023203053687491787,0.09750540367479396,-0.48253183073009115,-0.26946187494695384,-0.6057587740534441,0.20327142468463125,-1.0606334173694072,0.7822743520049998
Amusement,0.08493409145709291,0.6875737928093205,-1.117253409345709,-0.44359577408364975,-0.7887555547316069,-0.3143272926086576,0.2816656368811886,-0.11491819690735115,0.08616754585790477,-0.45591373243565936,0.34063720068480197,0.19815537204035608,0.8584744660337686,0.5454747212215447
Anger,0.33549390273506147,0.6179261044088056,-1.4079961656733828,0.4287620187731354,0.29551656547297456,-0.305695879840074,1.5104506881924997,-0.08775463368590687,-0.964318434872918,0.36079239531558804,0.1802015916830173,-0.5611732033790828,-0.30245270282008213,-0.8772600598143034
Anxiety,-0.037630205564945285,-0.10417094379032257,-0.09884672965798498,-1.0180059752565347,-0.012236489625453125,0.930676710590645,0.026194014384703146,0.33747607557839254,0.3907556332554367,-0.3672603848024006,0.25841108215404524,-0.3860336800153453,0.16451674857890716,-0.8398299407497873
Awe,-0.15000148916609868,-0.24980829332324414,1.2500265415767318,-0.1963726653838636,-0.17153708367197368,0.32201125919219215,-0.7376596040117577,0.1373058391567808,0.051801663186978944,0.5799148492777136,-1.0438753884718723,-1.0059298436311293,-0.5438558118156994,0.799153465687068
Awkwardness,-0.22540830282700391,0.08183470318708486,-0.9349352138830078,-0.34417251331220144,-0.6183087978240799,-0.9497224397049696,0.7462712771865329,0.2447178688589797,0.42189951003260273,-0.41455801459092423,0.2554675523840244,0.17120122303376853,0.5733730739477068,0.05792054964809745
Boredom,-0.13418501655470327,-0.7146252271964423,-1.532756392682281,-0.009273838586839868,-0.5936461889339308,0.40816310626470853,0.16700094594994586,0.25525038169712383,0.9041225350058018,-0.6674487890750114,1.3356052932780997,0.3815028919134807,-0.30416188248051446,-0.3565836118317588
Calmness,-1.0209876865715362,-2.391179928977351,0.8897840519685418,0.6121307195421508,0.42671204600478363,-0.04509653094589037,0.44310426856082374,-0.7770508477562137,0.5470428974325229,0.1444984149974555,-0.7305552620042317,-0.1655571680871392,-0.24569903038089513,0.6901292777372812
Confusion,0.014437825842995692,-0.16574184054999383,-0.23370660237964827,-1.970529872925893,-0.5786018867252065,-0.08878078280588872,1.221290170087876,0.1443824221868872,0.33428327651537076,-0.09231937902219524,0.4460982808774174,0.6319110644464077,-0.1733095297996532,-0.43331217456159316
Contempt,-0.3631148028564932,-0.8850677982036533,-0.21302684458032048,-0.0005358065539147524,0.06746441092617568,-0.009416657671957528,2.463968000712118,-0.46449778042869344,-1.4116510920142038,0.2074323346884486,0.6924810787513679,0.06984872122850365,0.36114433560903647,-1.2773867197482875
Craving,2.0007662729649556,0.627706895382925,-0.6775243053600604,0.5152351432599264,-0.20086518746613502,0.5040784896188608,-1.104500948464196,-0.24776545954523288,-1.2954561932402486,-1.0967795081357383,-0.3516592047859439,0.184961827514333,-0.5137456971100908,-0.009323377157059826
Disappointment,-0.14403302082745778,-0.7197836193019573,-1.3637436858491754,-0.49619164626494366,1.2247195684463523,-0.13334776617364064,0.13375208952131526,0.6453119214461517,0.29925158504282445,-0.4225672469510291,0.49787312387033994,0.6433352624163249,0.15384445505809663,-0.6900632028666567
Disgust,-1.0155810767450835,0.08225954677768987,0.2672601699566467,1.0808149480221734,-0.037829599130200633,0.08876414040809784,0.841106480489606,-0.08485050172539087,0.4914912032499819,-1.1591406681429253,-0.48051522026969107,0.08958545057626631,0.2680649125211345,-2.0288672428215646
Empathic-Pain,0.4050075613481101,-0.5460549081042062,0.0814502414764607,0.7273886647856056,0.08189831256828138,-0.053699377171501514,-0.4296510267046549,0.040991721035125515,-0.19965672230732487,0.2227778144296546,0.35862482723547734,-0.2842893741355764,0.17769709200172867,-1.102596200403239
Entrancement,0.06617316591042567,-0.24201051349696306,1.3084026093521586,-0.711160914823492,0.23141777959796248,-0.07789634987533413,0.16770971504831306,-0.333202401230487,-0.4197169584510894,-0.014382808054920688,-0.7190559948091244,-0.16008380871329403,-1.0598797539714302,0.8747422867164201
Envy,-0.44383074555925195,0.37107667757584145,-0.5326112313693592,-0.4821844902150245,-0.8457680633041416,0.7519661004509708,0.7093735992868478,-0.3958197963602675,-0.6021023142899142,0.2680642042655767,-0.39296783872867336,-0.4865385070794971,0.4322471775165697,-0.00239157593841285
Excitement,0.6314242704228886,1.4272821390416914,-0.8547219871954934,-0.42340887332372923,0.31741127619767096,-0.1362115832899424,0.8562709517860189,0.2147103931307936,-0.07123458805508814,-0.581828407141531,-0.837396356489447,-0.7979054680977976,0.5743102495028551,-0.7045774024599978
Fear,-0.09195218876837769,1.7556155475178135,-0.2006298337065627,-1.063125468200099,0.3806300870946743,-0.267687562128856,-0.5934947192279628,-0.1430222673384785,0.6328135780192391,-0.2494256538198767,-0.18502862815018986,-1.4625817546532736,0.2961864579655904,-0.2766047913147421
Horror,-1.1674635948879006,1.4324315337751123,-0.1811390128766917,0.247507079902012,-0.29008406157062694,0.32920631988709514,-0.44279794832591546,0.2527128452868368,-0.16354284108038916,-0.16965658162417468,-0.14738888560142777,-0.2442076817997528,-1.0036823112964417,-1.5672159966735408
Interest,0.3597441809663586,-0.46590077203675284,0.5812117394624313,-0.4294016404710595,-0.29647272764663657,0.06497519868815775,0.35858668948626604,0.6143324490822465,-0.011149779250817188,-0.6780140527192213,-0.5436600887611006,0.21558181325236198,-0.14766698837454684,-0.2886454711014434
Joy,0.17038539916675194,0.6932091451253414,-1.7228209711767521,0.07643749605184195,-0.04724195429724456,-0.21433536688655994,-0.3273916856509287,-0.19350275113959065,0.012716465350497475,0.32429431215619187,-0.4853731694741107,0.23406867126288855,1.059050012740781,0.592494088037193
Nostalgia,0.04125118398435797,-0.1002887709559208,-0.9947735244671676,-0.21495097737117783,0.09118009385999265,0.371331724884688,-0.49559762389012674,-0.12402489666209286,-0.13850380005585247,1.3893091208365742,-0.08005585537222275,0.06642780603153108,-0.5615438509790346,0.2777017403024955
Pride,-0.3967432843116719,-0.39754375408954556,-0.8000497662226437,-0.47056827753033525,-0.22321869877247016,-0.034915479829663504,0.23783619325859998,1.024552541846994,-0.1472079802459207,1.5591966885553923,-0.9179151096413581,0.1119584794960394,0.030624804791337855,-0.25632411739910527
Relief,-0.6058075086703716,-0.7955796771462795,-0.6590263949602656,-0.3392086690428607,0.6972628222520995,-0.0738869656603261,-0.6304649761725097,0.0777987521295928,0.4147317749460257,-0.2628039590471159,0.4249399729859443,-0.05946544815172365,2.6080086655723758,-0.9047153140633276
Romance,0.04126649454086582,1.2555287402801234,-1.0075578146034359,-0.5885477126961267,2.215036640510628,-0.4646790102409384,0.4405663448994181,-1.290829987941183,-0.10520318582050202,-0.37253400553331384,-1.050226878862313,0.05559049313393013,-0.7755747794897071,0.532211657131945
Sadness,0.8619637078448652,-1.045978766576656,-0.10801014444791902,0.5184362924542613,0.3352171162597516,-0.26663470199301914,-1.0580572900418606,-0.30179507475673356,-0.27269883324032285,0.8022852634314251,0.7505767593478446,-0.05078470250199922,-0.7537146190673892,-0.7977499069276105
Satisfaction,0.9040361780065987,-0.20800647902255526,-0.7092871070404099,0.6179216217622906,-0.00028764469706981505,0.7396100291425494,-0.38522424915742504,0.41296825651217983,-0.20806398135252357,-0.6800891220194143,-0.42814321473580624,0.1744907401731713,-0.24919242319815735,-0.5397346668395876
Sexual-Desire,1.1792671861267143,2.16406275895917,-1.2766529494216012,-0.32347471074872913,0.9183026135016232,-0.33838232317213646,0.686762382352651,-0.9409250829078071,-0.22866245837381086,-0.28446656618731575,-1.2291939650877033,-0.007530553229916528,-1.7738808475310694,-0.018183736524696598
Surprise,-0.12198685933766738,0.4762493966707276,0.13152506126356814,-0.6182652570895699,-0.43895981608958196,-0.43115741582590694,0.45626926407462864,-0.24218190316803942,0.2881072620971534,-0.6168488461407723,0.036530231119402706,-0.14405788885727477,0.6756141521989527,0.2187128071222101
Sympathy,0.44878675791090705,-1.0438993897356592,-0.34016803292901643,0.25023521949505295,0.34357604462749236,-0.42281151124432953,-0.5696416767193663,0.2189626708411622,0.04068144653932951,-0.021218674492321652,0.6680143135069756,-0.32163623904433347,0.4780199166485435,-0.25688987400944924
Triumph,0.060963242498490874,0.7275659984411675,-2.102548217192664,-0.6146269458184931,0.17363150653098847,-0.07285332905546618,1.178736533972867,0.778757788767707,0.42817361437042384,0.1500568879646045,-0.1369898886350422,-0.4631324947479848,0.9814986798203902,-0.6108595380004266
