emotion,n_samples,approach,arousal,attention,certainty,commitment,control,dominance,effort,fairness,identity,obstruction,safety,upswing,valence
Admiration,345,6.826086956521739,5.805797101449276,7.463768115942029,7.594202898550725,5.063768115942029,6.16231884057971,5.573913043478261,6.095652173913043,5.304347826086956,4.927536231884058,2.0405797101449274,6.730434782608696,5.808695652173913,7.3420289855072465
Adoration,274,7.536496350364963,4.054744525547445,6.7846715328467155,8.197080291970803,4.281021897810219,5.87956204379562,5.583941605839416,3.0036496350364965,5.401459854014599,5.324817518248175,1.2445255474452555,8.361313868613138,5.737226277372263,8.281021897810218
Aesthetic-Appreciation,610,6.354098360655738,4.5442622950819676,7.019672131147541,7.888524590163934,3.2081967213114755,6.0,5.5426229508196725,3.6295081967213116,5.0967213114754095,4.444262295081967,1.3918032786885246,7.740983606557377,4.842622950819672,7.367213114754098
Amusement,552,6.5851449275362315,5.536231884057971,6.978260869565218,7.384057971014493,3.175724637681159,5.507246376811594,5.454710144927536,3.851449275362319,5.175724637681159,4.615942028985507,2.1105072463768115,7.317028985507246,5.547101449275362,7.260869565217392
Anger,15,3.466666666666667,7.133333333333334,7.933333333333334,6.8,4.4,3.533333333333333,4.0,5.333333333333333,2.2666666666666666,4.6,4.533333333333333,3.066666666666667,2.4,2.466666666666667
Anxiety,201,3.4676616915422884,7.850746268656716,8.159203980099502,5.666666666666667,3.5522388059701493,3.0,2.9950248756218905,5.582089552238806,4.129353233830845,4.039800995024875,5.029850746268656,2.4477611940298507,2.9800995024875623,3.0646766169154227
Awe,398,5.949748743718593,6.756281407035176,8.06030150753769,6.982412060301508,4.123115577889447,4.678391959798995,4.464824120603015,5.2462311557788945,4.957286432160804,4.71859296482412,2.3341708542713566,5.208542713567839,5.178391959798995,6.311557788944723
Awkwardness,100,4.87,5.29,6.7,6.76,2.68,4.29,4.48,3.66,4.86,3.95,3.41,6.25,4.32,5.46
Boredom,6,3.5,2.5,4.166666666666667,7.5,2.1666666666666665,5.666666666666667,5.166666666666667,2.8333333333333335,5.0,4.5,3.5,7.333333333333333,3.1666666666666665,4.833333333333333
Calmness,459,6.117647058823529,3.3790849673202614,6.483660130718954,7.9564270152505445,3.2832244008714597,5.875816993464053,5.4335511982570806,2.823529411764706,5.187363834422658,4.684095860566448,1.289760348583878,7.980392156862745,4.533769063180828,7.357298474945534
Confusion,84,4.654761904761905,5.404761904761905,7.071428571428571,3.761904761904762,2.7857142857142856,4.083333333333333,4.238095238095238,4.011904761904762,4.714285714285714,3.761904761904762,3.380952380952381,5.654761904761905,3.869047619047619,4.9523809523809526
Contempt,24,3.6666666666666665,5.375,6.625,6.75,3.7083333333333335,4.916666666666667,5.166666666666667,4.083333333333333,3.2916666666666665,4.125,4.25,4.833333333333333,2.9166666666666665,3.4583333333333335
Craving,49,7.387755102040816,4.714285714285714,7.163265306122449,8.36734693877551,2.4489795918367347,6.469387755102041,5.714285714285714,2.877551020408163,5.0,4.3061224489795915,1.2448979591836735,8.244897959183673,5.061224489795919,7.653061224489796
Disappointment,10,4.5,5.6,7.1,6.0,4.9,4.3,4.6,5.7,4.9,4.6,5.0,5.8,3.6,4.2
Disgust,106,3.0283018867924527,6.8584905660377355,7.650943396226415,7.2075471698113205,2.6320754716981134,3.8773584905660377,3.7641509433962264,4.2075471698113205,3.8962264150943398,3.4245283018867925,4.2075471698113205,4.160377358490566,2.5377358490566038,2.7264150943396226
Empathic-Pain,260,3.8230769230769233,6.861538461538461,7.9884615384615385,6.811538461538461,4.061538461538461,3.023076923076923,3.046153846153846,5.526923076923077,3.853846153846154,4.496153846153846,5.342307692307692,3.1307692307692307,2.973076923076923,3.0115384615384615
Entrancement,160,5.85,5.68125,7.75,7.025,3.55,5.025,4.75625,4.075,4.975,4.3125,1.85,6.4375,4.48125,6.55625
Envy,0,,,,,,,,,,,,,,
Excitement,134,7.373134328358209,8.246268656716419,8.194029850746269,6.888059701492537,5.686567164179104,5.768656716417911,5.656716417910448,6.746268656716418,5.485074626865671,5.149253731343284,2.328358208955224,4.843283582089552,6.529850746268656,7.2164179104477615
Fear,302,3.2549668874172184,8.35430463576159,8.463576158940397,5.996688741721854,3.433774834437086,2.748344370860927,2.7913907284768213,5.503311258278146,3.9834437086092715,4.0927152317880795,4.735099337748345,2.1589403973509933,2.966887417218543,3.0231788079470197
Guilt,0,,,,,,,,,,,,,,
Horror,124,2.032258064516129,8.379032258064516,8.548387096774194,6.362903225806452,2.8548387096774195,2.379032258064516,2.4193548387096775,5.024193548387097,3.0161290322580645,3.879032258064516,5.362903225806452,1.7983870967741935,1.532258064516129,1.9435483870967742
