emotion,n_1,n_0,approach,arousal,attention,certainty,commitment,control,dominance,effort,fairness,identity,obstruction,safety,upswing,valence
Admiration,345,1741,0.609471694945173,0.049028249444565075,0.14010047763763295,0.2971815953297126,0.9091431527208826,0.73940035280543,0.5589217261979642,1.1337756616880408,0.4429817556660924,0.29648242192698476,-0.2951358369877366,0.24987758870604593,0.6726029885707407,0.5913584670205723
Adoration,274,1812,1.05739774577648,-1.0214444818565374,-0.6340662175509664,0.7906595070193909,0.32242016224437275,0.5139509292203495,0.5422608973782512,-0.8814191436113571,0.5355620215696012,0.6961350999628392,-0.7464074134695924,1.0499793667689106,0.5933316317938706,1.1120460476294434
Aesthetic-Appreciation,610,1476,0.3595173458132573,-0.9062613299592661,-0.4497681434395231,0.6645844408526191,-0.4700209278989292,0.7562230021571775,0.6422236655673296,-0.5987454677550671,0.2359962179254359,-0.2429746930077061,-0.8443122240489166,0.9401452560774274,0.019619601957051386,0.7352694796319356
Amusement,552,1534,0.5175003842791196,-0.12871344007326843,-0.4893414890423181,0.13784300948536213,-0.4773436694135607,0.3235090455106925,0.5283941200533131,-0.4054439282910095,0.3321391334858972,-0.031009631657909445,-0.28944949754937127,0.6235827084143667,0.5616481225238472,0.6287838199900743
Anger,15,2071,-1.2642885811776619,0.7142125505060994,0.574705086910459,-0.3050928008840361,0.3480183562059251,-0.8562356594144287,-0.5821819351896655,0.47993720424570036,-2.624069598421991,-0.036817135653865185,0.9671771954294288,-1.2732425965470255,-1.3462406963186442,-1.7409201645069474
Anxiety,201,1885,-1.5118832367679564,1.2613735739270966,0.902277352358342,-1.2863699991626771,-0.1458094771010884,-1.360157236853686,-1.4973428133591076,0.6833162488628644,-0.8683485723749688,-0.5836384768498104,1.4384377392994383,-1.9113343102510345,-1.183100270019127,-1.8076591714113546
Awe,398,1688,0.050814816267360764,0.6619377417266431,0.9086364717942302,-0.21908232778167583,0.2352715810872233,-0.272683927333219,-0.3390016097708138,0.5445103240974101,0.04021653170125231,0.08127946100003013,-0.12781672090044352,-0.5048027832129971,0.24624900950073889,0.023150084418043903
Awkwardness,100,1986,-0.5493941162452649,-0.2294550274959029,-0.65790431191265,-0.348064191139266,-0.6602322811830535,-0.4565058089143347,-0.2756139709069544,-0.4143180479619966,-0.06365698963422371,-0.6329839225044473,0.4382397194738703,0.01640355456439136,-0.28752334512873995,-0.3837595075427552
Boredom,6,2080,-1.237041761255573,-1.6305829168631152,-3.116316330591858,0.18190573246329703,-0.9149748342996027,0.32399094594784283,0.1897333602345577,-0.8254095675988079,0.07364438822315894,-0.12316244404796885,0.46026967422827797,0.4500731312082499,-0.9105126661204892,-0.6481512696531139
Calmness,459,1627,0.16485714265556922,-1.9370698689426944,-1.1839988834343944,0.6607727030955047,-0.3670154870247934,0.5771480492475126,0.47637257444241204,-1.180976262091229,0.3270944189179872,0.046143066518436124,-0.8219832261205838,0.9785785070540695,-0.2004273584278894,0.6491315815042016
Confusion,84,2002,-0.6632967960394205,-0.16737016576488328,-0.2732149876615369,-2.878700831219958,-0.5904954015904789,-0.5724994947177282,-0.4401728611929754,-0.21918513805272716,-0.20867360514052916,-0.8010627816567955,0.41967201388064335,-0.23188061198297946,-0.5459365599048628,-0.6218260079343724
Contempt,24,2062,-1.166500000421169,-0.1775685426925557,-0.7026657335113563,-0.3415353637959861,-0.04431956756046941,-0.08965955739526457,0.19141963768756498,-0.17511359314501515,-1.6032077669137488,-0.45197406248628774,0.8332420928029833,-0.5580500102863679,-1.0630805926035243,-1.290902677193017
Craving,49,2037,0.8127581884306442,-0.5212210865325545,-0.1774438303285036,0.8060351168446307,-0.7758060976009844,0.7874956651714166,0.5642073729924502,-0.824863033533543,0.0752032793389924,-0.2973092408214716,-0.6466947222079054,0.8392824582339139,0.13722424010693934,0.639836372585352
Disappointment,10,2076,-0.7158914050091112,-0.06276895570380525,-0.23542351512448767,-0.8617859940093114,0.6303140083979314,-0.42932487693159654,-0.18400678922988548,0.6704445688181246,-0.022412436450116396,-0.03672840281895365,1.191747765763895,-0.1650592992885492,-0.6727080055782672,-0.9370945990133897
Disgust,106,1980,-1.6541969640430452,0.6055127312787212,0.31406113027000004,-0.022027856565965818,-0.6920083720423765,-0.7025499686388575,-0.7827729684087545,-0.11440859451512167,-1.0638538544642286,-1.1409149266825076,0.8576091323624354,-0.8795056854680714,-1.3785646932003794,-1.805785728082475
Empathic-Pain,260,1826,-1.3258655600564258,0.6683209364052294,0.7323719615744199,-0.33890144312639614,0.17728958865154557,-1.4240698429480054,-1.5440955418673128,0.6749230715597221,-1.2682170103116968,-0.14424491555249278,1.7872593786745183,-1.5885432864310007,-1.2526839722818144,-2.008803628372733
Entrancement,160,1926,-0.011564653036847864,-0.02345149054578568,0.42839044695120093,-0.15954131087282927,-0.14404366100964028,-0.03158967023961052,-0.0871643415846773,-0.1923852749846603,0.05361517654096481,-0.3092100054123134,-0.36644928158148865,0.09812179653608322,-0.20026357051231355,0.13954123536123356
Envy,0,2086,,,,,,,,,,,,,,
Excitement,134,1952,0.8516761432718554,1.4352803674053838,0.8989528664129008,-0.2590159360067804,1.1903901117559952,0.4070172121142986,0.5511875094929939,1.3633087998958662,0.5805466537621843,0.47030850082297065,-0.11342960982491337,-0.590297422844352,1.0373916481926726,0.457640723153084
Fear,302,1784,-1.9150460577003139,1.840776879050789,1.412381087367992,-1.0729650960590196,-0.23263706153561897,-1.758469207594141,-1.942560788733111,0.6784694922928887,-1.1326638863329144,-0.5652275567093171,1.368370668394312,-2.54100577824525,-1.3087462538867918,-2.135393964306998
Guilt,0,2086,,,,,,,,,,,,,,
Horror,124,1962,-2.4485640832018185,1.5050185857684228,1.2935774635052928,-0.6509553314520989,-0.5620628051403622,-1.6972317602790856,-1.880117633797253,0.3365532911631102,-2.1853357577675636,-0.7098236011804266,1.5349445095025664,-2.0924257369877717,-2.1533619568541034,-2.371308176240174
Interest,463,1623,-0.04046482961003366,-0.33419572139650716,-0.18457071929880006,0.16727592670277228,-0.3795148087220551,0.4927267591957802,0.40341784910391537,-0.10516706568736996,0.21482534288297545,-0.4999190350119563,-0.3626437078282948,0.3467967381934082,-0.09528754822988025,0.02875714750588212
Joy,355,1731,1.288515187613648,-0.25895857197997285,-0.5509066413623392,0.6903456811312938,0.4711692329772632,0.6813385670564798,0.8759385791873979,-0.30321374658512346,0.7981465649232665,1.1253064749515178,-0.7622317976449527,1.032103864501555,1.2354481713154628,1.2643899694129104
Nostalgia,98,1988,0.4280407076475988,-0.8638401134099248,-0.9002671118715126,0.4590774278017586,0.2712653802762698,0.46854666383341387,0.49428472468171314,-0.5022926087159031,0.5942312156701928,1.4600690421782996,-0.49175847861057825,0.6098873004346395,0.223172967433729,0.5650805496312874
Pride,31,2055,0.8893654145946963,0.15703490787851956,-0.05136753102602209,0.5818998861298693,2.002477918249213,1.1352014051590704,1.2123860484771738,1.5769115931122475,1.054847672611478,2.4154721223331754,-0.3476560719322789,0.4254387826171347,1.2864241272881267,0.6592003359371673
Relief,74,2012,0.21532753107093283,0.3413059477669969,0.40178395828416796,-0.26774756924264326,0.9676136925201505,-0.4070261744349512,-0.39709588165130305,1.046263234266318,0.04930831018283111,0.27181103387448596,0.914062003295796,-0.6007198820706972,1.1120420141326235,-0.15737472986770026
Romance,87,1999,0.9460105406088659,-0.44167477394738264,-0.32267969761488535,0.15200450048831426,1.4901495907177118,0.24519885842123632,0.29643248136081735,-0.4960372125559561,0.5040474586615162,1.025620881870282,-0.5923330039728333,0.6707014891195905,0.731810390994777,0.8845842941405468
Sadness,81,2005,-1.0798834433850724,-0.13988862113373912,0.313373632140678,-0.2870424212758457,0.29184741165510597,-1.460078657965636,-1.5042878940491171,0.24880667724369546,-1.5226559034017468,0.2436409850055834,1.6553196494559572,-1.2189179653011883,-1.36623576337717,-1.789605217665464
Satisfaction,133,1953,0.42004802174211253,-0.7902809566552164,-0.6641093669211785,0.8060631967721409,-0.37921450885106983,1.0834016555470847,0.9086915524431348,-0.3238437597266081,0.31772932336116805,-0.3226560247483514,-0.514910541679536,0.828463000581082,0.2044851503689935,0.5061017192790777
Sexual-Desire,46,2040,0.6370137122988916,0.6243693873823533,-0.03790531346819651,0.3242100150323797,0.3611660557823459,0.24912417690444724,0.4181614406006165,-0.5462173005465589,0.13896180838213862,0.20046220538555504,-0.5400218774257017,0.5284729310199513,0.18815494594230045,0.5372253737466037
Surprise,374,1712,-0.2645338005563168,0.6837167114868188,0.42299506372012247,-0.8745463521920063,-0.5411398746787083,-0.49925729033026156,-0.3205426253538248,-0.06228670117417669,-0.029050884039675623,-0.4896424190196568,0.37758427554609814,-0.34801447183939455,-0.029873500691200084,-0.3171689097155061
Sympathy,119,1967,-0.21587263943974577,-0.23402072187045797,-0.09280137099602864,-0.12515359528752518,0.3493511701721628,-0.8437928648913322,-0.807536581430715,0.5052488195883036,-0.3154316208449009,-0.01109155254310771,1.232279626064762,-0.608344746467125,-0.20224494501544632,-0.7278602241339551
Triumph,88,1998,0.9298985092049321,0.8978768281533619,0.4464278410344731,0.0334467971787525,1.8668717740892844,0.7313762838436301,1.124145026615874,1.7531037410371133,0.9571569585788223,1.1608696147164217,0.061436284898473296,-0.054833563880280524,1.5129031109795614,0.6359119628112994
