emotion,approach,arousal,attention,certainty,commitment,control,dominance,effort,fairness,identity,obstruction,safety,upswing,valence
Admiration,0.042727961,-0.279921726,-0.374090289,-0.027734798,-0.116202455,0.450534093,-0.483729247,0.988347379,-0.090182018,-0.186680019,-0.153270342,-0.145231229,-0.147681767,0.631078652
Adoration,1.351407242,-0.672414675,-0.484374787,-0.029279678,0.33623312,-0.136843231,-0.36543877,-0.473855407,-0.240792631,-0.184650602,-0.097464616,-0.133206688,-0.054141602,0.617696223
Aesthetic-Appreciation,-0.26043775,-0.227587598,0.470515324,-0.010976102,-0.254250892,0.198715728,-0.035656113,0.17619221,-0.26809792,-0.472443811,-0.473209633,0.064120491,-0.584245092,0.93986491
Amusement,0.137408771,0.483200968,-0.850434719,-0.261615856,-0.665989348,-0.312271266,0.486674352,0.034882532,-0.080210676,-0.203892112,0.370737291,0.317516195,0.381518068,0.356183243
Anger,0.441752363,-0.031222079,0.365575455,-0.461972433,0.50042505,-0.125909784,1.003088856,-0.222672351,-1.72369668,0.158866058,-0.173507916,0.301227946,-0.201204552,-1.152805597
Anxiety,0.131305272,0.241031147,-0.158732281,-0.349067106,-0.201367931,0.218008137,-0.093597127,0.264130058,0.498141862,-0.077535298,0.068225492,-0.55225252,0.039239688,-0.595523552
Awe,-0.10186676,-0.205086624,0.725046576,-0.062981727,-0.295662266,0.128502309,-0.57534117,0.235916198,0.000469328,-0.008848274,-0.327993911,-0.642488851,0.149714136,0.810636511
Awkwardness,-0.35012135,0.060528563,-0.55674643,-0.047325905,-0.429755697,-0.641155163,0.502725438,-0.192180794,0.576129752,-0.424508757,0.409019115,0.500406118,0.612130157,-0.494167677
Boredom,-0.965700135,-0.57371849,-1.269572515,-0.249482474,-0.289609858,0.349917754,0.734747969,0.28474979,0.349551647,0.181962203,0.646744733,0.697861345,0.086952844,-0.752998623
Calmness,-1.097919405,-1.48260971,0.542370625,0.322602684,0.18761287,0.016708174,-0.056873542,-0.313394609,0.451839111,0.019096117,-0.403068464,-0.252825785,-0.287811816,0.915240754
Confusion,-0.084001759,-0.190563759,0.368527962,-1.837511142,-0.172784033,0.7096875,-0.189770706,-0.143618498,0.879444591,-0.43400045,0.338245255,0.836085793,-0.126548718,-0.629308683
Contempt,-0.639944668,0.035712025,-0.48492642,-0.171244317,0.370770892,-0.019918768,1.784333847,-0.290567428,-1.296169055,-0.015023987,0.391059941,0.371859265,-0.062418426,-0.636100679
Craving,2.172241789,-0.102413023,0.124350137,0.087517694,-0.839440554,0.688130299,-0.843099528,-0.07107787,-0.915257065,-0.714109253,-0.541014545,0.19834713,-0.529825157,-0.793805097
Disappointment,-0.293545513,-0.300466242,-0.364183712,-0.595318479,0.624412925,-0.583270277,0.758210078,0.471716889,-0.223140084,-0.086870282,0.120091434,0.972059784,-0.280503606,-0.822975939
Disgust,-0.284037182,0.212531579,0.119122581,0.434832771,-0.200954848,0.257284243,0.381414232,-0.387379905,0.002243177,-0.824518037,0.047870793,0.885843992,0.521863154,-2.257132943
Empathic-Pain,0.565665319,-0.59797253,0.086345244,0.626269336,0.236213371,-0.340380879,-0.21834951,0.33879871,0.044790678,0.395874934,0.149392649,-0.139661568,-0.020452029,-1.43942785
Entrancement,0.006653923,-0.003365865,0.793391193,-0.369580462,0.234887553,0.136197984,-0.301331274,-0.225656383,-0.061048132,-0.555052043,-0.452768972,0.013348435,-0.583301647,0.578222359
Excitement,0.645594413,1.314199092,-1.524819088,-0.403332342,-0.159180174,0.166669156,0.50123962,0.245621773,0.350547786,-0.302399663,-0.298901912,-1.037357144,-0.047944952,0.499710991
Fear,-0.374210629,1.382826988,-0.687664938,-0.123391748,-0.276542147,0.016738223,-0.727014684,-0.064099076,0.665608281,0.311308852,-0.014799064,-1.305884668,0.616456975,-0.318377669
Horror,-0.983661584,0.695941264,0.28897729,-0.131505432,-0.082437227,0.955655419,-0.702827169,-0.143525298,0.076603943,-0.292480874,0.126619986,-0.242407336,-0.830655495,-1.105144893
Interest,0.073211237,-0.241336725,0.182018285,-0.121373223,-0.432299552,0.255056605,0.22690098,0.38488052,0.454907752,-0.513810964,-0.277785064,0.241638592,0.132690533,-0.692061442
Joy,0.966440754,0.304325551,-1.818262494,-0.244804101,-0.134774037,-0.259620871,-0.067794773,0.008386875,0.005087537,0.200299152,-0.589837101,0.135191565,0.825581087,0.585324832
Nostalgia,-0.129270536,-0.335124931,-0.7298134,0.035022407,-0.066331709,-0.215526909,0.211749818,-0.09454668,0.352572909,1.486632644,-0.241845784,-0.456949127,-0.261057952,0.181789852
Pride,-0.711766607,-0.100093081,-1.401581309,-0.080190982,0.438724559,0.774722966,-0.420316335,0.559622746,0.075654658,1.127816337,-0.512580309,0.038380888,0.753798673,-0.78371046
Relief,-0.518067352,-0.489132466,-0.386467921,-0.03982772,0.08314277,-0.124644604,-0.220582617,-0.016176324,0.05523607,-0.053615452,0.290453884,-0.47190522,2.040943911,-0.268794179
Romance,0.236756018,0.455501036,-0.359960978,-0.892747002,1.792792342,-0.124164357,-0.36344572,-1.044081699,-0.405287088,-0.171908439,-0.472244267,0.340326285,-0.310539842,0.472766638
Sadness,0.775411146,-1.417316611,0.888180815,0.309018416,0.664270776,-1.118589085,0.203562522,-0.108522537,-0.330736287,0.662345173,0.152553186,0.296109221,-0.719997327,-1.715185339
Satisfaction,0.898832676,-0.441948352,-0.657893548,0.334399772,-0.488892627,0.486370102,0.257081461,0.48880453,0.018931145,-0.88448907,-0.014843365,0.164536767,0.213530762,-0.809161524
Sexual-Desire,0.587055825,2.288261507,-1.201520429,-0.539431376,1.013159433,-0.224061098,0.273146532,-1.289545871,-0.509220655,-0.56125514,-1.08204394,0.857704752,-1.406502022,0.181816601
Surprise,0.087510717,0.626315682,0.037944752,-0.560986571,-0.57702788,-0.425448576,0.474217176,-0.109849219,0.307408015,-0.46665407,0.092673538,0.305433821,0.422137166,-0.26205529
Sympathy,0.352531676,-0.825270758,-0.238803388,0.283333399,-0.213497948,-0.546377182,0.180593405,0.500016404,0.328894566,-0.043792785,0.353970214,-0.323069463,0.258980899,-0.368230048
Triumph,-0.529696373,0.358344723,-1.321967221,-0.413155469,0.29430154,-0.225434216,1.0965601,0.411119867,0.226595149,0.0927958,0.038640463,-0.300745029,1.016229446,-0.184833304
