emotion,n_samples,approach,arousal,attention,certainty,commitment,control,dominance,effort,fairness,identity,obstruction,safety,upswing,valence
Admiration,697,6.473 ,4.877 ,6.090 ,6.912 ,4.921 ,5.303 ,5.614 ,3.195 ,5.214 ,5.310 ,2.327 ,6.791 ,5.716 ,7.307 
Adoration,1,1.000 ,1.000 ,1.000 ,1.000 ,1.000 ,1.000 ,1.000 ,1.000 ,1.000 ,1.000 ,1.000 ,1.000 ,1.000 ,1.000 
Aesthetic-Appreciation,35,6.286 ,3.571 ,5.971 ,6.800 ,4.257 ,5.257 ,5.314 ,2.486 ,5.029 ,4.829 ,2.029 ,6.571 ,5.086 ,7.029 
Amusement,355,5.980 ,5.321 ,6.285 ,6.414 ,4.172 ,4.772 ,5.014 ,3.076 ,5.073 ,4.577 ,2.541 ,6.003 ,5.487 ,6.648 
Anger,67,4.149 ,7.463 ,6.672 ,5.030 ,4.642 ,3.940 ,6.134 ,5.343 ,3.537 ,4.418 ,4.254 ,2.970 ,3.746 ,2.612 
Anxiety,42,3.810 ,7.405 ,6.714 ,4.143 ,3.786 ,3.286 ,4.548 ,5.405 ,4.310 ,3.810 ,4.048 ,3.238 ,3.857 ,2.762 
Awe,739,6.123 ,6.015 ,7.203 ,6.425 ,4.861 ,4.866 ,5.663 ,3.820 ,4.951 ,4.733 ,2.733 ,5.463 ,5.543 ,6.141 
Awkwardness,19,4.842 ,5.421 ,6.158 ,5.895 ,3.789 ,4.158 ,4.105 ,3.368 ,5.000 ,4.316 ,2.684 ,5.421 ,4.421 ,5.368 
Boredom,7,4.429 ,2.857 ,5.714 ,6.429 ,3.571 ,5.000 ,4.714 ,2.857 ,5.000 ,3.857 ,2.143 ,5.714 ,3.571 ,4.000 
Calmness,552,6.038 ,3.534 ,6.101 ,6.694 ,4.263 ,5.250 ,5.257 ,2.572 ,5.085 ,4.460 ,2.188 ,6.692 ,5.121 ,6.918 
Confusion,117,4.778 ,5.103 ,6.496 ,3.915 ,3.821 ,4.162 ,4.530 ,3.573 ,4.923 ,4.077 ,2.735 ,5.051 ,4.530 ,4.846 
Contempt,17,3.529 ,6.059 ,6.294 ,5.824 ,4.706 ,5.176 ,6.412 ,3.412 ,3.353 ,4.412 ,2.765 ,3.882 ,3.765 ,3.353 
Craving,3,7.333 ,5.000 ,5.667 ,7.000 ,4.333 ,6.000 ,6.000 ,3.000 ,5.000 ,4.000 ,2.000 ,7.000 ,6.000 ,8.000 
Disappointment,16,4.438 ,6.250 ,5.750 ,5.250 ,3.688 ,3.875 ,4.313 ,4.688 ,4.813 ,4.188 ,2.688 ,4.438 ,3.688 ,3.563 
Disgust,134,3.933 ,6.694 ,6.955 ,5.119 ,3.970 ,3.612 ,4.918 ,4.254 ,3.948 ,3.896 ,3.455 ,3.403 ,3.590 ,2.545 
Empathic-Pain,51,5.059 ,5.490 ,6.373 ,5.824 ,4.549 ,4.118 ,4.843 ,4.431 ,4.980 ,4.451 ,2.922 ,5.137 ,4.373 ,4.647 
Entrancement,1,5.000 ,4.000 ,5.000 ,7.000 ,4.000 ,5.000 ,6.000 ,3.000 ,5.000 ,6.000 ,2.000 ,7.000 ,6.000 ,8.000 
Envy,0,,,,,,,,,,,,,,
Excitement,385,6.662 ,7.634 ,6.987 ,6.852 ,5.473 ,5.029 ,5.951 ,4.834 ,4.992 ,5.405 ,2.964 ,5.540 ,6.436 ,6.935 
Fear,536,4.922 ,7.569 ,7.175 ,5.229 ,4.528 ,3.769 ,5.392 ,4.912 ,4.448 ,4.438 ,3.558 ,3.377 ,4.591 ,3.787 
Guilt,0,,,,,,,,,,,,,,
Horror,42,2.310 ,8.071 ,7.762 ,3.881 ,3.857 ,2.429 ,5.619 ,5.571 ,2.714 ,3.286 ,4.476 ,1.929 ,2.190 ,1.857 
Interest,848,6.142 ,4.968 ,6.978 ,6.441 ,4.504 ,5.059 ,5.376 ,3.197 ,5.034 ,4.586 ,2.500 ,5.936 ,5.219 ,6.329 
Joy,665,6.543 ,5.221 ,6.023 ,6.926 ,4.800 ,5.262 ,5.614 ,3.180 ,5.183 ,5.185 ,2.356 ,6.747 ,5.914 ,7.430 
Nostalgia,15,6.067 ,3.733 ,5.600 ,6.933 ,4.400 ,5.200 ,5.400 ,2.267 ,5.067 ,5.733 ,2.000 ,6.933 ,5.267 ,7.067 
Pride,7,7.000 ,5.714 ,6.714 ,7.429 ,6.429 ,6.857 ,7.286 ,3.857 ,5.571 ,6.571 ,2.429 ,6.714 ,6.571 ,7.429 
Relief,121,6.074 ,5.653 ,5.802 ,6.711 ,4.983 ,5.264 ,5.678 ,3.719 ,5.314 ,4.851 ,2.736 ,6.802 ,5.628 ,6.570 
Romance,72,6.944 ,5.097 ,6.278 ,6.736 ,5.597 ,4.347 ,5.222 ,3.028 ,5.083 ,6.194 ,2.306 ,6.556 ,5.556 ,7.625 
Sadness,98,3.459 ,6.286 ,6.724 ,4.459 ,3.663 ,2.980 ,4.184 ,4.592 ,3.827 ,3.827 ,3.776 ,3.031 ,2.898 ,2.286 
Satisfaction,34,6.176 ,3.853 ,5.441 ,6.971 ,4.324 ,5.618 ,5.706 ,2.706 ,5.000 ,4.176 ,2.059 ,6.529 ,5.147 ,7.088 
Sexual-Desire,7,7.143 ,6.857 ,7.286 ,7.000 ,4.714 ,4.857 ,5.286 ,3.000 ,5.000 ,5.286 ,2.429 ,5.000 ,5.571 ,5.857 
Surprise,252,5.659 ,6.456 ,6.563 ,5.750 ,4.115 ,4.333 ,4.905 ,3.587 ,4.944 ,4.492 ,2.766 ,5.119 ,5.349 ,5.623 
Sympathy,74,5.459 ,4.405 ,5.703 ,6.095 ,4.392 ,4.392 ,4.811 ,3.338 ,5.041 ,4.581 ,2.635 ,5.689 ,4.473 ,4.973 
Triumph,8,7.000 ,7.500 ,6.750 ,7.375 ,6.500 ,5.625 ,6.875 ,5.375 ,5.125 ,5.625 ,3.000 ,5.500 ,7.000 ,7.125 
