emotion,n_1,n_0,approach,arousal,attention,certainty,commitment,control,dominance,effort,fairness,identity,obstruction,safety,upswing,valence,,,,
Admiration,697,1390,0.708 ,-0.598 ,-0.649 ,0.759 ,0.494 ,0.764 ,0.355 ,-0.452 ,0.602 ,0.843 ,-0.519 ,1.124 ,0.577 ,1.050 ,,,,
Adoration,1,2086,,,,,,,,,,,,,,,,,,
Aesthetic-Appreciation,35,2052,0.312 ,-1.096 ,-0.523 ,0.400 ,-0.357 ,0.447 ,-0.072 ,-0.800 ,0.145 ,0.072 ,-0.611 ,0.546 ,-0.133 ,0.496 ,,,,
Amusement,355,1732,0.093 ,-0.181 ,-0.304 ,0.132 ,-0.537 ,0.010 ,-0.459 ,-0.460 ,0.243 ,-0.198 ,-0.177 ,0.255 ,0.229 ,0.360 ,,,,
Anger,67,2020,-1.377 ,1.021 ,0.077 ,-0.951 ,0.040 ,-0.760 ,0.793 ,1.251 ,-1.993 ,-0.324 ,1.456 ,-1.639 ,-1.266 ,-1.883 ,,,,
Anxiety,42,2045,-1.622 ,0.970 ,0.113 ,-1.632 ,-0.850 ,-1.361 ,-0.872 ,1.269 ,-0.826 ,-0.909 ,1.225 ,-1.427 ,-1.145 ,-1.738 ,,,,
Awe,739,1348,0.289 ,0.335 ,0.874 ,0.183 ,0.410 ,0.142 ,0.447 ,0.210 ,0.063 ,-0.028 ,0.036 ,-0.152 ,0.366 ,0.064 ,,,,
Awkwardness,19,2068,-0.785 ,-0.099 ,-0.360 ,-0.275 ,-0.833 ,-0.542 ,-1.318 ,-0.177 ,0.106 ,-0.413 ,-0.021 ,-0.123 ,-0.666 ,-0.350 ,,,,
Boredom,7,2080,-1.091 ,-1.452 ,-0.732 ,0.121 ,-1.049 ,0.211 ,-0.682 ,-0.529 ,0.105 ,-0.842 ,-0.500 ,0.046 ,-1.343 ,-1.038 ,,,,
Calmness,552,1535,0.165 ,-1.949 ,-0.566 ,0.436 ,-0.479 ,0.608 ,-0.176 ,-1.090 ,0.297 ,-0.378 ,-0.648 ,0.883 ,-0.139 ,0.608 ,,,,
Confusion,117,1970,-0.891 ,-0.281 ,-0.077 ,-2.017 ,-0.855 ,-0.569 ,-0.938 ,-0.037 ,0.004 ,-0.678 ,0.026 ,-0.355 ,-0.612 ,-0.652 ,,,,
Contempt,17,2070,-1.797 ,0.239 ,-0.244 ,-0.327 ,0.104 ,0.370 ,1.055 ,-0.147 ,-2.116 ,-0.322 ,0.051 ,-1.015 ,-1.197 ,-1.380 ,,,,
Craving,3,2084,1.094 ,-0.319 ,-0.771 ,0.541 ,-0.274 ,1.100 ,0.625 ,-0.429 ,0.105 ,-0.706 ,-0.625 ,0.783 ,0.598 ,0.977 ,,,,
Disappointment,16,2071,-1.092 ,0.340 ,-0.706 ,-0.753 ,-0.936 ,-0.795 ,-1.100 ,0.739 ,-0.143 ,-0.534 ,-0.018 ,-0.691 ,-1.259 ,-1.270 ,,,,
Disgust,134,1953,-1.685 ,0.616 ,0.335 ,-0.922 ,-0.694 ,-1.132 ,-0.509 ,0.466 ,-1.451 ,-0.877 ,0.716 ,-1.447 ,-1.504 ,-2.125 ,,,,
Empathic-Pain,51,2036,-0.631 ,-0.063 ,-0.181 ,-0.333 ,-0.057 ,-0.589 ,-0.564 ,0.572 ,0.081 ,-0.290 ,0.194 ,-0.292 ,-0.719 ,-0.731 ,,,,
Entrancement,1,2086,,,,,,,,,,,,,,,,,,
Envy,0,2087,,,,,,,,,,,,,,,,,,
Excitement,385,1702,0.752 ,1.510 ,0.422 ,0.540 ,1.185 ,0.291 ,0.732 ,1.111 ,0.116 ,0.783 ,0.279 ,-0.066 ,1.295 ,0.552 ,,,,
Fear,536,1551,-1.062 ,1.738 ,0.700 ,-1.145 ,-0.103 ,-1.387 ,0.010 ,1.397 ,-0.899 ,-0.402 ,1.126 ,-2.671 ,-0.740 ,-2.067 ,,,,
Guilt,0,2087,,,,,,,,,,,,,,,,,,
Horror,42,2045,-2.954 ,1.341 ,1.021 ,-1.847 ,-0.775 ,-2.212 ,0.243 ,1.393 ,-3.257 ,-1.430 ,1.635 ,-2.271 ,-2.649 ,-2.258 ,,,,
Interest,848,1239,0.339 ,-0.588 ,0.581 ,0.219 ,-0.171 ,0.453 ,-0.014 ,-0.509 ,0.254 ,-0.265 ,-0.312 ,0.294 ,-0.041 ,0.230 ,,,,
Joy,665,1422,0.780 ,-0.300 ,-0.729 ,0.756 ,0.294 ,0.681 ,0.345 ,-0.457 ,0.523 ,0.618 ,-0.465 ,1.038 ,0.832 ,1.145 ,,,,
Nostalgia,15,2072,0.143 ,-0.993 ,-0.833 ,0.495 ,-0.207 ,0.391 ,0.016 ,-0.942 ,0.194 ,0.928 ,-0.630 ,0.750 ,0.014 ,0.510 ,,,,
Pride,7,2080,0.846 ,0.056 ,0.111 ,0.859 ,1.861 ,1.874 ,1.946 ,0.161 ,0.860 ,1.717 ,-0.247 ,0.620 ,1.057 ,0.691 ,,,,
Relief,121,1966,0.157 ,0.025 ,-0.706 ,0.349 ,0.409 ,0.475 ,0.317 ,0.070 ,0.554 ,0.098 ,0.027 ,0.719 ,0.320 ,0.273 ,,,,
Romance,72,2015,0.838 ,-0.277 ,-0.265 ,0.359 ,1.059 ,-0.383 ,-0.170 ,-0.425 ,0.222 ,1.446 ,-0.368 ,0.548 ,0.252 ,0.824 ,,,,
Sadness,98,1989,-2.077 ,0.374 ,0.125 ,-1.457 ,-1.020 ,-1.772 ,-1.326 ,0.706 ,-1.594 ,-0.927 ,1.012 ,-1.656 ,-2.157 ,-2.190 ,,,,
Satisfaction,34,2053,0.228 ,-0.942 ,-0.982 ,0.528 ,-0.288 ,0.774 ,0.332 ,-0.643 ,0.106 ,-0.550 ,-0.583 ,0.522 ,-0.083 ,0.527 ,,,,
Sexual-Desire,7,2080,0.954 ,0.658 ,0.593 ,0.542 ,0.112 ,0.084 ,-0.100 ,-0.430 ,0.105 ,0.501 ,-0.247 ,-0.364 ,0.257 ,-0.101 ,,,,
Surprise,252,1835,-0.186 ,0.513 ,-0.018 ,-0.435 ,-0.571 ,-0.438 ,-0.562 ,-0.028 ,0.036 ,-0.279 ,0.059 ,-0.337 ,0.090 ,-0.249 ,,,,
Sympathy,74,2013,-0.325 ,-0.658 ,-0.774 ,-0.130 ,-0.222 ,-0.342 ,-0.606 ,-0.204 ,0.164 ,-0.167 ,-0.066 ,0.032 ,-0.645 ,-0.568 ,,,,
Triumph,8,2079,0.846 ,0.998 ,0.141 ,0.820 ,1.938 ,0.768 ,1.523 ,1.212 ,0.270 ,0.821 ,0.259 ,-0.077 ,1.403 ,0.538 ,,,,
