emotion,approach,arousal,attention,certainty,commitment,control,dominance,effort,fairness,identity,obstruction,safety,upswing,valence
Admiration,0.047 ,-0.138 ,-0.664 ,0.117 ,0.578 ,0.358 ,-0.325 ,0.067 ,-0.072 ,0.630 ,-0.849 ,0.260 ,-0.170 ,0.474 
Adoration,-0.133 ,-0.296 ,-0.470 ,-0.240 ,-0.021 ,-0.031 ,-0.157 ,-0.001 ,-0.142 ,-0.063 ,0.106 ,-0.132 ,-0.041 ,-0.099 
Aesthetic-Appreciation,0.188 ,-0.545 ,0.048 ,0.166 ,-0.579 ,0.591 ,-0.005 ,-0.131 ,-0.779 ,0.372 ,-0.668 ,-0.017 ,-0.649 ,0.408 
Amusement,-0.020 ,0.328 ,-0.204 ,0.096 ,-0.782 ,-0.049 ,-0.745 ,-0.338 ,0.384 ,-0.220 ,0.194 ,-0.102 ,0.404 ,0.505 
Anger,0.350 ,0.186 ,-0.786 ,-0.058 ,0.464 ,0.238 ,0.169 ,0.218 ,-0.731 ,0.118 ,0.336 ,0.341 ,-0.153 ,-1.018 
Anxiety,-0.201 ,0.426 ,-0.450 ,-0.143 ,-0.207 ,-0.114 ,-0.157 ,0.219 ,0.061 ,-0.464 ,0.121 ,0.518 ,0.471 ,-0.776 
Awe,0.091 ,-0.124 ,0.751 ,-0.045 ,0.141 ,0.098 ,0.290 ,-0.111 ,-0.016 ,-0.313 ,-0.220 ,-0.413 ,0.403 ,0.062 
Awkwardness,-0.413 ,0.235 ,-0.309 ,0.119 ,-0.227 ,0.157 ,-1.587 ,-0.105 ,0.367 ,0.292 ,0.078 ,0.423 ,-0.102 ,0.159 
Boredom,-0.864 ,-1.439 ,-0.022 ,0.944 ,-0.738 ,1.020 ,-0.211 ,0.373 ,0.387 ,-0.196 ,0.079 ,0.344 ,-0.684 ,-0.609 
Calmness,-0.362 ,-1.403 ,0.203 ,0.792 ,-0.382 ,0.495 ,-0.268 ,0.024 ,-0.449 ,-0.563 ,0.374 ,0.625 ,-0.588 ,0.642 
Confusion,0.239 ,-0.351 ,0.182 ,-2.046 ,-0.357 ,0.485 ,-0.370 ,0.091 ,1.005 ,-0.342 ,0.171 ,0.840 ,0.155 ,-0.204 
Contempt,-0.850 ,-0.032 ,-0.016 ,-0.073 ,0.494 ,0.689 ,0.332 ,-0.878 ,-0.484 ,0.419 ,-0.450 ,-0.038 ,-0.115 ,-0.478 
Craving,0.974 ,0.066 ,-0.526 ,-0.460 ,-0.332 ,0.435 ,0.068 ,-0.091 ,-0.835 ,-1.042 ,-0.699 ,-0.114 ,-0.001 ,0.556 
Disappointment,-0.094 ,0.287 ,-0.762 ,0.058 ,-0.282 ,0.314 ,-0.525 ,0.343 ,0.393 ,0.254 ,-0.079 ,0.522 ,-0.896 ,-0.332 
Disgust,-0.273 ,0.079 ,0.179 ,0.363 ,-0.081 ,0.107 ,-0.092 ,-0.265 ,-0.245 ,-0.071 ,0.128 ,0.327 ,0.194 ,-1.269 
Empathic-Pain,-0.202 ,-0.334 ,-0.387 ,0.244 ,0.728 ,-0.350 ,-0.554 ,0.601 ,0.479 ,-0.082 ,0.066 ,0.412 ,-0.429 ,-0.356 
Excitement,0.455 ,1.380 ,-0.814 ,0.035 ,0.516 ,0.273 ,-0.891 ,0.388 ,-1.745 ,-0.186 ,-0.437 ,-0.519 ,0.968 ,0.849 
Fear,-0.173 ,1.020 ,0.151 ,0.204 ,-0.046 ,-0.311 ,0.240 ,-0.081 ,0.282 ,-0.217 ,0.313 ,-0.868 ,-0.081 ,-0.367 
Horror,-0.279 ,0.750 ,0.178 ,-0.597 ,-0.154 ,-0.108 ,0.301 ,-0.218 ,-0.188 ,-0.168 ,-0.201 ,-0.057 ,-0.662 ,-0.580 
Interest,0.441 ,-0.496 ,1.079 ,-0.111 ,-0.335 ,0.693 ,0.109 ,-0.119 ,0.250 ,-0.290 ,-0.154 ,-0.365 ,-0.384 ,0.102 
