emotion,n_samples,approach,arousal,attention,certainty,commitment,control,dominance,effort,fairness,identity,obstruction,safety,upswing,valence
Admiration,115,6.921739130434783,4.791304347826087,7.182608695652174,7.8,5.756521739130434,6.2,5.582608695652174,3.8260869565217392,7.3478260869565215,5.4,2.034782608695652,7.660869565217391,7.147826086956521,7.547826086956522
Adoration,65,7.661538461538462,3.707692307692308,6.953846153846154,8.169230769230769,6.569230769230769,6.538461538461538,5.584615384615384,2.4,8.692307692307692,6.2615384615384615,1.4307692307692308,8.661538461538461,7.415384615384616,8.03076923076923
Aesthetic-Appreciation,287,5.979094076655052,3.8153310104529616,6.867595818815331,7.871080139372823,3.6689895470383274,5.89198606271777,5.041811846689895,2.759581881533101,5.613240418118467,4.104529616724738,1.7038327526132404,8.181184668989546,5.878048780487805,7.125435540069686
Amusement,610,6.470491803278689,4.801639344262295,6.786885245901639,7.2918032786885245,3.4360655737704917,5.737704918032787,5.211475409836066,2.963934426229508,6.598360655737705,4.345901639344262,2.0213114754098362,7.836065573770492,6.188524590163935,7.080327868852459
Anger,19,3.736842105263158,7.368421052631579,8.210526315789474,4.894736842105263,4.526315789473684,2.789473684210526,3.263157894736842,6.0,1.9473684210526316,5.0,7.368421052631579,3.0526315789473686,2.3157894736842106,2.1052631578947367
Anxiety,186,3.629032258064516,7.344086021505376,8.150537634408602,3.2580645161290325,3.6774193548387095,2.413978494623656,2.6344086021505375,5.591397849462366,3.1559139784946235,3.838709677419355,6.440860215053763,2.338709677419355,2.9301075268817205,2.8225806451612905
Awe,448,5.939732142857143,5.866071428571429,7.671875,6.247767857142857,4.227678571428571,4.399553571428571,4.28125,4.09375,5.520089285714286,4.21875,2.53125,5.962053571428571,5.857142857142857,6.372767857142857
Awkwardness,45,4.444444444444445,4.866666666666666,6.533333333333333,6.044444444444444,2.488888888888889,4.044444444444444,3.8,3.0,4.844444444444444,4.0,3.1333333333333333,6.5777777777777775,3.8666666666666667,4.822222222222222
Boredom,7,4.0,2.7142857142857144,4.571428571428571,8.0,2.857142857142857,6.142857142857143,5.0,2.4285714285714284,4.714285714285714,4.0,2.4285714285714284,7.428571428571429,3.2857142857142856,4.571428571428571
Calmness,554,6.027075812274369,3.444043321299639,6.550541516245487,7.835740072202166,4.189530685920578,6.180505415162455,5.216606498194946,2.6209386281588447,6.4891696750902526,4.4891696750902526,1.6913357400722022,8.063176895306858,5.808664259927798,6.871841155234657
Confusion,31,4.225806451612903,5.258064516129032,6.967741935483871,2.4516129032258065,2.774193548387097,3.2903225806451615,3.3870967741935485,3.903225806451613,4.483870967741935,3.838709677419355,3.4838709677419355,5.483870967741935,3.6129032258064515,4.064516129032258
Contempt,15,3.3333333333333335,5.666666666666667,7.2,6.933333333333334,3.7333333333333334,4.133333333333334,3.8,4.066666666666666,2.0,4.466666666666667,5.533333333333333,4.6,2.533333333333333,2.6666666666666665
Craving,27,7.148148148148148,4.2592592592592595,6.925925925925926,8.25925925925926,3.3333333333333335,5.851851851851852,4.962962962962963,2.7777777777777777,5.074074074074074,3.8518518518518516,1.7777777777777777,8.62962962962963,6.62962962962963,7.37037037037037
Disappointment,11,4.181818181818182,6.090909090909091,7.545454545454546,4.090909090909091,4.0,2.5454545454545454,3.090909090909091,4.636363636363637,4.0,4.454545454545454,5.909090909090909,5.7272727272727275,2.727272727272727,3.5454545454545454
Disgust,116,3.0775862068965516,6.25,7.629310344827586,6.370689655172414,2.6206896551724137,3.439655172413793,3.086206896551724,4.422413793103448,2.810344827586207,3.2586206896551726,4.560344827586207,4.112068965517241,2.5775862068965516,2.3879310344827585
Empathic-Pain,141,3.099290780141844,6.680851063829787,8.092198581560284,5.170212765957447,3.780141843971631,2.3120567375886525,2.475177304964539,5.397163120567376,2.1347517730496453,4.092198581560283,6.76595744680851,2.5390070921985815,2.1347517730496453,2.3120567375886525
Entrancement,8,6.25,4.75,7.625,6.625,4.375,5.0,4.75,3.75,5.0,4.25,1.875,7.625,6.5,7.375
Envy,0,,,,,,,,,,,,,,
