emotion,n_1,n_0,approach,arousal,attention,certainty,commitment,control,dominance,effort,fairness,identity,obstruction,safety,upswing,valence
Admiration,115,1971,0.7538420119916611,-0.30941020506730654,-0.0727841567245526,0.5874464752585156,1.1776124944632635,0.7256858812670384,0.8029055621106462,0.058619798058883746,0.8157781115040453,0.920154055216344,-0.44796882601434274,0.5004273123345843,0.9168244518997609,0.7680575615797801
Adoration,65,2021,1.202131387729007,-0.945668685315784,-0.32989887388297934,0.7459480772681198,1.7148378279666299,0.8942733238315973,0.7787162984492869,-0.9486818952410698,1.4140301219552962,1.694012312263973,-0.7256170736456213,0.8906645662006062,1.0288986407449543,0.9861653787129495
Aesthetic-Appreciation,287,1799,0.16696230666544393,-1.038487247218853,-0.48612290934951596,0.694126668727361,-0.2973547278327798,0.6076835936700993,0.42343814936277374,-0.7988687792487257,0.022069006981220392,-0.2761793875126803,-0.6819459226756748,0.8049159395406117,0.2501851171222912,0.6119041896354522
Amusement,610,1476,0.6399412719990357,-0.41089411220530087,-0.7492786174958855,0.46345878094851223,-0.5904361233106562,0.6340471997683921,0.7166513067029043,-0.7905693437262225,0.646076750869418,-0.048630942215264025,-0.627984120133604,0.8084097640701062,0.5379574468980366,0.7382506943754678
Anger,19,2067,-1.2027074576113455,1.1830399678844081,1.0712973420237701,-0.7695521705683848,0.29374539917281495,-1.1512516514706075,-0.9161736822641026,1.5528707865705738,-1.5737064047939002,0.520289742960454,2.077594424529446,-1.3159178642790883,-1.5929739045936533,-1.8888514765203004
Anxiety,186,1900,-1.488290378199093,1.354888988021773,1.143750987259241,-1.8634301073626396,-0.2750279931474658,-1.6108663954033362,-1.638086023403571,1.4863865731262733,-1.1914102281292698,-0.510746912458911,2.021428827139286,-1.974357793495543,-1.497565650363752,-1.8735365595729607
Awe,448,1638,0.15369175639271665,0.40780040677289564,0.6128113728811031,-0.19177268483254362,0.12847522389512264,-0.35954743163748887,-0.23011561255601698,0.3028509681913833,-0.02628635109551294,-0.18029323612956383,-0.24819405068654107,-0.23074101472562306,0.26199416101289363,0.20801170574794067
Awkwardness,45,2041,-0.7869866189660374,-0.25469699700667336,-0.8018303452867974,-0.24733809008881635,-1.040660777948126,-0.47927815863705203,-0.535500726650955,-0.5145220789026022,-0.31551886998391826,-0.33244651379015244,0.08344231194803015,0.05648901224599105,-0.8105604047152414,-0.5802513102431851
Boredom,7,2079,-1.0335120906439588,-1.4758116421447838,-2.9793073722318613,0.6429596843145237,-0.7755835527894885,0.6487532432370816,0.332775846648814,-0.8917664016087338,-0.3651276072014812,-0.32604768046914134,-0.24170694861716524,0.3822542761198803,-1.0829551261165962,-0.6863942451105454
Calmness,554,1532,0.235693026188791,-1.8533243205421972,-1.1644192423193032,0.8200842730757405,0.10419938654434271,0.9899553895559009,0.6915885589945153,-1.159324227848695,0.5493654332910703,0.11714334012926954,-0.8398024131367174,0.9162757351411382,0.24706900646247068,0.5569975680837751
Confusion,31,2055,-0.9135200355634867,-0.028239471457341934,-0.3086883874863015,-1.9423335758221514,-0.8418205746568083,-0.8862780815577135,-0.8327180688561211,0.10906289585923776,-0.4696777937364249,-0.46804406709077717,0.24580707537019814,-0.36923388324612444,-0.9338174637379266,-0.9416707045150385
Contempt,15,2071,-1.4439316088250527,0.20461806257290813,-0.05009160755130255,0.16032371810663906,-0.2157112059917269,-0.4239376783063946,-0.5266733644973194,0.2193293650281547,-1.5437888064678238,0.06750548479999939,1.1944979521847303,-0.7079994850402681,-1.4740711997664548,-1.6044270953197395
Craving,27,2059,0.8509073729226732,-0.601483655359333,-0.3545173060931134,0.7701533723469769,-0.47573554832448867,0.49888227473525115,0.3094326416198984,-0.6623651811840786,-0.21341556897612182,-0.45580935931839717,-0.5467904182251397,0.8555373208015745,0.5986979467730831,0.6413943948533996
Disappointment,11,2075,-0.9275075411291026,0.4454716774109481,0.3301316300178552,-1.1328920572238834,-0.04450917842613658,-1.2756456833341914,-1.035330672688298,0.6058939904205782,-0.67236418733713,0.05714117903211977,1.3656646854275472,-0.2717160550472084,-1.3694482185382093,-1.175995832669409
Disgust,116,1970,-1.8041363851847243,0.5689612555310539,0.4471250709106823,-0.1002687560162166,-1.0026339008822205,-0.8510563479190885,-1.1268224557481257,0.4877311849134887,-1.2977463854655606,-1.0309595659985622,0.7905912485551949,-0.9633754903728792,-1.6148619687194832,-1.9894514924816722
Empathic-Pain,141,1945,-1.846057848873082,0.8514217510054667,1.0262482414988403,-0.6926072717483596,-0.19791573337827056,-1.6042650006883374,-1.7102157500614976,1.2542978628432737,-1.706412529005573,-0.26599713793324276,2.1187587282111515,-1.7453066656753988,-1.9768388986000882,-2.120420390325361
Entrancement,8,2078,0.3054010919877632,-0.3162433170401506,0.4170803873331603,0.020135769504986356,0.19534099812503328,0.039596158151550216,0.154286722630162,0.0040589027654927825,-0.2430987816131469,-0.11538687988506086,-0.4963302421062059,0.4579935000880944,0.527285018711762,0.6365407234076065
Envy,0,2086,,,,,,,,,,,,,,
Excitement,325,1761,0.8434745669185202,1.453554383866072,0.85723178817718,-0.1344540136650735,0.7465869856515309,-0.1547392537146738,0.17527230396238722,0.8413446922362957,0.12153705650607542,0.26218239700422724,-0.20127447086999245,-0.35275789449408174,0.7732521423285816,0.5038276979561537
Fear,276,1810,-1.8192817873639233,2.036755487902693,1.836960909086976,-2.359822650419933,-0.41957789637162274,-2.0864939224982155,-2.012157629074088,1.7520828620757103,-1.5741111342280159,-0.6793220692329874,2.5493845404659745,-2.7132108555871,-1.7149488470825407,-2.193620104285667
Guilt,1,2085,,,,,,,,,,,,,,
Horror,162,1924,-2.5990882547030973,1.7718921571457054,1.6134255289414083,-1.4625049388133726,-0.9419473169645087,-1.8914865607163327,-1.8929528604190098,1.3139401993467652,-2.1342184165838916,-0.8029749788793131,2.5051436907100584,-2.2572058954708982,-2.4517688126890853,-2.421969723781861
Interest,1071,1015,0.3918264548866813,-0.659008523322401,-0.4745232366941328,0.45756519934877116,-0.2769452756605834,0.6963488769416084,0.5419513894299534,-0.3507692295448704,0.2966691981361805,-0.44810884459351336,-0.7066428058503285,0.6103309616441861,0.23840257569788229,0.3692445750635057
Joy,550,1536,1.2813685091877585,-0.26272664629394454,-0.469051996459729,0.7401912903536401,0.656144148471073,0.9207335321690864,1.1588192627742928,-0.583553020706758,1.3887587828661394,1.09410719204298,-0.7120225654244228,0.9577115481682258,1.3906486601714698,1.2950792181596997
Nostalgia,49,2037,0.14754990118760997,-0.9189685216276087,-0.9243361877128016,0.5730578789185675,0.6770122611300216,0.6988313231520423,0.5496874678192256,-0.7731795005790455,0.4383501167129496,1.251265812890962,-0.5256735345031373,0.649104789887506,0.313994012007951,0.5191236926095819
