emotion,approach,arousal,attention,certainty,commitment,control,dominance,effort,fairness,identity,obstruction,safety,upswing,valence
Admiration,-0.2813213115870731,-0.45721936417483444,-0.4217119249103423,-0.11312756910714003,0.484937873450677,0.12683365960282064,0.1758968249723338,0.42243659350579743,0.06910281417158057,-0.08392710346403819,-0.29057681849949635,-0.309988905039562,0.6906182285919595,0.04077872134883454
Adoration,1.1463544237119254,-0.604895644678179,-0.2762083480584525,-0.15679223014997404,0.9400232967086535,0.134705227449689,-0.7831103737036946,-1.296030773943442,0.43585923265649146,-0.3496393930202135,-0.48002165919346285,-0.5490369128465846,0.26278783060555516,-0.06329263714963093
Aesthetic-Appreciation,-0.787875246292233,-0.9486565271490361,0.8089160056775924,0.14193401415229448,-0.0415288200702324,0.22546757181230337,-0.4268956796835856,0.08724898395011788,-0.6232483933849507,-0.3530432319277323,-1.0091094993207053,0.22582548108887415,-0.26404628132274127,1.5576505374275
Amusement,0.8168608950238587,0.6248813222270085,-1.2129118120129059,-0.17038590485770475,-1.1186726450264344,-0.16414999915973047,0.4633608332585935,-0.2678442106912515,0.20657494981861085,0.14549792959723748,0.3797424276467012,0.3912535479332182,-0.2609094110474092,0.22938023591043546
Anger,0.42166819053310545,0.43511134151248154,-1.4237530421949751,-0.12546584784225148,0.0517273468028966,-0.47928252082812767,1.181929408529796,0.7055433049837458,-0.43853227728100613,1.0230811929118524,-0.12162365253328142,0.15905524453263406,-0.2377058221609556,-1.704920533951849
Anxiety,0.06074018607566886,0.12850284895137637,-0.3759444395171159,-0.31785561778921045,0.05425369146638177,0.7863688669872485,-0.4456936586811023,0.2969395311282987,0.48378006735515944,-0.025917980192368805,0.12068833851218931,-0.645848577035075,-0.06505077462725686,-0.5844735938961533
Awe,-0.34013215441668937,-0.3294035333884627,0.949808562176669,-0.0433408373192826,0.09457494778619695,-0.48728160584637326,-0.10478709564644957,0.19550769633399934,-0.0016762442711424905,-0.3981787224184504,-0.5529670607922245,-0.23724725768856916,0.3400255610687651,0.46778073886236743
Awkwardness,-0.17706743744169517,0.37077048216985914,-0.7391929618970591,-0.078690054857431,-1.166462186943916,-0.25856153501243323,-0.11197064806710608,-0.4001276759789528,0.21118990435789942,0.8611222321549359,0.26320204774485984,0.8045721221221477,-0.48236740469282957,-0.283786293362146
Boredom,-0.5423734300889517,-0.5453616262930946,-1.4614331372036922,0.36914161825748015,-0.06246195132463201,0.7273323079055938,0.6462177474482144,0.2329265174051527,-0.3203269604806881,0.3465385171159933,0.35558569450052113,0.29297756241125333,-0.6396954164820685,-0.4077203590486036
Calmness,-0.7700340668315133,-1.5808300276852991,0.4578674420665125,0.3439565464781296,0.5095670045339752,0.21875730183596903,-0.12056877572476823,-0.1481534009170965,0.04019259871796904,-0.27329502209251955,-0.6496085111373856,-0.031027114271736763,-0.91431642533026,1.0587066635098312
Confusion,0.40932863555971133,-0.5674665690922599,0.016213714414406485,-1.561329817669856,-0.6640833299335497,0.13787302219819011,-0.1634945345487552,0.712847168808671,0.37811940674005545,0.23259635882784196,-0.14868867289777332,1.0219566505251003,0.04280534584128979,-1.2392702033413365
Contempt,-0.8565259133854091,0.4035888367519607,-1.1452600710141843,0.17711314286079272,0.394198524412382,0.8121634656522909,0.7534440052645759,-0.5873041515301173,-1.643107598541905,0.6310025730802826,0.36834047524884606,0.2370747113100036,0.05805347318642475,-0.4849656772559425
Craving,2.0203650258710435,-0.2836641678913515,-0.9475988045087097,0.1692450015469267,0.11191528755069594,0.05386624303314545,-1.0292378472343617,-0.48143712858080767,-1.3781168069432472,-0.8773868392567207,-0.11881067271667965,0.8051572320111579,0.844496697421273,-0.6602692351896842
Disappointment,0.09379626561061069,0.3002747705351248,-1.3596836192182642,-0.32935746072754596,0.5909797717492182,-1.4859110147681136,0.7390827834633427,-0.14384960648368247,-0.11694631846779369,0.1512825755661222,0.5446604887476368,1.2105541277598928,-0.8536866289859077,-0.1074631100034498
Disgust,-0.30137043805054375,-0.028334731675749014,0.2193747414528206,0.3937366996785563,-0.8483767680078715,0.37592200103159534,0.3557986952644289,0.3462556860567138,-0.11491793813367672,-0.43410848488496234,-0.11188158755106847,0.38192605203151275,0.23179679834982858,-1.9449324585775314
Empathic-Pain,0.1029632211521274,-0.32205882520537393,0.10847044122269034,0.340095068274253,0.09550428058173846,-0.5562569177070763,-0.21213124999941654,0.21814178925826944,-0.08884778210171691,0.2963549384869267,0.08537944819770647,-0.12097274566307031,-0.24905722147959858,-0.5678856492951319
Entrancement,-0.06761431292194667,-0.8821974778758537,0.18254727376915336,-0.24627289076323808,-0.23444279010596047,-0.053142356139746605,-0.3020859331723536,0.4218879357788978,-0.9348274804940807,0.03272029128950191,-0.6233886589078733,-0.08561007793821392,0.6787480822840833,0.54921547807653
Excitement,0.9366176853805337,2.3864895626911187,-2.0234148719519593,0.07126646918558352,0.4313743025635951,0.05224042083125763,-0.17076067594593838,0.13625307882241902,-0.2440406437248432,-0.579575836674705,-0.5162636600379653,-0.31508828871513284,0.47448856539099654,-0.024412874749234433
Fear,-0.03070110677640677,1.3320422453648892,-0.32419139158792526,-0.31179217056071495,0.17781982698340626,0.2602184797794696,-0.9324107831463017,-0.07599432379157613,0.11925331848785772,-0.5021173854252524,0.03886988682343842,-0.7760506955979639,0.5880552775633388,-0.6938207805567159
Guilt,0.10536814943807032,-0.16012969738024294,-0.4935072787787967,-0.8967052635837015,0.32259191058882075,0.18708628823920356,-0.011671099189931864,0.15435808912337592,-0.6511107302377948,0.14498161508821442,-0.08232725101258638,0.3670890640927212,-0.026334001150408706,-0.26315390863229154
Horror,-0.5577530273954411,2.1931206634718694,-0.662374863139225,0.2090933315191891,-0.4892044273249481,0.13356882904938527,-0.2896020517046046,-0.4925701648226278,-0.37908661092941837,0.27271315535481305,-0.35591105037060006,-0.2579412166743128,-0.3028675635044268,-0.8959823975877614
Interest,0.5404702202989732,-0.5267419275531763,0.21989713939872912,-0.04638375833929286,-0.31504966523758277,0.3493205608050311,0.0940277493402019,0.8634401168225446,-0.01317992748023405,-0.5432560153234974,-0.48014814827829355,0.1033765642128564,-0.3949975874538863,-0.1835543271010387
Joy,0.9892808856755604,0.477810118625359,-2.263035065322576,-0.3324128062332594,-0.1564690207860265,-0.2482559621212432,0.06600436753327443,-0.2513118528795767,0.18083157935291616,0.24494867713612614,0.2964196340036867,-0.05324437662847987,1.099755978475944,0.8228091277055619
Nostalgia,-1.1486290197441824,-0.007067945165928152,-0.7582480947401075,-0.10836728129375905,0.32075196494303054,0.4114783016061324,-0.36962433934727124,-0.44032216003837943,-0.31748629465691286,1.0978848799438592,-0.19942042068056665,0.17525188768608085,-0.12977580446205678,0.7400846368946572
Pride,-0.43425652205189225,0.10936392310918293,-1.4345949876119757,-0.30599901913299193,0.17147141448819106,0.4117185455321299,0.051509955237805403,1.1805007609553428,-0.579071059475746,1.6828123088062266,-0.8395836197700293,0.19697703827443613,0.40597909639428914,-0.3213369468751414
Relief,-0.5901855113031488,-0.4365148578804505,-0.5570754901376286,-0.22849944204948244,-0.1694862606939244,0.4596612360515413,-0.6583229635823967,0.6231032898077588,0.008001168464369046,-0.02235071942899733,0.12854701932453222,-0.2885664143457469,2.077034913823548,-0.6572289535373611
Romance,1.2714183606175162,0.704554378080467,-1.6131634060516364,-0.1812010767147163,1.6742437433338617,-0.02208807340645568,-1.374996211166558,-1.54813613405221,-0.2791949973546095,0.06280841831179286,0.16378554358874534,0.24342726755862756,-0.9387952321441793,0.9468504842922059
Sadness,0.340496776532891,-1.719538890664314,1.1175504638928717,-0.001049023931809303,0.21927865057944237,-0.5251762787475289,-0.5091241058425358,-0.2925594535021441,-0.11816376906966337,0.5840406263808332,0.6010089827975487,0.35448852622295884,-0.6672343955481504,-1.2191898260556102
