emotion,n_samples,approach,arousal,attention,certainty,commitment,control,dominance,effort,fairness,identity,obstruction,safety,upswing,valence
Admiration,574,6.958188153310105,5.67595818815331,7.167247386759582,7.576655052264808,5.729965156794425,5.7282229965156795,5.473867595818815,4.473867595818815,6.691637630662021,5.550522648083624,2.3658536585365852,6.033101045296167,6.290940766550523,7.189895470383275
Adoration,213,7.28169014084507,4.145539906103286,6.629107981220657,7.76056338028169,5.84037558685446,5.873239436619718,5.55868544600939,2.60093896713615,7.014084507042254,5.877934272300469,1.863849765258216,7.563380281690141,6.55868544600939,7.915492957746479
Aesthetic-Appreciation,270,6.592592592592593,4.4185185185185185,6.803703703703704,7.5851851851851855,4.888888888888889,5.696296296296296,5.470370370370371,3.1259259259259258,6.466666666666667,5.033333333333333,1.9777777777777779,6.625925925925926,5.796296296296297,7.144444444444445
Amusement,431,6.740139211136891,5.491879350348028,6.6914153132250584,7.334106728538283,4.6055684454756385,5.31322505800464,5.204176334106728,3.4037122969837585,6.51508120649652,5.0951276102088165,2.491879350348028,6.443155452436195,5.937354988399072,7.120649651972157
Anger,45,4.2,7.022222222222222,7.5777777777777775,7.266666666666667,6.088888888888889,3.977777777777778,4.111111111111111,5.088888888888889,2.3333333333333335,5.555555555555555,6.466666666666667,2.533333333333333,2.466666666666667,2.511111111111111
Anxiety,172,3.4011627906976742,7.215116279069767,7.77906976744186,6.645348837209302,5.465116279069767,3.11046511627907,3.2209302325581395,5.1395348837209305,3.7790697674418605,4.994186046511628,6.313953488372093,2.36046511627907,2.691860465116279,2.7325581395348837
Awe,351,6.547008547008547,6.293447293447294,7.464387464387465,7.293447293447294,5.484330484330484,4.7578347578347575,4.806267806267806,4.156695156695156,6.182336182336182,5.455840455840455,2.7037037037037037,4.971509971509971,6.0398860398860394,6.584045584045584
Awkwardness,48,5.0,5.104166666666667,6.4375,6.8125,3.6666666666666665,4.0,4.1875,3.3958333333333335,5.479166666666667,4.708333333333333,3.4791666666666665,4.854166666666667,3.9583333333333335,5.1875
Boredom,13,4.153846153846154,2.923076923076923,4.846153846153846,7.153846153846154,3.3846153846153846,5.153846153846154,5.076923076923077,2.6153846153846154,5.538461538461538,4.384615384615385,2.8461538461538463,6.153846153846154,3.5384615384615383,4.6923076923076925
Calmness,507,6.372781065088757,3.78698224852071,6.433925049309665,7.605522682445759,4.982248520710059,5.686390532544379,5.451676528599606,2.785009861932939,6.609467455621302,5.347140039447732,1.9940828402366864,6.881656804733728,5.629191321499014,7.047337278106509
Confusion,43,4.558139534883721,5.4186046511627906,7.0,4.790697674418604,4.023255813953488,3.7674418604651163,3.883720930232558,4.372093023255814,4.744186046511628,4.8604651162790695,3.7906976744186047,4.255813953488372,3.5348837209302326,4.093023255813954
Contempt,18,4.055555555555555,5.055555555555555,6.777777777777778,7.222222222222222,5.166666666666667,5.444444444444445,5.5,3.6666666666666665,3.0,6.111111111111111,4.5,3.5555555555555554,2.6666666666666665,2.8333333333333335
