emotion,n_1,n_0,approach,arousal,attention,certainty,commitment,control,dominance,effort,fairness,identity,obstruction,safety,upswing,valence
Admiration,574,1512,0.7067956992943538,0.05800701178005246,0.19878953523442386,0.436579975340877,0.5304100613617418,0.6927991301195876,0.6295939692662271,0.5964786016679958,0.6765224751900909,0.41109106196258866,-0.522643902029376,0.3611732521909737,0.6895057962345124,0.6621360812754814
Adoration,213,1873,0.7750325027918383,-1.0468608796808312,-0.6284325056758164,0.6512369853746253,0.527586770729067,0.666071141644276,0.578269051244489,-1.0187362442519496,0.7733124360214721,0.7717726461872902,-0.7291310548087664,1.197092564278954,0.7075637331994724,0.9328989756819436
Aesthetic-Appreciation,270,1816,0.3176728198212518,-0.8721831663748785,-0.37970316930350745,0.3736972625648906,-0.3934241416133091,0.5323962274626091,0.5084510925649041,-0.5998717544442125,0.37653007355569496,-0.3585213020157085,-0.6809745003552072,0.6462174192703757,0.24476109932381676,0.5111268361141441
Amusement,431,1655,0.4631713809051829,-0.08928870014508895,-0.6150692341291404,-0.04586603823356028,-0.7652943859824407,0.22123220565964719,0.26613740526872676,-0.4092833301405441,0.45662084831880784,-0.30201067397222564,-0.38398671876077517,0.5964206752897371,0.36700228805464835,0.5517546938012948
Anger,45,2041,-1.1634714474886814,0.8937475436198677,0.6942896899314791,-0.13581486596924502,0.697154616049964,-0.8300358498568767,-0.7398008207283161,0.8673338078170348,-2.530694090439135,0.30582929991713875,1.9546746153112948,-1.5301518279988908,-1.6536702362900337,-1.8748803077846024
Anxiety,172,1914,-1.9698923207336119,1.1241787669116965,1.0639665245701178,-1.169764384118028,0.1629608454749932,-1.745203282124187,-1.795157724284635,0.9905621795132994,-1.6772396589645593,-0.38968640274525196,2.2538927584948256,-1.902315591159604,-1.7585634651991116,-2.093350019200343
Awe,351,1735,0.30049988478967343,0.514872952179316,0.654635018371562,-0.11377891085516431,0.1997502494544119,-0.28193862163267697,-0.15472941025655293,0.24022799961662944,0.17225724993499666,0.22039183060637066,-0.22556561962536337,-0.318748767893273,0.41738303490112716,0.20674545125243776
Awkwardness,48,2038,-0.6740337378839572,-0.3160489174276497,-0.8279972028152826,-0.806841683933183,-1.441588140053469,-0.8145768184785201,-0.6735581897245843,-0.3338715667757934,-0.3152879455575483,-0.7089661509097736,0.23628187550394056,-0.32887128818429945,-0.7971156460568352,-0.5073110102214737
Boredom,13,2073,-1.1614258447996928,-1.6698236537703384,-2.9617119033337254,-0.2961796833837592,-1.6395402420436451,0.058094359641412074,0.10234823069880217,-0.8715376061271632,-0.2714398932263587,-1.0766977912434048,-0.11092106708896352,0.3198779702944264,-1.0078457766030933,-0.7360506882831959
Calmness,507,1579,0.19435769403057035,-1.9031194070144095,-1.1997277388023757,0.47441345944765867,-0.3477346694740616,0.6133335591070906,0.5719023138951469,-1.0895027889061994,0.5665706351047283,0.07396878598695002,-0.7943563644900513,0.9659545350637773,0.16256088635718818,0.531533447198388
Confusion,43,2043,-0.9407823354357033,-0.11815732338425572,-0.0749021883053159,-4.435905255883011,-1.1102124120642873,-0.9907132837658187,-0.940597680446434,0.355336137461285,-0.8002607448689896,-0.5236191093277375,0.40755254791914164,-0.6304197482430899,-1.0323397136770087,-1.0487283004018761
Contempt,18,2068,-1.225101486045057,-0.341338712450725,-0.36487518334439883,-0.19818201580238376,-0.10476715617077201,0.2736722111084248,0.46597346806288836,-0.14020214044797955,-1.943808023500158,0.9586005083315772,0.7893876266052516,-0.9713336200637909,-1.492736383359181,-1.6492507234890206
Craving,44,2042,0.7314133554077541,-0.4953896906713462,-0.19543823639285954,0.7408375484825218,-0.17181328535483886,0.9062850064545014,0.7522663144433249,-0.9075657245552394,0.5942705492209867,-0.9051553430882706,-0.6180766096439488,0.7538013491312306,0.46653266772986046,0.780932128710635
Disappointment,33,2053,-1.275018921905224,-0.18959452102112584,-0.3944271227061845,-0.8354385121950282,-0.38026974965980936,-0.8757025547682437,-0.5932209828093278,0.3049760280221311,-1.0479293178099591,-0.31870066267434666,1.2473398465990677,-0.8480794001888574,-1.4638107678093097,-1.3147616882703805
Disgust,114,1972,-1.735571545827411,0.34662197483758445,0.28397311750569193,-0.48054466789406064,-0.9164571756753926,-0.9453611006722041,-1.081992260829257,-0.10224292080574682,-1.6181361247825266,-0.557219205221011,1.027476174798362,-1.3803687223739094,-1.620844138104189,-1.9414846350535382
Empathic-Pain,182,1904,-1.8997482454354726,0.7130408066249975,0.7978011036113702,-0.5618283332415089,0.3510217620595046,-1.761878310489473,-1.8275858760908354,0.6631528411315771,-1.995227333371801,-0.13654963718685034,2.2497616997773653,-1.9450085184617945,-2.1786674588003767,-2.292909305022577
Entrancement,26,2060,0.2693179861895559,-0.44914527754892264,0.2288208519822582,-0.24234001944378822,-0.3146533991112958,0.11569576633874362,0.20241221763870537,-0.3110499895223215,-0.17327734406109255,-0.9948202145369485,-0.5531506708119647,0.37954970463837484,0.15860029082628568,0.3560869065063894
Envy,0,2086,,,,,,,,,,,,,,
Excitement,255,1831,0.8300756900297462,1.4755961096749124,0.9700995301279086,0.1299714291686414,1.0382532236815123,0.35960816257353234,0.5079983363648053,1.2704689354811698,0.39964979369405823,0.3232700680147352,-0.26314815522161245,-0.3588691441448452,0.998039633081745,0.5491292937180674
