emotion,approach,arousal,attention,certainty,commitment,control,dominance,effort,fairness,identity,obstruction,safety,upswing,valence
Admiration,0.09225254654100419,-0.27674458040506333,-0.00472690881915269,-0.010128357755229647,0.013817873029587546,0.2772829786888683,-0.1160705661392344,0.7380020246557472,0.41565783554398955,0.09504774366559463,-0.4961426041255004,-0.39535586844067117,-0.14993651370576508,0.29710634100892797
Adoration,1.2117170934315225,-0.9666266924970107,-1.2115887793966802,-0.6496425631754464,0.8882780066157164,-0.23865717872965783,-1.044247776348897,-0.47256220514599084,-0.24142325986365526,0.2344094225499849,-0.6826552417213821,0.9008830399282108,0.01773778333457212,0.9891550701357333
Aesthetic-Appreciation,-0.17107720316685818,-0.7629813355474904,1.310474450223575,0.06590774513542565,-0.31750865131413525,0.07229725828137125,0.19808059664917682,0.005048026512687817,-0.5605768337047355,-0.4439580926117884,-1.0348320219926688,-0.16804221036989878,-0.27427072086314846,0.8163150620756116
Amusement,0.9768394174260714,1.0487505171407603,-1.4452832901842223,-0.4585202698710665,-1.3926426885736198,-0.01955252761954227,-0.15456792892129778,0.030582913274897695,0.1928851146527468,0.02967056144279255,0.6402272560804125,0.674099751504045,-0.24137141445162155,0.31910186254676953
Anger,1.2439396589577782,0.33538584773414715,-0.986199718367149,-0.39737131758389743,0.3046433339877895,0.4429716324593429,0.34087759658270483,0.4168873706663012,-1.6354900863308965,-0.012263556918492978,0.24952581664749418,0.5343626610781367,-0.9915184353139747,-0.40285156232408986
Anxiety,-0.061658121773818304,0.20217411896956522,0.15055698367925927,-0.7684749004384366,0.1334223382946256,0.3739380248914883,-0.35974792398136407,0.2644834411429178,0.3690523885216921,-0.25632259246446387,0.31192975493092323,-0.2817025202313789,-0.07129045461194916,-0.531628021263027
Awe,-0.1788996294158874,-0.31955192510507247,0.9200366273481598,-0.020553349382524507,-0.23698006665049304,-0.8547100084005922,-0.15507539002758514,-0.012345626712932602,0.30756761037207314,0.2726544555257337,-0.5266840262438797,-0.8306702329325696,0.6031883624114261,0.43395442230951226
Awkwardness,0.2638508798749068,0.02339141062711462,-0.3420126104308935,0.1053894048432092,-1.1383348073317863,-0.5980010736630121,-0.090849805014693,0.33783203239936105,0.490996734692658,0.17036695842409122,0.04408393029931386,0.18353583925120995,-0.4617189405726371,-0.05418035274770388
Boredom,-0.6710792853392553,-0.4174619489887739,-1.5434532012445874,0.09060018105148497,-0.04104547186503986,-0.2511464257851027,0.7248847951072575,0.3813711565901409,-0.40873066982909323,-0.08412535877865929,0.7649683073990685,1.7854446201108818,0.05044904698856,-0.8256195648513529
Calmness,-1.0661121936801274,-1.2579308350662217,0.39325720387370583,0.428455807465606,0.38148177017933954,-0.3941074761349753,0.39249021428482367,-0.23158412281218993,0.015477597516413429,0.16339257807788535,-0.6372971677344306,0.34423076694439214,-0.5084675799731868,0.7678284139619328
Confusion,0.35178357726142556,-0.25854843256970195,1.6410472951117474,-3.1575371225321076,-0.8436992215065,0.17248952704359685,0.44694779794900286,0.5664380895268019,-0.08720192257458885,0.611730125514246,0.10449000363918198,1.1866034214154018,-0.6071445073462263,-0.6669649440889192
Contempt,0.0032485910861273547,-0.516440242529469,-0.31844491833145033,-0.5090953706849993,-0.6124960991124516,1.271564331263104,0.6372323659735255,0.15096127334282605,-1.1863346721206676,1.2439103964034763,-0.04047745872206158,-0.13077945888766132,-0.4495971758687266,-0.4799403199635286
Craving,1.5483697672738908,-0.16685502265339205,-0.003933476638549251,-0.8592087868008024,0.6030419446328661,1.117563501603015,0.06824948871176385,-1.3906187372337657,0.17455581873765724,-2.3905449174425857,-0.0025305879565909882,-0.5753135130822147,-0.7081743816720791,0.8891797750350134
Disappointment,0.14310164813271323,-0.3768781318615281,-0.919231554830869,-0.19026270917258278,0.009583462142316741,-0.22321553110734033,0.7891788603299443,0.3246577259750677,0.10747231290258767,-0.03842981099269948,0.7789260267722369,0.41563628223841964,-0.984343741334708,-0.23108584473175398
Disgust,0.05632014130437899,0.18304069713862983,0.6519014403053381,0.6096504720944984,-0.9901121697703335,0.7810991420230246,0.019214552693745293,-0.23689147632764648,-0.2931866068462396,-0.31970961852882746,-0.46867572302486704,0.1361344489525248,0.3235360641576638,-1.944772962555301
Empathic-Pain,0.4129725185931355,-0.4609485696013147,-0.16585496614661543,0.17021732789148256,0.4407549016272916,0.15169984844061643,-0.44517230882699027,0.20481884869627176,0.187690669344574,0.023281280921220875,0.41067117292249516,-0.5485102780928104,-0.8142845844303487,-0.28361207690386164
Entrancement,-0.20159581238400828,-0.7185964911889999,1.6459010191221377,-0.32279240764754474,0.08966618082157876,-0.5329177771049365,0.2393809400388273,0.33776702262585434,-1.4756054589613168,-1.4612031538146415,-0.8702184087157534,0.5912422293492079,-0.0962132742886332,0.9183367411237
Excitement,0.16273807685118502,2.0256282555109077,-1.7886449467051073,-0.7139034180142358,0.4387759049502497,0.11734297146745296,0.21300829847054675,0.5112768059856179,0.6634382380078073,-0.8266629211611305,-0.5731315824354573,-0.9395011018089179,0.6512417444854965,0.12638560284159314
Fear,-0.1422826394660283,1.4624570744868903,-0.560726073052217,-0.08118917175183439,-0.032342742403204824,0.13527902138056594,-0.34311249771561864,-0.020780682965928145,0.15820539402136355,-0.029158942722779694,-0.06695752086860039,-1.2915367755283982,0.594692175732699,-0.8345744039699997
Horror,-1.0288345270135233,1.193726313617014,0.5441967540238082,0.376167178690115,-0.28106301796294836,0.24588717841125304,-0.7088636321979889,-0.31748614415699017,-0.2573353389260261,0.09540322770012505,-0.5235038681104014,-0.7766290227625695,-0.3451223085430422,-1.6226110048936726
Interest,0.45414406821043674,-0.20128485738789292,0.5270407275459855,-0.22374875205710135,-0.8026416868463223,0.45235107124925716,-0.2211494119684718,0.3730168763078274,0.33933854734204655,-0.6765765890553945,-0.32342788351695867,-0.029639702539069546,-0.20581375682697298,-0.1428285203567845
Joy,0.722655757830724,0.5776208398690815,-2.1751035080050336,-0.8883742819044672,-0.0849008639024481,0.03411513961459542,0.052451538775166576,-0.18899257393660482,0.01703872565111496,-0.21634597944332548,0.09323945108559947,0.920550268924636,1.6716544958880108,-0.008610091084002396
Nostalgia,-0.2496272848697016,-0.46340517119014496,-0.8650968967239628,-0.10950064103354624,-0.037811638011527225,-0.8047516244353011,0.6382204830402478,-0.32806943985706055,0.4403179866212781,0.9905975546337003,-0.2922251517470629,-0.1769363457304498,-0.03853480729856192,0.33118576182043863
Pride,0.06535460018094658,0.04427759011503554,-2.1428252177851173,-0.4773447096591916,0.25885640784290237,-0.14362357310971352,1.158700529542985,0.8413918472706355,-0.37477644764490364,1.4361051462544383,-0.5960325651808038,-0.20281121929044654,0.25177049199240237,0.053236938570985375
Relief,-0.3412629702574142,-0.097911857522242,-0.6982062075522761,-0.3452513119031048,0.42140047681191856,0.36544092747817314,-0.6964860820386416,0.3716948985628236,0.31883799197040746,-0.24810884129354308,0.3846822292291338,0.5272733581105528,1.3660600722408562,-1.1004520948555323
Romance,1.4743713645138778,0.25236631286085714,-1.1488002920787503,-1.3408417923154483,1.6123974122989408,-0.2201650768063905,-0.05502642925137094,-1.070906790242176,-0.6091993407372116,0.030307985420523254,0.07018343796485017,0.1050524384481299,-0.4659278168132909,0.7356192581812392
Sadness,0.5028328581251036,-1.3030300961710197,0.26896191563555655,0.6236761363145206,0.42599263381214897,-0.37157710555267615,-0.6857281496074051,-0.1242533017649648,-0.05714704607298895,0.8331662561776303,-0.0480171787260983,-0.2606535510034737,-0.8675367370647465,-0.5197517026197845
Satisfaction,0.1012899072100257,-0.5210838415511316,-0.3542760782691598,-0.28365355624878896,0.3902792760061563,1.0114203852561274,0.3315145850020627,0.04790790527635248,0.8103294430959704,-1.6362359462532443,0.14318615743118498,-0.1827411662074548,0.2913544674976614,-0.24584383160774592
Sexual-Desire,1.2277663793821672,1.5010158986739823,-1.1180476764858058,-0.1645446844551628,0.35896382102856916,0.8560880184873847,-0.5457242311460768,-1.0735965430311902,-1.2228258156091822,0.3771979429583602,-1.3400482998546925,-0.0965139541483753,-1.410492437827363,0.8316197385016827
Surprise,0.11662167443139769,1.2966506085817706,-0.09113557066997167,-0.6747901595422388,-0.9399117411182407,-0.3002927763877525,-0.057417599860165036,-0.3427310827568061,0.21047287862150882,-0.1452242056383606,0.16197474312148366,0.3502995507959696,-0.052699851981849746,0.06455211124364156
Sympathy,0.5722491974105391,-1.1575745994829012,-0.820860171058495,0.4333863174881263,0.6604044279647107,-0.6643685664943457,-0.4979197998580916,0.29777343780608456,0.4734780842624294,0.2219110821642143,0.5348697034575726,-0.21076664427403305,-0.045586863729944624,-0.31240030580544703
