emotion,n_samples,approach,arousal,attention,certainty,commitment,control,dominance,effort,fairness,identity,obstruction,safety,upswing,valence
Admiration,57,6.859649122807017,4.508771929824562,5.456140350877193,7.157894736842105,4.7368421052631575,5.947368421052632,6.350877192982456,3.0701754385964914,5.035087719298246,5.543859649122807,2.719298245614035,7.333333333333333,5.982456140350878,7.912280701754386
Adoration,22,6.681818181818182,2.8636363636363638,4.136363636363637,7.090909090909091,5.2272727272727275,5.2272727272727275,5.636363636363637,2.090909090909091,4.7727272727272725,5.2272727272727275,2.272727272727273,7.7727272727272725,5.318181818181818,8.0
Aesthetic-Appreciation,6,6.0,3.1666666666666665,4.833333333333333,6.666666666666667,3.3333333333333335,5.333333333333333,6.333333333333333,2.1666666666666665,4.666666666666667,4.666666666666667,2.3333333333333335,7.333333333333333,5.166666666666667,7.666666666666667
Amusement,438,5.7534246575342465,5.5479452054794525,5.084474885844749,5.627853881278539,3.232876712328767,4.308219178082192,5.212328767123288,2.7557077625570776,4.289954337899544,4.102739726027397,2.7625570776255706,6.678082191780822,5.207762557077626,7.287671232876712
Anger,105,4.076190476190476,7.561904761904762,6.561904761904762,3.8380952380952382,2.9238095238095236,3.038095238095238,3.447619047619048,3.6,2.533333333333333,4.019047619047619,7.057142857142857,2.5238095238095237,2.857142857142857,2.2285714285714286
Anxiety,231,3.9696969696969697,7.619047619047619,6.653679653679654,3.238095238095238,2.653679653679654,2.5757575757575757,3.1948051948051948,3.484848484848485,3.5411255411255413,3.774891774891775,7.2770562770562774,2.346320346320346,2.8614718614718613,2.324675324675325
Awe,477,6.0922431865828095,5.6918238993710695,6.052410901467505,6.312368972746331,3.7777777777777777,4.90356394129979,5.519916142557652,3.056603773584906,4.40251572327044,4.50314465408805,3.492662473794549,6.064989517819707,5.182389937106918,6.545073375262055
Awkwardness,33,4.151515151515151,5.393939393939394,4.575757575757576,3.909090909090909,2.4242424242424243,3.484848484848485,4.151515151515151,2.484848484848485,4.0606060606060606,3.757575757575758,4.7272727272727275,4.757575757575758,3.4242424242424243,4.636363636363637
Boredom,20,3.95,3.25,3.6,4.15,2.4,4.0,4.3,2.05,4.0,3.7,2.95,5.6,3.4,4.95
Calmness,545,5.750458715596331,3.1706422018348626,4.222018348623854,6.711926605504587,3.469724770642202,5.222018348623854,5.963302752293578,2.2,4.563302752293578,4.297247706422018,2.253211009174312,7.348623853211009,5.097247706422018,7.462385321100918
Confusion,27,4.296296296296297,5.851851851851852,5.444444444444445,2.8518518518518516,2.4444444444444446,3.037037037037037,3.5185185185185186,3.037037037037037,3.740740740740741,3.5185185185185186,4.851851851851852,3.962962962962963,3.259259259259259,3.814814814814815
Contempt,29,4.206896551724138,5.482758620689655,4.862068965517241,4.275862068965517,3.103448275862069,3.8275862068965516,4.206896551724138,2.7586206896551726,2.8620689655172415,4.068965517241379,4.413793103448276,3.9310344827586206,2.8620689655172415,3.0689655172413794
Craving,37,6.5675675675675675,4.864864864864865,5.513513513513513,6.108108108108108,3.4864864864864864,4.486486486486487,5.324324324324325,2.72972972972973,4.0,4.108108108108108,2.4594594594594597,6.54054054054054,5.243243243243243,7.4324324324324325
Disappointment,43,3.883720930232558,6.325581395348837,5.465116279069767,3.6511627906976742,2.6744186046511627,3.186046511627907,3.813953488372093,3.186046511627907,3.5348837209302326,3.9767441860465116,6.023255813953488,3.186046511627907,2.813953488372093,2.813953488372093
Disgust,165,3.787878787878788,7.181818181818182,6.33939393939394,3.4545454545454546,2.4,2.7151515151515153,3.175757575757576,3.121212121212121,2.7636363636363637,3.7151515151515153,6.593939393939394,2.375757575757576,2.6424242424242426,2.121212121212121
Empathic-Pain,123,4.235772357723577,5.154471544715447,5.178861788617886,4.065040650406504,3.1707317073170733,3.268292682926829,3.747967479674797,2.83739837398374,4.0894308943089435,4.040650406504065,5.4227642276422765,3.772357723577236,3.3333333333333335,3.6666666666666665
Entrancement,195,6.3538461538461535,5.225641025641026,6.123076923076923,6.194871794871795,4.02051282051282,4.876923076923077,5.523076923076923,2.928205128205128,4.538461538461538,4.4512820512820515,2.7025641025641027,6.769230769230769,5.425641025641026,7.37948717948718
Envy,0,,,,,,,,,,,,,,
Excitement,238,7.004201680672269,7.53781512605042,6.815126050420168,6.373949579831932,4.647058823529412,5.30672268907563,5.932773109243698,3.857142857142857,4.394957983193278,5.008403361344538,3.361344537815126,6.147058823529412,6.26890756302521,7.218487394957983
Fear,483,4.20703933747412,7.714285714285714,6.79296066252588,3.5631469979296067,2.7349896480331264,2.730848861283644,3.2753623188405796,3.432712215320911,3.358178053830228,3.886128364389234,7.250517598343685,2.3146997929606625,2.9834368530020705,2.443064182194617
Guilt,0,,,,,,,,,,,,,,
Horror,180,3.5555555555555554,8.072222222222223,7.138888888888889,3.05,2.45,2.2555555555555555,2.7777777777777777,3.2444444444444445,3.1166666666666667,3.683333333333333,7.961111111111111,1.9722222222222223,2.561111111111111,1.9722222222222223
Interest,1389,6.017998560115191,4.93016558675306,5.31605471562275,6.161267098632109,3.598992080633549,4.822174226061915,5.553635709143268,2.7796976241900646,4.442764578833693,4.348452123830094,2.8488120950323976,6.666666666666667,5.255579553635709,7.136069114470843
Joy,689,6.420899854862119,5.28011611030479,5.252539912917271,6.435413642960813,3.9825834542815675,4.910014513788099,5.783744557329463,2.8388969521044993,4.526850507982584,4.609579100145138,2.409288824383164,7.206095791001451,6.062409288824383,7.988388969521045
Nostalgia,12,5.916666666666667,2.75,3.6666666666666665,6.0,4.25,4.833333333333333,5.75,2.0833333333333335,4.416666666666667,5.166666666666667,2.4166666666666665,6.916666666666667,5.25,7.333333333333333
Pride,27,6.7407407407407405,5.7407407407407405,5.481481481481482,7.0,5.2592592592592595,6.2592592592592595,6.7407407407407405,3.3333333333333335,4.777777777777778,6.37037037037037,2.8518518518518516,7.222222222222222,6.37037037037037,7.814814814814815
Relief,89,5.898876404494382,4.752808988764045,5.112359550561798,6.47191011235955,4.101123595505618,5.056179775280899,5.561797752808989,2.943820224719101,5.044943820224719,4.853932584269663,3.269662921348315,6.426966292134831,5.415730337078652,6.674157303370786
Romance,79,6.7594936708860756,4.6075949367088604,4.784810126582278,6.037974683544304,5.215189873417722,4.443037974683544,5.341772151898734,2.7088607594936707,4.443037974683544,4.974683544303797,2.5443037974683542,6.632911392405063,5.860759493670886,7.9113924050632916
Sadness,64,3.328125,4.5625,4.59375,3.015625,2.578125,2.734375,2.9375,2.390625,3.25,3.46875,5.796875,2.421875,2.3125,2.078125
Satisfaction,164,6.0060975609756095,3.5304878048780486,4.408536585365853,6.810975609756097,3.5304878048780486,5.25,6.0426829268292686,2.3536585365853657,4.451219512195122,4.286585365853658,2.2439024390243905,7.2682926829268295,5.335365853658536,7.597560975609756
Sexual-Desire,15,6.4,6.666666666666667,5.733333333333333,4.2,3.466666666666667,3.4,4.4,3.0,3.7333333333333334,3.933333333333333,2.3333333333333335,4.0,4.466666666666667,6.4
Surprise,181,5.56353591160221,6.966850828729282,6.171270718232044,5.392265193370166,3.165745856353591,3.9668508287292816,4.773480662983426,2.883977900552486,4.232044198895028,4.198895027624309,3.751381215469613,5.4088397790055245,4.69060773480663,5.928176795580111
Sympathy,13,4.6923076923076925,3.076923076923077,4.0,4.769230769230769,3.769230769230769,3.923076923076923,4.230769230769231,2.5384615384615383,5.153846153846154,4.230769230769231,3.923076923076923,5.153846153846154,3.5384615384615383,4.769230769230769
Triumph,64,7.15625,7.125,6.53125,7.3125,5.640625,6.34375,6.59375,3.796875,4.8125,6.015625,2.953125,7.015625,6.96875,7.890625
