emotion,n_samples,approach,arousal,attention,certainty,commitment,control,dominance,effort,fairness,identity,obstruction,safety,upswing,valence
Admiration,185,6.762162162162162,5.194594594594594,6.4972972972972975,6.902702702702703,4.675675675675675,5.243243243243243,4.924324324324324,2.902702702702703,5.167567567567567,4.945945945945946,2.0864864864864865,7.0,5.951351351351351,7.962162162162162
Adoration,68,7.3088235294117645,4.661764705882353,6.25,7.4411764705882355,5.235294117647059,4.926470588235294,4.661764705882353,2.3088235294117645,5.147058823529412,5.1911764705882355,1.7205882352941178,7.4411764705882355,6.382352941176471,8.441176470588236
Aesthetic-Appreciation,204,6.259803921568627,4.431372549019608,6.617647058823529,6.549019607843137,3.9754901960784315,4.857843137254902,4.647058823529412,2.5392156862745097,4.882352941176471,4.686274509803922,2.0098039215686274,6.730392156862745,5.318627450980392,7.598039215686274
Amusement,503,6.495029821073559,5.775347912524851,6.429423459244533,6.560636182902584,3.697813121272366,4.7713717693836974,4.592445328031809,2.731610337972167,4.8747514910536776,4.79324055666004,2.0775347912524853,6.524850894632206,5.938369781312128,7.598409542743539
Anger,30,4.133333333333334,7.466666666666667,7.366666666666666,6.266666666666667,3.7,3.566666666666667,3.8333333333333335,3.966666666666667,2.1666666666666665,4.6,4.533333333333333,2.7,2.3333333333333335,2.1333333333333333
Anxiety,333,4.084084084084084,7.315315315315315,7.198198198198198,5.8558558558558556,3.3813813813813813,2.885885885885886,3.3873873873873874,3.978978978978979,3.684684684684685,4.783783783783784,4.318318318318318,2.5915915915915915,2.5825825825825826,2.645645645645646
Awe,493,6.531440162271806,6.434077079107505,7.200811359026369,6.324543610547668,4.178498985801217,4.772819472616633,4.643002028397566,3.2941176470588234,4.661257606490873,4.829614604462475,2.367139959432049,5.630831643002028,5.427991886409736,6.762677484787019
Awkwardness,58,5.017241379310345,5.431034482758621,6.448275862068965,5.689655172413793,3.0,3.9310344827586206,3.5172413793103448,3.0172413793103448,4.155172413793103,4.724137931034483,2.706896551724138,5.017241379310345,3.913793103448276,4.775862068965517
Boredom,11,4.090909090909091,3.272727272727273,4.2727272727272725,6.0,2.727272727272727,4.454545454545454,4.0,3.090909090909091,4.363636363636363,4.2727272727272725,3.090909090909091,6.0,3.0,4.090909090909091
Calmness,397,6.065491183879093,3.9697732997481108,6.206549118387909,6.7153652392947105,4.075566750629723,5.105793450881612,4.758186397984887,2.397984886649874,4.987405541561713,4.657430730478589,2.0075566750629723,6.984886649874055,5.324937027707809,7.46095717884131
Confusion,38,4.7631578947368425,5.842105263157895,6.578947368421052,5.105263157894737,2.8947368421052633,3.736842105263158,3.526315789473684,3.4210526315789473,4.2368421052631575,4.5,3.3684210526315788,4.2105263157894735,3.3947368421052633,3.9473684210526314
Contempt,16,4.1875,5.4375,6.8125,6.3125,3.5625,4.1875,4.125,2.75,2.75,5.0625,3.1875,4.0,2.6875,2.75
