emotion,n_1,n_0,approach,arousal,attention,certainty,commitment,control,dominance,effort,fairness,identity,obstruction,safety,upswing,valence
Admiration,185,1901,0.5461661672707957,-0.5599616260793129,-0.3215987849952907,0.5828579333035686,0.621498697344696,0.6314194650674999,0.5791323266028645,-0.23022178093841253,0.6392955948482241,0.1614539301428875,-0.4350058217381129,0.7666420100094923,0.5842751553239709,0.7437820714369242
Adoration,68,2018,0.9017052661561274,-0.8922183910033047,-0.6124743454044373,1.252097756339129,1.1204299762974912,0.3205223519643791,0.24492128302684518,-0.8539893729902168,0.5742423352429155,0.4227589624524064,-0.702577467723218,0.9490992407104787,0.8092656031849055,0.9087690631832039
Aesthetic-Appreciation,204,1882,0.16899515697186107,-1.1781181886845542,-0.16338876008264075,0.10155780442685515,-0.08260976262013572,0.2824561700513254,0.24538829701554674,-0.6562769536326498,0.3200704645318484,-0.14336684735092653,-0.5070080614580188,0.6157696102248195,0.1761909204348938,0.5705287790727803
Amusement,503,1583,0.41664622123454154,-0.16388231956213967,-0.5033657387157952,0.1396500335799555,-0.43598320542445995,0.2435726356854615,0.21400219059473458,-0.5188222193602245,0.37346212009901486,-0.020360817515440926,-0.5414768963841411,0.6024326873516194,0.7133299257392026,0.6981808622514035
Anger,30,2056,-1.3198080553814642,1.0037135405751019,0.767013107481538,-0.25745594590539556,-0.3282334979307708,-0.8080191638458152,-0.6712527328909111,0.8968130676839682,-2.582789960406756,-0.22430291141988218,1.5323637211392713,-1.5353982449318255,-1.622934311692181,-1.9021966170445097
Anxiety,333,1753,-1.9172188534555619,1.1389349311523997,0.6746749113015817,-0.9527489865115517,-0.7542871026493796,-1.9751379417443111,-1.5669120481909835,1.1514244005027494,-1.183339666367204,-0.030357346602603894,1.922246549774413,-2.482981577343488,-2.167034614404938,-2.6886176090567524
Awe,493,1593,0.4477211952139241,0.4077838525930537,0.7619116321619455,-0.2407157283107932,0.14273449852755601,0.24357075581855736,0.2854700771745124,0.2515373558220445,0.08645550178315005,0.030434876481824275,-0.23408253654732655,-0.011438186136820539,0.29307418529605456,0.1976412916343622
Awkwardness,58,2028,-0.7120948438004836,-0.35990485444271986,-0.36143593503034305,-0.999798826720243,-0.9957568058640437,-0.5134107222896697,-1.0452007014818618,-0.09484893154011885,-0.4548992160438652,-0.09150863674309388,0.08543874888514152,-0.3281480619263737,-0.6779303517147699,-0.7239646067511669
Boredom,11,2075,-1.3267731829294858,-1.7851879603084821,-3.052864070870173,-0.583266832585774,-1.2126270050961552,-0.07337568691056068,-0.4820262649686823,-0.016939141036004173,-0.2334430265312343,-0.5726234820512637,0.38012867273314355,0.1786294700856096,-1.1950784279316349,-0.999560605096174
Calmness,397,1689,0.0258593605498403,-2.082308049744373,-0.8333047339882849,0.3680853311661984,0.019584690609909448,0.5760723327006707,0.42706432562825797,-0.9574165855866944,0.49406735472537494,-0.1980935026116417,-0.5748846507644476,0.8822597003281899,0.20119461139345135,0.5680342234511532
Confusion,38,2048,-0.8813436373525478,-0.0818889236308189,-0.1974050765102868,-1.7508243843152715,-1.0810116035210429,-0.6696053657313239,-1.019380511120309,0.32710186866014695,-0.36630538384097133,-0.3337735181694698,0.6040441039473079,-0.7430157083245905,-0.9817842569526553,-1.0838086634173103
Contempt,16,2070,-1.2657364492950753,-0.34788444855748135,0.08758892740743002,-0.19915342743336117,-0.45123134990795566,-0.2917967025112901,-0.34678304906207386,-0.3685631890042413,-1.8881413133700777,0.2731293136207607,0.45601947554740185,-0.8408934496788255,-1.3859475533179413,-1.592137317890921
Craving,14,2072,0.902470854653759,-0.5419560436037077,-0.5503596803335145,0.5599819714574259,-0.6379940485063746,-0.1529844982328229,-0.717040191793383,-1.070854120446231,-0.02417476913506533,-0.6364013702277552,-0.5186498361971772,0.3242298041700976,0.3490394320647031,0.5923795993622293
Disappointment,12,2074,-1.3907602980219724,-0.19630290720085583,0.011877768682044697,-0.7893856219285844,-0.6589560519821699,-1.0588913399584292,-0.9376792424547733,1.0934764745483023,-1.2775798668116283,0.2948868659857292,2.1398466070951807,-0.796138987729992,-1.3930752913135733,-1.4755672678883593
