emotion,n_samples,approach,arousal,attention,certainty,commitment,control,dominance,effort,fairness,identity,obstruction,safety,upswing,valence
Admiration,250,7.128,5.744,7.604,7.456,5.832,6.072,5.564,5.48,5.424,5.772,2.288,6.624,6.048,7.1
Adoration,220,7.818181818181818,4.163636363636364,6.85,7.781818181818182,4.8545454545454545,5.55,5.318181818181818,2.518181818181818,5.577272727272727,5.759090909090909,1.4272727272727272,8.195454545454545,6.195454545454545,7.968181818181818
Aesthetic-Appreciation,539,6.363636363636363,4.402597402597403,6.923933209647496,7.456400742115028,4.0278293135436,5.554730983302412,5.230055658627087,3.1205936920222634,5.024118738404453,5.0,1.6883116883116882,7.49721706864564,4.9647495361781075,7.087198515769944
Amusement,524,6.517175572519084,5.498091603053435,6.898854961832061,6.856870229007634,3.650763358778626,4.837786259541985,4.879770992366412,3.263358778625954,5.068702290076335,4.833969465648855,2.1927480916030535,7.0248091603053435,5.807251908396947,7.087786259541985
Anger,11,3.5454545454545454,7.363636363636363,7.7272727272727275,6.545454545454546,6.0,3.5454545454545454,4.181818181818182,4.7272727272727275,2.727272727272727,5.181818181818182,5.2727272727272725,3.3636363636363638,2.5454545454545454,2.4545454545454546
Anxiety,202,3.504950495049505,7.603960396039604,7.9405940594059405,4.787128712871287,4.4950495049504955,2.8069306930693068,3.0742574257425743,5.242574257425742,3.5643564356435644,4.51980198019802,5.811881188118812,2.5,2.762376237623762,3.1485148514851486
Awe,503,6.041749502982108,6.497017892644135,7.834990059642147,6.658051689860835,4.815109343936382,4.842942345924453,4.898608349900597,4.475149105367794,4.773359840954274,5.274353876739562,2.640159045725646,5.332007952286283,5.330019880715706,6.345924453280318
Awkwardness,89,4.337078651685394,5.280898876404494,6.573033707865169,5.775280898876405,3.044943820224719,3.5168539325842696,3.651685393258427,3.539325842696629,4.415730337078652,3.955056179775281,3.1235955056179776,5.359550561797753,4.056179775280899,5.168539325842697
Boredom,14,3.642857142857143,2.7142857142857144,4.357142857142857,6.5,2.4285714285714284,5.142857142857143,4.714285714285714,2.357142857142857,4.714285714285714,3.9285714285714284,2.5714285714285716,7.142857142857143,2.857142857142857,4.928571428571429
Calmness,552,6.186594202898551,3.5905797101449277,6.4601449275362315,7.605072463768116,4.047101449275362,5.728260869565218,5.340579710144928,2.648550724637681,5.228260869565218,5.052536231884058,1.588768115942029,7.690217391304348,4.76268115942029,7.010869565217392
Confusion,77,3.909090909090909,5.597402597402597,6.974025974025974,3.5454545454545454,3.1948051948051948,3.220779220779221,3.6233766233766236,4.116883116883117,3.8051948051948052,3.961038961038961,3.6103896103896105,4.688311688311688,3.155844155844156,4.142857142857143
Contempt,14,3.642857142857143,5.642857142857143,6.571428571428571,6.785714285714286,4.357142857142857,4.285714285714286,5.071428571428571,3.4285714285714284,3.0714285714285716,5.285714285714286,3.642857142857143,4.357142857142857,2.857142857142857,3.5
Craving,34,7.794117647058823,4.735294117647059,7.176470588235294,8.205882352941176,3.2941176470588234,5.4411764705882355,5.0588235294117645,2.3823529411764706,4.852941176470588,4.794117647058823,1.3823529411764706,7.911764705882353,5.9411764705882355,7.764705882352941
Disappointment,15,4.133333333333334,5.6,6.866666666666666,5.2,4.6,3.1333333333333333,3.533333333333333,4.733333333333333,3.933333333333333,5.266666666666667,4.866666666666666,5.2,3.3333333333333335,4.0
Disgust,96,2.9583333333333335,6.604166666666667,7.447916666666667,6.458333333333333,3.5833333333333335,3.1770833333333335,3.3645833333333335,3.96875,3.1979166666666665,3.9166666666666665,3.8125,3.4791666666666665,2.3229166666666665,2.7604166666666665
Empathic-Pain,100,4.11,6.32,7.69,6.33,5.18,2.68,2.86,5.16,3.5,4.87,5.41,2.96,2.78,2.97
Entrancement,30,5.9,5.166666666666667,7.466666666666667,6.0,3.8666666666666667,4.766666666666667,4.866666666666666,3.2333333333333334,4.5,4.633333333333334,1.9,6.733333333333333,4.9,6.6
Envy,0,,,,,,,,,,,,,,
