emotion,n_1,n_0,approach,arousal,attention,certainty,commitment,control,dominance,effort,fairness,identity,obstruction,safety,upswing,valence
Admiration,250,1836,0.7035730893451188,0.05604136792754062,0.3616232137309743,0.4802967935095821,0.98347928376122,0.8333470654510053,0.6641727375328734,1.0854664551966944,0.6094026783921247,0.6248365245351412,-0.27397409345696977,0.27898216417316973,0.6378773334380168,0.5224672863031246
Adoration,220,1866,1.1245400378717945,-0.9000952578723185,-0.43217301366082644,0.7056139465569928,0.26907769108842294,0.47388575609949984,0.4531774767992742,-0.8851290198847336,0.7456600541821669,0.601545453546942,-0.7902946425231941,1.0533373989022936,0.7151241536355717,1.0357540679812292
Aesthetic-Appreciation,539,1547,0.2981876751938895,-0.9512945553274185,-0.43180732929976645,0.581524669583729,-0.3472675184151782,0.5877149756117521,0.46884662169358504,-0.5925808161316171,0.2751611654750473,-0.06491376209832005,-0.7864991173083671,0.87641312440337,-0.0021492011955970658,0.6249549694818832
Amusement,524,1562,0.40193258682975413,-0.10575845161389036,-0.4601842249580052,0.06869022136614757,-0.6675806986733838,0.03454469453015586,0.13172964848294186,-0.4703944066562711,0.32182938209229855,-0.23407864654244537,-0.3923608495093025,0.5648734532823227,0.5888574762688699,0.6185246203691895
Anger,11,2075,-1.2089552423406213,0.9018368182282944,0.43293977258905575,-0.13970922993717827,0.932042524358618,-0.6928885891577704,-0.38613322345600704,0.48065264060243446,-1.676865129825963,0.09062441308803237,1.3220952664354724,-1.1175196677900694,-1.2445015091931526,-1.8716203875982103
Anxiety,202,1884,-1.471266736215438,1.1991395372984055,0.710889013650973,-1.4648408460504176,0.027518195408117452,-1.30092965602445,-1.3738762914831868,0.8780048023585686,-1.1438189628012347,-0.4618595790939845,2.0605604725683766,-1.851021638220575,-1.3365396009141484,-1.909528809996682
Awe,503,1583,0.07567812262955137,0.6022733348011549,0.7324017942389501,-0.0924879952211071,0.28716413858839895,0.03784263696087178,0.1472192980140871,0.45106800857183577,-0.0003942754171864709,0.21239018215824218,-0.07566506648433646,-0.3893288670613531,0.24420662206919477,0.10592891992513495
Awkwardness,89,1997,-0.8477163449670708,-0.20128504569408673,-0.6748404655470186,-0.6423224461482578,-0.8943319168502872,-0.7438301237996691,-0.7938501186400818,-0.19860738025990227,-0.3031444288172247,-0.8946073680390167,0.20234880492591642,-0.292997527378916,-0.48705120800255813,-0.5275356339921468
Boredom,14,2072,-1.1619710690340308,-1.555721495713855,-2.7828036726414203,-0.16789563532963392,-1.225464192274348,0.1958065189870759,-0.01601238321765896,-0.8624557143559224,-0.0484230565799501,-0.8709285550981868,-0.09369811348243044,0.4632274226367968,-1.0858015882724412,-0.6259094573041855
Calmness,552,1534,0.17765277872893417,-1.914229037871421,-1.1322610868733112,0.7266105375286076,-0.33412835945650365,0.7411259504748691,0.5856780028667382,-1.032155100477998,0.5127609779224296,-0.011109338710647645,-0.8798552105297366,1.0251765292829478,-0.14230198350384662,0.5741308628843292
Confusion,77,2009,-1.0754990292428759,-0.028288255729251928,-0.278858697057167,-2.2211237171357534,-0.7903692083525052,-0.914372359807945,-0.8087008484308641,0.13990669557456825,-0.8234626210361523,-0.8823111284418331,0.46512313731239185,-0.5833707529289333,-0.9736333805265321,-1.0694254662029465
Contempt,14,2072,-1.1619710690340308,-0.003528716435860118,-0.6468414441975716,0.00796618072425093,-0.058024642103067084,-0.2812099634713783,0.23255489933997184,-0.25400060440009936,-1.3956677407234688,0.17031307132019757,0.466560619436031,-0.7017007774974708,-1.0858015882724412,-1.3446587164910888
Craving,34,2052,0.9612716578600312,-0.48631158099765437,-0.08176321990844734,0.8963446274961631,-0.7077886660164876,0.36568516533885814,0.2260147719560675,-0.8593493343227403,0.06515640646407822,-0.20815091321928728,-0.7251037710096306,0.7956819762392423,0.5046114642675917,0.799237844418178
Disappointment,15,2071,-0.9115768788190929,-0.026074737951655675,-0.37061612045793557,-0.9717083797209475,0.08826461377889108,-0.9255902449359865,-0.8403194368641341,0.48512827393005903,-0.6860635475698457,0.15580242125735008,1.1111761533615154,-0.3488534518404969,-0.8400672958416202,-1.0927429722289874
Disgust,96,1990,-1.657041922388189,0.525753410213119,0.17973426471301376,-0.20167842012855425,-0.5491917024712923,-0.9534783376635204,-1.0169417131527436,0.0539059448902124,-1.3923083937982308,-0.9312746498589353,0.582024374217316,-1.142646360572779,-1.4772594663110952,-1.912613237138824
Empathic-Pain,100,1986,-0.9809852401903059,0.3689043387922735,0.4174596121683116,-0.28483508576712907,0.4586155687615158,-1.2697507008055788,-1.424716988098097,0.7675200454074345,-1.1126960679594988,-0.1544664012350032,1.5249661785554982,-1.3982138859039528,-1.207987842883491,-1.787653599125467
Entrancement,30,2056,-0.014089104954311697,-0.25599434042147323,0.1915355204435918,-0.4800947453901381,-0.35644949406384624,-0.01363754358097253,0.09073098241433272,-0.367629467877259,-0.22479440573757006,-0.3319875551202312,-0.44867615318479975,0.29431145540364934,-0.03505369985244089,0.20907208743398442
Envy,0,2086,,,,,,,,,,,,,,
Excitement,219,1867,0.7499331142168213,1.522454075592731,0.9054064435411544,-0.13496692474497124,0.994376846953815,0.29949754115047195,0.5748276727537464,1.1627806154011686,0.3426585684354281,0.6124365480074543,-0.03021137161007866,-0.5883270922689549,1.0594449658094636,0.4895050171940991
Fear,276,1810,-1.7943330813229386,1.7246008166484783,1.1152949824827274,-1.2909159068595197,-0.04537696594991912,-1.6510903759520819,-1.7320244839062438,0.8603880406037904,-1.4895672083061495,-0.3727690737663182,2.465597860985925,-2.4557154874573244,-1.3971725165436863,-2.2609935257788183
Guilt,0,2086,,,,,,,,,,,,,,
Horror,126,1960,-2.3386074057334763,1.5210055440856396,1.0399132951776293,-0.8064545157407286,-0.3760840008861817,-1.7126541485096918,-1.8042788265386285,0.5773922556223139,-2.164832976963635,-0.5373233108991549,2.4085612348120153,-2.161446038994432,-1.9942284635626892,-2.5882135773791974
Interest,744,1342,0.03978212916677273,-0.4806554443253388,-0.2752187199226097,0.22748212544819574,-0.25225886909349987,0.5447770214715384,0.41590779387649085,-0.2169068417402147,0.15654479469741636,-0.3298749730318705,-0.483746611457319,0.4266826096206822,-0.05755322515462072,0.18825483681511543
Joy,384,1702,1.3468833259571942,-0.0307298206704579,-0.1782280367430337,0.6440711996729892,0.4055559506748016,0.5242806788740771,0.7065270269174695,-0.31427885435527286,0.8842357918861982,0.8389658718794709,-0.7138840876949684,0.9700768726812827,1.4384488919933331,1.2265660730103274
Nostalgia,93,1993,0.40742906803576834,-0.7518921511008458,-0.8748643038615576,0.4849362271954277,0.08634482387234842,0.40846954415475056,0.4014615878429181,-0.5965735434290509,0.44851164571357344,1.0519881157545241,-0.5635374896012665,0.6155511584893318,0.17761768386500057,0.5657567755344728
Pride,38,2048,0.947756755854078,0.2004790843466367,0.04969903484609779,0.6685044299669324,1.4327490565411236,1.0920273705990169,1.2777905020523193,1.029174863742476,0.9088249740921118,2.1323025539854465,-0.3974764199584501,0.4532669345427653,1.007946301543083,0.7196949829337379
Relief,67,2019,0.16952399908048782,0.4644541776720232,0.5078667833015804,-0.15820768476421607,0.7216790129254551,-0.17902962962771865,-0.16420171192813263,0.9874814627159443,0.2142645056044425,0.11448086861638077,0.576908539049573,-0.3674080620161205,0.8666450894872257,-0.009929424740310486
Romance,89,1997,1.0843003861906668,-0.287415598266705,0.028050023493219087,0.2674683782375918,1.2654914563400783,0.19215945268618892,0.40191702068217344,-0.639176682277673,0.3727282556379124,0.7249778975246274,-0.6564522152341649,0.722983170757357,0.6805245418272814,0.9070979333178567
Sadness,75,2011,-1.1716022265687802,-0.04129991833036054,0.2988560140441752,-0.17729630743788355,0.49000888530685305,-1.4261547225191178,-1.5340746515830959,0.33656896269589187,-1.4120436740931759,0.12892121906008785,1.3683655844212363,-1.308598702677582,-1.6623957867946315,-1.9657026185652449
Satisfaction,165,1921,0.42624938309639226,-0.7474738971748636,-0.5834872269073214,0.7662005821441072,-0.21223639192422983,0.9439572785815077,0.6671876503171562,-0.4462378188867171,0.4143768557128145,-0.25303234864570445,-0.6017544438908736,0.8466340129384315,0.2831943562718465,0.4950415668810285
Sexual-Desire,33,2053,0.8311320658142449,0.6544520284717679,0.4093394528232698,0.009384406201210133,0.6101503374738879,0.10036267053889454,0.39781089548524456,-0.48466776803641487,-0.01328065096509966,0.25562673798187785,-0.541022101683014,0.2026589576544581,0.220418810521791,0.5948091280709537
Surprise,441,1645,-0.4974021986292019,0.7057002337652304,0.3638302268696298,-0.8984175691771474,-0.5741338911205797,-0.6898664215093088,-0.552468460061906,0.01959342644610369,-0.2696835208716097,-0.5938171563399373,0.4710971466632336,-0.5274175512483549,-0.12725751821798098,-0.34767404230147037
Sympathy,144,1942,-0.3258840229196544,-0.08392322922495067,0.14609399665193828,-0.17015588799139253,0.4522248779304072,-0.8163290161013682,-0.8500790603619766,0.5576379900034467,-0.1958973487843166,-0.051693954477841454,0.9981313009889824,-0.7659226487715306,-0.5730727776166631,-0.9026904779497927
Triumph,58,2028,0.9496111405454062,0.9210622225419021,0.5905710845074549,0.4148883725340449,1.680503982742883,0.9029179050371045,1.1765984535304934,1.5770349653879774,0.7096844963899765,1.3443392267891516,-0.17075584755029435,0.07356180050124204,1.5347866057933723,0.8085434858594095
