emotion,approach,arousal,attention,certainty,commitment,control,dominance,effort,fairness,identity,obstruction,safety,upswing,valence
Admiration,0.2524285087610719,-0.25189665728840055,-0.21066897634118514,0.035168737023808155,0.1276740701815475,0.3914465967626829,-0.2865073074258747,0.6773560594386064,0.07241222721605524,0.004863504312168812,-0.3596637555586561,-0.13864661867509998,0.018794872569504226,-0.08941757118489685
Adoration,1.0007836537571049,-0.7755810302404017,-0.26613535081078094,-0.34726734085545036,0.27578233967861243,-0.06415386800440338,-0.5725525366480527,-0.3983446291673032,0.05202203719930807,0.026726619855378032,-0.24866852660157984,-0.05115106138096159,0.07307188690914904,0.7711052101156769
Aesthetic-Appreciation,-0.07697955685811221,-0.3433818747168175,0.336385663920495,0.10590253077883317,-0.2107313008433417,0.023540517050425466,0.029256533334982234,0.21288282246037799,-0.35562841603277623,-0.07368216293485784,-0.5191483686596805,0.11914766734257072,-0.5966721944157306,0.7879341138838152
Amusement,0.14103168520642245,0.440298139420689,-0.6582077151428133,-0.2769121288502031,-0.6737077514618537,-0.1475483960860101,-0.06839015216968088,0.07638661802731148,-0.03277566323122921,-0.22727420276743182,0.19516880068288067,0.40036573629457867,0.3861456839356158,0.3708774925861866
Anger,0.19298022363322792,0.3875719465779171,-0.5727771571986664,-0.2325708912251842,0.9315378572002139,0.10363976099165463,0.4820539113399096,-0.4910221729472529,-0.5213160659454484,-0.15750586722257456,0.00202866931092228,0.30082139047535095,0.20751144984441555,-1.537143161856773
Anxiety,0.0521736766562208,0.21837538400240128,-0.30587412080691134,-0.4181822476224782,0.04145248587948723,0.2939485205331846,0.039304607014472186,0.16148283236510816,0.30842907903272365,-0.007581540651909097,0.23891122718445343,-0.4784751412701893,-0.17649084443319082,-0.35993198925952663
Awe,-0.2907735562274851,0.024609912999289562,0.6041310630984811,0.02190652668196151,-0.04165324768644535,0.008815449356217342,0.12055355366653331,0.06195910725185874,0.0005610011067254607,0.06403890685041662,-0.4887269128330997,-0.537990990931255,-0.01279837998922992,0.4889657324778699
Awkwardness,-0.531965319779403,-0.07763271860273692,-0.3333760099087031,-0.06709104159234043,-0.510594184634405,-0.19461213970741498,-0.2661548714299453,0.43678854538107476,0.4993947418801305,-0.25250380431178504,-0.07861414409263474,0.13848822362264696,0.16041886104997918,0.030384930513874392
Boredom,-0.7342509599657266,-0.4475496492433434,-1.2031580940504685,-0.5219641562992883,-0.5019044987661484,0.30331416702939246,0.7228176144839048,0.3382887782592067,0.19908711892239522,-0.057000919782103976,0.8666505589636003,0.8406776666799254,-0.11734847192251535,-0.26177758278512053
Calmness,-0.5441550739439787,-1.2407930553019715,0.1901344632844924,0.20999714059102031,0.14223424097200846,0.03001318242375852,0.3189648618102746,-0.20337429135561372,0.23182016991233306,-0.0517624061592266,-0.2794106315713925,-0.14866130825807045,-0.506878861582692,0.8857917386045185
Confusion,0.00459406277478966,-0.16621728256909782,0.18916940435553747,-1.2829128780296244,-0.5218341335478016,0.03139171056588563,0.5591460462787925,0.42048021241043937,0.04287401927915617,-0.09704483535802469,-0.12331611348767656,0.73090400523867,0.10904969870182754,-1.0498050590788317
Contempt,-0.103489377896121,0.14573932359051794,-0.7072221511216855,0.27499443223592485,0.07874245844814894,-0.4819283051557122,1.3558499356067935,-0.29410504692385797,-0.6057577683779907,0.15301242316604574,-0.13329638264311297,-0.34982283578400186,-0.11625235114511016,-0.3342432651791764
Craving,1.2634386758443141,-0.12027656901004083,0.07719730638869983,0.09768283430994176,-0.5268119710365887,0.0914855593951405,-0.3254108413350214,-0.3732619421524364,-0.3840438653635636,-0.5359998709958287,-0.4042904869800371,-0.11655144157219106,-0.08539463218313462,-0.20611805463408522
Disappointment,-0.3020199501301495,-0.2603107548271847,-0.4503050739816971,-0.4102141988342206,0.12808557007902555,-0.599609066539808,0.19173225758863954,-0.010624518160953068,-0.2114621488044062,0.5073240968688679,0.41925052051751444,0.909565965885362,0.2897793016988755,-0.8817978710693157
Disgust,-0.31332512871933715,0.3653067044605159,0.18966577254745576,0.5529056762199319,-0.14526423418655013,-0.05093550717888558,0.11903208493595514,-0.01258525932318976,-0.06677744727723964,-0.54694746666041,-0.6520652679339525,0.5768681150087807,0.024087178960459525,-1.7250157696909771
Empathic-Pain,0.2130785403174384,-0.6129540894377021,0.0330449035727719,0.3844985075011188,0.11537914643022912,-0.25200162792436714,-0.5383807031619168,0.3627537485408766,0.09931533869756344,-0.04684129132739145,0.15580534178174865,-0.15279815438652208,0.27956026366930214,-0.8553992158137389
Entrancement,-0.11713710697318666,-0.3000984271130385,0.44279041822076864,-0.4939633740207865,-0.0007340369677737234,0.17161894905181135,0.0384856401516508,-0.17829753642786553,-0.5089512757729272,-0.16410822571071662,-0.4236643117045083,0.038025473479172116,0.006200914182644193,0.29540630618823566
Excitement,0.2476551439917297,1.3443967181001806,-1.1565411032664108,-0.3379937537174797,0.20097443262173248,0.24968261007086281,0.0013689247974622543,0.08103918831484598,0.06578226773437762,-0.07851701869342224,-0.45759340798060694,-0.8216747307837446,0.6023103611577636,0.2257201659428297
Fear,-0.12330051876110358,0.8566700636273762,-0.09110544595000043,-0.2917313665147902,-0.026590718959842042,0.20193155924838538,-0.3635962144054319,-0.058796535936490535,0.2755865546873024,0.14618010485529104,0.0756550775345476,-1.1738868776404598,0.24399620345763182,-0.40835807729206147
Horror,-0.5619890935000286,0.8484278312020695,0.00922727364024768,0.3428937019731982,-0.14893326014464114,0.2873750613088618,-0.24649416078636452,0.09120976650619543,0.15032437302582477,0.1044760095948117,-0.19298192902872813,-0.8194464346292387,-0.46090562102888266,-1.7627342606677237
Interest,-0.05734026758043115,-0.09367711172698467,0.19792458374367108,-0.0779524941273845,-0.14200949756642883,0.2803241955553618,0.18331800187668987,0.15045986388774488,0.004488066520939835,-0.3136638610433814,-0.30666959975745567,0.13809706728897175,-0.2086265562068518,-0.11452978708847607
Joy,0.47525020454638434,0.39376507770452235,-1.1669834805797912,-0.3137804223908371,0.08196564877272836,-0.26043985022350374,-0.14128863809669323,-0.08138015195812898,0.155290514284471,0.10164981377637733,-0.5904709357881335,0.2812551729715152,0.806773780098278,0.5727754064157432
Nostalgia,-0.11968121002624539,-0.09546728757173162,-0.7981825377872122,-0.019528605670575228,0.03424298072704129,-0.11075008194484748,-0.07074934113725993,-0.19647129674556818,0.05210193372806999,0.9879617826375382,-0.24131192915413063,-0.3569635696644621,-0.22209612311777416,0.6205122770403
Pride,0.0009308292464625516,-0.13796660134916675,-1.2704703706142242,-0.3687564786550383,0.19925964789040138,-0.041153845548330105,0.3742250153400127,0.5255409549889571,0.2540963385232929,1.1910134929867675,-0.6175442372350254,-0.32016971682958395,0.2912088757402347,-0.39713054402061004
Relief,-0.2316271274144328,-0.5492229404383436,-0.20432193016702258,-0.030914384962386812,0.11396429727792778,0.0780827388017317,-0.3452501835852751,0.26246387528658116,-0.04221340954845434,-0.44853257230534527,0.44403271954011286,-0.21612818547035148,1.755765875873725,-0.60695576075276
Romance,0.5903153280382337,0.2313685283022113,-0.4912632709353745,-0.6676596863900085,1.2896003106057368,-0.46316636960780716,-0.10437084107953391,-0.8902131954045608,-0.6105776525240074,-0.2731989778719554,-0.4623911351416078,0.13707063419921342,-0.29891153447485813,0.8729136309310601
Sadness,0.04792167324414032,-1.1576309499692383,0.7229435130363941,0.16975132557725525,0.3962659832509295,-0.6570825190110755,-0.17593147702901246,-0.15258787169646706,-0.17053421365540908,0.6111281553133544,0.07396302805047084,0.10158982258923273,-0.2624758688225136,-1.1176359714562796
Satisfaction,0.1808042302908913,-0.14767468164471928,-0.2570101451362512,0.15177524121374103,-0.1143557635986193,0.5066330391662309,-0.15819270456665652,0.07616756928222729,-0.0031113256567703628,-0.5025874849778974,-0.09368689132772035,0.30343403973221267,0.2623167018156581,-0.43974557078116294
Sexual-Desire,0.8676510636077959,1.2168187133159107,-0.4950687393051435,-0.6127736558683832,0.6262915133629998,0.07312787536895805,0.10408131327768434,-0.901406318495596,-0.5343619880199526,-0.05182081733411775,-1.1065258331116627,0.016319781641240174,-1.2147529086516453,0.35158782202338246
Surprise,-0.23872715136260214,0.5028572963587019,0.15186934976543062,-0.4373013698945609,-0.5179403818213185,-0.14042634916901947,-0.007022642225049351,-0.06101511725469082,0.2945795824998542,-0.3293638984310156,0.030485231413112414,0.10648821612635102,0.3343623237569994,0.12675099299175327
Sympathy,0.4458475288852975,-0.9679683535442282,0.048638276546893545,0.2725662772640037,0.026119618827223176,-0.6098692401333904,0.005381261053566252,0.26318882959185724,0.61555800911701,-0.10963642964070908,0.41644114836402774,-0.42437421522660607,0.25099605428760763,-0.553497073460099
Triumph,-0.6820259707237863,0.5534238537864402,-1.6398790407900665,-0.2856979341955498,0.7206291992334012,0.1301223869010887,0.33750763958881314,0.4868170893534879,-0.4850837738121818,0.13234108904047195,-0.4747018042716897,-0.12721881445715805,1.4443845495684182,-0.19330810520414268
