emotion,n_samples,approach,arousal,attention,certainty,commitment,control,dominance,effort,fairness,identity,obstruction,safety,upswing,valence
Admiration,329,7.075987841945289,6.452887537993921,7.696048632218845,6.972644376899696,5.224924012158055,5.361702127659575,5.091185410334346,4.422492401215806,5.112462006079028,4.224924012158055,2.452887537993921,5.446808510638298,6.446808510638298,7.382978723404255
Adoration,126,7.523809523809524,4.7936507936507935,6.7936507936507935,7.357142857142857,4.190476190476191,4.5396825396825395,4.285714285714286,2.1904761904761907,5.182539682539683,3.8492063492063493,1.9285714285714286,7.325396825396825,6.492063492063492,8.103174603174603
Aesthetic-Appreciation,433,6.734411085450346,5.030023094688222,7.117782909930716,6.8799076212471135,3.5658198614318706,4.533487297921478,4.494226327944573,2.720554272517321,4.993071593533488,3.4549653579676676,1.9653579676674364,6.221709006928407,5.759815242494226,7.196304849884527
Amusement,724,6.7845303867403315,6.066298342541437,7.092541436464089,6.720994475138122,3.8646408839779007,4.523480662983426,4.560773480662983,3.2306629834254146,5.024861878453039,3.584254143646409,2.591160220994475,5.722375690607735,5.982044198895028,7.070441988950276
Anger,58,3.396551724137931,7.413793103448276,7.862068965517241,6.155172413793103,4.344827586206897,3.206896551724138,3.4482758620689653,4.862068965517241,2.206896551724138,3.7758620689655173,6.982758620689655,2.2758620689655173,2.1206896551724137,2.2241379310344827
Anxiety,273,3.293040293040293,7.5787545787545785,8.124542124542124,5.186813186813187,3.802197802197802,2.5347985347985347,2.8534798534798536,5.1098901098901095,4.245421245421245,3.5274725274725274,6.336996336996337,2.131868131868132,2.8644688644688645,2.967032967032967
Awe,260,5.903846153846154,6.85,7.992307692307692,6.365384615384615,4.0346153846153845,3.3923076923076922,3.5538461538461537,3.753846153846154,4.903846153846154,3.6307692307692307,2.95,3.9384615384615387,5.342307692307692,6.1692307692307695
Awkwardness,100,5.28,6.02,6.94,6.09,3.32,3.68,3.99,3.15,4.59,3.49,3.34,4.33,4.34,5.25
Boredom,15,3.066666666666667,2.8,4.333333333333333,5.666666666666667,2.6,4.2,4.266666666666667,2.2666666666666666,4.733333333333333,3.7333333333333334,2.8666666666666667,5.733333333333333,3.2,4.333333333333333
Calmness,295,6.322033898305085,3.952542372881356,6.328813559322034,6.915254237288136,3.6203389830508477,4.5288135593220336,4.437288135593221,2.328813559322034,5.040677966101695,3.6338983050847458,1.9491525423728813,6.51864406779661,5.4847457627118645,6.9932203389830505
Confusion,21,4.714285714285714,5.285714285714286,6.714285714285714,4.238095238095238,2.9047619047619047,3.5714285714285716,3.9047619047619047,4.0,4.809523809523809,3.238095238095238,3.9047619047619047,4.619047619047619,4.0476190476190474,4.809523809523809
Contempt,9,4.555555555555555,6.555555555555555,7.222222222222222,6.555555555555555,5.0,4.444444444444445,4.666666666666667,4.0,2.3333333333333335,4.777777777777778,5.111111111111111,3.5555555555555554,2.888888888888889,3.0
Craving,56,7.839285714285714,5.892857142857143,7.517857142857143,7.142857142857143,3.6785714285714284,5.125,4.964285714285714,2.2857142857142856,5.0,3.2857142857142856,1.9285714285714286,6.464285714285714,6.321428571428571,7.696428571428571
Disappointment,7,3.2857142857142856,5.285714285714286,6.571428571428571,5.714285714285714,4.285714285714286,3.142857142857143,3.4285714285714284,4.571428571428571,3.5714285714285716,4.428571428571429,6.714285714285714,4.285714285714286,2.4285714285714284,2.2857142857142856
Disgust,149,2.651006711409396,6.899328859060403,7.778523489932886,6.322147651006712,2.785234899328859,2.785234899328859,3.1006711409395975,3.946308724832215,3.7181208053691277,3.120805369127517,4.7114093959731544,2.302013422818792,2.2818791946308723,2.563758389261745
Empathic-Pain,124,3.096774193548387,6.814516129032258,7.862903225806452,6.201612903225806,3.629032258064516,2.596774193548387,2.911290322580645,4.298387096774194,3.629032258064516,3.25,5.830645161290323,2.0806451612903225,2.435483870967742,2.564516129032258
Entrancement,69,6.3768115942028984,5.260869565217392,7.840579710144928,6.594202898550725,3.5942028985507246,3.782608695652174,3.971014492753623,2.8260869565217392,4.9855072463768115,3.391304347826087,1.9420289855072463,5.913043478260869,5.3478260869565215,6.72463768115942
Envy,1,8.0,6.0,8.0,7.0,5.0,7.0,7.0,3.0,3.0,4.0,2.0,6.0,7.0,7.0
Excitement,278,7.0503597122302155,8.154676258992806,8.226618705035971,6.514388489208633,5.870503597122302,4.726618705035971,4.780575539568345,5.133093525179856,5.003597122302159,4.316546762589928,3.08273381294964,4.039568345323741,6.39568345323741,6.856115107913669
Fear,358,3.170391061452514,8.153631284916202,8.438547486033519,5.446927374301676,3.8715083798882683,2.374301675977654,2.6871508379888267,5.075418994413408,3.9860335195530725,3.483240223463687,6.136871508379889,1.8407821229050279,2.82122905027933,2.9329608938547485
Guilt,0,,,,,,,,,,,,,,
Horror,102,1.7843137254901962,7.970588235294118,8.284313725490197,6.0,2.6176470588235294,2.215686274509804,2.480392156862745,4.2745098039215685,2.7745098039215685,2.7941176470588234,6.205882352941177,1.4705882352941178,1.5784313725490196,1.9215686274509804
Interest,699,6.128755364806867,5.76824034334764,7.23032904148784,6.636623748211731,3.7067238912732474,4.469241773962804,4.446351931330472,3.4606580829756797,4.949928469241774,3.474964234620887,2.6108726752503575,5.329041487839771,5.32761087267525,6.394849785407725
Joy,448,7.544642857142857,5.986607142857143,7.033482142857143,7.174107142857143,4.723214285714286,5.252232142857143,5.095982142857143,3.091517857142857,5.212053571428571,4.185267857142857,1.9888392857142858,6.959821428571429,6.935267857142857,8.111607142857142
Nostalgia,64,6.5,4.09375,5.90625,6.796875,4.15625,5.125,5.0,2.390625,5.09375,4.375,2.125,6.71875,5.671875,6.984375
Pride,50,7.48,6.64,7.38,7.28,6.44,6.18,5.98,4.5,5.24,6.22,2.16,6.28,7.38,7.92
Relief,89,5.662921348314606,6.382022471910112,7.640449438202247,6.247191011235955,4.898876404494382,3.898876404494382,3.842696629213483,4.932584269662922,4.910112359550562,4.044943820224719,4.831460674157303,3.831460674157303,5.662921348314606,5.235955056179775
Romance,101,7.7227722772277225,6.534653465346534,7.475247524752476,7.0495049504950495,6.405940594059406,5.6138613861386135,5.396039603960396,2.891089108910891,5.03960396039604,5.089108910891089,2.0297029702970297,6.297029702970297,6.861386138613861,7.871287128712871
