emotion,approach,arousal,attention,certainty,commitment,control,dominance,effort,fairness,identity,obstruction,safety,upswing,valence
Admiration,-0.148573952530738,-0.4238966767900351,0.29472344874761447,-0.09290943006770953,0.009479516302403979,0.33734556459161624,0.08519249031827063,0.4868571943228293,-0.12118418552379384,0.06096560534606114,-0.2760021109587759,-0.28562007807034717,0.2179177655040424,0.3728957219194198
Adoration,0.8250554254315126,-0.3811901012190096,-0.3373541766973385,-0.17416517819635405,0.397478709153408,0.12217612853852274,-1.080758117161191,-1.242779362602521,-0.5825716141866976,-0.02110783457269656,0.21229930291329005,0.5030783894730733,-0.12813027300380808,0.6801377756175193
Aesthetic-Appreciation,0.17494632441992145,-0.9562852973166405,1.020172001427447,-0.0968006969173075,-0.3689332819463948,-0.0374589809777769,0.17284163661122295,-0.09196511342223065,-0.29546857915817837,-0.07956547287715006,-0.6626890613306348,-0.1410966408368852,-0.44206437356217654,0.5855390632040549
Amusement,0.4254974872888209,0.7725045568178865,-1.161048091081029,-0.17819476964140157,-0.6504604072410296,-0.035289712702399244,0.1292143078705448,0.13424696021842367,0.18089579618403312,-0.25520773823503246,0.22548537617559894,0.1525347629493116,0.01558845853415502,0.4164519224583212
Anger,0.0032032891441227188,0.25219366830550066,-0.9583320811910694,-0.17230189751819497,0.2812054661422275,0.3486184786742379,0.5268274395311076,0.05029478278984833,-1.2500352520480724,0.4491264009897866,0.7292519353057854,0.5621156289784253,-0.09389730394125183,-0.9895051940361062
Anxiety,0.026396539796598374,0.03867119963200366,-0.3487618991442244,-0.44418543361607704,0.03700572526166053,-0.1846233614215244,0.17107389968305167,0.25268615348720164,0.5183682923406172,0.018035914959027354,0.38567788663563807,-0.5076846437730418,-0.08095386255486219,-0.20098162487553678
Awe,-0.2367083423272036,-0.23387055750275293,0.7097203806171788,-0.1628206380923566,-0.03944386428982636,-0.2525873346416611,-0.7564656337476922,-0.009008874002305378,0.20525016080459527,0.0938185065733227,-0.43792062461395653,-0.595841929768611,0.20368522079660425,0.6635866118228371
Awkwardness,0.320326435045028,0.44521530838236373,-0.7498108036337178,-0.13902884251662695,-0.22482552310382828,-0.32417745130441156,0.5491770195110018,-0.17865995916652994,0.26552786739942674,0.09312336740766201,-0.13700056211516642,-0.009548692393803472,-0.46929189570066215,-0.2409152618142093
Boredom,-2.0129497322504966,-0.48713850390394065,-1.3052142894195593,0.3739164803982982,-0.5574226585141454,0.32506697316574734,0.9353873805695281,0.11605788153850707,0.4993394437487578,0.6886667369524774,0.08052234697894907,0.6517311201617743,-0.004340098378480037,-0.22944222995939575
Calmness,-0.6815830208219268,-1.6207243518450245,0.39047401873521087,0.3841255797977961,0.1953554298609168,-0.06747336019071255,-0.14113993358766533,-0.45070152139019976,0.611725776465037,-0.013815665329260408,-0.4266400747587169,-0.18679621346147063,0.1844859301395096,0.4769709770700248
