emotion,n_samples,approach,arousal,attention,certainty,commitment,control,dominance,effort,fairness,identity,obstruction,safety,upswing,valence
Admiration,529,6.5406427221172025,5.77882797731569,7.482041587901701,7.686200378071834,4.659735349716446,5.232514177693762,4.809073724007561,4.285444234404537,5.083175803402646,3.775047258979206,2.283553875236295,6.015122873345936,6.086956521739131,7.2041587901701325
Adoration,220,7.131818181818182,3.9863636363636363,6.431818181818182,7.909090909090909,3.690909090909091,4.9,4.745454545454545,2.2045454545454546,5.363636363636363,3.463636363636364,1.6318181818181818,7.627272727272727,6.3090909090909095,8.154545454545454
Aesthetic-Appreciation,364,6.412087912087912,4.75,7.1291208791208796,7.662087912087912,3.456043956043956,4.725274725274725,4.804945054945055,2.7032967032967035,4.991758241758242,3.4148351648351647,1.7472527472527473,6.846153846153846,5.5576923076923075,7.186813186813187
Amusement,579,6.3713298791019,5.518134715025907,6.83419689119171,7.563039723661485,3.321243523316062,4.5785837651122625,4.66321243523316,3.0466321243523318,5.024179620034542,3.2607944732297063,2.1917098445595853,6.609671848013817,5.747841105354059,7.07426597582038
Anger,35,3.7142857142857144,7.4,8.0,7.428571428571429,3.6857142857142855,3.3714285714285714,3.5428571428571427,3.5714285714285716,2.1714285714285713,4.371428571428571,5.6571428571428575,2.914285714285714,1.9428571428571428,2.2285714285714286
Anxiety,225,3.422222222222222,7.453333333333333,8.093333333333334,6.524444444444445,3.1911111111111112,2.7688888888888887,3.0044444444444443,4.177777777777778,4.013333333333334,3.502222222222222,4.746666666666667,2.4044444444444446,2.8577777777777778,3.026666666666667
Awe,347,5.6138328530259365,6.628242074927954,7.968299711815562,7.276657060518732,3.9020172910662825,3.6311239193083575,3.7694524495677233,3.5187319884726227,4.855907780979827,3.7262247838616713,2.2997118155619596,4.547550432276657,5.221902017291066,6.164265129682997
Awkwardness,76,4.921052631578948,5.592105263157895,6.9868421052631575,7.447368421052632,2.9473684210526314,3.5921052631578947,4.052631578947368,3.1842105263157894,4.75,3.3157894736842106,3.013157894736842,5.25,3.8947368421052633,5.065789473684211
Boredom,10,4.2,3.1,5.3,7.1,2.6,4.4,4.5,2.3,5.0,3.4,2.5,7.0,3.7,4.9
Calmness,289,6.141868512110727,3.342560553633218,6.217993079584775,7.688581314878893,3.366782006920415,4.747404844290657,4.768166089965398,2.2525951557093427,5.096885813148789,3.4290657439446366,1.6955017301038062,7.193771626297578,5.301038062283737,7.193771626297578
Confusion,25,4.84,5.16,6.96,5.48,2.8,3.56,3.88,3.76,4.8,3.44,2.52,5.76,3.8,4.92
Contempt,13,4.538461538461538,5.461538461538462,7.0,7.153846153846154,4.3076923076923075,4.769230769230769,4.846153846153846,3.4615384615384617,3.3846153846153846,4.384615384615385,3.0,4.846153846153846,3.076923076923077,3.5384615384615383
