emotion,n_1,n_0,approach,arousal,attention,certainty,commitment,control,dominance,effort,fairness,identity,obstruction,safety,upswing,valence
Admiration,529,1556,0.6500709404225755,-0.04952027556702286,0.13740293422740762,0.3213779091981673,0.9041497850494807,0.9356527406771354,0.6051872906175707,0.7607995638155455,0.45346706408022824,0.251662658375594,-0.2706733995476154,0.3440656344954448,0.7594196441984978,0.717514412130123
Adoration,220,1865,0.9029841442933382,-1.1323992082874257,-0.9226453433843103,0.4973872642803665,0.032968009158452535,0.4940996287257046,0.43507912419593303,-0.7265493464721398,0.6618589287037753,-0.12684260770845524,-0.6232458258227118,1.0930599143566273,0.7431139398567651,1.0820370040183867
Aesthetic-Appreciation,364,1721,0.49183710681828413,-0.7086283350487174,-0.2419236626619405,0.26254889100213996,-0.14021408478467137,0.40041606646331895,0.5358638453630004,-0.43349301350333164,0.30629292200351305,-0.1948520385174879,-0.6041966503774859,0.7573768618460732,0.33735354195441425,0.627288822726504
Amusement,579,1506,0.5377256845079157,-0.2376695069369097,-0.6496789180121332,0.17464052241694647,-0.27738849214712097,0.3277699758201271,0.45174316851168683,-0.22188694164907355,0.3933591270158354,-0.43562625091565516,-0.34963557195659545,0.7315134772702003,0.5267405816897609,0.6573316743650236
Anger,35,2050,-1.0492325266362275,0.8128129644934189,0.5551265153329248,0.003794367180022547,0.026728223265840304,-0.5373963330043654,-0.589873678446474,0.13875590961766318,-2.387476060359518,0.7782139013994576,1.6588422364952156,-1.0679727673604253,-1.5693375229732076,-1.6871972908845134
Anxiety,225,1860,-1.4451305261420309,0.9618752965224606,0.7166784473110748,-0.9549308621922844,-0.31446403111496707,-1.0716691479052527,-1.2092219711676853,0.5437120320161423,-0.7051659581709131,-0.08543917731741253,1.3496701108792037,-1.5608696860929403,-1.2780844385147554,-1.6012775372754113
Awe,347,1738,-0.02581754123349178,0.48629903906918176,0.6379610550934435,-0.16119913806623817,0.19228587572739897,-0.44173493692922283,-0.48352281653770696,0.12814163933618117,0.15734699010598807,0.1678597095303603,-0.23119917897956888,-0.4358303032500305,0.13217148134514353,0.07856714919725437
Awkwardness,76,2009,-0.402298108358849,-0.1378191014641025,-0.3330462060325007,0.021575288104452375,-0.4475694183261589,-0.40376574725153214,-0.17617069067766958,-0.0850239572783253,0.038644797980221024,-0.26584158722020346,0.1949880835261819,-0.06788947294220725,-0.5705991729566399,-0.4219386093660185
Boredom,10,2075,-0.7712356051823845,-1.4250649738032335,-1.7818059585974315,-0.2959242038258645,-0.6480436362074883,0.12219342879535026,0.18989868401115303,-0.5837173642274286,0.25970577519579074,-0.17554566954251127,-0.08581037219759106,0.6689241175516565,-0.6467866711025544,-0.47889968729740734
Calmness,289,1796,0.29959431327996117,-1.7447722916350763,-1.232164134394325,0.2795510263358232,-0.19863746544794575,0.39928756284501477,0.47523055893961447,-0.7267832317393933,0.4033785808029455,-0.1705831169978087,-0.6093663137698355,0.9075187050026455,0.17351975018380622,0.6007412287209634
Confusion,25,2060,-0.43493764580401206,-0.3590312765935945,-0.3476053367259759,-1.8207513814178526,-0.5279539221774227,-0.4135593491684265,-0.31196314887106313,0.2457580205755978,0.08246391902152495,-0.1378157572808533,-0.07566111157248732,0.14926344139894693,-0.6020523153656109,-0.4740781313842574
Contempt,13,2072,-0.5924514905796356,-0.2010207183606614,-0.31108493079725663,-0.24716628437275973,0.41322492400039534,0.3568425893119676,0.469709906339519,0.07491568719065024,-1.183215478054447,0.7803837219854903,0.18190397551534024,-0.23547525590352728,-0.9600610960353981,-1.070265187289981
Craving,51,2034,1.0802358753788952,-0.46934936686523876,-0.24836671270582267,0.42687592845066974,-0.2833289623721085,0.888447366140525,1.1880524769393386,-0.7045302351905663,0.265120340262592,-0.5568475978998857,-0.5766144278888501,0.762419897590785,0.519089222145218,0.7668934783363177
Disappointment,8,2077,-0.41251689867334895,-0.3095224959173266,-0.20316354079926738,-0.045057709000756514,-0.3988891807763404,-0.4479188153212184,-0.2126825225792808,-0.2572714584076044,-0.29572380396420833,0.16319399983747315,0.7835067356084049,0.14383800245651668,-0.683384016872664,-0.6507849263900732
