emotion,n_samples,approach,arousal,attention,certainty,commitment,control,dominance,effort,fairness,identity,obstruction,safety,upswing,valence
Admiration,377,5.541114058355437,4.923076923076923,5.981432360742706,4.612732095490716,4.429708222811671,4.76392572944297,5.159151193633952,3.3793103448275863,4.962864721485412,3.949602122015915,2.594164456233422,6.251989389920424,5.387267904509284,6.9655172413793105
Adoration,9,6.111111111111111,4.222222222222222,5.444444444444445,4.444444444444445,4.555555555555555,4.444444444444445,5.333333333333333,3.0,5.111111111111111,4.0,2.5555555555555554,6.222222222222222,5.333333333333333,7.555555555555555
Aesthetic-Appreciation,85,4.8352941176470585,4.094117647058823,5.552941176470588,4.447058823529412,3.847058823529412,4.470588235294118,5.035294117647059,3.011764705882353,4.882352941176471,3.6823529411764704,2.4941176470588236,6.129411764705883,4.694117647058824,6.529411764705882
Amusement,573,5.675392670157068,5.532286212914485,6.0855148342059335,4.479930191972077,4.2408376963350785,4.673647469458988,4.984293193717278,3.5165794066317626,4.973821989528796,3.931937172774869,2.729493891797557,6.003490401396161,5.516579406631763,6.907504363001745
Anger,16,4.8125,7.25,6.875,4.25,4.125,4.0,4.375,5.0625,3.3125,4.25,5.4375,3.0625,3.875,2.4375
Anxiety,291,3.93127147766323,7.357388316151202,6.810996563573883,3.8075601374570445,3.7869415807560136,3.52233676975945,3.9965635738831615,4.869415807560137,4.615120274914089,3.8969072164948453,5.731958762886598,2.752577319587629,3.3539518900343643,2.1993127147766325
Awe,493,5.144016227180527,6.0304259634888435,6.484787018255578,4.468559837728194,4.288032454361055,4.484787018255578,4.955375253549696,3.8884381338742395,4.872210953346856,3.9411764705882355,3.4827586206896552,4.967545638945233,5.210953346855984,5.572008113590264
Awkwardness,20,3.85,4.6,5.45,3.7,3.3,3.95,4.5,3.2,4.95,3.75,3.4,4.6,3.45,4.4
Boredom,19,3.6315789473684212,3.1052631578947367,4.315789473684211,3.9473684210526314,3.263157894736842,3.8947368421052633,4.315789473684211,2.789473684210526,4.578947368421052,3.210526315789474,3.0,5.2631578947368425,3.263157894736842,4.842105263157895
Calmness,719,4.66759388038943,3.941585535465925,5.428372739916551,4.364394993045897,3.8734353268428374,4.421418636995828,4.848400556328234,3.0166898470097356,4.885952712100139,3.713490959666203,2.6453407510431153,6.011126564673157,4.510431154381084,6.173852573018081
Confusion,12,4.666666666666667,5.833333333333333,5.833333333333333,3.75,3.5833333333333335,3.8333333333333335,4.333333333333333,4.0,4.666666666666667,3.8333333333333335,4.416666666666667,4.5,4.333333333333333,4.666666666666667
Contempt,2,4.5,6.0,7.0,4.5,4.0,5.5,6.0,3.5,3.5,3.0,4.5,4.5,3.5,2.0
Craving,16,6.5625,5.6875,6.1875,4.1875,3.875,4.4375,5.0625,3.3125,4.6875,3.75,2.75,5.6875,5.625,6.625
Disappointment,3,3.6666666666666665,6.0,6.0,4.333333333333333,3.6666666666666665,3.0,4.333333333333333,3.6666666666666665,4.333333333333333,4.0,5.333333333333333,3.6666666666666665,3.0,2.3333333333333335
Disgust,77,3.3506493506493507,7.0,6.48051948051948,3.5064935064935066,3.5454545454545454,3.5454545454545454,3.961038961038961,4.402597402597403,4.558441558441558,3.74025974025974,5.3896103896103895,2.74025974025974,2.883116883116883,2.0
Empathic-Pain,26,4.076923076923077,5.576923076923077,6.038461538461538,3.6538461538461537,4.115384615384615,3.8076923076923075,4.1923076923076925,4.0,4.730769230769231,3.923076923076923,4.153846153846154,4.346153846153846,3.269230769230769,2.8076923076923075
Entrancement,65,5.492307692307692,5.6461538461538465,6.630769230769231,4.584615384615384,4.338461538461538,4.8307692307692305,5.030769230769231,3.4615384615384617,4.938461538461539,3.7846153846153845,2.707692307692308,6.061538461538461,5.415384615384616,6.723076923076923
Envy,0,,,,,,,,,,,,,,
Excitement,266,6.3007518796992485,7.654135338345864,6.932330827067669,4.7180451127819545,4.969924812030075,4.909774436090226,5.2669172932330826,4.669172932330827,4.902255639097745,4.2518796992481205,3.3533834586466167,4.996240601503759,6.578947368421052,6.413533834586466
Fear,471,4.333333333333333,7.560509554140127,6.902335456475583,3.938428874734607,3.9511677282377917,3.6518046709129512,4.1528662420382165,4.883227176220807,4.649681528662421,3.91932059447983,5.585987261146497,2.6794055201698512,3.8619957537154987,2.4097664543524417
Guilt,0,,,,,,,,,,,,,,
Horror,25,3.92,8.04,7.08,3.8,3.72,3.6,3.6,4.68,4.64,4.0,6.12,2.28,2.8,2.04
Interest,1392,5.223419540229885,5.183189655172414,6.00933908045977,4.410201149425287,4.123563218390805,4.504310344827586,4.897270114942529,3.4892241379310347,4.89367816091954,3.836206896551724,2.944683908045977,5.6875,5.028735632183908,6.182471264367816
Joy,691,5.979739507959479,5.694645441389291,6.120115774240231,4.657018813314037,4.5615050651230105,4.8075253256150505,5.166425470332851,3.529667149059334,4.991316931982634,4.026049204052098,2.629522431259045,6.2547033285094065,5.897250361794501,7.360347322720695
Nostalgia,12,4.5,4.166666666666667,5.416666666666667,4.333333333333333,4.0,4.416666666666667,4.916666666666667,3.1666666666666665,5.083333333333333,3.8333333333333335,2.75,6.083333333333333,5.083333333333333,6.416666666666667
