emotion,n_1,n_0,approach,arousal,attention,certainty,commitment,control,dominance,effort,fairness,identity,obstruction,safety,upswing,valence
Admiration,377,1710,0.3894876030767392,-0.5451277758995315,-0.2214920130350458,0.39600750061806067,0.345483773236878,0.49568063878779256,0.5354132285642345,-0.39666260347798427,0.2283271204897751,0.0932108458170878,-0.6708793335247498,0.7876546000927698,0.3842397348113695,0.7700658150390515
Adoration,9,2078,0.7608370170709111,-0.8435469462589219,-0.6901794825062436,0.10938637813681842,0.42169047008667665,0.045565926748093455,0.6496401617809963,-0.6501732406667345,0.4523993566567562,0.15358060595909898,-0.5609570336904133,0.6028909244318004,0.2750273812110883,0.8850204337458613
Aesthetic-Appreciation,85,2002,-0.240555139329167,-0.9679984445764871,-0.6136080676146023,0.11699823635071126,-0.37993225098624356,0.0774667462632751,0.2878244842175058,-0.6695107277377451,0.04487717074457717,-0.34459830276472325,-0.629696817842934,0.5710790290520248,-0.1797954273497513,0.42035879188787456
Amusement,573,1514,0.5985567007452771,-0.12168265074634758,-0.11430223392421289,0.21266343786268455,0.09911830466004351,0.4193695568836549,0.29509264419669673,-0.2827324236125473,0.28608814666287136,0.06823765484180547,-0.6321551991085131,0.6754186320791774,0.5714714644649131,0.8524069082850431
Anger,16,2071,-0.25010967171200255,0.9056024939299852,0.6668675104861184,-0.13693121660079885,-0.05664316582895653,-0.4503007077536425,-0.5502342280931221,1.1373429487046571,-2.857539985476578,0.5375272666368109,1.3982098903141444,-1.3067820009106053,-0.7514516570780786,-1.5287819024276963
Anxiety,291,1796,-1.1654412134711754,1.2057290627512913,0.7189721462630841,-0.8384128506340996,-0.5071966529551112,-1.2321239922151346,-1.2938139322656734,1.2057728037423758,-0.5105505343499717,-0.0043614715798299805,2.3674035096796495,-2.1275402733352062,-1.4383272601217483,-2.4697107963996205
Awe,493,1594,0.010951399909808633,0.2597869916952618,0.3890649904512841,0.18289458196746455,0.16274133513737593,0.11800591335545434,0.23191968496811033,0.1516817703107972,0.032727928011173454,0.0832177430047678,0.08453506922178874,-0.19703598049021886,0.24800638013247683,-0.05763606159602949
Awkwardness,20,2067,-1.007255029459327,-0.6294154297838124,-0.6894122729933759,-0.8390658102548911,-0.9819667002048437,-0.5073144184190636,-0.39401959087693084,-0.4802796094039267,0.16506637875442162,-0.2292529831820394,0.009032291261971508,-0.37343356175721165,-1.0563599471016358,-0.5965211966805801
Boredom,19,2068,-1.1798439437186627,-1.5073007838087238,-1.7907936455719589,-0.5222412201978913,-1.0229234521648956,-0.5690026998158764,-0.6258037440096903,-0.8376841089291038,-0.5021690149168377,-1.061786197524758,-0.26215078088899035,0.02693538681612391,-1.1894323188702314,-0.3877116158753254
Calmness,719,1368,-0.5693700739356597,-2.213259560935861,-1.2434707914105894,0.012416404345677434,-0.5256545217216663,0.03034128732563133,0.06603354103626309,-1.0858668128842355,0.07549715251781328,-0.4402876487005089,-0.814492025940741,0.7694661517300023,-0.4698521090702186,0.3658612760332745
Confusion,12,2075,-0.36319033190812006,0.08480351068289373,-0.32223644026698045,-0.7710493941407865,-0.6595530922428879,-0.6353376946618451,-0.6012726276127277,0.21259493733828222,-0.3429730676163316,-0.1009460739559656,0.6966776764885939,-0.4320834170757829,-0.42685992561227165,-0.46860956885765986
Contempt,2,2085,-0.49044396042505445,0.17996617738116502,0.7793216907412006,0.17902433573882584,-0.19456848231893983,1.215591716121175,1.478180241464659,-0.21793226635486687,-2.4267583659770473,-1.3692685493687782,0.7485945268018787,-0.42981960457141144,-1.0072897182887406,-1.7115165393298644
Craving,16,2071,1.1197102034075406,0.0007779673037081333,0.013328474047657315,-0.21624823952833974,-0.3352613461074626,0.03797505094659206,0.3119914514644161,-0.38175409776551983,-0.30625817513177683,-0.2287986839928803,-0.43118519684155543,0.2825261992137565,0.48148724400123555,0.45016283322791584
Disappointment,3,2084,-1.1373647713185406,0.18005393264332475,-0.16357863498410793,-0.03100907523920359,-0.5637714678734278,-1.5581649004993487,-0.5982113858571805,-0.07480506863647722,-0.9361726052511874,0.153133253302222,1.310817834265199,-0.9292769425092675,-1.3585743352468556,-1.5571891493909717
Disgust,77,2010,-1.4872825222445123,0.7901128971827482,0.30071914274814643,-1.1382793179260253,-0.7303407102648132,-1.003430943724298,-1.1252529757616359,0.5816239956200775,-0.5570204268659447,-0.2513459778799901,1.4477696216472364,-1.6067674689841531,-1.5541823771498182,-1.881160368182796
Empathic-Pain,26,2061,-0.8310782810179508,-0.0633640948550568,-0.12873836222273605,-0.9020291989636687,-0.06768177635367714,-0.6694913114121047,-0.785267085157067,0.21407176250231058,-0.22971552926485247,0.03646983500475989,0.5225847222250528,-0.5287919793481632,-1.191920525434016,-1.3634814946217984
Entrancement,65,2022,0.28712933804073076,-0.02365036576674985,0.445823920319935,0.29493156815729077,0.1856187231055482,0.4898890915556523,0.2790372376370899,-0.2590453357369479,0.14756724714374606,-0.1800908058889979,-0.47223045926098367,0.5221305731491153,0.34231389085799424,0.5098486833197315
Envy,0,2087,,,,,,,,,,,,,,
Excitement,266,1821,1.1032003850008734,1.4319460540711115,0.8514171118471319,0.5275527413819127,1.0678986651331204,0.6574801049303557,0.6615537339904932,0.9439271988579573,0.08997939421606221,0.6272240672979967,-0.025627940032676568,-0.15241648000527763,1.45676560841504,0.40228069639503355
Fear,471,1616,-0.8480255660301651,1.702215708507227,0.9544454668103404,-0.7115893775633909,-0.3236671064276403,-1.2025287668876674,-1.1840372518350732,1.4692000336718227,-0.48921737679151317,0.03914544542843501,3.163517451881803,-3.4199708262258377,-1.0647774342107896,-3.4152099040902595
Guilt,0,2087,,,,,,,,,,,,,,
Horror,25,2062,-0.9551703593858574,1.380086341827332,0.8678800689924401,-0.7130241529728678,-0.5107765439476415,-0.9043193960615726,-1.548911096537912,0.8076111574660678,-0.39342318603035403,0.1547864258167243,1.897072767618112,-1.8115416369470752,-1.53346439598176,-1.7397036884804045
Interest,1392,695,0.2106304239706302,-0.9476591744721038,-0.47560885704076683,0.19846291948422518,-0.17413955962679598,0.33945884080040767,0.31583333574281447,-0.7197267409426477,0.1905683474390609,-0.29096432959987084,-0.9823235731697767,0.916923903362476,0.1844498021855472,0.7673137933917503
Joy,691,1396,1.1034361936271022,0.007273662913733695,-0.07513813948114938,0.5837654746685083,0.6680792098751713,0.704357218183179,0.6895690395746519,-0.2900950581805803,0.3593625426018741,0.2904573202582403,-0.8141125684859937,1.028595336802029,1.1302337170996142,1.417918605999708
Nostalgia,12,2075,-0.49309342711860243,-0.8774136476661129,-0.7178361704096907,-0.0311436373462817,-0.19552399854454047,0.01471175598911179,0.1288955418988372,-0.5070468009744864,0.4033098645996625,-0.1009460739559656,-0.4302774150229342,0.5202144769879851,0.09987864856774575,0.3514916659944802
Pride,20,2067,0.7967074958700477,0.3552643960660418,0.07278111313397352,0.4989364689020896,1.3212400944125664,1.0633627027131818,1.1194543588143844,-0.26323320152795904,0.4350277589568136,1.4735495469825022,-0.6363560970873073,0.9278471423115857,1.212731606232632,0.9127249232494224
Relief,25,2062,-0.1356504310868678,-0.537908255289456,-0.3180079893559572,0.10457620754276697,-0.062484964904439,0.39976119348032524,-0.11781790271492268,-0.0987694237476489,-0.17689903567834417,-0.09133028513014521,-0.018134469599500554,0.15819209439973345,-0.1279237335123711,-0.08791281075319195
Romance,77,2010,1.1950732688828216,0.0012843743288706098,-0.10612779565543111,0.3819064457426516,1.2311761030848993,0.2530077225283339,0.4603486116639678,-0.4066065029808443,0.02210570901629065,0.44723340920543203,-0.58098702174653,0.6015652077860166,0.9320996616360947,0.9682493355412276
Sadness,42,2045,-1.410484204167271,-0.025311672066780786,-0.25839169343599044,-1.2431110283653284,-0.6577586632344785,-1.1144863835960281,-1.2002381641222186,0.15316757375976658,-0.6096278158918058,-0.13937566833112836,0.8506335094647115,-1.0446075225312466,-1.5359285293517584,-1.5518534319607025
Satisfaction,54,2033,-0.5789051859842504,-1.197830814619265,-1.096956155172961,-0.10359681972269917,-0.5589590440522455,-0.24816549110691732,-0.06937930088583343,-0.684281501319663,-0.2147071319409256,-0.596804371815376,-0.5624506638742321,0.48082478431574405,-0.2099968530706662,0.319196993580356
Sexual-Desire,7,2080,1.0073161725723299,0.9207127231147832,0.24107246891278428,-0.0912187031649685,-0.5121378602309313,-0.1307419893584756,0.2325702495999951,-0.5262002166137099,-0.7680399562774725,0.3713327617826469,-0.6460558907221623,-0.4738216105984178,0.6420001896381784,0.5566299611939457
Surprise,356,1731,-0.5945378625871337,0.8442502729903898,0.5073140047929271,-0.550442094424155,-0.36118155347173403,-0.754418477875739,-0.7606146678901922,0.7969944254658103,-0.2574619185494505,-0.026651431489665436,1.3569341755375717,-1.3134349145490103,-0.7253426182336666,-1.4089887329275308
Sympathy,5,2082,-0.5688709487267716,-0.6239985377982352,-0.5415025485400429,-0.451785873529895,-0.19485415496907416,0.2180596087746897,-0.016961582153865323,-0.13222527037281315,-0.10379528657184865,-0.4561513600101324,0.278267442502991,-0.250710475877544,-0.6587640196883698,-0.7785149573576131
Triumph,12,2075,1.001632419923016,0.9515172915330399,0.7842259944323173,0.7084693136885221,1.6706042986590182,1.2258224933775725,1.2812873935204643,0.8617098817561017,0.25397315778888646,1.5657216455698415,-0.20492191179203825,0.5704300991067388,1.5734411946115572,0.860608175837943
