emotion,n_samples,approach,arousal,attention,certainty,commitment,control,dominance,effort,fairness,identity,obstruction,safety,upswing,valence
Admiration,674,5.954005934718101,5.559347181008902,6.816023738872404,5.287833827893175,4.225519287833828,5.118694362017804,5.053412462908012,4.252225519287834,4.79080118694362,4.2626112759643915,2.7908011869436202,6.339762611275964,5.682492581602374,6.893175074183977
Adoration,203,6.0344827586206895,4.394088669950739,6.172413793103448,4.911330049261084,4.029556650246305,4.83743842364532,4.901477832512315,3.1822660098522166,4.9655172413793105,4.108374384236453,2.3201970443349755,6.8817733990147785,5.536945812807882,7.384236453201971
Aesthetic-Appreciation,136,5.720588235294118,4.794117647058823,6.602941176470588,4.9411764705882355,3.5588235294117645,4.867647058823529,4.867647058823529,3.625,4.573529411764706,4.029411764705882,2.536764705882353,6.4411764705882355,5.169117647058823,6.801470588235294
Amusement,538,5.669144981412639,5.830855018587361,6.5464684014869885,4.9535315985130115,3.54089219330855,4.815985130111524,4.734200743494424,3.882899628252788,4.732342007434944,4.150557620817844,2.890334572490706,6.215613382899628,5.390334572490707,6.565055762081784
Anger,14,4.5,7.142857142857143,6.857142857142857,5.357142857142857,4.0,4.5,4.5,5.0,3.5,4.785714285714286,4.928571428571429,3.9285714285714284,4.142857142857143,2.4285714285714284
Anxiety,297,4.417508417508418,7.5286195286195285,7.074074074074074,4.7407407407407405,3.4713804713804715,3.8653198653198655,3.888888888888889,5.252525252525253,4.111111111111111,4.333333333333333,5.64983164983165,2.9057239057239057,3.558922558922559,2.643097643097643
Awe,623,5.757624398073836,6.674157303370786,7.157303370786517,5.359550561797753,4.059390048154093,4.850722311396469,4.886035313001605,4.727126805778491,4.653290529695024,4.329052969502408,3.3707865168539324,5.242375601926164,5.696629213483146,5.947030497592295
Awkwardness,115,4.6695652173913045,5.973913043478261,6.504347826086956,4.547826086956522,3.1652173913043478,4.3130434782608695,4.356521739130435,4.113043478260869,4.565217391304348,4.191304347826087,3.6695652173913045,5.217391304347826,4.3130434782608695,4.982608695652174
Boredom,7,4.142857142857143,3.142857142857143,5.571428571428571,4.428571428571429,3.2857142857142856,4.285714285714286,4.571428571428571,3.4285714285714284,4.428571428571429,4.0,3.5714285714285716,6.0,3.7142857142857144,4.428571428571429
Calmness,400,5.375,4.035,6.2375,4.9525,3.7375,4.895,4.95,3.375,4.8775,3.9925,2.555,6.6375,4.9275,6.6525
Confusion,21,4.761904761904762,5.904761904761905,6.809523809523809,4.0,3.0952380952380953,4.0476190476190474,4.285714285714286,4.380952380952381,4.666666666666667,4.142857142857143,4.238095238095238,5.190476190476191,4.0476190476190474,4.238095238095238
Contempt,8,4.0,6.25,6.75,5.25,3.75,4.75,4.75,4.125,3.375,4.875,4.0,4.5,4.0,2.875
Craving,50,6.38,5.6,6.82,4.92,3.62,4.84,4.94,3.64,4.52,3.96,2.46,6.46,5.58,7.28
Disappointment,7,4.428571428571429,6.285714285714286,6.428571428571429,4.571428571428571,3.4285714285714284,3.857142857142857,4.285714285714286,4.571428571428571,4.571428571428571,4.571428571428571,4.857142857142857,5.428571428571429,3.142857142857143,2.7142857142857144
Disgust,93,4.075268817204301,7.075268817204301,7.021505376344086,4.634408602150538,3.096774193548387,3.946236559139785,3.806451612903226,4.774193548387097,4.150537634408602,4.279569892473118,4.903225806451613,3.3118279569892475,3.3118279569892475,2.6881720430107525
Empathic-Pain,97,4.701030927835052,6.175257731958763,6.690721649484536,4.845360824742268,3.7216494845360826,4.092783505154639,4.175257731958763,4.835051546391752,4.371134020618556,4.309278350515464,4.824742268041237,4.020618556701031,3.7938144329896906,3.5257731958762886
Entrancement,126,5.666666666666667,5.904761904761905,7.150793650793651,5.015873015873016,3.746031746031746,4.873015873015873,4.912698412698413,4.182539682539683,4.690476190476191,4.134920634920635,2.8253968253968256,6.142857142857143,5.484126984126984,6.523809523809524
Envy,2,6.5,5.0,7.0,4.5,3.5,5.0,5.0,4.5,4.0,5.0,3.0,6.0,5.5,7.0
Excitement,349,6.174785100286533,7.785100286532951,7.212034383954155,5.5759312320916905,4.444126074498567,5.011461318051576,4.922636103151863,5.180515759312321,4.607449856733524,4.581661891117479,3.33810888252149,5.0,6.306590257879656,6.143266475644699
Fear,392,4.571428571428571,7.875,7.173469387755102,4.887755102040816,3.482142857142857,3.8239795918367347,3.9081632653061225,5.331632653061225,4.237244897959184,4.387755102040816,5.510204081632653,2.6785714285714284,3.9846938775510203,2.74234693877551
Guilt,0,,,,,,,,,,,,,,
Horror,139,3.935251798561151,8.0,7.18705035971223,4.553956834532374,3.0,3.3956834532374103,3.4676258992805757,5.316546762589928,3.949640287769784,4.388489208633094,6.18705035971223,2.3093525179856114,2.9280575539568345,2.179856115107914
Interest,575,5.408695652173913,5.40695652173913,6.798260869565217,5.067826086956522,3.6382608695652174,4.845217391304348,4.768695652173913,4.128695652173913,4.678260869565217,4.057391304347826,3.0678260869565217,5.900869565217391,4.8765217391304345,5.791304347826087
Joy,405,6.1382716049382715,5.560493827160494,6.4,5.153086419753087,4.246913580246914,5.029629629629629,4.9679012345679014,3.748148148148148,4.9604938271604935,4.353086419753087,2.5358024691358025,6.795061728395062,6.029629629629629,7.432098765432099
Nostalgia,66,5.363636363636363,4.303030303030303,6.045454545454546,4.803030303030303,3.803030303030303,4.818181818181818,4.863636363636363,3.4696969696969697,4.742424242424242,4.196969696969697,2.6363636363636362,6.363636363636363,5.03030303030303,6.5606060606060606
Pride,31,6.258064516129032,5.903225806451613,6.67741935483871,5.774193548387097,5.096774193548387,5.451612903225806,5.516129032258065,4.161290322580645,4.838709677419355,5.483870967741935,2.7096774193548385,6.451612903225806,6.225806451612903,7.451612903225806
Relief,166,5.397590361445783,5.903614457831325,6.632530120481928,5.27710843373494,4.036144578313253,4.867469879518072,4.795180722891566,4.421686746987952,4.789156626506024,4.22289156626506,3.6626506024096384,5.608433734939759,5.295180722891566,5.620481927710843
Romance,97,6.350515463917525,5.175257731958763,6.247422680412371,5.051546391752577,5.010309278350515,4.814432989690721,4.835051546391752,3.5463917525773194,4.927835051546392,4.474226804123711,2.515463917525773,6.298969072164948,5.77319587628866,7.268041237113402
Sadness,48,4.375,5.375,6.5,4.354166666666667,3.5208333333333335,3.8333333333333335,3.8541666666666665,4.229166666666667,4.375,4.395833333333333,4.645833333333333,3.8125,3.2708333333333335,2.7916666666666665
Satisfaction,76,5.828947368421052,4.9605263157894735,6.644736842105263,5.368421052631579,3.710526315789474,5.118421052631579,5.0131578947368425,3.8289473684210527,4.7368421052631575,4.026315789473684,2.5789473684210527,6.473684210526316,5.328947368421052,6.894736842105263
Sexual-Desire,31,6.354838709677419,6.645161290322581,6.612903225806452,4.806451612903226,3.774193548387097,4.612903225806452,4.709677419354839,3.7419354838709675,4.516129032258065,4.548387096774194,2.5806451612903225,5.645161290322581,5.419354838709677,6.516129032258065
Surprise,342,5.076023391812866,6.982456140350878,6.847953216374269,4.9035087719298245,3.415204678362573,4.347953216374269,4.353801169590644,4.444444444444445,4.5321637426900585,4.2368421052631575,3.9707602339181287,4.628654970760234,4.792397660818714,4.8274853801169595
Sympathy,38,5.052631578947368,5.026315789473684,6.2894736842105265,4.552631578947368,3.8684210526315788,4.157894736842105,4.2631578947368425,4.157894736842105,4.631578947368421,4.105263157894737,3.9210526315789473,4.7894736842105265,4.078947368421052,4.184210526315789
Triumph,86,6.290697674418604,6.9186046511627906,6.953488372093023,5.837209302325581,5.162790697674419,5.511627906976744,5.313953488372093,4.941860465116279,4.72093023255814,5.104651162790698,3.011627906976744,6.104651162790698,6.616279069767442,7.325581395348837
