emotion,approach,arousal,attention,certainty,commitment,control,dominance,effort,fairness,identity,obstruction,safety,upswing,valence
Admiration,0.03044573985933554,-0.4069980616423424,0.2428613040155,0.048538258757865396,0.1811169816220402,0.15752308160996858,0.16712845356876896,0.4086753272428127,-0.12121932884456954,-0.2819299197977963,-0.17302251102012775,-0.0910553994163354,0.014465103246369546,0.4939486674052196
Adoration,0.4739822088021104,-0.4577532815858137,-0.297953406845611,-0.25864118792441426,0.0570726074327457,-0.344201104257221,-0.3854636842777324,-0.7332099132192228,0.10730423649166554,0.004490201403134571,-0.4831403759853527,0.2474861968302157,0.20266874959796063,0.8102525934484088
Aesthetic-Appreciation,0.24881103468722884,-0.4610889005121975,0.4775089001639602,-0.1266733673859421,-0.2725788643378512,-0.01274867564135614,-0.12795919685301763,-0.06476939711288617,-0.45466903221685084,-0.2781351542158047,-0.1528578179367776,0.002375978104225768,-0.11748704196097583,0.35140222486904504
Amusement,0.015073342893477297,0.431140399712064,-0.44548812724997866,-0.2624144977566183,-0.595208897295011,0.17038839312330334,-0.46014856509570967,-0.2130106819441916,0.06258605278617471,-0.09493899952515943,0.07406032746376365,0.43116325696859165,0.04012638122031155,0.34204613155746066
Anger,-0.2505593068117368,0.07171120629697014,-0.9787817800464125,0.39351850794394055,0.5557203236672152,0.10115506523123574,0.31661525442018357,0.3473110300909609,-0.9140086374454025,0.25647486426683325,-0.003306703425750778,0.5549180379357781,0.10103568421061641,-1.3217837311294327
Anxiety,-0.08477581554872182,0.18745160192008797,-0.11753521924759924,-0.045934313229572275,0.1923953713949873,0.17833827788528156,0.12228084455091282,0.17142686837873278,-0.2056333243873325,-0.12124927585971444,0.24391257110824974,-0.14117249935396647,-0.1969197468519201,-0.7248628077073632
Awe,0.009890800620365089,-0.0302738626355477,0.6513285116994313,0.21157659236527082,-0.11744943100264064,-0.1953725557699719,0.4041386243226644,0.21800875102243297,-0.06395999722803405,-0.40446253367319435,-0.2856289942414104,-0.44950468443760655,0.4563219273141089,0.07816092955485238
Awkwardness,-0.4502079616908151,0.19631181641127035,-0.3336455292912136,-0.3424327824531149,-0.5382246606505922,-0.08572496749346359,-0.11123352688231652,0.03808286585198004,0.22278033538077116,0.2020284015919309,0.06577173828250638,0.3828074541145836,-0.05151888715106871,-0.03735296660911658
Boredom,-0.3031309749207778,-0.906273095999099,-0.7019124599652479,-0.06354818832789512,-0.36064525409019826,-0.13454404997827757,0.33224551657934637,0.10011348969795072,-0.19891399976389756,0.5153082900171854,0.5322433968688246,0.8181780195517672,0.11164756504971042,-0.7547091792571679
Calmness,-0.47890534585767786,-1.035368891485765,0.1803394104772061,0.22747322045917306,-0.029078897404587366,0.04889090791294625,0.597059086279442,-0.3048977805707356,0.258847809054767,-0.33031884674782724,-0.10500599908186707,0.1716651263449209,-0.3181047165740756,0.3285040066905372
Confusion,0.46614395483712184,-0.09680754921455312,0.04859879627737965,-1.1584245668966622,-0.44486661070320405,-0.0757556962608064,0.0014303538227819082,0.20453624910106183,-0.16748433474263047,-0.13590896615540018,0.13949719377425548,0.8209983987612863,0.033819550615904005,-0.8239099571846459
Contempt,-0.5448254415315321,-0.1371764795340865,-0.2887940197024528,0.33631115506843556,0.4720851893533864,0.22897116355050662,0.9269315303655606,-0.25601205491190077,-1.0456150212373734,0.5501710119412029,-0.4973421000028954,0.08930315466908657,-0.00690634069244689,-1.001254210000208
Craving,0.9412907484980879,0.00290797853716964,0.285583801735811,-0.39823031303934536,-0.2920066739971792,-0.2658278764367638,-0.3264072777545285,-0.2801965204220567,-0.6307551251097796,-0.6380810706346726,-0.21806538353919563,-0.09963060153512099,-0.1344497835677411,0.643972643397529
Disappointment,0.27477882047855934,0.14066624748389267,-1.0228428774259912,-0.6244321933657389,0.12673942892104006,-0.6675270216423513,0.5005547651420742,0.18772865350401927,0.3722206794523525,0.4660354554940898,-0.06966364322448189,1.1329849330513224,-0.5212830187548191,-1.425277879288254
Disgust,-0.26966634177539844,0.06037311042413549,0.7816685193556513,-0.24240283715333938,-0.41241601210528245,0.7037672809249146,-0.28762411196316934,-0.2519288350145448,-0.1320615271891941,0.1555340932303969,-0.3257316972671908,0.18054823065233092,-0.24319959787756024,-1.0997528643803816
Empathic-Pain,0.013805557107761941,-0.5967263863983828,-0.30658238810921995,0.08108084618623895,0.49813129029520253,-0.07089928696368393,0.14805737618311837,0.3205653483071123,0.030005186577172195,0.16107228328288378,0.190994091406001,-0.049512519963916604,-0.17459486265074003,-0.6299848761946811
Entrancement,-0.27010122045270485,-0.10453737096857514,1.0576884882603765,-0.29899040585121794,-0.11329458218947126,-0.09625765897888955,0.0666186174235018,-0.018167365675190894,-0.37679216210607525,-0.3815601389082298,-0.4730193543165727,-0.029701797980048076,0.05588823289349174,0.17299893880558165
Envy,0.5537142068928465,-0.6922192521456731,-0.003404509260317285,-0.7438890289339145,-0.38847149867496233,-0.07784854720956652,-0.1523905917570518,0.4707215370790945,-1.0294689066380647,0.5737752017415083,-0.1710627092604453,-0.3544532040544794,0.1204875235348933,0.3779780112793621
Excitement,0.4938577024115718,1.333540896727184,-0.9670746325140233,0.11997644248598813,0.25483246812403904,2.482255329954927e-06,-0.3141673079585106,0.1997229113516383,-0.4906264682383632,-0.3366192732916378,-0.4800604047518101,-0.3955420429136297,0.7384271891017756,0.06760971978602853
Fear,0.08266044361745077,0.9312312703283583,-0.3064671688208787,0.18211844390886162,-0.06471797139354396,-0.24740666128270522,-0.07887466144024975,0.11759416265068931,0.09275954570530978,-0.10486123620888332,0.010113129452938867,-0.6078275327872367,0.15900749559200814,-0.8087436741057751
Horror,0.037914186571985975,0.9205865169082479,0.05470037843113351,0.016119644166442477,-0.7405564346650976,-0.28929298318725416,-0.5051667985994321,0.0979100501089009,-0.3012725364491551,0.14336265563617182,0.1041971612923722,-0.5004590494329878,-0.4185940915215002,-0.5298802863043108
Interest,-0.049193093700776076,-0.35307401836863805,0.6552898211728475,0.17390681033079006,-0.3651835101414198,0.315680136124912,0.14494941728259966,0.18405273442893402,0.07017944545800024,-0.5245199141737078,-0.28180376518933065,0.34260541456900045,-0.25682230474509227,-0.3844619248319134
Joy,0.17408708710711382,0.2745784340639785,-1.2125279012948857,-0.421462465940609,0.07878276492123247,0.0049058549146906,-0.8376748821904674,-0.22183757661612732,0.1403213092686245,0.19592345327128155,-0.34044708224434267,0.5706535893385085,0.82648083303453,0.7978759699050887
Nostalgia,-0.1730139379227116,-0.6351935235153778,-0.2796814668507031,-0.07943831969314451,0.07321363034020636,0.20441080908151296,0.17151254318950918,-0.02427602573006285,-0.28644638190241234,0.2910571633145946,-0.058288487984998,-0.15817040546039782,0.08172408443115148,0.18981066198127713
Pride,-0.1724960257143434,-0.41100771162005945,-0.8655744165383423,0.28653493620528614,0.3031367008688307,0.16740262453733937,-0.04213753851447901,0.0297825363729641,-0.7096779111626973,1.4902938918536106,-0.558851932192634,-0.47964697500771963,0.15616263470347397,0.37753400826007333
Relief,-0.17201413159820986,-0.11239244494281932,-0.6744142993019872,0.22750117896962452,0.11945409686383739,0.10429346808925936,0.18933847522610364,0.128039538787347,0.25489613574203407,-0.16225326023247966,0.23264548024732565,0.15018596610035506,0.3549389706473133,-0.3309003675426308
Romance,0.8238799200726488,-0.23348784910130613,-0.6102449721017975,-0.3481419021432458,1.05886099466497,-0.3249618481193828,-0.8830673644307835,-0.34959143132038795,0.16657932953020177,0.22409963325765045,-0.38346473469127124,-0.5377660672914955,-0.17736762354524108,0.7424066158534655
Sadness,0.35904447116440064,-1.284769706756927,0.2510460733780515,-0.224022367811858,0.41791946751234593,0.2999615402460542,-0.3405137203102942,-0.1252129632590151,0.11922045068738943,1.1880736472298856,0.19102349714833233,-0.1437578497793952,-0.2615547346380396,-1.338845621708123
Satisfaction,0.08874753385013064,-0.35015881842175534,0.06592281863073135,0.42572548316553294,-0.2504976660430048,0.2490090161039741,0.08861762292008298,0.07291108813105408,-0.2568229104706545,-0.6031834542495963,-0.26601784057894756,-0.15697154967278962,-0.16971837708208806,0.3338542652186716
Sexual-Desire,1.3227837854192737,0.8075407066142433,-0.6479233891398503,-0.33587920474678634,-0.0906837698945774,-0.44748307411307836,-0.3470433653931615,-0.9165162985478701,-0.19263928996948007,0.5369628696869919,-0.6865577035957007,-0.10454198893024333,-0.4627134591288223,0.06922973409166719
Surprise,-0.1973998058753446,0.6698592094059649,-0.32311213905408226,-0.16682559649183087,-0.3811548382207809,0.020971694783973805,-0.1719310123763651,-0.29839636436079026,0.1626902344289473,0.02855152031139462,-0.039602216124449544,0.14582037597142225,0.11526435922290926,-0.14583406711427613
Sympathy,0.5216305696152312,-0.7960749606619638,-0.21802676829996945,-0.06770655222856262,0.4579381402662055,-0.28080859008189046,-0.18118118975847955,0.24560913540808124,0.501008014775925,-0.09231225975479275,0.01729325557045217,-0.09341927450507359,-0.17227969028599868,-0.5686100267218289
Triumph,-0.2989916137196989,0.04236095532562915,-1.0653271446333905,0.3106322928040638,0.46052372786927753,0.4672276305909371,-0.4358079442389757,0.4332374234437317,-0.6527483055454824,0.5255503261962874,-0.20134756166904236,-0.2892419285087929,0.39082193151949945,0.5272270398124357
