emotion,n_samples,approach,arousal,attention,certainty,commitment,control,dominance,effort,fairness,identity,obstruction,safety,upswing,valence
Admiration,255,6.466666666666667,5.419607843137255,7.0549019607843135,7.701960784313726,3.6784313725490194,5.631372549019608,5.337254901960784,4.247058823529412,5.513725490196078,4.2823529411764705,2.070588235294118,5.352941176470588,5.968627450980392,7.0588235294117645
Adoration,287,7.299651567944251,4.0,6.351916376306621,7.930313588850174,3.177700348432056,5.689895470383275,5.43205574912892,2.2473867595818815,5.850174216027875,4.501742160278746,1.2926829268292683,5.770034843205575,6.153310104529616,7.874564459930314
Aesthetic-Appreciation,388,5.966494845360825,4.131443298969073,6.63659793814433,7.729381443298969,2.420103092783505,5.711340206185567,5.358247422680412,2.4510309278350517,5.082474226804123,3.804123711340206,1.458762886597938,5.520618556701031,5.061855670103093,7.0
Amusement,575,6.24,5.201739130434783,6.493913043478261,7.363478260869565,2.6017391304347828,5.398260869565218,5.321739130434783,2.9443478260869567,5.36695652173913,3.8504347826086955,2.219130434782609,5.332173913043478,5.812173913043479,6.923478260869565
Anger,17,2.823529411764706,7.117647058823529,7.294117647058823,6.882352941176471,3.176470588235294,3.176470588235294,3.588235294117647,4.823529411764706,2.411764705882353,3.6470588235294117,6.588235294117647,3.0,2.0,2.4705882352941178
Anxiety,248,2.6129032258064515,7.689516129032258,7.935483870967742,6.137096774193548,2.806451612903226,2.818548387096774,2.9798387096774195,5.100806451612903,3.8911290322580645,3.306451612903226,6.471774193548387,1.935483870967742,2.850806451612903,2.810483870967742
Awe,443,5.469525959367946,6.311512415349887,7.598194130925508,6.970654627539504,2.963882618510158,4.553047404063205,4.568848758465012,3.7878103837471784,5.072234762979684,3.909706546275395,2.600451467268623,3.9164785553047405,5.334085778781039,6.266365688487585
Awkwardness,77,4.207792207792208,5.181818181818182,6.376623376623376,6.675324675324675,2.3636363636363638,4.2727272727272725,4.35064935064935,3.116883116883117,4.8441558441558445,3.3376623376623376,3.779220779220779,4.532467532467533,4.0519480519480515,4.792207792207792
Boredom,17,3.5294117647058822,2.6470588235294117,4.588235294117647,7.0588235294117645,2.0588235294117645,5.882352941176471,5.352941176470588,2.235294117647059,4.9411764705882355,3.2941176470588234,2.6470588235294117,6.705882352941177,3.4705882352941178,4.882352941176471
Calmness,433,5.842956120092379,3.30715935334873,6.011547344110855,7.741339491916859,2.6374133949191685,5.789838337182448,5.413394919168591,2.2702078521939955,5.3140877598152425,3.9630484988452657,1.4249422632794457,5.621247113163972,4.9607390300230945,6.94919168591224
Confusion,58,3.793103448275862,5.293103448275862,6.672413793103448,4.482758620689655,2.3448275862068964,3.9655172413793105,4.155172413793103,3.5517241379310347,4.655172413793103,3.310344827586207,3.4655172413793105,4.0,3.6206896551724137,4.137931034482759
Contempt,7,3.0,6.142857142857143,6.571428571428571,6.571428571428571,3.0,3.7142857142857144,4.428571428571429,3.5714285714285716,2.5714285714285716,3.5714285714285716,5.285714285714286,3.2857142857142856,2.4285714285714284,3.0
Craving,40,7.3,4.3,6.7,8.45,2.4,6.575,5.85,2.05,5.0,3.725,1.125,6.5,5.575,7.525
Disappointment,11,2.909090909090909,4.363636363636363,5.7272727272727275,6.7272727272727275,2.727272727272727,3.909090909090909,4.181818181818182,3.1818181818181817,4.363636363636363,3.090909090909091,5.818181818181818,5.2727272727272725,2.6363636363636362,3.3636363636363638
Disgust,126,2.3412698412698414,6.880952380952381,7.523809523809524,6.944444444444445,2.1984126984126986,3.357142857142857,3.3174603174603177,3.8015873015873014,3.8492063492063493,2.8015873015873014,4.968253968253968,2.746031746031746,2.365079365079365,2.4126984126984126
Empathic-Pain,195,2.9076923076923076,6.953846153846154,7.7384615384615385,6.902564102564103,3.066666666666667,2.830769230769231,3.0,5.041025641025641,3.4205128205128204,3.4923076923076923,6.892307692307693,2.3282051282051284,2.4974358974358974,2.4205128205128204
Entrancement,68,5.8088235294117645,4.911764705882353,7.205882352941177,6.867647058823529,2.8823529411764706,5.029411764705882,4.764705882352941,2.7058823529411766,5.044117647058823,3.7794117647058822,1.661764705882353,5.514705882352941,5.0588235294117645,6.6911764705882355
Envy,0,,,,,,,,,,,,,,
Excitement,201,6.666666666666667,7.8059701492537314,7.82089552238806,6.935323383084577,4.074626865671642,5.014925373134329,5.213930348258707,5.079601990049751,5.393034825870647,4.417910447761194,2.7860696517412937,3.5472636815920398,6.562189054726368,6.855721393034826
Fear,318,2.4339622641509435,8.138364779874214,8.223270440251572,6.119496855345912,2.688679245283019,2.6037735849056602,2.779874213836478,5.210691823899371,3.6226415094339623,3.289308176100629,6.6918238993710695,1.720125786163522,2.7358490566037736,2.660377358490566
Guilt,0,,,,,,,,,,,,,,
Horror,162,1.6481481481481481,8.228395061728396,8.339506172839506,6.5246913580246915,2.2777777777777777,2.376543209876543,2.5246913580246915,5.172839506172839,2.623456790123457,2.950617283950617,7.203703703703703,1.5432098765432098,1.5740740740740742,1.6851851851851851
Interest,813,5.568265682656826,4.966789667896679,6.719557195571956,7.263222632226323,2.7232472324723247,5.464944649446495,5.195571955719557,3.249692496924969,5.109471094710947,3.6408364083640836,2.2300123001230014,5.126691266912669,5.044280442804428,6.239852398523985
Joy,381,7.393700787401575,4.989501312335958,6.488188976377953,7.821522309711286,3.377952755905512,5.889763779527559,5.6745406824146984,2.79002624671916,5.9317585301837275,4.7506561679790025,1.4278215223097113,5.902887139107611,6.698162729658793,7.942257217847769
Nostalgia,54,6.407407407407407,3.8703703703703702,5.962962962962963,7.703703703703703,3.259259259259259,5.87037037037037,5.481481481481482,2.5555555555555554,5.592592592592593,5.462962962962963,1.6851851851851851,5.962962962962963,5.333333333333333,7.074074074074074
Pride,11,6.909090909090909,5.181818181818182,6.909090909090909,7.7272727272727275,5.090909090909091,6.181818181818182,5.909090909090909,4.7272727272727275,6.454545454545454,6.818181818181818,1.7272727272727273,7.090909090909091,7.0,7.545454545454546
Relief,29,6.206896551724138,5.896551724137931,7.344827586206897,7.517241379310345,4.862068965517241,4.379310344827586,4.379310344827586,5.448275862068965,5.310344827586207,4.758620689655173,4.310344827586207,4.620689655172414,7.241379310344827,6.586206896551724
Romance,91,7.395604395604396,4.9010989010989015,6.670329670329671,7.582417582417582,4.945054945054945,5.164835164835165,5.054945054945055,2.4065934065934065,5.428571428571429,5.0989010989010985,1.5164835164835164,5.472527472527473,6.010989010989011,7.736263736263736
Sadness,51,3.4705882352941178,5.1568627450980395,7.313725490196078,6.862745098039215,3.588235294117647,2.784313725490196,2.9607843137254903,4.137254901960785,3.156862745098039,4.2745098039215685,6.372549019607843,3.235294117647059,2.392156862745098,2.4313725490196076
Satisfaction,113,6.230088495575221,4.123893805309734,6.300884955752212,8.097345132743364,2.6194690265486726,6.477876106194691,5.823008849557522,2.5929203539823007,5.168141592920354,3.5575221238938055,1.575221238938053,5.6371681415929205,5.3097345132743365,6.884955752212389
Sexual-Desire,21,7.333333333333333,7.285714285714286,7.333333333333333,7.0476190476190474,4.380952380952381,4.619047619047619,4.809523809523809,2.8095238095238093,5.0,4.333333333333333,1.7619047619047619,4.9523809523809526,5.666666666666667,7.190476190476191
Surprise,482,4.643153526970955,6.676348547717843,7.412863070539419,6.402489626556017,2.6535269709543567,4.168049792531121,4.296680497925311,3.896265560165975,4.7946058091286305,3.4522821576763487,4.053941908713693,3.740663900414938,4.672199170124482,5.153526970954357
Sympathy,148,5.074324324324325,5.216216216216216,7.02027027027027,7.25,3.641891891891892,3.75,3.777027027027027,4.22972972972973,4.722972972972973,4.081081081081081,4.878378378378378,3.885135135135135,4.587837837837838,4.756756756756757
Triumph,51,7.333333333333333,7.196078431372549,7.549019607843137,7.333333333333333,5.490196078431373,5.784313725490196,6.176470588235294,5.803921568627451,6.03921568627451,5.764705882352941,2.411764705882353,4.882352941176471,7.607843137254902,7.7254901960784315
