emotion,n_samples,approach,arousal,attention,certainty,commitment,control,dominance,effort,fairness,identity,obstruction,safety,upswing,valence
Admiration,119,7.100840336134453,6.067226890756302,7.201680672268908,6.882352941176471,5.050420168067227,5.781512605042017,5.1344537815126055,4.882352941176471,5.781512605042017,4.579831932773109,2.302521008403361,6.445378151260504,6.773109243697479,7.394957983193278
Adoration,59,7.576271186440678,4.033898305084746,5.9491525423728815,7.389830508474576,4.389830508474576,4.5423728813559325,3.4745762711864407,1.9661016949152543,6.372881355932203,4.0,1.2881355932203389,8.033898305084746,6.745762711864407,7.966101694915254
Aesthetic-Appreciation,345,6.156521739130435,4.489855072463768,6.449275362318841,6.753623188405797,3.2927536231884056,4.452173913043478,3.979710144927536,2.4521739130434783,5.12463768115942,3.197101449275362,1.6985507246376812,7.420289855072464,5.747826086956522,7.156521739130435
Amusement,580,6.493103448275862,5.386206896551724,6.374137931034483,6.643103448275862,3.4741379310344827,4.803448275862069,4.417241379310345,2.7844827586206895,5.422413793103448,3.3327586206896553,2.3189655172413794,6.839655172413793,6.243103448275862,6.9879310344827585
Anger,36,3.4166666666666665,7.333333333333333,7.722222222222222,6.055555555555555,3.9166666666666665,3.361111111111111,3.5833333333333335,4.333333333333333,3.0277777777777777,3.9444444444444446,6.361111111111111,2.9722222222222223,2.5555555555555554,2.5277777777777777
Anxiety,334,3.595808383233533,7.245508982035928,7.718562874251497,5.2155688622754495,3.9520958083832336,3.0419161676646707,3.053892215568862,4.811377245508982,4.682634730538922,3.4161676646706587,6.059880239520958,2.622754491017964,3.3233532934131738,3.05688622754491
Awe,348,5.724137931034483,6.425287356321839,7.560344827586207,6.169540229885057,3.9597701149425286,3.6867816091954024,3.6695402298850577,3.718390804597701,5.114942528735632,3.617816091954023,3.1264367816091956,4.830459770114943,5.709770114942529,6.25
Awkwardness,104,4.798076923076923,5.451923076923077,6.471153846153846,5.990384615384615,2.9038461538461537,4.096153846153846,3.9038461538461537,2.701923076923077,4.961538461538462,3.3173076923076925,3.3365384615384617,5.634615384615385,4.538461538461538,4.990384615384615
Boredom,24,3.5833333333333335,2.625,3.75,6.625,2.5,5.125,4.458333333333333,2.2083333333333335,5.083333333333333,3.125,2.2916666666666665,7.458333333333333,3.4166666666666665,4.583333333333333
Calmness,436,5.995412844036697,3.6811926605504586,5.798165137614679,6.940366972477064,3.5,4.853211009174312,4.1536697247706424,2.341743119266055,5.3463302752293576,3.4288990825688073,1.658256880733945,7.559633027522936,5.552752293577981,6.988532110091743
Confusion,42,4.0476190476190474,5.714285714285714,6.761904761904762,3.880952380952381,3.0952380952380953,3.5,3.5,3.7142857142857144,4.857142857142857,3.0476190476190474,4.166666666666667,4.666666666666667,3.7857142857142856,3.9047619047619047
Contempt,2,3.5,5.5,6.5,6.5,4.0,5.0,6.0,3.0,3.0,5.5,4.0,5.0,3.0,3.5
Craving,50,7.48,5.46,6.48,7.58,3.28,4.68,4.08,2.04,5.08,2.86,1.48,7.78,6.5,7.66
Disappointment,6,4.166666666666667,5.166666666666667,6.666666666666667,6.166666666666667,4.166666666666667,3.8333333333333335,4.0,4.333333333333333,5.0,4.0,5.5,6.666666666666667,3.3333333333333335,4.0
Disgust,157,2.554140127388535,6.617834394904459,7.439490445859873,6.592356687898089,2.6878980891719744,3.0445859872611467,3.089171974522293,3.1146496815286624,4.210191082802548,2.7197452229299364,4.528662420382165,2.9554140127388533,2.4203821656050954,2.21656050955414
