emotion,n_1,n_0,approach,arousal,attention,certainty,commitment,control,dominance,effort,fairness,identity,obstruction,safety,upswing,valence
Admiration,119,1968,0.8341144089066369,0.05944128740155007,0.2230700931308419,0.48413478919044994,0.9968997809039591,1.1509899355821616,1.0107542524399302,0.8742003936392071,0.7414517461310283,0.9364197566930035,-0.49289736712800025,0.41031152326310266,0.8546037383890601,0.7759673282412716
Adoration,59,2028,1.0569393449973592,-1.1490240773123632,-0.9415582284179623,0.9219443297424286,0.4192037460631312,0.21123216764886335,-0.4293481517025052,-0.8748499687725053,1.371988753789618,0.3840703226582804,-0.9701326467700909,1.0816085145916001,0.8061410998369936,1.0107337307681388
Aesthetic-Appreciation,345,1742,0.35860533504984715,-1.0825434777868561,-0.5619584688167241,0.41719228141600917,-0.5373018542940993,0.17255642725716874,-0.008527629979553721,-0.7012710256589917,0.012524444923195027,-0.370865982206201,-0.9404128672066632,1.0018741286984831,0.31844410241259413,0.767969395251559
Amusement,580,1507,0.6744688234553556,-0.46702116592577314,-0.7706475058719894,0.3505368292498172,-0.42270710896689756,0.5458316800999353,0.4923651902972688,-0.5392579784787664,0.4493421336517609,-0.2676850756108462,-0.6555691329012633,0.8042719188832863,0.7580871556007823,0.7987968711499952
Anger,36,2051,-1.1135392636040764,0.7916633312323129,0.6876196505355171,-0.2545385152406922,0.04215051703841211,-0.6113970416393627,-0.33416436003660394,0.5072559287879169,-2.289037536484114,0.33148862442770133,1.465344180867106,-1.0627668743097403,-1.423407143701872,-1.447125037886315
Anxiety,334,1753,-1.3116300007911907,0.9087038036219464,0.8339010416558623,-1.2667285198181975,0.08188488750504512,-1.040067238712454,-0.9546550238297736,0.9702115597070438,-0.5415563950755198,-0.14469355144828006,1.8279627160827712,-1.634363779825491,-1.2927126195504444,-1.6154181086713384
Awe,348,1739,0.09482926796995642,0.3130123876006598,0.6535468068657815,-0.18404723473897378,0.089660652674886,-0.4593618882009678,-0.3120603515243957,0.1800073768843462,0.0005257796350038167,0.05905339180032943,-0.0971311073517403,-0.33251713765719154,0.2950993782375686,0.2677244007389531
Awkwardness,104,1983,-0.4092965268948163,-0.30887110529734446,-0.46512196508303305,-0.3222888137421234,-0.7899890196493938,-0.10380610558713223,-0.0721538565321846,-0.4496222263729743,-0.1664374747043317,-0.215974092194672,0.017101904709809913,0.05657786195032386,-0.3770942549139593,-0.3441392102746419
Boredom,24,2063,-1.0166175315517494,-1.9591052752623377,-3.041779912138888,0.2374497755246056,-1.070385576264035,0.6100186778118702,0.3852045917223584,-0.7145832260112663,-0.03259155230755265,-0.37221523394937195,-0.4728321809389739,0.8115684100874381,-0.9488721462523699,-0.5097887359102484
Calmness,436,1651,0.27419048249990263,-2.1994296059867193,-1.5521256402826642,0.65829920285435,-0.35760398195640136,0.5392959970454382,0.1694699668006367,-0.8400735749570708,0.3050421993566056,-0.1400309981374017,-1.0430767315011205,1.1784095122779605,0.20777110230751503,0.7152628891153928
Confusion,42,2045,-0.7857320690137103,-0.14705397223469072,-0.18486935247846648,-2.2483843621667345,-0.6064927595194998,-0.5161231022012505,-0.4043448079782952,0.15039288877128765,-0.27154647855463243,-0.4428460112457317,0.4089119175775553,-0.3493620779695381,-0.7632951296946423,-0.8202174782665795
Contempt,2,2085,-1.0425744728269983,-0.2658232036894903,-0.4144696049411049,0.12838041021656668,0.10579941959215358,0.5172049755313445,1.6324825892453079,-0.2568683503661535,-2.1915779403208098,1.6449089167514035,0.3232980795893461,-0.20586252745862904,-1.1489955864073347,-0.9759177097378534
Craving,50,2037,0.9982437575230624,-0.29561560365567274,-0.4434438724109291,1.0879183603175226,-0.4618206602539288,0.3064891672001451,0.07591699075362535,-0.825653764466515,-0.03653602715750461,-0.6089422567657873,-0.8703227284355396,0.9638943866830685,0.6696827448779079,0.8634080604573354
