emotion,n_1,n_0,approach,arousal,attention,certainty,commitment,control,dominance,effort,fairness,identity,obstruction,safety,upswing,valence
Admiration,223,1933,0.13580793794539542,-0.18473119596686596,-0.12225875278085194,0.06358961327300253,0.12898728090522918,0.15993314871928907,0.09222221936397308,0.06622163594627302,0.07429875715448364,0.04981385053043691,-0.2334854249889301,0.18455419089171982,0.1529342312532376,0.2040963444603523
Adoration,138,2018,0.08799725381282855,-0.2921518106374307,-0.1608728731472961,-0.018126229860492154,0.004637005942040608,0.024816054200947204,-0.11950950197349679,-0.11904897992974597,0.009301127912591745,-0.016639743716947535,-0.16067682508751968,0.11003364173685069,0.017606380557826005,0.08858468332250706
Aesthetic-Appreciation,386,1770,0.09981138482499219,-0.1265878051866579,-0.01649104774998926,0.04191746457439532,-0.029874619908186593,0.013744653193918835,0.05904861253723849,-0.08661000291613676,0.03149483033878716,0.005529589548568418,-0.12652644960020143,0.15480302055831643,0.05404877615919767,0.1538262908519145
Amusement,502,1654,-0.06135165266633956,-0.14027536905210242,-0.18743159029577117,-0.11555675969396095,-0.18714653315587057,-0.029706893381531,-0.03888532464422005,-0.11368624912115656,-0.054950945368835054,-0.20291282577789777,-0.1711402838458835,-0.010457843136096495,-0.005464847873575586,-0.008172516218417901
Anger,28,2128,-0.2911830134772168,-0.49778150479618893,-0.3222725798755773,-0.2765857255664054,-0.18646135856607673,-0.337707426715698,-0.4907831590703812,-0.4826483692652577,-0.45435240715894964,-0.21498787167428227,-0.2113320046269784,-0.08263284771732532,-0.3730858386817046,-0.3291203562801559
Anxiety,223,1933,-0.1851135215137708,0.2732873987744223,0.15425479934670566,-0.0631293751450855,-0.04900745057525666,-0.1040782007048276,-0.057677559655402395,0.18383500845584003,-0.10516362015708691,-0.03310279828681294,0.3287178041659601,-0.2805058196766672,-0.18702586819468567,-0.2569390645545577
Awe,486,1670,-0.019616439457445234,0.10808530196277567,0.08568162192741227,-0.0730345858965239,-0.04738584491150747,-0.05776482743000109,-0.013533642828182422,0.12322068721554852,-0.07228911626497421,-0.03769043685359345,-0.0026726900438269353,-0.12079421389272127,-0.003421743552244466,-0.01863145493883685
Awkwardness,81,2075,-0.14795458547380816,0.0006064402923792136,-0.010439787033004484,0.0710408508895458,-0.20596205333459638,0.035086120385834675,0.14651709170625327,-0.01273784797182025,0.01732833176764207,-0.07544256749901902,0.02028923182528614,0.028477776682387202,-0.10141276947185751,-0.10487370014802588
Boredom,13,2143,0.0019880331465511156,-0.6883122358187626,-0.7264195133354504,-0.05723627213502332,0.07954691844098488,0.13475159586257146,0.23893217419644647,-0.16732800240737494,0.05747167004134052,-0.21344894920712537,-0.101812164518449,0.2457329935225748,-0.06850723140734227,0.005320807716864018
Calmness,521,1635,0.05029422667733498,-0.3756552411213807,-0.18649904345496493,0.01791896103521994,-0.05626242777552733,0.10265210955057695,0.041116816412054856,-0.18332118492408367,0.06881097538723979,-0.0413556199815592,-0.206678060207959,0.2079891780306965,0.025344602141415516,0.13513258240260181
Confusion,37,2119,-0.22852778534721932,-0.28307072898369706,-0.19329817613855432,-0.34832373634907166,-0.19354219561141045,-0.16757609514191565,-0.1703941153660814,-0.26294155853340695,-0.20037054420057027,-0.2366685568578289,-0.16467360014278293,-0.06955975509073155,-0.3511737552056982,-0.19472231629156986
Contempt,5,2151,-0.5699541469567121,-0.1881114783084605,-0.027568078915867877,-0.19845977431298667,0.1355033277767913,-0.6273541477796151,-0.2842976169613163,-0.4769011376437484,-0.738245602189095,0.0894648973177298,-0.029494908127884734,-0.14257747167386348,-0.540464080840905,-0.7126850563316627
Craving,45,2111,0.2507034486462348,-0.025107824014401835,0.05214014239732299,0.11499397097084595,-0.08961425215299208,0.010435687000939295,-0.02357260072597267,-0.09028275342308664,0.12587119249891995,-0.028546500729219135,0.06258995007351974,0.19015083976013195,0.10395821411700305,0.17711145835310332
Disappointment,6,2150,-0.6162297689391507,-0.5700394455778575,-0.6039199600708728,-0.5345217246403785,0.19654081458668557,-0.5150309447307589,-0.19732778325519204,-0.47714815486243406,-0.6635991228926508,0.03913399420636199,0.048457903051346174,-0.006815310435415468,-0.5704484843547157,-0.6753931308633621
Disgust,115,2041,-0.26032839176777467,0.1914218528494873,0.13335965510628756,-0.008561166737874708,-0.1001516237959178,-0.13012126887838737,-0.1920794502006566,0.05166423560044619,-0.06201950249018283,-0.030295026910372634,0.08677090591939285,-0.20476559112205586,-0.23148328035943166,-0.2962919188168224
Empathic-Pain,93,2063,-0.10439209425583702,0.2909463785776789,0.2975335963013059,0.21634580043613882,0.2358328680227834,-0.07633294075821197,-0.1031915027724506,0.26403204922475165,-0.10551400153275887,0.2612966169021953,0.7334531949723929,-0.21278172625258443,-0.20556185970425617,-0.31823020716198364
Entrancement,88,2068,0.14060317151427082,0.11447596939850439,0.20497118252500424,0.032629301105941436,0.18644302309957336,0.06959255819029653,0.1395785925367671,0.06791031215657084,0.09174545292989247,0.1180813338410263,-0.027915757470291756,0.09942534427573023,0.004612257300396812,0.1297002315889175
Envy,0,2156,,,,,,,,,,,,,,
Excitement,303,1853,0.105395691127056,0.15794098520543018,0.014829680329685874,-0.00530269621060804,0.014413889826833608,-0.004915233654260188,0.04117952358063707,0.1029627099778139,-0.0033906471620527884,0.013579774227049467,-0.07367196514044311,-0.07531218995205419,0.1495123638462154,0.1067674227234883
Fear,351,1805,-0.20853749517628203,0.3197028636938352,0.18894914096351195,-0.04417977854987808,-0.05453372530915902,-0.14762242582193846,-0.14213465380469478,0.15975137421416388,-0.13408175036070696,-0.0021038356087300105,0.3686681848217211,-0.30737935066303834,-0.18442035998763698,-0.26698478130659997
Guilt,0,2156,,,,,,,,,,,,,,
Horror,191,1965,-0.348224566719944,0.34709701151218986,0.22461894076746344,0.03214502865033689,-0.10107949096929544,-0.18973934407727353,-0.19248502696046332,0.1250555221505919,-0.19367166025858543,0.14393312692930887,0.39833963546588713,-0.333259252390408,-0.3572633658391803,-0.4235765262224979
Interest,701,1455,-0.05335510000058943,-0.18274253420968856,-0.1634036552628644,-0.12242230884720433,-0.07075799873671863,0.020754993707292703,0.014538369651329642,-0.1084780719102015,-0.052053914616601596,-0.10102610136757856,-0.1353348492906536,0.046291303187842754,-0.07331489949111537,-0.029998439622739983
Joy,468,1688,0.1050573218845399,-0.13509059188313674,-0.17596226568539297,-0.03690991885690433,0.04623979165632247,0.06390684922939095,0.009982922621131282,-0.1394701289757249,0.06380780737742948,-0.02624203217273102,-0.24830973172701046,0.056865300230932475,0.11899911786173663,0.12264400627275121
Nostalgia,79,2077,0.16544397323919857,-0.0898176391503981,-0.05293819941794742,0.06190174839604362,0.2436355509263527,0.13055941735243004,0.11813775928477148,0.06110849438135582,0.20218366780950164,0.3249255300020923,-0.18236077270745818,0.16695580409358401,0.18906068293538494,0.17171454611127432
Pride,28,2128,0.4216378296928633,0.03410380024398426,-0.002284099883971733,0.16606361152236088,0.706792454402549,0.2716788932821789,0.3823400241077144,0.12443186178196888,0.3170141253663843,0.631867546384099,-0.27470360757837947,0.3319664868655165,0.5271277915945806,0.36394160182035284
Relief,110,2046,0.16848485910503183,0.09519303755731806,0.07685223028646093,0.09680443247636669,0.19505131720799132,0.15776430199111655,0.09424958529332231,0.12808093391127023,0.11557030372650198,0.10129853932847137,0.06954937305197723,0.08368014893374716,0.24833730625357014,0.13560577757885264
Romance,94,2062,0.20315479414082024,0.0060411470696063,-0.05431945182231948,0.058231918812085885,0.34099454607427704,0.06851868939663835,0.1179015191551709,-0.08729811952192737,0.14178359561175197,0.054775938847859834,-0.10084029302366651,0.15870474144331867,0.17374730180235898,0.16456524841977427
