emotion,approach,arousal,attention,certainty,commitment,control,dominance,effort,fairness,identity,obstruction,safety,upswing,valence
Admiration,-0.06253369059956398,-0.13507699015684507,-0.09200404842966708,0.11396667129965203,0.10144842250309108,0.04620510960080741,-0.1403493948158814,0.21012990553585276,-0.0703397224827777,0.06324711017115993,-0.10192845188053837,-0.03543207267548451,0.0463536609711909,0.08510881778455957
Adoration,0.3406655718478379,-0.19841167820783667,-0.030176558477159193,-0.005267381090166068,-0.15106081800932547,0.09962182239287588,-0.41527745739639355,0.12874410383000007,-0.026769935727030764,0.2211670026210695,-0.06719658899298454,-0.032949997867934906,-0.12329452381537252,0.06409596750971469
Aesthetic-Appreciation,-0.041762443972393086,-0.15485141565541552,0.1895219721132036,-0.059276135584193194,-0.08194371778450742,-0.23946017488901064,0.18799329451212896,-0.0100203820032028,-0.08258490402806051,0.014687923406164018,0.005355304561991998,-0.04709706615774596,-0.24296011372801601,0.42720148587009155
Amusement,-0.12059541300432805,0.05996846879452452,-0.10137881186268109,-0.033882444385678064,-0.18737882989955465,0.02511085240375995,0.0487838556652803,0.02698687184078497,0.11811803960171754,-0.09778029783968327,-0.03510527802879359,-0.040244714010023955,0.07586396011455526,0.05857966256078377
Anger,0.3021462125588569,-0.3804733281430054,0.6941713006512257,0.10856277500186859,-0.18142976112348783,0.24185185716227356,-0.7167855266087685,-0.8327897336588116,-0.5356937528544194,0.25074741098909786,-0.20652790973468846,0.2960201333082265,0.1020545669768437,-0.5686225914966291
Anxiety,0.07753623255856515,0.17717251376025564,-0.018626018005185846,-0.07668153845971509,0.03593349689318308,0.16067119438039984,0.0688557630134207,-0.030211394003286242,-0.047856055119395405,-0.13321987779884029,0.012693180919094535,0.04342637814771833,-0.052998374811724605,-0.20351827329760208
Awe,-0.0007485088746332558,-0.024914674255495973,0.19809105455509382,-0.12528188766749598,-0.10225423124956276,0.0019452877509420553,0.0537144723935399,0.07818221081959084,-0.1482359901227963,-0.042937183564734756,-0.09083720314061362,-0.08822828734534247,-0.017888949894255435,0.15855329314003347
Awkwardness,-0.22237619307297202,0.038046382666807696,-0.05234305708750445,0.07417649707266726,-0.16214139220898008,-0.3626538285900932,0.6585215348730917,0.06804878524473434,0.17579072027492865,-0.2632522310087291,-0.17428080327900403,0.12504785660672285,0.09788299671346924,-0.276161741990656
Boredom,0.8366204830142189,-0.17517970434648336,-1.4381740682703288,0.43454163302083093,0.07771030463999722,-0.6182450376045067,0.9123468231198952,0.403900587061275,0.12368706935171093,-0.39696563542533153,0.2716685123222112,0.31174432091722004,-0.13054506590192252,-0.5946186043758975
Calmness,-0.09202449124544963,-0.3740512928166207,0.135198673270766,0.017084921160183137,-0.08270338835940091,-0.049465503033705276,0.08258880338293528,0.057552532790378697,0.10251646213432485,0.021683586778389403,0.06285758676972943,-0.07464630756750858,-0.05352105986245413,0.21072957865108063
Confusion,0.19498445432751604,0.07911999556804128,0.35019908821297874,-0.37159306031189726,0.09011518043178574,-0.021054833676966336,0.20094084536470078,-0.25028210290579733,0.04154607860544673,-0.14557849375492057,-0.26953164471787844,0.09847979328474986,-0.881673252285942,0.27193338585734445
Contempt,-0.22001496066201678,-0.24875076908780172,1.0245832399245514,-0.008899294134996193,0.34544914352105816,-0.8460444041020344,0.24262089755847233,-1.4496043069824174,-1.0141993352275478,0.10581101852140351,-0.5153278240452731,0.7094086492879627,0.36981091516704695,-0.7632812623450601
Craving,0.7474193511324709,-0.04522702250063345,0.051710441057727,-0.14079673501553228,-0.6489514615438142,-0.07156128125535562,-0.22411749340233036,-0.16099098486826457,0.11296630107472329,-0.030628888368839865,0.1544295272312534,0.041141438271445514,-0.3519622476891035,-0.023012321815839402
Disappointment,-0.5262532653726827,0.22306733225384726,-0.20635449956067226,-0.32779023155321646,0.3291302684358342,-0.8124589648018413,0.42472229021955954,-0.9633571375946771,-0.6640397849508197,0.44168369610166147,-0.08206728063450812,1.4144272016862538,0.31722082265037166,-0.7500315932151234
Disgust,-0.1491142378645173,0.1648590429662876,0.08194029085875558,0.07140193329899537,0.06049023893567198,0.12052570914936868,-0.331164831951742,-0.1364355840380521,0.1556206580979128,-0.034028018746144084,-0.24711679013284532,0.16279107460242953,0.0666124474845409,-0.37663929449777944
Empathic-Pain,0.22868997040449762,-0.061271679472630916,-0.035394514888227174,0.29537723767655544,0.17887304099514822,0.14825132840073868,-0.18088310857968407,-0.0666521482578957,-0.23303161376978024,-0.04210043635473892,0.15988799552144695,0.01457450828240563,0.28735239512491295,-0.571470860293638
Entrancement,0.11197317537353896,0.07763489618214921,0.3255156101175707,-0.27227523902271367,0.2195270157260384,-0.03574138743070144,0.07806134390037714,-0.08804655797431446,-0.02775767683299027,-0.08219560559806198,-0.2192190339868468,-0.014532198975352552,-0.801324508843744,0.5245103400011338
Excitement,0.05186160013556234,0.29186204731414017,-0.36205590293658985,0.06444020171576038,-0.12527626639906034,-0.049717783677475966,-0.0018028568140386718,0.08425550601876236,-0.14768871045047194,0.09142018529330626,-0.06455922081227915,-0.22169612811910142,-0.10608488286191362,0.4036660210052724
Fear,-0.1552065256896174,0.21285173259869203,-0.025571775283250973,-0.04716125832381484,0.030205294612231752,0.2335489040373178,-0.1983644977829556,-0.07850490833771898,-0.034583955289728886,-0.06794892036262967,0.07510732489040135,0.029798869313513974,0.1381035538095471,-0.09007769753761433
Horror,-0.13377956985232323,0.26687060131177986,-0.07784735467896738,0.0052604544646648625,-0.11740103853541388,0.23715325760466074,-0.2650789320169125,-0.06145579817807755,-0.02330655364516631,0.26887689216539695,-0.048996966156207536,0.14944039365347936,-0.008384463128187589,-0.24148309810985083
Interest,0.04244410960362849,-0.04245003056335656,0.03378558775936484,-0.12249116858640179,-0.03804535439807154,0.020537788795389113,0.16378900312593078,0.011202394570078667,0.041547215474042394,-0.028582378732431045,-0.040558675636089864,0.08854546566371138,-0.07719105723729307,-0.09620725281393891
Joy,0.09968785179111075,0.07695686105830896,-0.2669636605065446,0.046920427964347526,0.03918687425384149,0.16954214933512596,-0.2164038754007926,-0.02718463557124742,0.14874956935502953,0.11508398902652431,-0.09699586190011134,-0.20613214784452683,-0.054247820930183446,0.11837604721359543
Nostalgia,-0.03169298454468521,-0.09025666103233915,-0.15096428110345939,-0.0030949457933011036,-0.10632787768697434,-0.11429045294783777,-0.15576187466354374,0.18855735311076507,0.1655515718319036,0.4267607297685406,-0.2139342502225482,0.010115524406448367,0.25374623588278045,-0.19462231526641857
Pride,-0.028793170418991276,-0.20407664690535046,-0.29712726845367887,0.022135136786592496,0.04955948802144708,-0.3917620342172415,0.08252268335071969,0.1980650590706821,-0.3933510845580561,0.5373295840552851,-0.2053201593306263,0.11929633933454228,0.8886430754263233,-0.39991073508492064
Relief,-0.05007728793317032,-0.10523401592308868,0.03023239097700837,0.059688269743951354,0.1711651044980377,0.18707763882213121,-0.2591680955482585,-0.029622924808571698,-0.03985415312031743,-0.19895994271439071,0.08618423800484308,-0.05447901590163766,0.5433914327687793,-0.29349599492353223
Romance,0.1440355108281794,0.28600862952076156,-0.3855123699189651,-0.015525052553815609,0.3903317381991542,-0.21382307390400226,0.2412738272423347,-0.14381257902672126,0.07964203827038085,-0.23798929530425697,-0.03545435574443998,0.06906402127240081,-0.18860062916964135,0.05006692167668492
Sadness,0.20081651767990896,-0.2592198550317424,0.28137638397068976,0.21323422903566566,-0.08461954411940688,0.1812638371553915,-0.16726981681327846,0.02216847510163196,-0.3105071576042853,-0.04461654373949564,0.12123143234858792,0.2035285098200162,0.20660459847198182,-0.5872939437041065
