emotion,n_samples,approach,arousal,attention,certainty,commitment,control,dominance,effort,fairness,identity,obstruction,safety,upswing,valence
Admiration,130,7.015384615384615,5.776923076923077,6.769230769230769,6.930769230769231,4.407692307692308,4.953846153846154,4.561538461538461,3.7615384615384615,5.6692307692307695,4.376923076923077,2.5538461538461537,6.384615384615385,6.515384615384615,7.030769230769231
Adoration,114,7.754385964912281,3.982456140350877,5.464912280701754,7.631578947368421,3.692982456140351,4.93859649122807,4.157894736842105,1.868421052631579,5.754385964912281,3.736842105263158,1.4210526315789473,7.754385964912281,6.5,7.780701754385965
Aesthetic-Appreciation,283,6.480565371024735,4.120141342756184,5.978798586572438,7.063604240282685,2.8480565371024733,4.392226148409894,4.180212014134276,2.2190812720848054,5.031802120141343,2.9823321554770317,1.6890459363957597,7.46643109540636,5.41696113074205,6.918727915194347
Amusement,573,6.50261780104712,5.287958115183246,6.075043630017452,6.56544502617801,3.1605584642233855,4.7434554973821985,4.486910994764398,2.4205933682373475,5.287958115183246,3.235602094240838,2.5654450261780104,6.5724258289703315,5.872600349040139,6.647469458987784
Anger,29,3.0689655172413794,7.068965517241379,7.482758620689655,6.241379310344827,4.241379310344827,3.103448275862069,3.2413793103448274,3.8275862068965516,2.7241379310344827,3.8620689655172415,6.620689655172414,2.793103448275862,2.2413793103448274,2.103448275862069
Anxiety,362,4.04696132596685,6.922651933701657,7.44475138121547,5.138121546961326,4.082872928176796,3.2679558011049723,3.196132596685083,4.19060773480663,4.773480662983426,3.2569060773480665,5.649171270718232,3.0027624309392267,3.925414364640884,3.654696132596685
Awe,301,5.78405315614618,6.431893687707642,7.431893687707642,6.2724252491694354,3.5348837209302326,3.4086378737541527,3.46843853820598,3.0697674418604652,5.016611295681063,3.4086378737541527,3.249169435215947,4.578073089700997,5.438538205980066,5.9933554817275745
Awkwardness,153,4.934640522875817,5.444444444444445,6.209150326797386,5.928104575163399,2.973856209150327,4.026143790849673,3.915032679738562,2.5947712418300655,4.947712418300654,3.2287581699346406,3.5098039215686274,5.751633986928105,4.379084967320262,4.993464052287582
Boredom,36,3.8333333333333335,2.611111111111111,3.8055555555555554,6.638888888888889,2.4444444444444446,5.083333333333333,4.75,2.3055555555555554,5.027777777777778,2.638888888888889,2.5,7.472222222222222,3.4166666666666665,4.583333333333333
Calmness,421,6.2992874109263655,3.5296912114014254,5.2826603325415675,7.201900237529691,3.147268408551069,4.864608076009501,4.4133016627078385,2.1947743467933494,5.1876484560570075,3.178147268408551,1.7363420427553444,7.491686460807601,5.294536817102138,6.710213776722091
Confusion,115,4.104347826086957,5.147826086956521,6.304347826086956,3.8260869565217392,2.9478260869565216,3.765217391304348,3.747826086956522,3.373913043478261,4.904347826086957,2.791304347826087,3.6956521739130435,5.217391304347826,3.5565217391304347,4.017391304347826
Contempt,0,,,,,,,,,,,,,,
Craving,55,7.7272727272727275,5.109090909090909,6.036363636363636,7.836363636363636,3.090909090909091,4.890909090909091,4.636363636363637,2.036363636363636,5.036363636363636,2.8545454545454545,1.6545454545454545,7.509090909090909,6.181818181818182,7.381818181818182
Disappointment,9,3.5555555555555554,5.444444444444445,6.0,5.666666666666667,3.7777777777777777,3.111111111111111,3.2222222222222223,3.4444444444444446,4.666666666666667,3.7777777777777777,6.0,5.777777777777778,2.888888888888889,3.2222222222222223
Disgust,152,2.526315789473684,6.453947368421052,7.276315789473684,6.381578947368421,2.7960526315789473,3.098684210526316,3.111842105263158,2.8026315789473686,4.5131578947368425,2.7960526315789473,4.546052631578948,3.1973684210526314,2.5592105263157894,2.289473684210526
Empathic-Pain,106,3.3867924528301887,6.9245283018867925,7.660377358490566,5.962264150943396,4.09433962264151,2.7830188679245285,2.7641509433962264,3.8962264150943398,4.09433962264151,3.4056603773584904,6.632075471698113,2.481132075471698,2.5849056603773586,2.19811320754717
Entrancement,107,6.457943925233645,4.925233644859813,6.775700934579439,6.747663551401869,3.4299065420560746,4.186915887850467,4.046728971962617,2.196261682242991,5.018691588785047,2.9906542056074765,1.8130841121495327,7.046728971962617,5.299065420560748,6.457943925233645
Envy,1,6.0,5.0,6.0,8.0,3.0,4.0,4.0,2.0,5.0,3.0,2.0,8.0,5.0,6.0
Excitement,321,6.595015576323988,7.457943925233645,7.4766355140186915,6.065420560747664,4.395638629283489,4.277258566978193,4.361370716510903,3.6448598130841123,5.314641744548287,3.866043613707165,3.4018691588785046,4.806853582554517,6.29595015576324,6.404984423676012
Fear,389,3.190231362467866,7.789203084832905,8.005141388174808,5.213367609254499,3.9588688946015425,2.7789203084832903,2.7789203084832903,4.347043701799486,4.629820051413882,3.2056555269922877,6.087403598971722,2.0488431876606685,3.341902313624679,3.0025706940874035
Guilt,0,,,,,,,,,,,,,,
Horror,151,2.019867549668874,7.741721854304636,8.013245033112582,5.827814569536423,3.403973509933775,2.4304635761589406,2.4701986754966887,3.9271523178807946,4.026490066225166,3.033112582781457,6.52317880794702,1.6490066225165563,1.781456953642384,1.5827814569536425
Interest,907,5.716648291069459,5.1609702315325245,6.33406835722161,6.3109151047409044,3.254685777287762,4.424476295479603,4.210584343991179,2.7662624035281147,5.103638368246968,3.0,2.7563395810363835,6.122381477398015,5.025358324145535,5.770672546857773
Joy,415,7.525301204819277,5.233734939759036,5.9397590361445785,7.202409638554217,3.9493975903614458,5.31566265060241,4.879518072289157,2.3710843373493975,5.710843373493976,4.014457831325301,1.8289156626506025,7.462650602409639,6.83855421686747,7.636144578313253
Nostalgia,27,6.333333333333333,3.5185185185185186,5.2592592592592595,7.037037037037037,3.4074074074074074,4.814814814814815,4.407407407407407,2.4444444444444446,5.296296296296297,4.37037037037037,2.1481481481481484,7.37037037037037,5.407407407407407,6.555555555555555
