emotion,n_1,n_0,approach,arousal,attention,certainty,commitment,control,dominance,effort,fairness,identity,obstruction,safety,upswing,valence
Admiration,130,1957,0.77730422189981,0.00864724042296652,0.09666627963724482,0.48297596123093073,0.6941355614229291,0.635089977101411,0.567690460003154,0.5371812374714008,0.7866251591185996,1.006609726947854,-0.42839871464158324,0.42442593854057153,0.9241978982875668,0.7763233362837352
Adoration,114,1973,1.1875435515348727,-1.116928699700496,-1.0457664371369557,1.0317087198678692,0.06252135585688595,0.6169494416189952,0.18294104221959956,-0.8110994886425411,0.8917422617611572,0.36741155781591167,-1.0119739505171106,1.04976169189461,0.903965219262649,1.1680425597746
Aesthetic-Appreciation,283,1804,0.5295156244417109,-1.1779984875698255,-0.6484411439781529,0.6451857519102318,-0.752540112629918,0.21137032446844672,0.2232363354829748,-0.6170839927815959,-0.041420256949861116,-0.38143985417902154,-0.9843821750414331,1.0382860562714082,0.2628016133484547,0.7948202762155553
Amusement,573,1514,0.6632295896641858,-0.38170834022711714,-0.6760594065496949,0.2627648018551438,-0.5313767761069299,0.6244936451927761,0.6640026308335923,-0.5514392478620004,0.377128251878036,-0.13949982244216033,-0.5600088262168318,0.6830792201277233,0.6976968725644904,0.7821384113208847
Anger,29,2058,-1.2779422256770034,0.7644610793947146,0.6778797912623843,-0.042357189415766605,0.5143620293720946,-0.7639655312021962,-0.6430494145059261,0.5520655441934945,-2.9972463455006593,0.4649870741504857,1.5598072957860933,-1.122066462305566,-1.6149811695577803,-1.648202950062985
Anxiety,362,1725,-0.9808076936136711,0.8471648385752666,0.8039794993368158,-1.0835152854131571,0.46313233097422074,-0.7979265054887458,-0.854662749859931,1.0158866243924214,-0.4214239977457753,-0.0992768709094089,1.460321824134458,-1.378352649934086,-0.7754927200672154,-1.1449125843145624
Awe,301,1786,0.12160679506659819,0.45515212308864983,0.7560702420242346,-0.02293825160704655,-0.0816243497984241,-0.6339254459573835,-0.5140007543106699,0.04843092866861096,-0.06302538037092952,0.06236344386767399,-0.08482570359691188,-0.419371820343041,0.2799473104715917,0.2685947470831815
Awkwardness,153,1934,-0.3450416178981667,-0.19775670516172422,-0.39192129859835295,-0.2869407136797527,-0.575406599727254,-0.08923724652442837,-0.04375632421548777,-0.2955769403036437,-0.14699283482198353,-0.11563467767454551,0.053981546016568335,0.14339036414622963,-0.38952231174098945,-0.25978683815757064
Boredom,36,2051,-0.8872356979325156,-1.899123925001268,-2.4582455215978816,0.24606362616479271,-0.9838497395592235,0.6971630056312061,0.7080952687085476,-0.4736677981628218,-0.041314182828768746,-0.646710874666207,-0.4330452346291487,0.8684032273900701,-0.9243886987818061,-0.4408936168246574
Calmness,421,1666,0.4588289065959962,-2.105784328163242,-1.6735352256225147,0.8514875991269574,-0.4927991986502701,0.6805482764122894,0.507759707630162,-0.7000277284408012,0.18859419464683538,-0.191294259351857,-1.068790318455745,1.1882268637471292,0.197546080832731,0.7383537476277786
