emotion,approach,arousal,attention,certainty,commitment,control,dominance,effort,fairness,identity,obstruction,safety,upswing,valence
Admiration,-0.07029438449590208,-0.15213594631631427,-0.13188187620105413,-0.00088944346979268,-0.1450797450805673,0.08665969176558651,-0.4007323873143627,0.6257261900397422,0.09289375478240924,0.5009236033040827,-0.5346656884258444,-0.12264995183697434,0.3400095739718825,0.1324229056293132
Adoration,2.057207457169398,-0.8156910385365707,-0.6708958202522126,-0.509057618841523,-0.056750006312112945,0.3987466139707992,-1.0110585149061107,-1.178671086102996,0.18360808365761924,0.2785813939757892,-0.5009980779126032,-0.286167078807361,0.1340092766969614,0.11805197679543594
Aesthetic-Appreciation,-0.5354445930156437,-0.6792304407359265,1.0652022583416707,0.05088335257266253,-0.6069329836662434,-0.5025656000259762,0.5183896822798963,0.248765493834561,-1.43653935728455,0.04633355918628012,-0.691082510609464,0.32322438520177105,-0.9117180105018415,1.695105177528591
Amusement,0.17355876054528066,0.3949536520209681,-0.7954572206297491,-0.3711857487249224,-0.9431655013212704,0.21626051128402196,0.2062592308761527,-0.2527316780254935,0.2624543915207166,-0.022362086929873865,0.4524636794166846,0.05891089260546776,0.5286686353035545,0.1585325295530817
Anger,-0.1663181173677061,0.20689739371456853,-0.7237726305872486,-0.012859565270137428,0.36989787969532695,-0.06875174466934476,1.320165415155897,0.20988124770235778,-1.3646976229261265,0.053752242148146015,0.3695058836921629,0.14399575320765748,-0.44210928108454123,-0.31469320427026065
Anxiety,-0.0011124500420763475,-0.1426277396278812,-0.27299474427591913,-0.4685051990884884,0.2690806382266298,0.20088933216419574,0.03939070760690736,-0.05072904299217873,0.21656206221132465,-0.26348191035322793,0.42768822634767417,-0.5512992289339641,0.3109322030077484,-0.11389268343586653
Awe,-0.5653357576626226,-0.4782966541860792,1.2152356491656686,0.025093113021414468,-0.2392877261105603,-0.7470578468485068,-0.3010390004170083,0.09486880816217334,-0.4365916054422764,0.39491703262694566,-0.44504553785324474,-0.8376823696975515,-0.24116554888742442,1.7542474829627104
Awkwardness,0.10288453622022,0.47357075545359845,-0.4880370481724432,-0.2897783485187363,-1.0400540979662043,-0.021013491089937702,0.003445144272101326,-0.15488972558367228,0.13897930409627784,0.5827409223253976,0.18337189673561957,0.442097517081953,-0.19252561757869335,-0.3720994056185509
Boredom,-0.5351941828446325,-0.9325665239522559,-1.2492081326806004,-0.22087486005763157,0.17961192050272418,-0.048726931739483406,0.9471677288973137,0.42388887404639586,1.2057820007958384,-0.14257784231488835,0.33349294876233954,0.7284638900443546,-0.7482936391297442,-0.7686540249344118
Calmness,-0.4854561672228496,-1.7520304124734025,0.015193100478639254,0.47086284052924565,0.5826206001929601,0.0037799800652282617,-0.011906073503782857,0.21833537420066204,-0.15098789288293393,-0.12502272598335062,-0.3311759784982162,-0.08668145274874582,-0.9267437760203916,1.4876986687295648
