emotion,n_samples,approach,arousal,attention,certainty,commitment,control,dominance,effort,fairness,identity,obstruction,safety,upswing,valence
Admiration,190,6.668421052631579,5.594736842105263,6.663157894736842,7.184210526315789,3.2157894736842105,5.610526315789474,5.205263157894737,3.6052631578947367,5.505263157894737,3.8,2.1,6.373684210526315,6.41578947368421,7.026315789473684
Adoration,180,7.344444444444444,3.816666666666667,5.5777777777777775,7.694444444444445,3.4944444444444445,6.055555555555555,5.3,1.9222222222222223,5.861111111111111,3.738888888888889,1.3,7.7,6.6722222222222225,7.877777777777778
Aesthetic-Appreciation,323,6.402476780185759,4.281733746130031,6.170278637770898,7.173374613003096,2.4520123839009287,5.136222910216718,4.9907120743034055,2.219814241486068,4.996904024767802,3.34984520123839,1.3653250773993808,7.34984520123839,5.6532507739938085,6.996904024767802
Amusement,520,6.411538461538462,5.471153846153846,6.180769230769231,7.015384615384615,2.5692307692307694,5.573076923076923,5.3076923076923075,2.326923076923077,5.35,3.4134615384615383,2.1903846153846156,6.907692307692308,6.186538461538461,6.8961538461538465
Anger,42,3.142857142857143,7.309523809523809,7.571428571428571,6.595238095238095,3.1666666666666665,3.1666666666666665,3.3095238095238093,3.142857142857143,2.4761904761904763,4.261904761904762,6.023809523809524,3.2142857142857144,2.1904761904761907,2.261904761904762
Anxiety,272,4.029411764705882,7.323529411764706,7.676470588235294,5.724264705882353,2.863970588235294,3.2794117647058822,3.2904411764705883,3.5330882352941178,4.6911764705882355,3.5845588235294117,4.8161764705882355,3.051470588235294,3.9191176470588234,3.6213235294117645
Awe,406,5.844827586206897,6.517241379310345,7.467980295566503,6.403940886699507,2.706896551724138,3.9852216748768474,4.108374384236453,2.9655172413793105,5.036945812807882,3.647783251231527,2.3620689655172415,4.985221674876847,5.655172413793103,6.177339901477833
Awkwardness,122,4.959016393442623,5.672131147540983,6.540983606557377,6.368852459016393,2.4262295081967213,4.581967213114754,4.663934426229508,2.3114754098360657,4.991803278688525,3.377049180327869,3.0901639344262297,6.024590163934426,4.745901639344262,5.139344262295082
Boredom,16,4.25,2.875,4.5625,6.5625,2.4375,5.5,4.9375,2.625,5.125,3.5625,3.0625,7.1875,4.0,4.9375
Calmness,382,6.280104712041885,3.230366492146597,5.4057591623036645,7.348167539267016,2.6858638743455496,5.641361256544503,5.193717277486911,2.0445026178010473,5.298429319371728,3.4659685863874348,1.4240837696335078,7.505235602094241,5.62303664921466,6.960732984293194
Confusion,64,4.640625,5.109375,6.6875,3.84375,2.375,3.953125,4.25,3.0625,4.84375,3.3125,3.078125,5.890625,4.09375,4.40625
Contempt,3,3.3333333333333335,6.0,6.333333333333333,7.0,3.3333333333333335,4.0,4.333333333333333,2.0,2.6666666666666665,4.666666666666667,5.0,4.333333333333333,2.0,2.0
Craving,52,7.3076923076923075,4.538461538461538,6.0576923076923075,7.673076923076923,2.6923076923076925,5.326923076923077,5.25,1.9423076923076923,4.923076923076923,3.0384615384615383,1.2692307692307692,7.538461538461538,6.1923076923076925,7.5
Disappointment,7,4.285714285714286,5.0,6.714285714285714,7.142857142857143,3.0,4.142857142857143,4.142857142857143,2.4285714285714284,5.142857142857143,3.5714285714285716,5.285714285714286,7.142857142857143,3.142857142857143,3.5714285714285716
