emotion,n_1,n_0,approach,arousal,attention,certainty,commitment,control,dominance,effort,fairness,identity,obstruction,safety,upswing,valence
Admiration,190,1895,0.6591310754090968,-0.14168535453334033,-0.1075962205551051,0.4206666798156452,0.37459739207465675,0.702586338813379,0.6109895771898887,0.7557097608943746,0.5199240392518113,0.2775137243713841,-0.3805241668640563,0.3271462406009579,0.6996164307011526,0.6619793611999668
Adoration,180,1905,1.101777828194207,-1.193458462475844,-1.1178559380105928,0.8634559498845148,0.6611777538876269,1.0379735631291291,0.6924326398619384,-0.6695854321837245,0.910323889973285,0.20306646275915996,-0.8121387786844084,0.9790523899434617,0.8582785221417172,1.1255390340452114
Aesthetic-Appreciation,323,1762,0.5324052724187683,-1.0035124064375816,-0.6004421809952359,0.44507553710508335,-0.4331610019699938,0.3854562383318887,0.4546389374311107,-0.45112283922118984,-0.01913899096517787,-0.280864604204492,-0.8579701078263863,0.8859556870322749,0.24956437852488694,0.7053645794219164
Amusement,520,1565,0.6160565770583355,-0.2568086363869714,-0.6765863380152545,0.33860662665684693,-0.3423437712601869,0.8551211878977417,0.8959983171618886,-0.39922155154423516,0.43330390357104764,-0.22384444540820528,-0.407053798882912,0.732497083028986,0.6942998578529004,0.7438699121232333
Anger,42,2043,-1.4119704569977927,0.7639610694927959,0.6516604944033244,-0.0686789303857476,0.29976734727907284,-0.964708348798304,-0.9637482007864078,0.328523833804042,-2.625708476710181,0.7716629763632609,1.5875635664702348,-1.0874835524424826,-1.7518431548346451,-1.6648349340917903
Anxiety,272,1813,-1.0597196926148482,0.9033018631415168,0.863191230312272,-0.8727923487106394,0.018393893893829394,-1.0553302667684974,-1.1760709760359318,0.730230520696955,-0.3555339032693398,0.020793263051361,1.168139721933716,-1.434246710815,-0.8750746667912772,-1.1988204793338826
Awe,406,1679,0.1668304238488001,0.42949299847972267,0.7126869509098377,-0.26524877925820123,-0.15925803425483792,-0.5242236962181724,-0.39078960365933013,0.23383061288335216,0.02721078609856281,0.10758654374485749,-0.2740881269787307,-0.3727972156103552,0.2635575858873957,0.25293181328148984
Awkwardness,122,1963,-0.37832691312551153,-0.09483868208710741,-0.20888396698080014,-0.25435958322047447,-0.41112029319129284,-0.03374535781428773,0.1312674037568094,-0.32699424853682185,-0.022332103208137,-0.21980918346777417,0.1339915742359898,0.15616369314720804,-0.29998451390028374,-0.28973184363887045
Boredom,16,2069,-0.7534652331969799,-1.5386236071901593,-1.8313030867770805,-0.09284610240366437,-0.3780469484807788,0.560176159093077,0.3402496144333904,-0.07047623768377492,0.10648278697810394,-0.005856510592747149,0.11384022625727253,0.6496209320872991,-0.6925776090360801,-0.36748757402945176
Calmness,382,1703,0.4655956606044949,-2.10328265958964,-1.6045365045875808,0.635374622050251,-0.1807475850247474,0.8302141183135567,0.6810265262127988,-0.6418451953434952,0.33407246671879237,-0.13530514366335858,-0.8572170595389578,1.0266728839397625,0.23811869434566144,0.7124928976313961
Confusion,64,2021,-0.5497573841686463,-0.38852346585266456,-0.0805636040425529,-2.4072756392343075,-0.44724803328510143,-0.4489271316526107,-0.20669148836457105,0.2693636928475422,-0.1670361262680729,-0.28569052280080665,0.12421638765706831,0.09256404197463713,-0.659543952466289,-0.6304277316204205
Contempt,3,2082,-1.2551666292540884,0.07775573739510273,-0.3647053680838741,0.2401542846967498,0.4469551429972727,-0.40450506251779883,-0.13523913996068793,-0.5433279934092733,-2.2438073400814775,1.1930392367903773,1.034679799230267,-0.5763686152092762,-1.7765732334998263,-1.7142646965525679
Craving,52,2033,0.9765689428705423,-0.687356896732635,-0.6044616541781146,0.7752641917525153,-0.145018338897472,0.4570781663674596,0.5993907701304033,-0.6036961381898025,-0.08861036328479904,-0.5905517478727678,-0.7622410051717617,0.820431497609413,0.5167315035141057,0.8353593316503516
Disappointment,7,2078,-0.7294574370600461,-0.4330235309774218,-0.05663858761229748,0.34942822538954854,0.1411676459603295,-0.31363814084413677,-0.2850140507815739,-0.21918659895113393,0.1230616549026723,0.0038719174545947858,1.1746206924229643,0.6270510474035487,-1.1570401392557994,-0.9943425450334915
Disgust,152,1933,-1.81702160876872,0.5554772846520021,0.6678883505874023,-0.0913250868299054,-0.6171321645391117,-0.8261292750258601,-0.8761316904496296,-0.005691532221242919,-0.8510640140748105,-0.20254046939531914,0.333562016813891,-0.8813540073702353,-1.287337643441469,-1.6773213539237817
Empathic-Pain,134,1951,-1.2607285054582078,0.7489734791247277,0.9381079004634132,-0.12498927488656314,0.5575871277781049,-1.399913657211711,-1.5464823973863109,0.39894867468704587,-1.6048886394068194,0.2762343856547966,2.2502883399439924,-1.4342522621143865,-1.815155360571815,-1.8968297263492118
Entrancement,108,1977,0.26989131125081817,-0.5586637845636881,-0.0843352336893806,-0.4081386482354396,-0.3178858742321414,-0.07630109610906083,0.10964957724583506,-0.20315138314431813,-0.09756442506086521,-0.31093976208075536,-0.6175904043864262,0.5866952977514239,0.0016068316906412141,0.3210695530256565
Envy,1,2084,,,,,,,,,,,,,,
