emotion,n_samples,approach,arousal,attention,certainty,commitment,control,dominance,effort,fairness,identity,obstruction,safety,upswing,valence
Admiration,171,7.04093567251462,5.485380116959064,6.666666666666667,7.491228070175438,3.760233918128655,6.245614035087719,5.87719298245614,4.16374269005848,6.146198830409356,4.315789473684211,1.9941520467836258,6.590643274853801,6.643274853801169,7.385964912280702
Adoration,171,7.654970760233918,3.6608187134502925,5.6725146198830405,7.812865497076023,4.216374269005848,6.269005847953216,5.695906432748538,1.7836257309941521,6.760233918128655,3.9649122807017543,1.1695906432748537,7.6725146198830405,6.625730994152047,8.005847953216374
Aesthetic-Appreciation,317,6.621451104100946,4.0883280757097795,6.17981072555205,7.495268138801261,2.5110410094637223,6.022082018927445,5.769716088328075,2.217665615141956,5.511041009463723,3.324921135646688,1.2460567823343849,7.425867507886435,5.526813880126183,7.211356466876971
Amusement,536,6.582089552238806,5.333955223880597,6.218283582089552,7.197761194029851,2.7686567164179103,5.873134328358209,5.8414179104477615,2.389925373134328,6.108208955223881,3.4421641791044775,2.1343283582089554,6.904850746268656,6.222014925373134,6.998134328358209
Anger,30,3.5,7.033333333333333,7.266666666666667,6.466666666666667,3.3333333333333335,3.7,4.066666666666666,2.966666666666667,2.566666666666667,4.066666666666666,5.966666666666667,3.7333333333333334,2.2333333333333334,2.3
Anxiety,276,4.184782608695652,7.217391304347826,7.615942028985507,5.75,3.0905797101449277,3.641304347826087,3.5652173913043477,3.778985507246377,4.797101449275362,3.579710144927536,4.916666666666667,3.0543478260869565,3.8442028985507246,3.6268115942028984
Awe,342,6.251461988304094,6.385964912280702,7.388888888888889,6.599415204678363,2.8801169590643276,4.9678362573099415,4.804093567251462,3.0935672514619883,5.4298245614035086,3.6052631578947367,2.181286549707602,5.304093567251462,5.859649122807017,6.608187134502924
Awkwardness,59,4.5423728813559325,5.0508474576271185,6.169491525423729,6.576271186440678,2.389830508474576,5.033898305084746,5.237288135593221,2.305084745762712,5.237288135593221,3.2711864406779663,3.1016949152542375,6.322033898305085,4.203389830508475,4.796610169491525
Boredom,15,4.333333333333333,2.6666666666666665,3.8666666666666667,7.466666666666667,2.2666666666666666,6.0,5.733333333333333,2.0,5.2,3.466666666666667,2.2666666666666666,7.466666666666667,3.6666666666666665,5.066666666666666
Calmness,470,6.523404255319149,3.251063829787234,5.578723404255319,7.519148936170213,2.9638297872340424,6.05531914893617,5.687234042553191,2.0404255319148934,5.9,3.4872340425531916,1.3382978723404255,7.408510638297872,5.5,7.091489361702128
Confusion,70,4.628571428571429,5.214285714285714,6.7,4.071428571428571,2.4285714285714284,4.414285714285715,4.771428571428571,3.0142857142857142,4.942857142857143,3.442857142857143,3.085714285714286,5.557142857142857,3.9857142857142858,4.5285714285714285
Contempt,6,3.5,5.0,6.166666666666667,6.333333333333333,2.8333333333333335,4.666666666666667,5.333333333333333,2.3333333333333335,3.5,5.5,3.8333333333333335,5.666666666666667,2.6666666666666665,2.8333333333333335
Craving,50,7.72,4.8,6.52,8.18,3.1,6.78,6.38,1.86,5.46,3.18,1.14,8.04,6.46,7.64
Disappointment,8,3.875,5.0,6.125,7.25,3.0,4.5,4.75,2.875,5.0,3.25,5.5,6.625,3.0,3.75
Disgust,144,2.951388888888889,6.743055555555555,7.458333333333333,6.631944444444445,2.3125,3.986111111111111,3.9305555555555554,2.6805555555555554,4.298611111111111,3.2222222222222223,3.8472222222222223,3.7291666666666665,3.0694444444444446,2.5972222222222223
Empathic-Pain,81,3.753086419753086,7.111111111111111,7.839506172839506,6.518518518518518,3.617283950617284,2.802469135802469,2.9135802469135803,3.3333333333333335,3.9135802469135803,4.061728395061729,6.592592592592593,2.8518518518518516,2.3950617283950617,2.259259259259259
Entrancement,50,6.26,4.92,6.94,6.38,2.68,5.36,5.32,2.3,5.04,3.22,1.44,6.9,5.0,6.46
Envy,0,,,,,,,,,,,,,,
Excitement,268,6.970149253731344,7.6940298507462686,7.373134328358209,6.92910447761194,3.712686567164179,5.563432835820896,5.507462686567164,3.8544776119402986,5.8059701492537314,3.9888059701492535,2.343283582089552,5.313432835820896,6.977611940298507,7.097014925373134
Fear,353,3.58356940509915,8.209631728045325,8.110481586402265,5.90084985835694,2.869688385269122,3.169971671388102,3.0679886685552407,3.5212464589235126,4.4390934844192635,3.4589235127478752,5.371104815864022,2.121813031161473,3.3824362606232294,3.087818696883853
Guilt,0,,,,,,,,,,,,,,
Horror,173,2.398843930635838,8.219653179190752,8.254335260115607,6.219653179190751,2.606936416184971,2.6416184971098264,2.6705202312138727,3.2716763005780347,3.6358381502890174,3.4739884393063583,6.30635838150289,1.7861271676300579,1.722543352601156,1.583815028901734
Interest,835,6.007185628742515,5.049101796407186,6.497005988023952,6.908982035928144,2.7377245508982035,5.736526946107785,5.502994011976048,2.6419161676646707,5.4886227544910176,3.4323353293413175,2.0910179640718565,6.468263473053892,5.415568862275449,6.227544910179641
Joy,415,7.5204819277108435,5.187951807228916,6.050602409638554,7.686746987951807,3.742168674698795,6.291566265060241,6.081927710843374,2.3036144578313253,6.795180722891566,4.146987951807229,1.4313253012048193,7.587951807228916,7.16144578313253,7.966265060240964
Nostalgia,59,6.745762711864407,4.0508474576271185,5.5423728813559325,7.627118644067797,3.440677966101695,6.101694915254237,5.932203389830509,2.2203389830508473,6.288135593220339,4.711864406779661,1.6101694915254237,7.47457627118644,5.864406779661017,7.11864406779661
Pride,18,6.777777777777778,5.277777777777778,6.166666666666667,7.277777777777778,4.722222222222222,6.0,5.833333333333333,2.7222222222222223,5.777777777777778,6.611111111111111,1.3888888888888888,6.611111111111111,6.888888888888889,7.333333333333333
Relief,121,6.1735537190082646,6.330578512396694,7.206611570247934,6.694214876033058,4.231404958677686,4.991735537190083,4.652892561983471,3.8181818181818183,5.68595041322314,3.9669421487603307,4.049586776859504,5.2727272727272725,6.950413223140496,5.975206611570248
Romance,92,7.565217391304348,4.880434782608695,6.010869565217392,7.510869565217392,5.782608695652174,5.684782608695652,5.184782608695652,2.0217391304347827,6.282608695652174,4.358695652173913,1.173913043478261,7.293478260869565,6.608695652173913,7.586956521739131
Sadness,91,4.186813186813187,5.846153846153846,7.318681318681318,6.450549450549451,3.6373626373626373,3.10989010989011,3.087912087912088,2.967032967032967,3.956043956043956,4.153846153846154,5.648351648351649,3.7252747252747254,2.5934065934065935,2.5164835164835164
Satisfaction,99,6.7272727272727275,4.282828282828283,6.191919191919192,7.878787878787879,3.0303030303030303,6.696969696969697,6.252525252525253,2.696969696969697,5.595959595959596,3.04040404040404,1.6161616161616161,7.454545454545454,6.262626262626263,7.01010101010101
Sexual-Desire,39,6.9743589743589745,6.487179487179487,6.717948717948718,7.487179487179487,4.512820512820513,5.641025641025641,5.0,1.9230769230769231,5.333333333333333,3.7435897435897436,1.1025641025641026,6.641025641025641,5.871794871794871,6.589743589743589
Surprise,559,5.3130590339892665,6.695885509838998,7.268336314847943,6.227191413237925,2.67262969588551,4.717352415026833,4.783542039355993,2.8014311270125223,5.402504472271914,3.223613595706619,3.3864042933810374,5.041144901610018,5.135957066189624,5.4078711985688726
Sympathy,119,5.4789915966386555,5.4789915966386555,6.991596638655462,6.579831932773109,4.109243697478991,3.9495798319327733,3.73109243697479,3.369747899159664,5.084033613445378,3.9243697478991595,5.0588235294117645,4.705882352941177,4.336134453781512,4.310924369747899
Triumph,38,7.2105263157894735,7.2894736842105265,7.078947368421052,7.421052631578948,4.868421052631579,5.868421052631579,6.157894736842105,4.2368421052631575,6.131578947368421,5.184210526315789,2.1578947368421053,6.605263157894737,8.0,7.7105263157894735
