emotion,n_1,n_0,approach,arousal,attention,certainty,commitment,control,dominance,effort,fairness,identity,obstruction,safety,upswing,valence
Admiration,171,1914,0.7276203385891837,-0.12705041693690133,-0.08563814679150732,0.5256954909647844,0.563329795454645,0.7479513618802365,0.6635075273159857,1.09737864689435,0.5546747339690362,0.6714960087944628,-0.3904411549377012,0.3928059525504576,0.7551165600241984,0.7347016051793818
Adoration,171,1914,1.1288819053831638,-1.185236014845775,-1.05109830779194,0.8058429331965266,0.9745838257656524,0.7650993020059211,0.5182964654848569,-0.8067034721142649,1.1038420919865135,0.3295417521375529,-0.8277164663158129,0.9216671718076322,0.7446620188311098,1.0668243890038493
Aesthetic-Appreciation,317,1768,0.5110779455781655,-1.0305720134454472,-0.5959042479432212,0.5790297637546995,-0.5483774757460002,0.643169179052248,0.6327920814397431,-0.4974933827019895,0.024711990378578526,-0.3023626368952568,-0.8715501165601967,0.8847182496700827,0.1238024109496848,0.7090226473938519
Amusement,536,1549,0.5610045967317293,-0.26113754289868324,-0.6451150245781069,0.3463396469528798,-0.34961438427503577,0.6091398297549881,0.8207727859613321,-0.4005780351673498,0.6651931427333425,-0.20678800389131052,-0.39757036329266054,0.6928202617946646,0.6465455371304641,0.6838399239420101
Anger,30,2055,-1.310264894802039,0.6741717910959067,0.4404221974651952,-0.3063186920651451,0.18317004313789284,-0.9551330375150868,-0.6932744686395298,0.11749388761710075,-2.3329713492887247,0.39584146016699473,1.5436690602569654,-0.8782613408203969,-1.6417463425847547,-1.6822291645232632
Anxiety,276,1809,-1.1116669824785377,0.910671124429629,0.8799306412829151,-1.034338012149755,-0.008621393956403208,-1.2116930641219565,-1.3051970830074522,0.8281287091940673,-0.6137183476005892,-0.038581285470775585,1.261989075827689,-1.4848630134373217,-0.9173667002700656,-1.295510005124927
Awe,342,1743,0.2698714448884507,0.40719649962584203,0.6624151087394267,-0.24107629825177684,-0.2044763057922262,-0.16121060142747126,-0.19133529595969884,0.24717337873055623,-0.04873339940041915,-0.01347515958697198,-0.32421554254700297,-0.22876615998115252,0.3326026593366974,0.3761201517726831
Awkwardness,59,2026,-0.7335005706227765,-0.34553543194227876,-0.5194808261815335,-0.22485316435091637,-0.568624725755937,-0.09551422654266854,0.15107987202128906,-0.36424409462749524,-0.1925150468574076,-0.3107852612868553,0.16489416976716645,0.25119524387565506,-0.5950209674338882,-0.519703843762618
Boredom,15,2070,-0.8295057107759721,-1.5593804410469083,-2.543018079420476,0.4626292515630196,-0.6511232824739722,0.5216922470396951,0.5015645320726769,-0.5744120363102444,-0.2168904050688203,-0.13267317051223265,-0.23098567702646086,0.7391253539596944,-0.8597027963585187,-0.3846735146370013
Calmness,470,1615,0.4913178734672116,-2.15709423857228,-1.549040161431301,0.668750676327849,-0.13658823827571095,0.7471068700088346,0.6200494242676734,-0.7301857008889503,0.4145466302763225,-0.14724364052106004,-0.915473060574721,0.9883847951849551,0.11774572896993872,0.7122116787535875
Confusion,70,2015,-0.6887090431846197,-0.2620483602665139,-0.05188812881543677,-2.3930941107492627,-0.5407103284562589,-0.5030510702282529,-0.18910244977417792,0.15481122851734663,-0.4261189816749145,-0.1577598691773487,0.1580843314562344,-0.0854412947938828,-0.717064609704121,-0.6497243298380446
Contempt,6,2079,-1.2826604125820078,-0.3619020619461095,-0.5069730001098957,-0.4043901210848632,-0.2072831907539534,-0.32574759369868006,0.2153054300978342,-0.3342786986801294,-1.5158355544136974,1.6464263144966391,0.5030263404606303,-0.03592410908088343,-1.372930707005597,-1.393759902345227
Craving,50,2035,1.0643589762691545,-0.474008589613168,-0.20888166461719343,1.0390594943189067,-0.00019025330113872773,1.0481745902564212,0.9893744934489609,-0.6891088183987597,-0.018251406038410488,-0.39088966898501076,-0.7787640483210515,1.013034273452009,0.6014447073074163,0.8003447070312656
Disappointment,8,2077,-1.0779761656257427,-0.3622733486884309,-0.5432786538485356,0.29532244587693407,-0.07791865432422113,-0.43184562866807946,-0.19857650411145158,0.05099305340382795,-0.36871188434023777,-0.321298072766934,1.287702847676085,0.37471252510525527,-1.2018559413109184,-0.979265137149632
