emotion,n_samples,approach,arousal,attention,certainty,commitment,control,dominance,effort,fairness,identity,obstruction,safety,upswing,valence
Admiration,150,6.653333333333333,6.306666666666667,7.366666666666666,6.926666666666667,4.96,5.7,4.913333333333333,4.926666666666667,5.306666666666667,3.9266666666666667,2.8666666666666667,6.273333333333333,6.693333333333333,7.14
Adoration,108,7.175925925925926,4.0,6.055555555555555,7.944444444444445,3.0277777777777777,6.62962962962963,6.25,2.064814814814815,5.518518518518518,3.9074074074074074,1.4166666666666667,8.398148148148149,6.703703703703703,8.055555555555555
Aesthetic-Appreciation,364,6.285714285714286,4.431318681318682,6.5054945054945055,7.480769230769231,3.228021978021978,5.920329670329671,5.725274725274725,2.3131868131868134,5.076923076923077,3.4423076923076925,1.89010989010989,7.868131868131868,6.107142857142857,7.175824175824176
Amusement,629,6.507154213036566,5.389507154213036,6.365659777424483,7.1875993640699525,3.1033386327503973,5.9348171701112875,5.9379968203497615,2.6375198728139906,5.174880763116057,3.2829888712241653,2.370429252782194,7.381558028616852,6.254372019077901,7.160572337042925
Anger,20,2.65,7.4,7.5,6.55,3.55,2.65,2.9,4.3,2.15,3.1,6.85,2.9,2.0,2.2
Anxiety,270,3.2222222222222223,7.470370370370371,7.766666666666667,5.014814814814815,3.5,2.7888888888888888,2.9407407407407407,4.292592592592593,4.562962962962963,3.0185185185185186,5.703703703703703,2.5407407407407407,3.359259259259259,3.348148148148148
Awe,283,5.4946996466431095,6.742049469964664,7.756183745583039,6.402826855123675,3.96113074204947,4.109540636042403,4.017667844522968,3.6819787985865724,5.017667844522968,3.374558303886926,2.950530035335689,5.010600706713781,5.678445229681979,6.30035335689046
Awkwardness,91,4.857142857142857,5.406593406593407,6.1098901098901095,6.593406593406593,2.8461538461538463,4.956043956043956,5.153846153846154,2.6923076923076925,4.857142857142857,2.912087912087912,2.956043956043956,6.78021978021978,4.8901098901098905,5.241758241758242
Boredom,55,4.4,2.709090909090909,4.236363636363636,7.327272727272727,2.4727272727272727,6.4363636363636365,6.2,2.2545454545454544,4.963636363636364,2.8181818181818183,2.272727272727273,8.090909090909092,4.454545454545454,5.127272727272727
Calmness,412,6.009708737864078,3.4199029126213594,5.771844660194175,7.689320388349515,3.0655339805825244,6.390776699029126,6.038834951456311,2.20873786407767,5.140776699029126,3.441747572815534,1.808252427184466,8.072815533980583,5.900485436893204,6.939320388349515
Confusion,34,4.029411764705882,4.9411764705882355,6.029411764705882,4.294117647058823,2.8823529411764706,4.5588235294117645,4.705882352941177,3.2941176470588234,4.764705882352941,2.7058823529411766,3.5294117647058822,6.0588235294117645,3.8529411764705883,4.117647058823529
Contempt,1,2.0,7.0,7.0,8.0,3.0,3.0,3.0,4.0,2.0,3.0,5.0,3.0,2.0,2.0
Craving,58,7.413793103448276,5.0344827586206895,6.362068965517241,7.827586206896552,2.9482758620689653,6.0344827586206895,6.017241379310345,2.103448275862069,5.0,4.017241379310345,1.8620689655172413,8.327586206896552,6.551724137931035,7.5
Disappointment,7,5.142857142857143,5.571428571428571,6.285714285714286,6.285714285714286,4.0,3.7142857142857144,4.285714285714286,4.0,4.571428571428571,2.857142857142857,5.714285714285714,6.714285714285714,3.5714285714285716,4.285714285714286
Disgust,154,2.6103896103896105,6.675324675324675,7.077922077922078,6.623376623376624,2.727272727272727,3.564935064935065,3.7857142857142856,3.090909090909091,4.2272727272727275,2.435064935064935,4.0064935064935066,4.337662337662338,2.675324675324675,2.590909090909091
Empathic-Pain,123,3.016260162601626,6.837398373983739,7.414634146341464,6.2439024390243905,3.5203252032520327,2.5121951219512195,3.032520325203252,3.869918699186992,3.569105691056911,2.902439024390244,6.276422764227642,2.821138211382114,2.5040650406504064,2.4959349593495936
Entrancement,70,6.728571428571429,5.428571428571429,7.057142857142857,7.1,3.8142857142857145,5.128571428571429,4.9714285714285715,2.557142857142857,5.1571428571428575,3.3857142857142857,1.8285714285714285,7.557142857142857,6.214285714285714,7.214285714285714
Envy,0,,,,,,,,,,,,,,
Excitement,248,6.741935483870968,7.887096774193548,7.899193548387097,6.205645161290323,4.895161290322581,4.504032258064516,4.387096774193548,4.951612903225806,5.217741935483871,3.7096774193548385,3.189516129032258,4.899193548387097,6.439516129032258,6.82258064516129
Fear,304,2.6842105263157894,8.072368421052632,8.148026315789474,5.003289473684211,3.526315789473684,2.4473684210526314,2.6151315789473686,4.4769736842105265,4.342105263157895,2.901315789473684,5.947368421052632,2.0592105263157894,2.9276315789473686,2.9046052631578947
Guilt,0,,,,,,,,,,,,,,
Horror,147,1.8979591836734695,7.91156462585034,8.034013605442176,5.6938775510204085,2.993197278911565,2.2448979591836733,2.489795918367347,4.1020408163265305,3.639455782312925,2.503401360544218,6.156462585034014,2.142857142857143,1.6938775510204083,1.8231292517006803
Interest,1098,5.969034608378871,5.264116575591985,6.516393442622951,6.98816029143898,3.2941712204007287,5.629326047358834,5.492714025500911,2.918032786885246,5.058287795992714,3.2522768670309654,2.4863387978142075,7.045537340619308,5.790528233151184,6.458105646630237
Joy,446,7.179372197309417,5.5,6.403587443946188,7.6008968609865475,3.672645739910314,6.1591928251121075,5.858744394618834,2.766816143497758,5.520179372197309,3.997757847533632,1.9192825112107623,7.7690582959641254,6.959641255605381,7.917040358744394
Nostalgia,27,6.518518518518518,3.7777777777777777,5.7407407407407405,7.814814814814815,3.7037037037037037,6.185185185185185,5.888888888888889,2.3703703703703702,5.555555555555555,4.962962962962963,1.7777777777777777,8.074074074074074,6.148148148148148,7.296296296296297
Pride,18,7.222222222222222,6.444444444444445,6.944444444444445,7.777777777777778,5.611111111111111,5.388888888888889,5.555555555555555,5.222222222222222,6.0,5.333333333333333,2.0555555555555554,7.222222222222222,7.666666666666667,7.777777777777778
Relief,76,4.921052631578948,6.631578947368421,7.421052631578948,5.894736842105263,4.368421052631579,3.776315789473684,3.526315789473684,4.4605263157894735,4.9868421052631575,3.6315789473684212,5.5131578947368425,4.171052631578948,6.618421052631579,5.355263157894737
Romance,91,7.461538461538462,5.670329670329671,6.483516483516484,7.78021978021978,4.626373626373627,5.34065934065934,5.0,2.2747252747252746,5.593406593406593,4.3076923076923075,1.8131868131868132,7.571428571428571,6.8791208791208796,7.9010989010989015
Sadness,51,3.9607843137254903,5.313725490196078,6.823529411764706,6.7254901960784315,4.2745098039215685,2.803921568627451,2.980392156862745,3.9019607843137254,3.196078431372549,3.450980392156863,6.411764705882353,3.6862745098039214,3.0784313725490198,2.784313725490196
Satisfaction,139,6.561151079136691,4.575539568345324,6.302158273381295,7.467625899280575,3.3597122302158273,6.215827338129497,5.9352517985611515,2.7985611510791366,5.115107913669065,3.4892086330935252,2.158273381294964,7.971223021582734,6.431654676258993,7.0215827338129495
Sexual-Desire,59,7.47457627118644,7.203389830508475,7.084745762711864,7.830508474576271,3.9661016949152543,4.508474576271187,4.440677966101695,2.1864406779661016,5.237288135593221,3.847457627118644,1.847457627118644,7.389830508474576,6.52542372881356,7.3559322033898304
Surprise,510,4.968627450980392,6.813725490196078,7.368627450980392,5.829411764705882,3.350980392156863,4.241176470588235,4.490196078431373,3.5764705882352943,4.882352941176471,2.9215686274509802,3.880392156862745,5.127450980392157,4.862745098039215,5.311764705882353
Sympathy,181,4.232044198895028,6.2154696132596685,7.154696132596685,6.237569060773481,3.8232044198895028,3.1933701657458564,3.5138121546961325,3.861878453038674,4.220994475138122,3.165745856353591,5.856353591160221,3.9613259668508287,3.7624309392265194,3.9005524861878453
Triumph,37,7.756756756756757,7.675675675675675,7.54054054054054,7.216216216216216,6.351351351351352,5.891891891891892,6.027027027027027,6.108108108108108,6.162162162162162,5.081081081081081,2.4324324324324325,6.864864864864865,7.918918918918919,8.027027027027026
