emotion,approach,arousal,attention,certainty,commitment,control,dominance,effort,fairness,identity,obstruction,safety,upswing,valence
Admiration,-0.24563590988781553,-0.1516468903423812,-0.024885934274332683,-0.06310406439989896,0.15319517156760656,0.2787723133594337,-0.5211460557644172,0.39828040602675896,-0.2653025173520605,0.1313378196932425,-0.18809906010302457,-0.017087016986651413,0.38695248645642843,0.2723755063961544
Adoration,1.2015424970071025,-0.9430658060791764,-0.2335169495830131,-0.6911616077084368,-0.6964032827632206,0.13062172629767518,0.12218800770188532,-1.3958418997432638,0.08323650253359753,0.04375011001492736,-1.3900398137075838,-0.4806439633597334,0.116084635826881,1.3176306009839385
Aesthetic-Appreciation,-0.4287737008632415,-0.7598018828368758,1.1280313435539993,-0.00889330190707448,0.11959179678570797,-0.041275135937685385,-0.062359219116213865,-0.33646870027349507,-0.6550830908338693,-0.0035103390871612902,-0.47089422248738516,0.27772846769761544,-0.3058580853878797,0.6529982130511086
Amusement,0.24378109396464823,0.6363667460951227,-1.0583094831974391,-0.15306574183749666,-0.7026212235643726,0.04496454307307967,0.542462817341119,0.10892551524313662,-0.05295800063411844,-0.36278144778124416,0.24049067959182285,-0.038386312876524824,0.005319009627549591,0.6021363162428204
Anger,0.3723164710986211,0.6687053105663187,-1.0030467810982855,0.25195873539473823,0.07140966960833467,0.016184440867282927,0.42921076374260553,0.21008697922137604,-1.5926061397608222,0.7106575513262566,-0.03917238051985944,0.04917097334204999,-0.6739589570116155,-0.34396728895240947
Anxiety,0.15689965243134643,-0.20810909276925282,0.007968411777989303,-0.4035254332441784,-0.2731415526951717,-0.02361903091236402,0.03431702154768861,0.05242592746847916,0.5425392063759269,0.331072250803842,0.10381996638432832,-0.7109242194977906,0.1232709546889155,-0.3652812093671971
Awe,-0.7963212200646956,-0.5208617822683289,1.2840361205768054,-0.058765239785136245,0.26427062981807437,-0.19120630395313545,-0.2761341795146076,-0.10038054063110653,-0.2780206810216176,-0.11460460301296299,-0.4651755815197817,-0.5177013577006501,0.0839505922828568,1.1750403162065823
Awkwardness,0.052352708945988806,0.504454273750574,-0.9073878152918795,-0.19892504789784524,-0.11250187065304713,-0.35399179572155826,0.3877977230266783,-0.0643994703026677,0.13373674120599194,-0.06439432461345383,0.023787308390595095,0.4504490983998816,0.0913216239952608,-0.5866314319556343
Boredom,0.1156346895638024,-1.4513251224118946,-1.2869461559083075,0.17915633478819534,-0.47629222270601895,-0.15661329568421242,0.44295342642334107,0.7311136209673433,0.2408425572427786,-0.4500337283787424,0.3873021492717795,1.1823287529612065,0.006098118189755475,-0.8938887854751312
Calmness,-0.5198046238728097,-2.0839418173863264,0.6933825149022648,0.43885633648458733,0.16837511898223076,-0.017829599500046294,-0.042884795255485775,0.024069846439200113,-0.026501928930733113,-0.09791355443071297,-0.48353820951766097,0.11259118563076216,-0.12439324698321311,0.43939366415071607
Confusion,0.12450315254349893,-0.6317042085391512,0.12720800466535895,-1.155437885611893,-0.22094231346082155,-0.0936712889936176,0.41588013253244815,0.0963957169207014,0.7619743921821284,0.22423378146180567,0.009109576226590485,0.4939473115197801,-0.21782780251035616,-0.8700640194770086
Contempt,-0.4056065768546498,-0.10611514452247883,-0.4232724668521135,0.7540434122141648,-0.0824007570218344,0.06789660638752563,-0.1592931078188088,0.2790072135485914,-0.9383394513395609,0.21647907017567977,-0.40877155136870835,-0.27210878473785105,-0.13239158923327513,-0.296669511265368
Craving,1.8386956287702332,0.06783034903501703,-0.5240259787230972,-0.16679556313293295,-0.6901477936237854,-0.1831791286962868,0.24028125320665258,-0.8477934466793345,-1.6246952424684948,0.26284629775290547,-0.09709395642363398,0.7181601684869933,-0.21444123593492015,-0.5196681701628767
Disappointment,0.7445413265678041,-0.03353266348947816,-0.8954896649665627,-0.36196040267718965,0.20191490559120026,-0.4038812056731898,-0.2874624059133733,0.19083932709481033,-0.14822617995105267,-0.46982179368368426,0.5441812682267513,0.8126960847469282,-0.6574819739337792,-0.21629639125742492
Disgust,-0.18619125658498448,0.3685516658423257,0.059504161931868776,0.5206936118773557,0.19769183127970721,-0.05490141855447993,0.5850109180661087,-0.27453188025278163,-0.11327687121118589,-0.5861560611535523,-0.47250784776347843,0.25081965557116853,0.11268897561385656,-1.6410214709656024
Empathic-Pain,0.6507098610046316,-0.2149891359470131,-0.10973855171821835,0.30376953474296564,0.12768257162603897,-0.803650200621362,0.6563957964223899,-0.10663153389564356,-0.20721697450261717,0.16628648906401047,0.13529724097641554,-0.2594216580172297,-0.031843633752323935,-1.1728295054655926
Entrancement,0.5926972929156793,-0.209051404405726,0.6201835953040373,-0.109753216726451,0.47135784733935354,-0.03961673680887242,-0.5140770463557103,-0.3169154880877147,-0.5860975146782462,-0.3138957074875309,-1.1438986211938948,0.3786296899379709,-0.48731691355507384,0.03215202078039909
Excitement,0.8635665015641916,1.3407532187842823,-0.9019752080811366,-0.4401085141522679,-0.008145117924127584,-0.23498504059226424,-0.2169153512243351,0.32569331188157885,-0.3144058358208507,-0.04130155738987939,-0.3121956852039092,-0.32668698836289917,0.21158637303665176,0.14310493051192294
Fear,-0.22866281033642336,0.8509566096997079,0.11849516096920323,-0.2638270680364704,-0.08762922235650268,-0.12572970423634525,-0.888544767151759,0.10921296675563381,0.20198954783576611,0.18104033676436806,-0.10595051677000117,-1.2641114461581284,0.05220352778093584,0.11641905533898167
Horror,-0.8651562813009677,0.48150417185235805,0.6770794936989742,0.2549522237090569,0.08758571935304905,0.17878398814030266,-0.5499872490128728,-0.014588254269842678,-0.22733730184289977,-0.41735694842423104,-0.2456473563976709,0.04869848827948534,-0.7377619999575709,-1.6809490484382028
Interest,0.2580063997554794,-0.08488497798604235,-0.027700657342757756,-0.19883282273895939,-0.3383935002492804,0.18938003491914784,0.12120502693799595,0.22990519115475552,-0.04305564634802273,-0.3577484284640996,-0.13853197343197166,0.26613843621451894,0.1713551817249448,-0.41370183165527435
Joy,0.6958219302371426,0.49167061704071213,-1.8728190871351365,-0.43569695497333344,-0.07770947013909271,0.0808313813407424,-0.1190651003758154,-0.08302557464737763,0.1260827393834731,0.2124472255936063,-0.2697074309405478,-0.21875843906877715,0.5192729348050729,1.3809253792234777
Nostalgia,0.01582817596245558,-0.4146226990474123,-0.7003283118249045,-0.05489379130280878,0.1693093330865683,-0.371450658561792,0.20051199722947025,-0.13425989632432886,0.2762655874995075,1.2727954871740363,-0.43606271951658493,-0.10173297213641148,-0.371509545377178,0.11910067875346929
Pride,-0.29114271255485374,0.2184241742484924,-1.4206081486970252,0.14965685007341212,0.20196818423504675,-0.5407942191502052,0.02114662351319312,0.4211662602131046,0.03579645690421906,0.8356532774482134,-0.8226986738564612,-0.2061691883847227,1.0684511518819995,-0.29667890848271283
Relief,-0.5090622016163393,-0.4107648353217443,-0.7669110439930312,-0.3078743200740704,-0.022337542817051664,-0.0012384129543540755,-0.6697971665276986,-0.11056230197237174,0.4252576674086296,0.05455426133895898,0.6138142987006896,-0.5360137269397489,2.2331115971091453,-0.21493191100659984
Romance,0.9919512261227998,0.4795820152153011,-1.7425539279939524,0.5587820741275387,1.1484279151293657,-0.2298919816421854,-0.8905765990935695,-1.0823054663972433,-0.11496103007683577,0.1088079205814064,-0.36115186038945346,-0.1890958524522992,-0.26664445945694454,0.5764217307447792
Sadness,0.7025810073040684,-1.5046616318148667,0.3949818855940012,0.5333293498148716,0.3762451909877815,-0.1742303025601002,-0.6866451674268403,0.14511887680308813,-0.4720981731599212,0.6781372526879691,0.4461553353290352,0.03451588868999505,-0.39719195402142216,-1.0201708327834178
Satisfaction,0.4072767635691939,-0.4574495481323941,-0.10266073253173585,-0.1781642862784946,-0.1710087429796119,0.05605312958167368,-0.03372530281025704,0.31907929653482864,-0.5352082209101658,-0.1209765180874791,-0.033656416026936094,0.41900497760364336,0.6895909890543876,-0.5041888415436089
Sexual-Desire,1.6477954114904871,1.5152767089031915,-1.5783583259875487,0.8256243700309474,0.6456645885082194,0.0011626235101072084,-1.3513205582949481,-1.6197539814458637,-0.3826876208997355,-0.04064431314533974,-1.1134080563563187,0.49921156319473936,-0.7807217983881434,-0.5863566779437426
