emotion,n_samples,approach,arousal,attention,certainty,commitment,control,dominance,effort,fairness,identity,obstruction,safety,upswing,valence
Admiration,255,6.313725490196078,5.9450980392156865,7.305882352941176,7.466666666666667,4.564705882352941,6.603921568627451,5.250980392156863,5.784313725490196,5.290196078431372,4.129411764705883,2.835294117647059,6.56078431372549,6.403921568627451,7.105882352941176
Adoration,242,6.93801652892562,3.84297520661157,6.243801652892562,8.03305785123967,3.041322314049587,6.450413223140496,6.107438016528926,2.3016528925619837,5.595041322314049,4.107438016528926,1.4256198347107438,8.438016528925619,6.041322314049586,8.078512396694215
Aesthetic-Appreciation,486,6.261316872427984,4.390946502057613,6.705761316872428,7.611111111111111,2.9794238683127574,5.88477366255144,5.672839506172839,2.903292181069959,5.05761316872428,3.853909465020576,1.559670781893004,7.960905349794238,5.6419753086419755,7.234567901234568
Amusement,507,6.157790927021696,5.4161735700197235,6.631163708086785,7.380670611439842,2.7712031558185406,5.6982248520710055,5.785009861932939,3.2406311637080867,5.191321499013807,3.5483234714003946,2.516765285996055,7.493096646942801,5.854043392504931,7.076923076923077
Anger,22,2.4545454545454546,7.636363636363637,7.818181818181818,7.181818181818182,2.5454545454545454,2.409090909090909,2.909090909090909,4.454545454545454,1.9090909090909092,3.4545454545454546,7.0,2.590909090909091,2.227272727272727,2.1818181818181817
Anxiety,321,3.1713395638629285,7.741433021806854,8.034267912772586,6.130841121495327,3.0996884735202492,3.2616822429906542,3.015576323987539,4.841121495327103,4.08411214953271,3.311526479750779,5.392523364485982,2.797507788161994,3.542056074766355,3.445482866043614
Awe,431,5.5846867749419955,6.709976798143852,7.872389791183295,6.91415313225058,3.5986078886310904,4.7354988399071924,4.389791183294664,4.382830626450116,5.018561484918793,3.8955916473317864,2.6148491879350346,5.573085846867749,5.654292343387471,6.51508120649652
Awkwardness,53,4.735849056603773,5.39622641509434,6.490566037735849,6.735849056603773,2.358490566037736,4.735849056603773,5.0754716981132075,3.1320754716981134,4.754716981132075,3.0754716981132075,3.4150943396226414,6.90566037735849,4.566037735849057,5.226415094339623
Boredom,20,4.2,2.85,4.75,7.2,2.15,6.2,5.6,2.35,5.05,3.3,2.55,8.05,4.45,5.1
Calmness,429,6.086247086247086,3.2494172494172493,6.0606060606060606,7.834498834498834,2.8834498834498836,6.228438228438228,5.853146853146853,2.4125874125874125,5.256410256410256,3.9254079254079253,1.5174825174825175,8.151515151515152,5.571095571095571,7.221445221445221
Confusion,27,4.592592592592593,5.296296296296297,6.666666666666667,3.8518518518518516,2.5925925925925926,4.62962962962963,4.851851851851852,4.481481481481482,4.925925925925926,3.037037037037037,3.4074074074074074,6.7407407407407405,4.407407407407407,4.62962962962963
Contempt,7,2.857142857142857,5.857142857142857,6.714285714285714,7.571428571428571,2.857142857142857,3.7142857142857144,3.857142857142857,3.2857142857142856,2.5714285714285716,3.2857142857142856,4.857142857142857,4.857142857142857,3.0,3.142857142857143
Craving,46,7.413043478260869,4.456521739130435,6.608695652173913,8.326086956521738,2.652173913043478,6.1521739130434785,6.1521739130434785,2.108695652173913,5.0,4.369565217391305,1.391304347826087,8.543478260869565,5.891304347826087,7.760869565217392
Disappointment,3,3.3333333333333335,5.333333333333333,6.666666666666667,7.666666666666667,2.6666666666666665,2.6666666666666665,3.6666666666666665,3.6666666666666665,4.0,2.3333333333333335,7.0,6.0,2.3333333333333335,3.3333333333333335
Disgust,125,2.968,6.808,7.424,7.024,2.304,3.96,3.712,3.712,3.992,2.92,3.504,5.008,3.376,2.872
Empathic-Pain,139,3.115107913669065,7.136690647482014,7.827338129496403,6.971223021582734,3.014388489208633,2.762589928057554,2.870503597122302,4.776978417266187,3.2302158273381294,3.446043165467626,6.83453237410072,3.0719424460431655,2.7553956834532376,2.5323741007194243
Entrancement,82,6.317073170731708,5.158536585365853,7.2682926829268295,7.134146341463414,3.341463414634146,5.109756097560975,5.158536585365853,3.073170731707317,5.036585365853658,3.731707317073171,1.5609756097560976,7.658536585365853,5.548780487804878,7.024390243902439
Envy,0,,,,,,,,,,,,,,
Excitement,215,6.637209302325582,8.093023255813954,8.037209302325582,6.809302325581395,4.6976744186046515,5.348837209302325,4.618604651162791,5.874418604651162,5.4186046511627906,4.144186046511628,3.083720930232558,5.186046511627907,6.446511627906977,7.088372093023255
Fear,223,2.5336322869955157,8.327354260089686,8.394618834080717,6.058295964125561,2.8385650224215246,2.6771300448430493,2.717488789237668,4.771300448430493,3.6681614349775784,3.188340807174888,5.852017937219731,2.192825112107623,3.0179372197309418,2.901345291479821
Guilt,0,,,,,,,,,,,,,,
Horror,126,1.9047619047619047,8.30952380952381,8.396825396825397,6.396825396825397,2.3174603174603177,2.2301587301587302,2.388888888888889,4.714285714285714,2.5714285714285716,3.1587301587301586,6.603174603174603,2.126984126984127,1.746031746031746,1.6428571428571428
Interest,832,5.850961538461538,5.03125,6.709134615384615,7.319711538461538,2.9134615384615383,5.835336538461538,5.594951923076923,3.483173076923077,5.084134615384615,3.5180288461538463,2.170673076923077,7.513221153846154,5.527644230769231,6.5108173076923075
