emotion,approach,arousal,attention,certainty,commitment,control,dominance,effort,fairness,identity,obstruction,safety,upswing,valence
Admiration,-0.03683920711808176,-0.26529417877912376,-0.25858509923153333,-0.008556544711423815,0.05925088765440995,0.7393957128548374,-0.5450413639594216,0.6886486863214077,-0.2941012965065621,0.008670863944454151,-0.07535247783769196,-0.0431851693638233,0.07405973295584865,0.20355256602471225
Adoration,0.8763440381988515,-0.48136721324006165,-0.8701963424787381,-0.41650549582028007,-0.14799802532310258,-0.12199061099862653,-0.10729597774691718,-0.3654133388240882,0.49076032316592455,-0.19938110995381927,0.020919056070264754,-0.1806637117010853,-0.3653423999703861,1.4142351435695295
Aesthetic-Appreciation,-0.1364122504737147,-0.5646715913842301,0.8272984375461767,0.008699580785674964,-0.04574418230953018,-0.11683865778183398,0.00434050556498603,0.05587651721748773,-0.7305546863845712,0.04467982431761831,-0.648938565415663,0.262002367576753,-0.2777734948857701,0.4266907147221672
Amusement,-0.004360696975553592,0.6548771475263016,-1.0992707602556568,-0.2100407175778465,-0.5661615666265718,-0.1611636668790467,0.6830627841028498,-0.029618654924069367,0.1926689901950089,-0.294197410837695,0.3642318515176266,0.0927168979573046,0.055973704919732845,0.5574858811244416
Anger,-0.10152891422007952,0.5732896336248496,-1.0307481220712615,0.5077596256810152,0.3866127112171825,-0.2845776827858947,0.6765990060119516,0.025797033373638284,-1.4338562695390302,0.11561542102044804,0.025471935226065872,0.07401707563663723,-0.09535918930546744,-0.3417567067668848
Anxiety,-0.38181210071120514,-0.08016836408647303,0.33168819285064993,-0.1718118245824283,0.030533349398439713,0.21294528424016454,-0.44132756815210306,-0.002035272400537743,0.5942823772160526,0.09784000601861835,0.01752781637747007,-0.48274408935036867,0.12999133826486253,-0.29318316978752007
Awe,-0.338406358751331,-0.35752067775521973,1.302034133743052,-0.19826620946327245,0.027055763464424235,-0.1688280347445333,-0.3967045033248058,0.0667605152229458,-0.19638641869870718,-0.017109917871612205,-0.49645014609021637,-0.35878174618836106,0.025291408424458536,0.8802353149200353
Awkwardness,0.0908258099582694,0.3572782098708224,-0.5592258136738385,-0.2369672379230099,-0.5177079874343081,-0.1556691027726021,0.47003139345814327,-0.23497958877996586,0.34587986782466834,-0.26259599747513573,0.24379646019955326,0.4022520799953398,-0.023385133362561615,-0.5733245255506473
Boredom,-1.0325210303468042,-0.7454337867760844,-1.400522881745889,0.03856961396872469,-0.3757729166663181,0.9694734904031597,-0.6854023061912244,-0.6702101339509515,0.8948184970055857,-0.11893195585638561,0.6825321983567517,1.3431393280492359,0.10554134784979086,-0.7776004905949631
Calmness,-0.842947316616877,-1.8307941097044027,0.7388549065314293,0.3446839084955858,0.010121348978960517,-0.1005901471548337,-0.1736563791189165,-0.1938618466356523,0.3159333349160863,0.03754907833535499,-0.17786725567045797,0.05074762983025402,0.14520569730892222,0.5108356395242913
Confusion,0.04037547791886575,-0.19913732781221785,-0.3432248426902239,-1.689868408664522,-0.7626825981696579,0.2044137715487841,0.5774349585741737,0.6545416618900756,0.8349702505580219,-0.5040290129274547,0.3447542926534448,0.7913389729774007,0.2022217597271453,-0.9015331348054294
Contempt,-0.7779704573833148,0.34264798196940993,-0.8169135257572356,0.8974836755684689,0.1572891174266298,-0.2762353583869949,0.3608148930106112,-0.2692534601629413,-1.4610324277097613,0.1805714071923589,-0.2807259670631243,0.23781681893922707,0.11830583049228735,-0.0763712959429747
Craving,2.036579184569517,-0.11554278336713224,0.05464935617656518,0.3526487274775477,-0.8258012572567837,-0.3228580173371498,0.17059388180470594,-1.1389703189905291,-1.2049257132704756,0.5043023198190986,-0.6628445248454629,0.11749047035114382,-0.4019131563362762,-0.833520598440274
Disappointment,0.11906564654892939,-0.6222933572961351,-0.28803298465214766,0.4139093895202006,-0.2609481763518991,-0.5145512158307209,0.07932602103711342,-0.16708867953988604,0.24115188492138276,-1.2527850398104037,0.7063589969714413,0.25331418525917554,-0.7250038525595031,-0.0950671552796648
Disgust,-0.39693535421648163,0.4479421728066969,0.20024110882831006,0.4326692707222976,-0.2632084359708843,0.27200444137948027,0.29190931365264955,-0.18842816630084347,-0.2472799391114589,-0.4493078833173397,-0.6930129897357983,0.6716627024359408,0.43572670700162297,-2.178572690891376
Empathic-Pain,0.9797702654265366,-0.2406303175247745,-0.2520753828268441,0.45556640299294626,0.03426513234071697,-0.15991296414431241,-0.30543179717026936,0.24617518951197767,0.007748606384588576,-0.11089026632900356,0.3402990405642624,-0.10748050310723499,-0.1468695493313347,-1.1743877659277064
Entrancement,0.3979766477596244,-0.28897979073555113,0.8986751724589925,-0.3751286488891662,0.5272970585589785,-0.34037409691834636,-0.059076773346512,-0.264935977212188,-0.5364499446745385,-0.2602871600922184,-0.8804199384915775,0.2802667826140709,-0.3532785817779606,0.028995635251419506
Excitement,1.278874813259535,1.7226945670647638,-1.5518331038515625,-0.42731252183156204,-0.05236924369170293,0.09228515260599146,-0.46024990640559565,0.34914591621103314,-0.01281188179386985,-0.12244035691807914,-0.24989523646719666,-0.5244974471807656,-0.3212264281898886,0.4287499647853886
Fear,-0.7044695949795041,0.6223601708275777,0.2206667032633548,-0.279765651270362,0.20918619222029872,-0.1739973461111983,-0.02054387116768812,-0.23214960661827644,0.1003535447037858,-0.08630137860078406,-0.06924483082981271,-0.6143810146926124,0.2906532955227888,-0.09710279717702332
Horror,-0.8161113927963424,0.7394009036713708,0.6110613691646783,-0.14834159347936313,-0.021094129889354607,0.3388017235075343,-0.6796484652218677,-0.09145141898945305,-0.3803705408889346,0.222801704425609,-0.2847581557331607,0.3092161853798486,-0.4323857883548225,-2.2230271699090833
