emotion,chatgpt-4o-latest_FRAMES,gpt-5_FRAMES,gpt-5.2-pro_FRAMES,gpt-5.1-chat-latest_FRAMES,gpt-5.2-chat-latest_FRAMES,gpt-5-mini_FRAMES,gpt-5-nano_FRAMES,chatgpt-4o-latest_TEXT,gpt-5_TEXT,gpt-5.2-pro_TEXT,gpt-5.1-chat-latest_TEXT,gpt-5.2-chat-latest_TEXT,gpt-5-mini_TEXT,gpt-5-nano_TEXT,gpt-4o_TEXT,gpt-4o-mini_TEXT,gpt-5.1_TEXT,gpt-5.2_TEXT,gpt-4.1_TEXT,gpt-4.1-mini_TEXT,gpt-4.1-nano_TEXT,gpt-4-turbo_TEXT,gpt-4_TEXT,gpt-3.5-turbo_TEXT,,,,Cohens' d,ロジスティック係数,,,,,,,,,,,,,,,,,,,
Admiration,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,Admiration,0.792 ,0.083 ,434,独立しがちだが弱い、次元評価不可,,,,,,,,,,,,,,,,,
Adoration,2,4,3,3,1,2,2,1,1,2,1,0,1,0,1,1,3,3,2,3,2,2,1,0,,,Adoration,3.333 ,1.708 ,123,1つの感情として成立、次元評価対象, 14次元の中で特徴がほとんど現れない感情,,,,,Admiration Aestic-Appreciation Amusement Awe Awkwardness Entrancement ,,,,,,,,,,,
Aesthetic-Appreciation,1,1,3,3,3,1,0,0,0,3,1,0,0,0,0,3,1,1,0,2,1,2,1,0,,,Aesthetic-Appreciation,0.917 ,1.125 ,472,独立しがちだが弱い、次元評価不可,,,,,,Interest Nostalgia Relief Satisfaction Surprise Sympathy,,,,,,,,,,,
Amusement,1,1,0,3,0,1,0,0,1,0,1,0,1,0,0,0,2,1,1,3,0,2,1,0,,,Amusement,0.042 ,0.792 ,712,独立しがちだが弱い、次元評価不可,"特定の特徴（identity, valence など）が強く効く",,,,,Confusion Craving Romance Sexual-Desire,,,,,,,,,,,
Anger,2,2,2,2,2,1,2,3,2,3,3,0,5,1,1,3,2,4,2,2,2,4,3,1,,,Anger,6.250 ,2.250 ,25,Contemptと近い、次元評価対象、ほかの感情カテゴリとの意味が離れている,強いが、他と似ている,,,,,Disappointment Disgust Empathic-Pain,,,,,,,,,,,
Anxiety,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Anxiety,8.458 ,0.042 ,111,Fearと同一。次元評価対象,両方が高い感情 → “強くて、識別しやすい”,,,,,Adoration Anger Boredom Calmness Contempt Excitement Fear Horror Joy Pride Sadness Triumph,,,,,,,,,,,
Awe,3,2,2,3,2,0,0,0,1,2,3,0,0,0,0,0,3,2,0,0,0,0,0,0,,,Awe,0.042 ,0.958 ,242,独立しがちだが弱い、次元評価不可,,,,,,Anxiety,,,,,,,,,,,
Awkwardness,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,0,1,0,1,,,Awkwardness,0.292 ,0.542 ,161,独立しがちだが弱い、次元評価不可,,logistic,Cohensd,,,,,,,,,,,,,,
Boredom,2,3,2,3,1,2,1,1,3,2,2,1,2,0,1,2,2,2,1,2,1,1,4,2,,,Boredom,3.417 ,1.792 ,11,1つの感情として成立、次元評価対象,Anxiety,0.041666667,8.5,,,,,,,,,,,,,,
Calmness,2,1,2,3,3,1,1,2,1,2,3,0,1,1,1,1,3,2,3,2,1,2,1,1,,,Calmness,3.000 ,1.667 ,294,1つの感情として成立,Fear,1.625,9.9,,,,,,,,,,,,,,
