emotion,approach,arousal,attention,certainty,commitment,control,dominance,effort,fairness,identity,obstruction,safety,upswing,valence
Admiration,-0.446117443,-2.38751336,0.620973577,-0.417955409,0.586538948,1.685502048,-1.627318541,3.61302291,-0.581673685,1.193576083,-3.4217341,-0.930437357,0.971992949,1.669951996
Adoration,9.785780834,-7.457367881,-2.803709663,-2.725514951,0.438664222,-0.821081138,-4.431820592,-6.061098921,0.292136681,1.449984555,-4.001501734,-1.515420027,1.525295089,3.509226865
Aesthetic-Appreciation,-1.650704027,-4.495167222,6.489528715,-0.214783824,-2.802669365,-0.878446758,1.044171438,-0.42615879,-3.931407066,-0.376522197,-4.23719553,0.956853113,-4.897223834,7.230661851
Amusement,2.00905722,3.229865064,-6.218673711,-2.040249948,-5.511398117,-0.408420399,1.407087404,0.168057574,1.253076809,-1.990582642,1.691949234,0.858125312,3.479057653,1.89320844
Anger,1.213496689,2.762198716,-7.150529844,0.282313942,1.687484394,1.210350441,6.08046873,0.169638424,-10.3255736,3.817779371,2.688783584,0.683977905,-2.182807586,-4.742576159
Anxiety,-0.435622514,-0.263923918,-1.434845134,-3.07808177,-0.507120065,1.416075566,-0.465206355,1.81444591,2.890486879,0.518480045,1.839233287,-2.803560157,0.153806778,-3.041966742
Awe,-4.032973158,-2.526805734,7.699027868,-0.569715726,-0.427208227,-1.657960542,-2.355866941,0.371821631,-1.162623537,1.584997866,-3.89665028,-4.850340939,-0.097145684,7.477617502
Awkwardness,0.389660052,1.518204425,-3.953839636,-2.165792037,-4.7266235,-2.2400977,3.564947071,-1.052566554,2.282608432,1.155459226,0.537103256,1.569874548,0.216595838,-3.122892441
Boredom,-3.846237411,-6.357569093,-8.098808458,-0.059202763,-1.912307987,2.782927541,4.066932938,2.375229648,4.250948124,-1.265718178,3.593487721,4.746129984,-2.30671125,-5.033395409
Calmness,-4.625837994,-12.59718132,3.232517588,2.802134896,2.304230858,-0.123566516,1.469905431,-1.570912501,1.459046136,0.020446434,-3.170854535,-0.341113052,-4.060363266,6.219451624
Confusion,0.800163572,-2.742604656,0.494931724,-9.760812431,-5.281797197,-0.074618123,4.867972975,1.471426646,3.554674315,0.529021829,1.133200908,3.397886318,-0.566423463,-4.911891955
Contempt,-2.115125772,-1.499020529,-0.970267815,0.243551477,0.85804536,1.308358749,5.535795425,-2.882740676,-7.673816561,1.381220151,0.423053735,1.36682,-0.503198623,-4.354013852
Craving,14.32116157,1.338641034,-3.119389368,1.475986449,-3.145912379,1.195649109,-1.068326226,-4.399561114,-9.070132603,-3.977733732,-3.736282894,0.885269527,-1.940783316,-3.254830251
Disappointment,0.183657513,-2.87608306,-4.860469951,-1.902470574,3.325204557,-4.643351005,1.321019843,1.796876352,-1.70593894,-0.642793979,4.167492459,5.936963592,-2.866226211,-4.183338282
Disgust,-2.554637786,0.447173367,2.490183335,3.45426955,-1.756607421,-0.357236116,4.993842657,-1.28395789,1.464936067,-2.877354723,-3.88584755,0.788238514,0.511212316,-12.84396034
Empathic-Pain,3.581736268,-3.871890751,-0.300216462,2.062404248,2.053731099,-0.872162821,0.551942357,-0.105185187,-1.062153908,0.701346275,1.863194275,-2.036243859,-1.035944973,-6.848399639
Entrancement,1.449864583,-1.691972834,8.462652048,-3.003952784,2.174896793,-1.478482777,-0.434931945,-3.556815323,-3.588649877,-1.527387385,-6.665116253,1.659846164,-5.235494018,1.978032699
Envy,-0.443830746,0.371076678,-0.532611231,-0.48218449,-0.845768063,0.7519661,0.709373599,-0.395819796,-0.602102314,0.268064204,-0.392967839,-0.486538507,0.432247178,-0.002391576
Excitement,3.199416398,10.80051407,-7.085030419,-3.039422909,1.487943329,-1.151809881,1.580926526,2.527544427,-2.185863896,-1.961848742,-3.609747245,-3.537489491,3.252544492,0.1973608
Fear,-1.623296234,9.003152772,0.066889094,-2.708409798,1.639008581,-2.171409553,-4.941159197,0.019345062,1.428020585,-0.761774706,-0.322140835,-8.775374312,2.224299486,-1.509534262
Horror,-4.150788093,6.854201433,1.754125037,1.326651171,-2.165298439,1.212962272,-1.930313545,-0.587014286,-1.250418713,-1.629524537,-1.575074296,-3.786448415,-5.832975843,-8.457622778
Interest,1.515390562,-2.321328741,2.266878509,-1.664931412,-2.383823927,1.15130373,2.188198549,2.088679673,0.884898233,-3.329638575,-2.358407983,0.900049163,-0.461926651,-1.659877807
Joy,3.233730513,2.613181153,-10.73719144,-3.019055721,0.322116299,-0.45543418,-2.137586673,-0.510460703,0.573242618,0.553648234,-3.084186299,1.200351131,8.259266126,4.824004886
Nostalgia,-0.071773658,-3.634021825,-3.515597246,-1.499950418,-1.068202619,-0.126393788,-0.553896625,-0.436377876,-0.866630473,7.618103524,-0.785420937,-0.494862279,-0.748956493,1.61817618
Pride,-3.920022362,0.495101119,-6.412983287,-2.765376974,0.984444828,-0.92277827,2.338568402,2.433258005,-2.10014256,9.916991154,-6.864033241,-0.397627117,5.151851742,-2.234067348
Relief,-2.589917517,-4.554331084,-3.7073937,-1.533652076,2.999725358,0.543450929,-3.190283663,0.264690284,2.113944047,-1.444791372,3.040433921,-1.523761719,14.08193904,-5.605431486
Romance,4.436847748,5.193059119,-7.042344906,-2.007130265,12.2744357,-2.307890342,-1.545316378,-8.391397667,-2.452538918,-2.153676024,-3.78330639,-0.596167089,-4.058730066,4.186250928
Sadness,3.959022727,-9.53479552,2.721363914,3.269033608,2.694412941,-3.164024723,-2.744534253,-0.930172789,-2.511898988,4.769937753,2.722883644,0.605217685,-2.827357209,-8.534455647
Satisfaction,4.052809893,-3.259800292,-1.221540524,1.450547556,-0.296794679,2.348472215,0.576643673,2.090277786,-3.297687152,-4.150985614,-2.206401101,0.74310105,1.015591359,-2.910970177
Sexual-Desire,7.072815301,12.88042101,-5.941642679,-1.545413151,4.496005598,0.263766389,-1.396219279,-10.05093918,-3.998170696,-0.618703337,-7.419168119,0.34360288,-8.06260338,0.17893632
Surprise,-0.488751583,2.619559718,0.584234194,-3.296392636,-2.668470411,-1.695599587,3.011091492,-0.567025599,1.613577393,-2.058877306,0.785388233,-0.431584735,2.223293264,-0.438909679
Sympathy,3.694354115,-6.58513136,-1.165658847,1.028421607,2.354251066,-1.319525846,-1.712170966,-0.667113502,1.002282568,-1.070090833,4.518490271,-1.304628829,2.377504572,-4.843581016
Triumph,-3.231569459,4.052880186,-10.35969046,-3.547712503,3.657689005,-2.084330666,6.650562748,3.551694666,-1.767871251,2.793792367,-4.374265488,-1.355174892,8.18956152,-3.020132286
