emotion,approach,arousal,attention,certainty,commitment,control,dominance,effort,fairness,identity,obstruction,safety,upswing,valence
Admiration,1.3476899696195248,-5.649978361515359,-3.925691922860087,-0.3371396257208408,1.2957554162425429,5.7297259808486976,-4.209432020154496,10.603623276926236,-0.29368153406053304,1.6038591581362422,-5.475907466771692,-2.551189019178179,1.7182080165895066,4.151221988268408
Adoration,17.384515990865175,-11.910975173284582,-8.788659913571644,-4.861194638897427,4.2236476539533525,0.36315996301442754,-10.364188577919837,-9.475199486479676,1.3376089455856297,-1.506666868637619,-6.486471848915786,-2.007249240188234,0.41459271151787175,11.107956205921978
Aesthetic-Appreciation,-0.8862781680994039,-9.829840290985322,11.981589663925515,0.05028312960334376,-4.862635170251682,-0.745798440150488,0.5870972192694913,-0.14259722293160979,-8.607671373609902,-1.4275297560072593,-10.32205853102449,0.803043311650985,-8.857615641082887,13.363223698509254
Amusement,2.765240424625747,9.745426721454807,-15.427463789449275,-4.10949521164581,-13.154995623086766,-2.2269114779853902,2.6052500503482787,-0.36354918987614226,2.8279985414391633,-2.2098232907132256,4.403307007071689,4.84815988196854,3.4810624244393757,5.774865141214165
Anger,4.987769911170772,8.115250969213209,-14.051806168480105,-1.416430525005559,4.50935835466306,1.7380414708676857,13.10965919324222,0.8784698899917298,-20.169277456321673,4.801013735226123,1.849975909607788,6.341047079341232,-5.802480923958373,-18.16248930587851
Anxiety,-1.7303123169151537,2.4768884557889472,-2.3646420310779956,-5.406243537262599,0.32909256564274403,3.4787554601040056,-2.4838329430933292,3.0704851340147794,6.947011865139405,-1.0419651990940182,2.530621480154976,-5.462137599629328,1.092769509169559,-8.502956459422654
Awe,-2.954566170386195,-2.6812936367162417,14.645074832550069,-1.323870679077732,-2.686718328283162,-2.8027227467970612,-2.82246718654228,2.1881847912715595,-0.9732009890745862,-0.8601702014000838,-7.696080069868717,-8.439986702879727,0.8632525962868163,11.324877914999197
Awkwardness,-4.796231936521898,2.7733771572466623,-7.864337497816095,-2.2383770115557082,-9.721958360085925,-5.782877548023848,4.115693644529548,-1.4010239450562814,5.914581357605585,1.1961727511351854,2.421545176822528,7.207800188553121,-0.4192733560337232,-4.817081457778645
Boredom,-12.903257977399957,-9.284621380480477,-20.892607641433163,1.8078580365701769,-4.557248732433979,6.645689200509063,3.875921636886478,2.5998960150152337,5.232528841284569,3.5535377575538005,7.511294077430298,12.673366839430235,-2.6616991099706433,-9.47153257553875
Calmness,-10.967404656343604,-24.62648198642256,5.573596475298019,5.7379070079174594,1.4865603236557754,0.41893883479174104,1.3783437017874118,-2.276630406286443,2.4965917274937572,-2.0742148559537013,-4.4862896718393275,2.382898695890993,-8.77982892118895,12.9809457993386
Confusion,0.9154822981996279,-4.7567119850678035,5.4987897117556015,-27.10462823325177,-8.083402546433721,3.7541358516336367,4.358920742608271,4.722309643374213,7.297062103352263,-0.5643226681758678,1.1402852678421402,11.68860757288532,-2.911344343618496,-10.267655455576762
Contempt,-6.893573306718637,-0.06472654305373801,-6.700572014848617,0.5106377090764802,3.0804390521349907,2.6724620854798866,16.10982173039075,-6.9492586932985665,-21.035209044784516,8.642923957853291,-2.1614067712031595,5.228352355320673,-2.2662578739884776,-12.563815521777238
Craving,28.486880467853894,-2.24952248009143,-0.4942598829216349,-0.5344073140266494,-5.637410497653147,3.119082939761505,-4.437573121982328,-8.969527025010686,-15.123548504981038,-10.591766510958088,-8.884568550580624,0.4999640389019242,-4.392565054347332,-3.813617362125844
Disappointment,-2.992492835103055,-2.0627790734358036,-11.938545355263402,-3.3386238956684235,3.631426607745105,-7.9454673622218905,8.289162921248103,0.3453402662150295,-0.12460998700163273,0.8585571747458888,5.904616230427219,13.210030884457613,-6.524498159338442,-11.872581677549038
Disgust,-6.556894460374376,1.2315125712224457,5.9164590113401765,6.831018359337206,-6.850225629454018,4.304566610647928,4.942567706804646,-1.147890335004841,-1.5292475856849777,-4.281802029121252,-7.316340143884397,6.155785850611369,5.19085730646474,-31.062736967722824
Empathic-Pain,6.036425880215078,-7.053176287968627,-3.004071147465255,5.851864232814307,4.011976979098478,-3.248525965846951,-4.763623472619391,3.5480308271648724,1.1748050323236972,1.8270476586075377,4.581048358324025,-1.4927936858528053,-1.342509938434158,-15.31905270241385
Entrancement,1.7215900516678921,-5.1397930582969105,13.651038362987702,-6.660637286086429,2.299166513410501,-0.8803656086340632,-1.9256418429923698,-1.9867076637045282,-8.585805545978763,-4.955534047438762,-10.688750693755258,1.9922171783023044,-6.183814066481413,6.28252292376865
Envy,0.2656893009589092,-1.5567870808282436,-0.0766854571563859,-0.9108605304033099,-1.0942108164805378,0.6627970108269148,-0.04022481140720102,-0.8790989652941417,-2.4562588932144953,1.7175271993733503,-1.0121128782183433,-0.4065762447521209,0.1206208195992688,0.2724868665824048
Excitement,8.797155367898918,26.861814570713626,-22.329950160686316,-5.6481991043846165,1.9563898470084786,1.3844367665069859,1.2115838682558522,4.985055950286966,-3.654678090929815,-3.771492457769149,-6.452862753959223,-10.320830365143737,4.842329925390043,6.484286184507092
Fear,-5.373026165452258,17.72233918092462,-4.171703883868827,-2.8860863598856215,-0.13298947962855412,1.1566536109873269,-8.43934678772427,-1.2671717813144565,5.027555719734852,-0.17390407929670065,0.5415036433416038,-15.433156086179613,6.4398112344215095,-6.2529912723291545
Guilt,0.5823431903492793,-0.9566564078222399,-0.6208748499666092,-1.2223992955094811,-0.6597372748830646,-0.222704494781626,0.47632759582752066,-0.10220568637272792,-2.3446798035335563,0.3364541293253866,0.57815736416737,0.4001424534878964,-0.18222859779174722,-0.7126062520580007
Horror,-8.319257280075128,14.695433447539507,5.007674869018731,-0.724594079173991,-3.54937234194294,3.916493193953617,-5.206499522174097,-2.921730795712819,-2.367119687858436,0.5885480583397336,-3.708156541600844,-6.639456555464184,-6.6673701203958675,-24.00779309733813
Interest,2.52211689608667,-4.639355830299566,6.3102999645814055,-2.817469107963829,-5.661601847855274,5.191473814412741,3.0490973079166523,4.816429357468027,1.4962599916150978,-6.504480528812029,-5.039560213305406,2.283250303607141,-3.063868350363336,-3.539644658016142
Joy,9.465754610173923,6.928610420611421,-28.8941772996789,-7.891665976783573,-0.5242284645690573,-2.136336905159312,-2.9107969799035254,-1.2806246963406793,2.2792497661088413,2.206682691525761,-5.98080936017353,2.8056495510814337,16.518556607451096,13.011939631961624
Nostalgia,-0.6018949580943362,-6.10347054136634,-11.676534997801644,-0.3947004607420391,-0.1295307497252981,-0.6744534068282053,1.163560046614732,-3.120498007677589,-0.4070143443352784,17.50964106688037,-2.976591956495222,-3.007482947013425,-2.9416695546926777,3.263280349255581
Pride,-7.357606408623694,-1.9563032919030825,-17.782485330884636,-6.0084857399893705,5.255987091336598,1.777764107605713,5.774561922687282,8.46802272022322,-6.314451126750234,22.418721435858263,-13.288002388013105,-3.9575279265666063,7.551316497868768,-0.5468444403622396
Relief,-7.310785812437208,-3.704789308048749,-10.507451328316417,-1.6058676779381404,3.9135873390994242,3.099343816339782,-7.573940120221086,2.149529456871481,1.5073339966536756,-3.2448252275325307,5.2593026011162936,0.22471886417370235,29.44353724133292,-11.20532678080463
Romance,11.456266422483196,4.0371384001980735,-14.226127104932733,-6.822953848501111,24.4240181847053,-4.286457665372206,-9.064791710823783,-13.001256539491077,-8.666039806805903,-1.3857905132615198,-4.501123027774896,-1.4314716852092424,-5.8724671946152105,14.170028804680783
Sadness,5.5407807879368045,-19.97469041620855,8.43928076952721,3.171444752301342,7.13154082755123,-6.068567954495891,-5.785944644405401,-1.6129826378657743,-2.1108663695644476,10.047913930228198,4.10821404902425,3.460253074685195,-6.724676389319413,-19.804115755695143
Satisfaction,4.439677855325698,-6.649281381755154,-6.1241287844071,5.02100379204612,1.0135017808235907,5.772741494408536,4.277618225493087,3.149676397936706,-3.3392792993808085,-12.392468315452964,-4.371145551799547,0.6992378961205062,6.080904970128923,-6.90259099557551
Sexual-Desire,18.91502047213826,21.25708596960631,-11.996441965392092,-4.410174557062057,9.988228397835172,1.0645827832753592,-4.9616656512852275,-15.53184651030658,-11.568066486483549,-0.3652947057916103,-16.89014593867231,0.75388714306754,-17.57850789851861,2.200563357200682
Surprise,-1.35160859742852,11.816611372500944,-1.2243040196414783,-7.338464971732728,-9.008486971550623,-3.60976548481545,4.423846002641635,-4.129346251826192,4.094697493123125,-5.113369194649047,0.749562456407988,2.817774011571303,3.271829143960863,-0.5761141102619041
Sympathy,7.676676567488741,-12.789319913919066,-5.725712065996113,4.407425511311698,4.6285689919797806,-7.848893360712459,-5.825562629628402,3.811966366978554,8.1098446505303,-0.5819367409906293,6.398500436536089,-0.09564071579859468,2.517198605973912,-10.230546909556317
Triumph,-10.16469512411568,8.754528163603206,-26.621340214498332,-3.864064039415949,7.158547735409129,-3.7371026395102116,14.48492080908367,7.031190455527461,-6.39161558331689,4.636121451034695,-5.801358910315612,-4.210514622566757,21.828624460089475,-2.2534380609154843
