,,,, è„à 250ìÆâÊ,,, è„à 750ìÆâÊ,,
ÉÇÉfÉã1,ÉÇÉfÉã2,ì¸óÕ1,ì¸óÕ2,RDMÇÃëää÷,"GWOTëŒâûìÆâÊ
ÇÃä¥èÓàÍívó¶","ìØÇ∂î‘çÜÇÃìÆâÊÇÃ
ä¥èÓàÍívó¶",RDMÇÃëää÷,"GWOTëŒâûìÆâÊ
ÇÃä¥èÓàÍívó¶","ìØÇ∂î‘çÜÇÃìÆâÊÇÃ
ä¥èÓàÍívó¶"
chatgpt-4o-latest,chatgpt-4o-latest,FRAMES,TEXT,0.392793072,0.104,0.468,0.391720327,0.24,0.469333333
chatgpt-4o-latest,gpt-5,FRAMES,FRAMES,0.411369504,0.132,0.604,0.373805413,0.284,0.641333333
chatgpt-4o-latest,gpt-5.2-pro,FRAMES,FRAMES,0.462329152,0.208,0.504,0.402240121,0.32,0.528
chatgpt-4o-latest,gpt-5.1-chat-latest,FRAMES,FRAMES,0.380002818,0.204,0.572,0.388599854,0.154666667,0.632
chatgpt-4o-latest,gpt-5.2-chat-latest,FRAMES,FRAMES,0.468476872,0.384,0.504,0.413573848,0.454666667,0.550666667
chatgpt-4o-latest,gpt-5-mini,FRAMES,FRAMES,0.466545822,0.344,0.568,0.46208605,0.354666667,0.594666667
chatgpt-4o-latest,gpt-5-nano,FRAMES,FRAMES,0.196386044,0.048,0.292,0.190423783,0.069333333,0.318666667
gpt-5,gpt-5,FRAMES,TEXT,0.339731714,0.068,0.508,0.257749652,0.057333333,0.497333333
gpt-5,gpt-5.2-pro,FRAMES,FRAMES,0.492518281,0.528,0.648,0.391622998,0.392,0.636
gpt-5,gpt-5.1-chat-latest,FRAMES,FRAMES,0.53984862,0.264,0.696,0.411615739,0.245333333,0.688
gpt-5,gpt-5.2-chat-latest,FRAMES,FRAMES,0.407145907,0.244,0.548,0.365544391,0.286666667,0.602666667
gpt-5,gpt-5-mini,FRAMES,FRAMES,0.334141382,0.304,0.58,0.365446267,0.337333333,0.6
gpt-5,gpt-5-nano,FRAMES,FRAMES,0.192449171,0.296,0.368,0.18220196,0.129333333,0.362666667
gpt-5.2-pro,gpt-5.2-pro,FRAMES,TEXT,0.417995963,0.312,0.508,0.35340595,0.204,0.5
gpt-5.2-pro,gpt-5.1-chat-latest,FRAMES,FRAMES,0.420698041,0.064,0.588,0.367125616,0.130666667,0.586666667
gpt-5.2-pro,gpt-5.2-chat-latest,FRAMES,FRAMES,0.525385985,0.224,0.708,0.562015778,0.236,0.713333333
gpt-5.2-pro,gpt-5-mini,FRAMES,FRAMES,0.492642686,0.272,0.6,0.445473835,0.238666667,0.597333333
gpt-5.2-pro,gpt-5-nano,FRAMES,FRAMES,0.529183638,0.236,0.396,0.373647478,0.158666667,0.38
gpt-5.1-chat-latest,gpt-5.1-chat-latest,FRAMES,TEXT,0.360577189,0.148,0.472,0.29732177,0.209333333,0.505333333
gpt-5.1-chat-latest,gpt-5.2-chat-latest,FRAMES,FRAMES,0.473140569,0.276,0.548,0.357537571,0.192,0.590666667
gpt-5.1-chat-latest,gpt-5-mini,FRAMES,FRAMES,0.242622375,0.296,0.564,0.291045862,0.344,0.582666667
gpt-5.1-chat-latest,gpt-5-nano,FRAMES,FRAMES,0.203945692,0.236,0.376,0.25825787,0.182666667,0.377333333
gpt-5.2-chat-latest,gpt-5.2-chat-latest,FRAMES,TEXT,0.290825774,0.12,0.488,0.292015337,0.246666667,0.521333333
gpt-5.2-chat-latest,gpt-5-mini,FRAMES,FRAMES,0.36178171,0.376,0.564,0.371576176,0.394666667,0.6
gpt-5.2-chat-latest,gpt-5-nano,FRAMES,FRAMES,0.222988862,0.168,0.4,0.171512046,0.148,0.408
gpt-5-mini,gpt-5-mini,FRAMES,TEXT,0.327467463,0.064,0.484,0.331454334,0.138666667,0.525333333
gpt-5-mini,gpt-5-nano,FRAMES,FRAMES,0.189205996,0.164,0.356,0.15748119,0.290666667,0.38
gpt-5-nano,gpt-5-nano,FRAMES,TEXT,0.300953034,0.052,0.396,0.294998732,0.081333333,0.384
chatgpt-4o-latest,gpt-5,TEXT,TEXT,0.404039308,0.08,0.684,0.453613865,0.308,0.705333333
chatgpt-4o-latest,gpt-5.2-pro,TEXT,TEXT,0.359780565,0.232,0.62,0.424680647,0.169333333,0.618666667
chatgpt-4o-latest,gpt-5.1-chat-latest,TEXT,TEXT,0.513128362,0.332,0.636,0.524959227,0.405333333,0.664
chatgpt-4o-latest,gpt-5.2-chat-latest,TEXT,TEXT,0.41701861,0.096,0.668,0.471305522,0.422666667,0.652
chatgpt-4o-latest,gpt-5-mini,TEXT,TEXT,0.454956338,0.268,0.672,0.476918448,0.513333333,0.676
chatgpt-4o-latest,gpt-5-nano,TEXT,TEXT,0.549803847,0.328,0.592,0.534062961,0.325333333,0.590666667
chatgpt-4o-latest,gpt-4o,TEXT,TEXT,0.775004081,0.32,0.74,0.714733233,0.106666667,0.718666667
chatgpt-4o-latest,gpt-4o-mini,TEXT,TEXT,0.335760351,0.02,0.544,0.320844623,0.225333333,0.586666667
chatgpt-4o-latest,gpt-5.1,TEXT,TEXT,0.585877979,0.14,0.716,0.613927879,0.126666667,0.690666667
