,emotion,model,total_difference,rank,mean_score
0,Disappointment,gpt-5,5.344096529814085,7.0,0.007322654462242563
1,Confusion,gpt-5-nano,5.2699780132009915,6.0,0.05446224256292906
2,Sympathy,gpt-5-nano,5.21353555367582,7.0,0.032951945080091534
3,Satisfaction,gpt-5-nano,5.181610930653671,7.0,0.05354691075514874
4,Nostalgia,gpt-5-nano,5.1039297007454385,7.0,0.013729977116704805
5,Empathic-Pain,gpt-5-nano,5.098525600359675,7.0,0.30983981693363843
6,Relief,gpt-5-nano,5.067393993705064,7.0,0.058581235697940506
7,Disappointment,gpt-5.2-chat-latest,5.064828379968944,5.0,0.033409610983981694
8,Confusion,gpt-5-mini,4.850056055585556,7.0,0.05263157894736842
9,Awkwardness,gpt-5-nano,4.829860876229649,7.0,0.17437070938215102
10,Disappointment,gpt-5.1-chat-latest,4.813457148793449,3.0,0.044393592677345536
11,Surprise,gpt-5-nano,4.762219290672152,7.0,0.974370709382151
12,Anxiety,gpt-5-nano,4.610127084919375,4.0,1.6356979405034324
13,Contempt,gpt-5,4.598793633547715,6.0,0.0004576659038901602
14,Anger,chatgpt-4o-latest,4.5974487202670975,7.0,0.11624713958810069
15,Entrancement,gpt-5-nano,4.565960650604396,4.0,0.6649885583524028
16,Anger,gpt-5-nano,4.553141713348203,5.0,0.1276887871853547
17,Sexual-Desire,gpt-5-nano,4.517196333582862,7.0,0.14187643020594964
18,Aesthetic-Appreciation,gpt-5-nano,4.511657744906166,7.0,0.48695652173913045
19,Admiration,gpt-5-nano,4.486007653527913,3.0,1.586270022883295
20,Confusion,gpt-5.2-pro,4.463424393034382,3.0,0.39679633867276887
21,Anger,gpt-5,4.432256618548778,4.0,0.15423340961098397
22,Contempt,gpt-5.1-chat-latest,4.376143941160659,4.0,0.010526315789473684
23,Triumph,gpt-5-nano,4.3693214283770825,7.0,0.08100686498855836
24,Confusion,gpt-5.2-chat-latest,4.362093116278061,5.0,0.18901601830663617
25,Pride,gpt-5-nano,4.350047288677987,7.0,0.02562929061784897
26,Confusion,gpt-5,4.295200598158375,4.0,0.20778032036613273
27,Adoration,gpt-5-nano,4.280067157629486,7.0,0.128604118993135
28,Disappointment,gpt-5-mini,4.154241608475365,2.0,0.07871853546910755
29,Horror,gpt-5-nano,4.110650878513418,7.0,0.2851258581235698
30,Empathic-Pain,gpt-5-mini,4.109980045334451,2.0,1.17116704805492
31,Entrancement,gpt-5.2-chat-latest,4.109028829805255,6.0,0.40091533180778033
32,Confusion,chatgpt-4o-latest,4.104938320496782,2.0,0.5519450800915332
33,Disappointment,chatgpt-4o-latest,4.089884521892568,1.0,0.1496567505720824
34,Anxiety,chatgpt-4o-latest,3.9941895060090555,7.0,0.5446224256292906
35,Contempt,gpt-5-mini,3.984252582825256,2.0,0.043020594965675056
36,Confusion,gpt-5.1-chat-latest,3.983342311639075,1.0,0.7601830663615561
37,Sadness,gpt-5-nano,3.947665565527786,4.0,0.37848970251716246
38,Entrancement,gpt-5.1-chat-latest,3.946584542589387,7.0,0.18764302059496568
39,Relief,gpt-5.2-chat-latest,3.9097674178141157,5.0,0.1734553775743707
40,Boredom,gpt-5-nano,3.8913049949860588,7.0,0.0517162471395881
41,Anger,gpt-5.1-chat-latest,3.885040070033643,6.0,0.12036613272311213
42,Triumph,chatgpt-4o-latest,3.8345553185362964,1.0,1.4974828375286042
43,Relief,gpt-5,3.8197972682713246,4.0,0.2745995423340961
44,Awkwardness,chatgpt-4o-latest,3.8043579778386434,3.0,0.8356979405034325
45,Awkwardness,gpt-5-mini,3.7927351944521153,5.0,0.5954233409610984
46,Empathic-Pain,gpt-5.1-chat-latest,3.788797983014905,3.0,0.8951945080091533
47,Contempt,chatgpt-4o-latest,3.7620677705666763,1.0,0.2590389016018307
48,Contempt,gpt-5.2-chat-latest,3.7375352273072204,5.0,0.005034324942791762
49,Anxiety,gpt-5-mini,3.7326015409223774,5.0,1.619679633867277
50,Awkwardness,gpt-5.1-chat-latest,3.730185421892242,1.0,1.240274599542334
51,Empathic-Pain,gpt-5,3.714564941433271,4.0,0.8553775743707094
52,Triumph,gpt-5.1-chat-latest,3.7060279792565582,6.0,0.17620137299771166
53,Empathic-Pain,gpt-5.2-pro,3.694579875918766,6.0,0.5368421052631579
54,Sympathy,chatgpt-4o-latest,3.6917191262077127,6.0,0.6535469107551487
55,Relief,gpt-5.1-chat-latest,3.6729133282212723,6.0,0.059496567505720827
56,Empathic-Pain,gpt-5.2-chat-latest,3.670576598869597,5.0,0.5954233409610984
57,Relief,chatgpt-4o-latest,3.6264345884145053,1.0,0.5588100686498856
58,Craving,gpt-5-nano,3.6249407677194743,7.0,0.26636155606407325
59,Relief,gpt-5.2-pro,3.6024811123222067,3.0,0.2819221967963387
60,Empathic-Pain,chatgpt-4o-latest,3.589532124130341,1.0,2.2045766590389015
61,Relief,gpt-5-mini,3.587377312533544,2.0,0.388558352402746
62,Entrancement,gpt-5,3.5868009820664764,5.0,0.4608695652173913
63,Anxiety,gpt-5,3.5505230643441648,3.0,1.929061784897025
64,Contempt,gpt-5-nano,3.5457244207737815,3.0,0.02745995423340961
65,Anger,gpt-5-mini,3.534975732029573,1.0,0.49244851258581235
66,Surprise,chatgpt-4o-latest,3.534287393237322,5.0,1.9212814645308924
67,Entrancement,gpt-5.2-pro,3.527969684017497,2.0,0.9510297482837529
68,Anxiety,gpt-5.2-pro,3.5124733404505752,1.0,2.9075514874141875
69,Anxiety,gpt-5.2-chat-latest,3.5072119688160006,2.0,2.103432494279176
70,Disappointment,gpt-5-nano,3.505621034692947,6.0,0.032036613272311214
71,Surprise,gpt-5-mini,3.4849358240529993,1.0,3.0448512585812355
72,Entrancement,chatgpt-4o-latest,3.4667965673150105,1.0,1.2297482837528604
73,Anxiety,gpt-5.1-chat-latest,3.4575865688965868,6.0,1.296567505720824
74,Entrancement,gpt-5-mini,3.41805025999065,3.0,0.8764302059496567
75,Awkwardness,gpt-5.2-pro,3.408353571234417,2.0,1.063157894736842
76,Anger,gpt-5.2-chat-latest,3.39380903474504,2.0,0.29839816933638447
77,Surprise,gpt-5,3.3808532488853875,3.0,2.4270022883295193
78,Surprise,gpt-5.2-chat-latest,3.377121354459934,4.0,2.3922196796338673
79,Interest,gpt-5-nano,3.363392210200711,1.0,9.777574370709383
80,Boredom,gpt-5.1-chat-latest,3.3616549692983044,1.0,0.6654462242562929
81,Admiration,gpt-5.2-chat-latest,3.353360013824495,7.0,0.6004576659038902
82,Pride,chatgpt-4o-latest,3.351092533747933,3.0,0.19267734553775745
83,Anger,gpt-5.2-pro,3.3408763173369502,3.0,0.20732265446224257
84,Awkwardness,gpt-5.2-chat-latest,3.3343907352219726,4.0,0.5995423340961098
85,Admiration,chatgpt-4o-latest,3.3168521383072527,1.0,2.7290617848970253
86,Boredom,gpt-5.2-pro,3.300491455431337,3.0,0.3917620137299771
87,Awkwardness,gpt-5,3.2748023313638406,6.0,0.5693363844393593
88,Surprise,gpt-5.1-chat-latest,3.257413905097206,6.0,1.6453089244851258
89,Calmness,gpt-5-nano,3.246232154992178,1.0,6.416475972540046
90,Satisfaction,gpt-5-mini,3.245755164281935,4.0,0.3862700228832952
