,chatgpt-4o-latest,gpt-5,gpt-5.2-pro,gpt-5.1-chat-latest,gpt-5.2-chat-latest,gpt-5-mini,gpt-5-nano
Admiration,1.0,4.0,6.0,5.0,7.0,2.0,3.0
Adoration,2.0,3.0,4.0,5.0,6.0,1.0,7.0
Aesthetic-Appreciation,3.0,4.0,6.0,1.0,5.0,2.0,7.0
Amusement,1.0,3.0,6.0,4.0,5.0,2.0,7.0
Anger,7.0,4.0,3.0,6.0,2.0,1.0,5.0
Anxiety,7.0,3.0,1.0,6.0,2.0,5.0,4.0
Awe,6.0,5.0,3.0,7.0,2.0,4.0,1.0
Awkwardness,3.0,6.0,2.0,1.0,4.0,5.0,7.0
Boredom,6.0,2.0,3.0,1.0,4.0,5.0,7.0
Calmness,6.0,4.0,5.0,2.0,3.0,7.0,1.0
Confusion,2.0,4.0,3.0,1.0,5.0,7.0,6.0
Contempt,1.0,6.0,7.0,4.0,5.0,2.0,3.0
Craving,3.0,2.0,4.0,6.0,5.0,1.0,7.0
Disappointment,1.0,7.0,4.0,3.0,5.0,2.0,6.0
Disgust,5.0,3.0,4.0,1.0,2.0,6.0,7.0
Empathic-Pain,1.0,4.0,6.0,3.0,5.0,2.0,7.0
Entrancement,1.0,5.0,2.0,7.0,6.0,3.0,4.0
Envy,1.0,6.0,3.0,6.0,3.0,3.0,6.0
Excitement,7.0,3.0,1.0,6.0,2.0,5.0,4.0
Fear,4.0,7.0,5.0,2.0,3.0,6.0,1.0
Guilt,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Horror,4.0,3.0,5.0,2.0,1.0,6.0,7.0
Interest,7.0,2.0,3.0,4.0,5.0,6.0,1.0
Joy,7.0,6.0,3.0,4.0,2.0,5.0,1.0
Nostalgia,2.0,5.0,4.0,6.0,3.0,1.0,7.0
Pride,3.0,5.0,4.0,6.0,2.0,1.0,7.0
Relief,1.0,4.0,3.0,6.0,5.0,2.0,7.0
Romance,5.0,2.0,3.0,4.0,7.0,1.0,6.0
Sadness,6.0,7.0,5.0,3.0,2.0,1.0,4.0
Satisfaction,1.0,3.0,5.0,6.0,2.0,4.0,7.0
Sexual-Desire,5.0,4.0,2.0,6.0,1.0,3.0,7.0
Surprise,5.0,3.0,2.0,6.0,4.0,1.0,7.0
Sympathy,6.0,4.0,2.0,5.0,3.0,1.0,7.0
Triumph,1.0,2.0,3.0,6.0,4.0,5.0,7.0
