,emotion,model,total_difference,rank,mean_score,z_diff,strength
0,Disappointment,gpt-5,5.34409653,7,0.007322654,2.128477661,
1,Confusion,gpt-5-nano,5.269978013,6,0.054462243,2.066763875,
2,Sympathy,gpt-5-nano,5.213535554,7,0.032951945,2.019767821,
3,Satisfaction,gpt-5-nano,5.181610931,7,0.053546911,1.993186213,
4,Nostalgia,gpt-5-nano,5.103929701,7,0.013729977,1.928505983,
5,Empathic-Pain,gpt-5-nano,5.0985256,7,0.309839817,1.924006331,
6,Relief,gpt-5-nano,5.067393994,7,0.058581236,1.898085018,
7,Disappointment,gpt-5.2-chat-latest,5.06482838,5,0.033409611,1.895948794,
8,Confusion,gpt-5-mini,4.850056056,7,0.052631579,1.717121509,
9,Awkwardness,gpt-5-nano,4.829860876,7,0.174370709,1.700306265,
10,Disappointment,gpt-5.1-chat-latest,4.813457149,3,0.044393593,1.686647922,
11,Surprise,gpt-5-nano,4.762219291,7,0.974370709,1.643985409,
12,Anxiety,gpt-5-nano,4.610127085,4,1.635697941,1.517347881,
13,Contempt,gpt-5,4.598793634,6,0.000457666,1.507911235,
14,Anger,chatgpt-4o-latest,4.59744872,7,0.11624714,1.506791411,
15,Entrancement,gpt-5-nano,4.565960651,4,0.664988558,1.480573294,
16,Anger,gpt-5-nano,4.553141713,5,0.127688787,1.469899778,
17,Sexual-Desire,gpt-5-nano,4.517196334,7,0.14187643,1.439970342,
18,Aesthetic-Appreciation,gpt-5-nano,4.511657745,7,0.486956522,1.43535871,
19,Admiration,gpt-5-nano,4.486007654,3,1.586270023,1.414001507,
20,Confusion,gpt-5.2-pro,4.463424393,3,0.396796339,1.395197859,
21,Anger,gpt-5,4.432256619,4,0.15423341,1.369246431,
22,Contempt,gpt-5.1-chat-latest,4.376143941,4,0.010526316,1.322524965,
23,Triumph,gpt-5-nano,4.369321428,7,0.081006865,1.316844292,
24,Confusion,gpt-5.2-chat-latest,4.362093116,5,0.189016018,1.310825735,
25,Pride,gpt-5-nano,4.350047289,7,0.025629291,1.300795939,
26,Confusion,gpt-5,4.295200598,4,0.20778032,1.25512858,
27,Adoration,gpt-5-nano,4.280067158,7,0.128604119,1.242527925,
28,Disappointment,gpt-5-mini,4.154241608,2,0.078718535,1.137760975,Strong/Divergent
29,Horror,gpt-5-nano,4.110650879,7,0.285125858,1.10146574,
30,Empathic-Pain,gpt-5-mini,4.109980045,2,1.171167048,1.10090718,Strong/Divergent
31,Entrancement,gpt-5.2-chat-latest,4.10902883,6,0.400915332,1.100115163,
32,Confusion,chatgpt-4o-latest,4.10493832,2,0.55194508,1.096709256,Strong/Divergent
33,Disappointment,chatgpt-4o-latest,4.089884522,1,0.149656751,1.084174913,Strong/Divergent
34,Anxiety,chatgpt-4o-latest,3.994189506,7,0.544622426,1.004495746,
35,Contempt,gpt-5-mini,3.984252583,2,0.043020595,0.9962219,Strong/Divergent
36,Confusion,gpt-5.1-chat-latest,3.983342312,1,0.760183066,0.995463975,Strong/Divergent
37,Sadness,gpt-5-nano,3.947665566,4,0.378489703,0.965758213,
38,Entrancement,gpt-5.1-chat-latest,3.946584543,7,0.187643021,0.964858114,
39,Relief,gpt-5.2-chat-latest,3.909767418,5,0.173455378,0.93420283,
40,Boredom,gpt-5-nano,3.891304995,7,0.051716247,0.918830342,
41,Anger,gpt-5.1-chat-latest,3.88504007,6,0.120366133,0.913613937,
42,Triumph,chatgpt-4o-latest,3.834555319,1,1.497482838,0.871578488,Strong/Divergent
43,Relief,gpt-5,3.819797268,4,0.274599542,0.859290396,
44,Awkwardness,chatgpt-4o-latest,3.804357978,3,0.835697941,0.846435079,
45,Awkwardness,gpt-5-mini,3.792735194,5,0.595423341,0.836757525,
46,Empathic-Pain,gpt-5.1-chat-latest,3.788797983,3,0.895194508,0.833479259,
47,Contempt,chatgpt-4o-latest,3.762067771,1,0.259038902,0.811222707,Strong/Divergent
48,Contempt,gpt-5.2-chat-latest,3.737535227,5,0.005034325,0.790796015,
49,Anxiety,gpt-5-mini,3.732601541,5,1.619679634,0.786688047,
50,Awkwardness,gpt-5.1-chat-latest,3.730185422,1,1.2402746,0.784676298,Strong/Divergent
51,Empathic-Pain,gpt-5,3.714564941,4,0.855377574,0.771670116,
52,Triumph,gpt-5.1-chat-latest,3.706027979,6,0.176201373,0.764561929,
53,Empathic-Pain,gpt-5.2-pro,3.694579876,6,0.536842105,0.75502982,
54,Sympathy,chatgpt-4o-latest,3.691719126,6,0.653546911,0.752647855,
55,Relief,gpt-5.1-chat-latest,3.672913328,6,0.059496568,0.73698946,
56,Empathic-Pain,gpt-5.2-chat-latest,3.670576599,5,0.595423341,0.735043814,
57,Relief,chatgpt-4o-latest,3.626434588,1,0.558810069,0.698289563,Strong/Divergent
58,Craving,gpt-5-nano,3.624940768,7,0.266361556,0.697045754,
59,Relief,gpt-5.2-pro,3.602481112,3,0.281922197,0.678345024,
60,Empathic-Pain,chatgpt-4o-latest,3.589532124,1,2.204576659,0.667563223,Strong/Divergent
61,Relief,gpt-5-mini,3.587377313,2,0.388558352,0.665769048,Strong/Divergent
62,Entrancement,gpt-5,3.586800982,5,0.460869565,0.665289174,
63,Anxiety,gpt-5,3.550523064,3,1.929061785,0.635082854,
64,Contempt,gpt-5-nano,3.545724421,3,0.027459954,0.631087329,
65,Anger,gpt-5-mini,3.534975732,1,0.492448513,0.622137577,Strong/Divergent
66,Surprise,chatgpt-4o-latest,3.534287393,5,1.921281465,0.621564441,
67,Entrancement,gpt-5.2-pro,3.527969684,2,0.951029748,0.616304086,Strong/Divergent
68,Anxiety,gpt-5.2-pro,3.51247334,1,2.907551487,0.603401264,Strong/Divergent
69,Anxiety,gpt-5.2-chat-latest,3.507211969,2,2.103432494,0.599020454,Strong/Divergent
70,Disappointment,gpt-5-nano,3.505621035,6,0.032036613,0.597695784,
71,Surprise,gpt-5-mini,3.484935824,1,3.044851259,0.580472522,Strong/Divergent
72,Entrancement,chatgpt-4o-latest,3.466796567,1,1.229748284,0.565369114,Strong/Divergent
73,Anxiety,gpt-5.1-chat-latest,3.457586569,6,1.296567506,0.557700532,
74,Entrancement,gpt-5-mini,3.41805026,3,0.876430206,0.524781157,
75,Awkwardness,gpt-5.2-pro,3.408353571,2,1.063157895,0.51670734,Strong/Divergent
76,Anger,gpt-5.2-chat-latest,3.393809035,2,0.298398169,0.504597027,Strong/Divergent
77,Surprise,gpt-5,3.380853249,3,2.427002288,0.493809566,
78,Surprise,gpt-5.2-chat-latest,3.377121354,4,2.39221968,0.490702255,
79,Interest,gpt-5-nano,3.36339221,1,9.777574371,0.479270867,
80,Boredom,gpt-5.1-chat-latest,3.361654969,1,0.665446224,0.477824377,
81,Admiration,gpt-5.2-chat-latest,3.353360014,7,0.600457666,0.470917694,
82,Pride,chatgpt-4o-latest,3.351092534,3,0.192677346,0.469029707,
83,Anger,gpt-5.2-pro,3.340876317,3,0.207322654,0.460523312,
84,Awkwardness,gpt-5.2-chat-latest,3.334390735,4,0.599542334,0.45512318,
85,Admiration,chatgpt-4o-latest,3.316852138,1,2.729061785,0.440519903,
86,Boredom,gpt-5.2-pro,3.300491455,3,0.391762014,0.426897401,
87,Awkwardness,gpt-5,3.274802331,6,0.569336384,0.405507697,
88,Surprise,gpt-5.1-chat-latest,3.257413905,6,1.645308924,0.391029458,
89,Calmness,gpt-5-nano,3.246232155,1,6.416475973,0.381719124,
90,Satisfaction,gpt-5-mini,3.245755164,4,0.386270023,0.381321964,
