,emotion,model,total_difference,rank,mean_score
0,Adoration,gpt-3.5-turbo,16.0,17.0,0.0004576659038901602
1,Anger,gpt-5.2,15.628195969845939,17.0,0.005949656750572082
2,Entrancement,gpt-3.5-turbo,15.59493102351652,17.0,0.0004576659038901602
3,Entrancement,gpt-4o-mini,15.143068316339203,16.0,0.010983981693363844
4,Entrancement,gpt-4-turbo,14.724333030351904,14.0,0.020137299771167048
5,Aesthetic-Appreciation,gpt-4.1-nano,13.685589119505455,17.0,0.037528604118993135
6,Disappointment,gpt-5-mini,13.372249831203355,16.0,0.011899313501144164
7,Anxiety,gpt-3.5-turbo,13.340475350940443,17.0,0.211441647597254
8,Awe,gpt-5.2,12.932839849259379,17.0,0.3025171624713959
9,Sympathy,gpt-4.1-nano,12.704470696738614,17.0,0.1080091533180778
10,Entrancement,gpt-4,12.561341953043833,15.0,0.016933638443935927
11,Relief,gpt-5.1-chat-latest,12.49195706186583,17.0,0.02654462242562929
12,Sadness,gpt-5.1-chat-latest,12.328413560070578,17.0,0.07459954233409612
13,Pride,gpt-5.1-chat-latest,12.168820179006559,17.0,0.009610983981693364
14,Awkwardness,gpt-3.5-turbo,11.866515200719048,16.0,0.1496567505720824
15,Craving,gpt-3.5-turbo,11.604319620561927,17.0,0.009610983981693364
16,Admiration,gpt-4.1-nano,11.558713095703773,16.0,0.8805491990846682
17,Disappointment,gpt-4.1-nano,11.458860415376067,2.0,0.13455377574370708
18,Entrancement,gpt-5.2,11.398113765774642,13.0,0.12494279176201373
19,Empathic-Pain,gpt-3.5-turbo,11.294247271334644,17.0,0.2242562929061785
20,Aesthetic-Appreciation,gpt-3.5-turbo,11.238577042917784,16.0,0.37299771167048057
21,Awkwardness,gpt-5.2,11.125619605855707,15.0,0.19633867276887873
22,Empathic-Pain,gpt-4.1-nano,11.114333999169123,15.0,0.41693363844393594
23,Sympathy,gpt-5-nano,10.977974545186905,16.0,0.14462242562929062
24,Pride,gpt-3.5-turbo,10.94035752955028,16.0,0.07048054919908467
25,Anxiety,gpt-4.1-nano,10.888763409490725,15.0,0.7340961098398169
26,Sexual-Desire,gpt-3.5-turbo,10.855061360798134,17.0,0.007322654462242563
27,Anger,gpt-4.1,10.839252858207551,16.0,0.05308924485125858
28,Adoration,gpt-4.1-nano,10.808696960530199,16.0,0.2897025171624714
29,Admiration,gpt-3.5-turbo,10.520230173510779,1.0,5.612814645308925
30,Anger,gpt-5-nano,10.401817894994611,14.0,0.1308924485125858
31,Admiration,gpt-4-turbo,10.365365637960858,15.0,0.8901601830663616
