,chatgpt-4o-latest,gpt-5,gpt-5.2-pro,gpt-5.1-chat-latest,gpt-5.2-chat-latest,gpt-5-mini,gpt-5-nano,gpt-4o,gpt-4o-mini,gpt-5.1,gpt-5.2,gpt-4.1,gpt-4.1-mini,gpt-4.1-nano,gpt-4-turbo,gpt-4,gpt-3.5-turbo
Admiration,7.0,9.0,17.0,8.0,11.0,4.0,3.0,10.0,12.0,5.0,14.0,6.0,2.0,16.0,15.0,13.0,1.0
Adoration,4.0,6.0,9.0,2.0,12.0,3.0,8.0,7.0,15.0,5.0,10.0,11.0,1.0,16.0,14.0,13.0,17.0
Aesthetic-Appreciation,2.0,6.0,13.0,10.0,11.0,7.0,15.0,4.0,12.0,3.0,14.0,1.0,9.0,17.0,8.0,5.0,16.0
Amusement,10.0,16.0,14.0,8.0,13.0,9.0,5.0,7.0,15.0,3.0,4.0,6.0,12.0,11.0,2.0,1.0,17.0
Anger,13.0,9.0,7.0,11.0,8.0,5.0,14.0,15.0,4.0,12.0,17.0,16.0,3.0,1.0,10.0,6.0,2.0
Anxiety,12.0,3.0,5.0,8.0,11.0,9.0,6.0,14.0,1.0,2.0,4.0,7.0,10.0,15.0,13.0,16.0,17.0
Awe,9.0,11.0,15.0,10.0,4.0,14.0,1.0,6.0,3.0,7.0,17.0,16.0,12.0,5.0,8.0,13.0,2.0
Awkwardness,8.0,11.0,4.0,3.0,10.0,7.0,2.0,5.0,9.0,6.0,15.0,1.0,12.0,13.0,14.0,17.0,16.0
Boredom,14.5,10.0,7.5,5.0,14.5,16.0,12.0,2.0,4.0,9.0,7.5,12.0,1.0,3.0,12.0,6.0,17.0
Calmness,12.0,15.0,11.0,13.0,4.0,17.0,14.0,3.0,10.0,9.0,5.0,2.0,7.0,1.0,6.0,8.0,16.0
Confusion,1.0,16.0,5.0,6.0,10.0,15.0,17.0,2.0,14.0,11.0,7.0,4.0,13.0,9.0,12.0,8.0,3.0
Contempt,2.0,13.0,17.0,12.0,16.0,8.0,11.0,4.0,7.0,10.0,14.0,5.0,1.0,3.0,6.0,15.0,9.0
Craving,4.0,6.0,1.0,10.0,8.0,2.0,9.0,14.0,16.0,7.0,3.0,12.0,5.0,11.0,15.0,13.0,17.0
Disappointment,9.0,17.0,14.0,15.0,11.0,16.0,10.0,6.0,4.0,12.5,12.5,8.0,1.0,2.0,7.0,5.0,3.0
Disgust,13.0,7.0,4.0,3.0,10.0,8.0,17.0,14.0,16.0,2.0,1.0,9.0,12.0,11.0,6.0,5.0,15.0
Empathic-Pain,1.0,8.0,10.0,6.0,13.0,4.0,11.0,7.0,12.0,2.0,14.0,5.0,3.0,15.0,9.0,16.0,17.0
Entrancement,2.0,7.0,3.0,8.0,6.0,4.0,5.0,12.0,16.0,9.0,13.0,10.0,11.0,1.0,14.0,15.0,17.0
Envy,10.5,10.5,2.5,10.5,10.5,2.5,1.0,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5
Excitement,17.0,12.0,6.0,13.0,8.0,9.0,5.0,11.0,3.0,14.0,10.0,15.0,7.0,16.0,2.0,4.0,1.0
Fear,9.0,16.0,7.0,8.0,5.0,11.0,3.0,12.0,4.0,10.0,13.0,17.0,15.0,2.0,14.0,6.0,1.0
Guilt,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,1.5,10.5,10.5,3.0,10.5,10.5,1.5,10.5,10.5
Horror,11.0,4.0,1.0,5.0,2.0,3.0,10.0,7.0,12.0,6.0,15.0,9.0,14.0,16.0,8.0,13.0,17.0
Interest,17.0,5.0,9.0,10.0,13.0,15.0,16.0,14.0,12.0,8.0,6.0,11.0,4.0,1.0,3.0,2.0,7.0
Joy,17.0,14.0,7.0,12.0,4.0,9.0,13.0,11.0,1.0,10.0,5.0,16.0,15.0,3.0,6.0,8.0,2.0
Nostalgia,3.0,13.0,16.0,6.0,4.0,5.0,7.0,1.0,12.0,2.0,8.0,11.0,14.0,17.0,9.0,10.0,15.0
Pride,10.0,15.0,14.0,17.0,8.0,9.0,11.0,5.0,1.0,6.0,13.0,7.0,2.0,4.0,3.0,12.0,16.0
Relief,12.0,10.0,14.0,17.0,15.0,8.0,1.0,13.0,9.0,6.0,11.0,4.0,7.0,3.0,5.0,16.0,2.0
Romance,13.0,9.0,6.0,3.0,10.0,4.0,1.0,5.0,15.0,2.0,7.0,8.0,16.0,11.0,12.0,14.0,17.0
Sadness,15.0,16.0,11.0,17.0,6.0,12.0,10.0,8.0,2.0,7.0,3.0,14.0,13.0,4.0,5.0,9.0,1.0
Satisfaction,3.0,11.0,13.0,12.0,8.0,10.0,15.0,2.0,5.0,4.0,14.0,7.0,6.0,16.0,1.0,9.0,17.0
Sexual-Desire,3.0,9.0,7.0,15.0,1.0,4.0,10.0,11.0,14.0,2.0,5.0,8.0,6.0,16.0,13.0,12.0,17.0
Surprise,9.0,2.0,1.0,4.0,6.0,7.0,14.0,8.0,16.0,15.0,5.0,3.0,13.0,17.0,11.0,10.0,12.0
Sympathy,11.0,6.0,4.0,10.0,1.0,2.0,16.0,8.0,13.0,12.0,9.0,14.0,7.0,17.0,3.0,5.0,15.0
Triumph,1.0,11.0,10.0,7.0,5.0,4.0,2.0,3.0,15.0,9.0,12.0,6.0,8.0,14.0,16.0,13.0,17.0
