,emotion,model,total_difference,rank,mean_score,z_diff,strength,,,,,,,,
0,Adoration,gpt-3.5-turbo,16,17,0.000457666,3.648588774,,,,,,,,,
1,Anger,gpt-5.2,15.62819597,17,0.005949657,3.518494145,,,,,,,,,
2,Entrancement,gpt-3.5-turbo,15.59493102,17,0.000457666,3.506854704,,,,,,,,,
3,Entrancement,gpt-4o-mini,15.14306832,16,0.010983982,3.348747458,,,,,,,,,
4,Entrancement,gpt-4-turbo,14.72433303,14,0.0201373,3.202231532,,,,,,,,,
5,Aesthetic-Appreciation,gpt-4.1-nano,13.68558912,17,0.037528604,2.838773922,,,,,,,,,
6,Disappointment,gpt-5-mini,13.37224983,16,0.011899314,2.729136168,,,,,,,,,
7,Anxiety,gpt-3.5-turbo,13.34047535,17,0.211441648,2.718018243,,,,,Confusion,gpt-3.5-turbo,0.564377472,,
8,Awe,gpt-5.2,12.93283985,17,0.302517162,2.575386143,,,,,Awkwardness,gpt-4.1,0.553850636,,
9,Sympathy,gpt-4.1-nano,12.7044707,17,0.108009153,2.495479532,,,,,Sympathy,gpt-5-mini,0.45522678,,
10,Entrancement,gpt-4,12.56134195,15,0.016933638,2.44539863,,,,,,,,,
11,Relief,gpt-5.1-chat-latest,12.49195706,17,0.026544622,2.421120783,,,,,,,,,
12,Sadness,gpt-5.1-chat-latest,12.32841356,17,0.074599542,2.363896736,,,,,,,,,
13,Pride,gpt-5.1-chat-latest,12.16882018,17,0.009610984,2.30805484,,,,,,,,,
14,Awkwardness,gpt-3.5-turbo,11.8665152,16,0.149656751,2.202278004,,,,,,,,,
15,Craving,gpt-3.5-turbo,11.60431962,17,0.009610984,2.110535488,,,,,,,,,
16,Admiration,gpt-4.1-nano,11.5587131,16,0.880549199,2.094577716,,,,,,,,,
17,Disappointment,gpt-4.1-nano,11.45886042,2,0.134553776,2.059639156,Strong/Divergent,,,,,,,,
18,Entrancement,gpt-5.2,11.39811377,13,0.124942792,2.038383838,,,,,,,,,
19,Empathic-Pain,gpt-3.5-turbo,11.29424727,17,0.224256293,2.00204084,,,,,,,,,
20,Aesthetic-Appreciation,gpt-3.5-turbo,11.23857704,16,0.372997712,1.982561768,,,,,,,,,
21,Awkwardness,gpt-5.2,11.12561961,15,0.196338673,1.943037839,,,,,,,,,
22,Empathic-Pain,gpt-4.1-nano,11.114334,15,0.416933638,1.939088993,,,,,,,,,
23,Sympathy,gpt-5-nano,10.97797455,16,0.144622426,1.891376674,,,,,,,,,
24,Pride,gpt-3.5-turbo,10.94035753,16,0.070480549,1.87821444,,,,,,,,,
25,Anxiety,gpt-4.1-nano,10.88876341,15,0.73409611,1.860161602,,,,,,,,,
26,Sexual-Desire,gpt-3.5-turbo,10.85506136,17,0.007322654,1.848369219,,,,,,,,,
27,Anger,gpt-4.1,10.83925286,16,0.053089245,1.842837807,,,,,,,,,
28,Adoration,gpt-4.1-nano,10.80869696,16,0.289702517,1.832146265,,,,,,,,,
29,Admiration,gpt-3.5-turbo,10.52023017,1,5.612814645,1.731211427,Strong/Divergent,,,,,,,,
30,Anger,gpt-5-nano,10.40181789,14,0.130892449,1.689778843,,,,,,,,,
31,Admiration,gpt-4-turbo,10.36536564,15,0.890160183,1.677024159,,,,,,,,,
32,Triumph,gpt-4o-mini,10.30866723,15,0.117162471,1.657185324,,,,,,,,,
33,Triumph,gpt-3.5-turbo,10.11346754,17,0.00778032,1.588884745,,,,,,,,,
34,Entrancement,gpt-4o,10.07263648,12,0.140045767,1.574597912,,,,,,,,,
35,Sympathy,gpt-3.5-turbo,9.987636165,15,0.244851259,1.544856211,,,,,,,,,
36,Entrancement,gpt-4.1-mini,9.970795056,11,0.161098398,1.538963489,,,,,,,,,
37,Anger,gpt-4.1-nano,9.854293548,1,1.633409611,1.498199486,Strong/Divergent,,,,,,,,
38,Awkwardness,gpt-4,9.83431021,17,0.088787185,1.491207295,,,,,,,,,
39,Entrancement,gpt-4.1-nano,9.649372562,1,1.224256293,1.426497413,Strong/Divergent,,,,,,,,
