,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16
1,-171.0139587379645,137.84741777617603,89.53320997034497,88.98644067745667,12.646785182244425,94.05280725675537,12.573488792617045,-106.54420324228047,-98.49697203172067,157.67686345486015,-101.64663446851193,-85.91704696983071,-127.18460005643605,-160.90909988053326,67.05021685614862,65.21471996889458
2,-100.9149434865457,5.861197447625196,72.96099074723136,59.509102900115614,144.1679978025371,62.15261832381941,-28.555759232626116,-57.76049796635004,-56.196100142163864,97.55526738805764,-54.872259060898955,-57.452223831425016,-10.4597909669702,-102.41754690293175,156.9138290702471,50.42940599605265
4,-53.5990432141527,39.708312454864476,34.43921573345583,41.861208560519195,136.537510889677,19.723976580850405,-7.834060145153846,95.56851475884984,-20.58140767472924,85.93713737307826,-41.7286001490223,-42.74458336085877,-72.54991767487162,-103.04825121797737,-12.38447956260067,33.44717825929789
5,-176.82334671285557,137.6123500888669,81.56674029155154,79.99197685198952,10.311624442476162,86.25574755445571,-24.98945493806634,-110.54422160012892,-102.48598334365451,149.21709244375168,-96.73214548357429,-88.21557938494195,-131.52231141985723,-164.11178472261759,59.44351470424735,59.59305717173565
6,-228.01931837627646,-27.424230415067754,104.31305586858034,94.51269013466177,52.790885814417926,104.49356634705595,-86.09282332500827,-83.34031830244403,-138.00976309030048,197.97380613253213,-129.73846257282193,-128.7723351197624,-196.84076269170947,-286.5230441594027,79.84721682924547,74.72883700538614
7,-160.0556220104434,1.2608077515982263,65.37279319103446,208.92694647639007,66.06472129220361,61.93377182647147,-41.33726661805277,-72.76966345444743,-77.81103384730552,119.30006760522524,-70.43079610247108,-73.93429591770771,-101.93770426308524,-154.55338302354596,54.233950813594525,31.692887738144613
8,-146.79997355659938,3.6490721911951836,65.88555898653277,235.35561093086545,28.79662601973663,62.71231694199458,-40.61191442869684,-72.1810314123853,-80.47315329746444,123.17579368669692,-71.71064329781734,-72.55849997847126,-100.30990694456626,-162.45958357878519,60.143153679881905,42.75459479947632
9,-85.58387835303618,-11.374852869832731,201.1761711696362,39.18803872806985,11.065666877461602,35.70856906252216,-24.26815402332363,-35.83898753927049,-37.3669614689584,76.36569048685092,-34.35689364837908,-13.30883987653284,-66.17265820147217,-94.13584055162045,34.87277335185507,21.852978796759814
11,-234.4854616704162,-34.2746979413466,112.82633074174666,98.42767535347255,54.831280878469265,113.5737859871866,-90.01563222106034,-112.99606945736072,-143.94559415103248,201.76130401544697,-132.40880042384464,-131.62729712900762,-184.25931667524338,-286.9252655194626,114.0867708980847,77.91179265759655
12,-106.14310870570421,-0.595664214332804,42.37653723572989,60.8427471647149,-2.434372380927751,53.67439315351855,-29.090133690462842,-52.79006992338586,-63.00071997131029,289.2343399733938,-59.64603648719811,-60.538536453235686,-13.130411570202158,-149.87102942159143,30.29715077679451,35.70502925424933
13,-216.14697126620842,-36.86364272981703,108.56084896552728,94.96352641308357,37.16635724758641,111.29614314317107,-91.82938537676513,-116.3608064399569,-138.1906859851192,203.49466518630953,-133.20522771284598,-130.31608640965206,-190.9460112548182,-293.8580554158402,86.70996193108313,71.12549056998431
14,-27.98747190407265,-7.5328887433655645,217.06646572041913,25.248856440100493,12.544972408394493,28.23538086605774,-18.456885104554406,-32.50834014924789,-38.81940949280719,26.109561948695635,-57.76512365104332,-82.84126898056128,-32.239680980930736,-33.61131947005568,-7.014154176011849,26.567613037677972
15,-178.68086471578886,134.79358872530844,83.67371346976763,80.68534324871943,10.483075423364111,86.87459610308329,-24.04399189352596,-111.65824461831788,-103.08544566244129,151.22089334851444,-96.16875375418532,-87.179580709721,-132.93550955348323,-165.86521032583477,60.2440273353983,60.04028613924375
16,-146.53183316035805,18.783892403736928,81.17238583754983,69.6563142703549,44.63918189338359,66.56211934201072,-30.02773065250808,-83.66898353159628,-79.86615546524747,150.2326999891784,-73.78263165490152,-69.31901650108898,-136.30386078412045,29.805728763579097,45.14395305260183,38.50740582649909
17,-104.63806878744023,-0.8048618188846716,42.948811141398046,60.77659405878747,-2.0797085805005437,54.351493981944685,-29.81895047252831,-53.736755218117096,-62.65358253548976,290.6672935313656,-60.29980337906649,-61.10181703975125,-17.198721130813663,-151.35987859753206,30.959810400896398,35.8734398080115
19,-72.89422300607178,-0.08633582100395364,32.12533819595302,65.56511755715397,36.057432294525725,188.61294914356654,-14.092758797006898,-42.97270101485082,-45.207408827446486,64.38410729258771,-47.32361609806185,-35.277191656307956,-54.35525602200727,-86.60208614998558,12.60759966314754,15.775080324472365
20,-56.98239673606883,39.32011974041779,35.84075531871335,43.0811342779858,137.36247014236136,21.28517964425948,-9.614024227428187,91.21132129993845,-22.598269192749285,88.52144422090967,-43.244486664101615,-44.373644469344804,-75.29853176827449,-107.03968483569693,-11.230059921085786,34.72372001368773
21,-244.35402830953672,-37.17983034010986,100.4829537089819,87.9177008029686,31.265699694952655,105.41230576126979,-93.11149067781247,-117.60392218861934,-149.54458029160526,189.15312631273076,-133.70608568189797,-131.71817116114957,-200.7499807868752,-288.0195662547514,84.05394323579618,72.84380536725827
22,-107.62048105072637,-0.3387015201879788,44.308751025772025,61.72563808126679,-1.6505466662445836,54.481555415453094,-29.286335000806773,-53.58829481359825,-63.32768820859371,291.583840228334,-59.07758162578503,-59.7804906762008,-18.71107354875376,-152.4091869587864,31.857373267490498,36.01357932795985
23,-146.98960923696677,3.447547490314114,65.30326268872007,235.05936929351975,30.88251845612386,62.43562924744797,-40.43264108373022,-72.21855461469208,-80.44970988020096,122.74186023660921,-71.63011367579993,-72.2811390898588,-101.85040210426422,-162.11947904604148,57.14682160348028,42.14098279607954
24,-46.13426032830878,22.540271591019557,198.0615168770193,35.978133610901544,14.243368307993116,39.68371184104339,-16.948190792497304,-46.29673020870582,-50.851321874140176,45.07637172086958,-67.77694730531185,-95.00746425793245,-46.1780917668282,-50.321693122213716,-0.01815892851556515,34.064154355906204
25,-159.92592844110223,167.59626370185626,83.69735973567737,86.79168651491692,18.31787735080887,87.27624297863535,-26.052351114474007,-94.25469138220372,-91.80318329554882,153.64143516671265,-88.78874660696977,-82.39740361337222,-123.35015384844364,-163.24167491891984,63.30972833272554,54.780568456107275
26,-59.521765268737695,7.1842980618427505,45.343537886091475,206.47647267128943,13.691436947735093,51.085833161338236,-22.477368190588145,-63.359679391981665,-75.0458000708863,99.08478746280936,-62.16557813062585,-43.748206412435586,-93.68934414064238,-139.78847120690583,31.4642091411768,73.29074893940167
27,-231.0466973202381,-38.776505590925495,104.75555759088232,93.07792331510159,32.2894278201247,107.02824152831649,-84.21566760038148,-80.83483041301979,-142.55228801624935,194.27567686122669,-132.5446016140612,-129.69721283044106,-194.85809914496107,-282.49273046362634,87.64244690659017,69.60082864921488
