,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16
2,-18.41070544577704,75.82973013627415,17.65428563760515,85.61743314777965,74.85585068463706,-19.407962253198754,-39.28562520742898,-26.573839584566823,-36.45370079480543,-54.050595510401095,7.338585162982184,53.86768552837375,28.640992791102075,-37.124014163496255,8.599021238281779,38.9122547123941
4,-44.14623972600723,-141.96501101791148,87.40469423262715,-28.692322820249796,109.4103865472471,-17.473916071844943,-66.83539646109342,-41.673694793417106,-58.128166593718895,26.121362769352093,28.289512139495244,8.259706148240962,59.15734023372855,-50.552994468116566,64.8180791120018,81.97903174526695
5,-20.728946220509243,-163.65050654041258,4.004362780514162,47.18002935454481,61.29488234124727,-16.327674160581804,-33.223532610577635,-17.852454237889518,-24.31980621968037,-75.86249329713841,-15.665810967736464,39.297278797081724,52.426489010562264,-63.62872200289767,-34.7839132824392,19.08836997470381
6,-44.777962712426046,-135.49245398609594,83.73780319557274,-39.08313642355459,118.92187335039687,-19.913175239407593,-64.17942317095793,-39.78583827020355,-60.360229023613975,-2.3700794368410794,37.541023344251414,17.810518815193888,76.53580729591003,-51.91320588647322,57.67268816686633,77.86321116839066
7,-14.514468307657708,-51.01956321148567,-159.6641003849107,12.081012957928131,101.93614119663876,-8.653223340516154,-36.295104857646244,-30.44381699508763,-20.209209529052515,5.328453040887945,21.00301652570765,1.6622022481140013,64.64055370863632,-38.91243138405548,23.517971548109593,52.895604791949694
8,-16.662222651597965,-4.226594941326858,47.497298186129385,66.33668861721422,103.74637640428038,-16.35941194564307,-52.04770223750001,5.566884555699265,-38.09033095266963,-36.64334343053979,-9.04449113518185,1.1358045707641113,55.334722082731695,96.32437785773557,48.63303606145323,84.60279136202666
9,-27.640164415934162,-14.122733710968324,-5.725396309466564,-9.02109094929074,105.27259876582565,-18.51339535687987,-20.814585899263843,-6.978188690994979,-9.845284515280493,-0.36197035146464984,14.998606332651155,13.112257744412481,183.90747412448803,-27.69660690221622,19.130928672391402,-1.9635153668793015
11,-43.083487256431944,-165.62392320250848,85.68901405941472,-34.424730694748426,116.5437092625815,-17.786157996820535,-66.81296405307137,-40.915382648519284,-62.07388655681612,-19.117952724239334,31.22716215151027,23.93013471587791,53.158625944753496,-58.06446925493052,47.202989362943015,82.34004479713447
12,-7.4658703059568525,-19.13664055895041,32.39823107739728,-4.428517756124076,58.703167503370615,-5.923329035160301,-18.03219558730588,-13.648845828849074,-8.909138375002907,-4.714163650578404,10.710605223141213,18.145871234940355,35.73382665514408,-12.640483400272498,8.731980589769321,269.31257709585833
13,-28.23440961424951,83.35362003420722,31.834823288981298,-94.76325774832783,59.99845338515014,-8.04533742322681,-44.17351505666065,-30.591476961432424,-11.748699678585545,-15.794384787727001,21.265025034572233,-7.61352942960528,74.3956202770387,-70.67728633132074,6.14696331541783,47.505445688183364
14,-1.7120769257847475,-32.02061037793533,19.427499113593814,5.374140087611305,201.79574934831922,16.215955567191052,-20.825572886822464,-10.054845247854862,7.649386516569685,-24.074980448771676,8.106607277843617,-0.6988894016197545,118.00176547358434,-21.06241406997188,11.38726103808014,71.2420992149589
15,164.0268696142751,-36.40842830855902,13.876250281447096,-1.2214393080418686,79.79077876675511,-11.450513834268651,-26.24318883862201,-13.424411123693952,-7.415141498404215,-8.660920698103755,4.406801600333259,5.067832546479891,40.309264619794014,-32.49187592755749,21.820715857003474,61.34756784828891
16,-12.388265629764586,-49.57968662445061,-167.07103067675206,-35.95916513399984,97.84414490127547,-8.514459325263587,-35.499539257799604,-31.937246224449364,-18.244505813240334,4.474608750416115,22.483269178607593,4.843247195570111,61.118434056271646,6.224412419380195,20.1052273876078,44.763998699774405
17,0.8698331066179371,-20.769341052255243,27.05510468481562,11.654151039658238,48.0434743456202,-6.145670685066051,-18.029527924738492,-13.119314032025406,-11.877455604184467,-12.009855757128413,8.998821441136808,26.233057606954972,64.9569366420686,-3.0122075303624456,8.198664826558241,259.27009545825075
