,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17
1,16.183552993449826,85.29761365718478,109.86238240057295,-28.897637442659782,-13.7789522649505,50.06802895188277,28.328626901626556,-15.804202191007242,-69.25869386488962,-23.29290783534564,14.34899554765348,-20.718834304060174,-81.6939462502452,10.534296627330304,28.139233619268598,-31.77428019446825,-22.81023824722158
2,-123.27809248295372,145.91931225910477,127.55819514357033,13.568490125437629,-30.870734391550908,31.76409310373697,4.90904696305947,47.63737401950418,-92.93491674763301,-40.460581472716726,-34.748123286406454,-31.16032420079134,-22.64048198748004,8.164625159955879,-3.8565532834870404,10.399768062047485,-14.158824617915714
3,-0.36108211152527947,-0.04014947633409266,0.0772229280647097,0.1199942035935742,-0.24268126900890105,-0.18267465380606407,-0.26115948086802304,0.44967332153582323,-0.028277281350392806,-0.3753568976073546,-0.09319071100622735,-0.23869809315398552,0.24161367583217475,-0.30286190888645026,-0.0224728391012394,-5.2344718725230095,-0.3246178726689293
4,-135.9500270860646,-0.7682942458464703,75.05831963758632,-1.4782153219946328,-27.759771067750457,34.36189625167914,17.186680425281377,40.25538039172902,19.269140307833155,-9.941321119751342,-36.97969350958253,-33.003854767863025,5.426843169115777,7.546988934803429,36.488491056159766,12.507292249159791,-0.012698154590294589
5,13.793962301217114,84.37476261026133,110.7489851428949,-28.959344897176155,-14.438172622086434,50.935193886409955,28.10304622182709,-15.305603342065048,-68.25535709037001,-26.492657721476203,13.77766561141952,-21.33232155319202,-81.28478832349224,10.675311100271015,28.818272240899184,-31.700111052341995,-22.87264502266728
6,-32.636715693771755,51.263231684226774,46.13564864521137,19.834154571893404,-17.218709072464222,40.35188327334033,5.914078624277114,-28.801236844340256,-17.32217487618529,6.79584149136104,166.47373789456145,33.07780067974179,-6.686920327314839,20.811715543410262,23.304466593530247,-9.639511461669885,20.145183680628737
7,-116.37663642562086,2.920219195011117,117.16037431105653,-21.454442399620806,-27.240609511062814,33.404175345321185,15.964974003508168,-58.13969709645094,-46.328288592530555,-56.650983073579475,-34.95601119908059,-67.42092878916324,-115.01678779668562,-9.086746508336667,19.26948688164524,-4.368861677576856,-33.91379836394599
8,-115.89891824303739,-0.19467149622005073,116.29580152230412,-20.843287314121746,-27.04492489160081,32.873776601432205,16.422967128387874,-57.97489519416714,-45.40284410179394,-56.82829446472641,-34.95226314155908,-65.78218733371432,-114.10086204374205,-9.62675982754325,20.017215889225884,-4.292400691437408,-34.04818574037858
9,-103.09523488020129,148.80777116792967,110.72561777931726,12.380748266952969,5.95635842710686,29.755477905510165,0.8706669600752388,41.87693964248566,-103.45405380273323,-37.736936962512864,-31.789497959207917,-29.16002643280487,-24.48727584342964,4.9920409073950776,-10.295981286974943,9.44246312211533,-14.935705621211303
11,-91.22012776577728,80.40398227082007,-102.27717253192141,-8.227463366690506,-23.679074199822974,35.05165280472683,15.529522264777265,12.073206109262557,-34.78934928567282,-33.460570422326064,-16.474592348296202,-24.344101898512776,-26.7456046307915,1.7103119769235788,17.3850554385058,3.0612012288707424,13.249227019989757
