,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17
1,-1162.1182825463493,854.0450609753109,-170.61621899228246,111.39822941389937,-126.51979681803982,-206.11155652616216,477.30286274156566,-329.4143170209708,7.2245065193335405,140.63773666877057,774.7852866891745,-104.13724997447657,-56.822642794142624,-568.8681763673077,-893.6855380162817,-249.59746689000428,-386.8379560270018
2,-1940.1674355071953,1257.6312480896631,-270.3431947058412,-26.251848555670925,-168.53382567674632,-294.9153147738782,674.4994875291234,-481.11582312599626,1.8040291302184115,190.33439103636994,1169.5488615716347,-170.93726171017363,-80.20576187540959,-834.3374284429169,-1269.8414012302915,-362.4356739486378,-570.3191753444615
4,-2172.7184565094226,1279.7883135102093,-271.3979448164321,147.2604311803765,-207.22516415781902,-325.3632144964042,752.4713760489577,-541.3289679086367,22.895532615967483,220.40128053920742,1289.3950167458097,-176.5023204343947,-53.55619350991951,-956.1942375521984,-1334.9563538234434,-430.36549592789913,-643.8411372491446
5,-1909.327421214166,1204.8784701063344,-235.32883301596277,-25.21013060585274,-162.66387637991372,-289.7625553992069,664.4732457637348,-466.7169882948917,-0.3512179789192425,180.92901857049162,1153.6124439641883,-174.74553773287883,-81.01255412979773,-819.9284851738524,-1256.401786056058,-353.74515815605577,-558.8026186130678
6,-1934.1347503287463,1127.7905022904413,-241.96293287125658,161.5859913164301,-190.76289549860306,-260.2428405051789,670.2609308879772,-483.8285319273223,30.630979641765666,199.63103036375776,1144.929386138288,-163.41810524123673,-39.87404782399858,-857.405820767378,-1181.0787872363292,-386.8489453689166,-578.8779470217956
7,-1949.3184495030491,1258.0271010625022,-256.46457089035636,122.01331914766067,-171.97683660611298,-288.91754683809756,689.941184167694,-480.67613199304157,20.910365097313125,188.60417640135256,929.4651583064823,-172.38519765968647,-62.02304378390003,-846.9540558353339,-1253.6977975728093,-364.624814061706,-539.8324233625459
8,-1449.571448952457,974.5271615419988,-171.9845019338215,112.52697395228827,-135.56616141275904,-212.71745770353533,525.3022578057576,-350.5240290483451,28.222915371471533,337.0197429084237,901.0305113169089,-93.01242418299155,-40.11279839213056,-631.7802941463505,-959.7556848355887,-268.1503664464859,-357.1213636600023
9,-870.2496126066333,552.5677996266033,-118.06567183528908,52.66018644175739,60.125224945683286,-129.96853099166952,312.3237371261963,-211.3590741566056,110.04430171887135,84.45975851498174,503.3512377647971,-60.10585874686786,-52.54393011129722,-388.9523648234073,-551.2064081991545,-150.97177386289061,-238.2896204167111
11,-2016.2426138189253,1149.0763183877332,-245.43253963997918,164.41624999143582,-194.239484171914,-301.9876659181358,699.2543657507091,-501.6591715631439,27.021195454954803,206.980040624694,1191.7698063397756,-159.93331643129903,-47.92491163472033,-892.6838658922709,-1241.0504717585075,-401.2520464324914,-592.1249326632543
12,-1350.4525447647761,883.1629703455335,-163.47086814250656,222.5893299733487,-91.92364750985315,-194.36759563841036,472.38630033891997,-333.49206342621125,-26.959175144190276,132.21492016671183,828.5086447236639,-124.24986033513801,-4.615038870968489,-589.8234514189296,-862.3945937689444,-252.98838319090865,-399.7839848496604
13,-1593.0235715896413,1048.7608894075474,-392.7805149761726,140.5387109417261,-137.55608062761414,-235.57305215016368,566.0489800924582,-382.24993412991813,12.652345334909436,143.62919908445664,947.8621160760158,-140.71655646847768,-54.68530806925642,-688.9544702385466,-1016.4458510352571,-298.85562656064064,-472.4564942460011
14,-1076.9129512431393,728.644291340535,-148.99419920411765,75.2950547348939,-82.80669255396381,-145.33685255753517,397.91778350240133,-269.64165096049317,148.26698939080052,117.7517814074009,661.8034687055218,-109.08389481269808,-22.934088652494335,-470.4987534823323,-679.5626824473642,-198.25727610602405,-334.21555280511956
15,-1229.3527789070963,876.1680177724265,-173.56159625073585,116.17031549910782,-136.06186268824266,-207.71295429404745,493.08708048867527,-336.6428084878928,37.86960115534011,143.98213789407228,791.1738122940652,-108.55171394934543,-57.22604152527316,-577.3409919034009,-918.7178862120298,-255.10827963006176,-405.2168710176608
16,-1867.527296033828,1226.3042345047877,-232.26423720212043,147.0883636559379,-166.73624528324515,-276.6347135187214,658.0877649292348,-458.6765164274842,22.055861530781417,185.34504968305953,877.8265358722673,-157.4929445822842,-52.0134478041975,-817.8515294482767,-1195.5982744191786,-357.2062689967916,-510.3379062627083
17,-1328.696703823129,858.7246981267165,-168.73415682083927,210.0643566191595,-85.44629848010055,-192.4491069680287,464.56966980248274,-325.19898836463443,-24.129295502660145,132.21251816332003,825.9050830158238,-119.65413471386559,-23.059044796660537,-574.259007559095,-852.5268061387154,-216.96786852541246,-389.8422767517978
18,-1208.6538335050234,858.8497574864032,-171.9444907379373,110.64348877633745,-124.84124056455379,-206.0059429510097,480.4335576362409,-331.99651967417515,5.933518432952511,141.1988075751359,777.4296088276744,-107.30263143598174,-59.59953685088697,-526.1125036891644,-899.4589033262503,-247.13640027030218,-391.13750211246565
19,-1967.2885046589051,1293.2193178354821,-232.8348141174569,-18.812903741626442,-169.18387200658395,-298.0029023379466,683.252443939618,-480.0870032140566,-1.1042920637995157,184.06414069423042,1189.5029108375918,-177.27281587947022,-75.48440285348558,-847.1394457703516,-1279.841667298816,-372.8160753420499,-579.0145537032249
20,-1936.8933389578365,1253.2556109938753,-244.3371124319627,-16.885451943659408,-166.74195240865095,-291.7929220129866,678.1625772309459,-474.0400373883284,3.7980287263310055,224.69278887088896,1178.3523117435373,-175.31592175634697,-78.91027047041743,-828.7410934491569,-1268.4485689558662,-356.41173350368433,-562.0195330046638
21,-1153.5783276070242,777.3869587823474,-154.13143100823882,86.32508027436575,-136.15132327748395,-161.82768576585056,427.8684980046934,-286.8233946715159,161.6409121387738,124.7482417081924,704.7862972641755,-103.97019940266543,-25.708165060892295,-484.43565732218536,-739.8570497857017,-222.48375682490513,-364.426932642561
22,-1420.1780910513037,944.2409275144192,-171.6858643457171,116.90159934475797,-127.61401784365886,-207.39405506041368,514.8635083848677,-349.43101046417115,35.0885867695831,153.4053809924436,825.79345010649,-116.10563478717712,-102.17448201725949,-627.4092228841142,-895.333704387512,-64.72309081545964,-446.6883901477878
23,-1347.5655816253268,887.1005237131177,-307.03449924401076,60.005360021931416,-133.29841908417072,-209.0181982550704,474.16550381757384,-359.7958499923007,21.64384521190073,207.91187091899843,790.3555132040208,-70.32597297644459,-50.00610534913652,-600.8556775555331,-896.4289763849999,-262.9474226087223,-367.0237529315335
