,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18
1,-9.74919579636597,-127.5192242725536,65.14162715150393,182.69508831429616,-2.733654378576332,107.35492716400171,196.9591039273432,199.44376664580813,187.42503552616168,-204.77128714941782,198.18365520628984,1.822939790182889,-87.35412141446864,201.31602142594986,-134.3448464561864,15.224859844323626,135.83128190934318,-99.80752408048785
2,-4.447752709123865,-162.53369706674548,100.44111906232499,38.01256271958798,-6.0929011058274805,162.4575037466107,310.9865569343669,311.745098046292,278.3156827862353,-195.69081103034512,84.12434010163521,-33.84661889450238,-143.49606495364748,329.0044948621922,-221.40367544499895,57.167884161258435,243.1965594033929,-161.64115876679048
4,-5.7876176557494565,-207.93345736681937,131.029106775925,12.21697865573035,-3.481124841898778,160.93399861820063,344.5303525124342,364.85338638922286,414.1593323440792,-279.318723171291,345.69572821674865,-101.05143399279707,-176.7917086913412,402.6588387389294,-227.22131044497965,42.94322395117497,270.8945156302653,-182.06444179468335
5,-5.095874513901566,-163.86419734235437,91.65275979963157,46.57838218349892,-3.082185184433239,164.3127463836164,293.58755228180837,300.1189915303557,283.4308633835859,-378.4616395025574,250.1127063147207,-14.107983827068768,-119.92450057530476,295.0209297986887,-205.09981214536228,67.38735332971008,228.88003382625487,-161.79480873897634
6,-8.807982892553811,-178.49627519283058,119.86461921388764,2.719523531934059,-3.816452800105629,168.11919978018872,307.11208684643896,326.19502259999666,368.470635002887,-274.5672266663845,350.3225245594796,-97.7054667985987,-157.367266710549,357.57057461960005,-197.974912460155,32.1170319654953,240.4230706883525,-154.44582250740837
7,-24.794263143949472,-152.63310801661632,115.55321858579897,59.171387166620285,14.414655275511079,164.6729100159252,299.64342835955955,305.7219903998553,294.63097273917157,-210.49062546711824,258.4346893646481,152.333921054935,-127.89916683750357,296.66832444164487,-174.25798309740853,83.20042260653432,202.42795879543664,-134.65368135593846
8,-165.52891689053277,-162.33834591824478,126.3077046883433,62.32328112691559,13.213496239077251,190.9384655961785,328.3413544604774,340.58348730960546,255.3791652061437,-222.01442907239738,294.71742913486196,-12.722572666858948,-94.60768171298447,311.0122550352878,-208.4458377132008,85.31696509265804,236.33193817117103,-153.58601031302513
9,-14.87633317028433,82.32808523471306,60.43874275027233,14.912210186053795,12.509046542668477,149.16023814142167,164.2921391582872,165.8702408573701,135.3749258841826,-148.6276404763791,150.11164665026888,-6.7257120651058315,-65.9047710562203,175.0904205182553,-104.8914681080586,29.895570763465347,135.5286113208866,-94.6361193692699
11,-7.17464494517872,-204.94765683835155,128.39716391985021,13.501005029847086,-2.569885906313211,160.9005832110403,337.293251170172,358.54750514370124,403.22166848790386,-316.68082114363483,381.89498448643116,-98.05831640850488,-169.27692184839879,389.8002457055268,-219.77421448395307,44.14174756302321,263.9514177640322,-179.197154323508
12,35.547884847393284,-106.24508257390858,52.652342718663355,-22.044286376513913,-28.7709292236853,71.48644444792923,196.96089492869928,181.97981604085265,197.9159469474852,-126.70771416084708,219.66117307616958,120.59963476587797,-95.69921229869813,256.067495725565,-203.2649154658441,2.8591564067667408,194.95811318149453,-150.37308744734128
