,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17
1,94.57201080048881,-1328.08206308605,-1153.249130595515,-1114.573678798702,-1448.2600805250574,-20.92397027291154,734.7617519085363,-1391.0054382272479,582.4911186605862,319.5461740225443,-1553.7779239846273,-1130.3615225502972,464.01435327095635,-278.10304283806323,-8.86989456095841,-620.447247093171,782.4969374428805
2,-85.59509670042037,-1573.8114650119105,-1270.0435684869524,-1240.4615242308482,-1589.286570970282,-12.598335318406297,815.7699013659698,-1464.0505792058555,607.6527635677498,386.0726329348691,-1747.6743672322186,-1278.8748471039376,519.8828233296928,-319.3827907973208,-32.594950577894764,-685.6743285750307,872.508022094938
4,-70.90894791603108,-1571.7317156184006,-1338.4347414337767,-1290.7002331130777,-1853.2704545768217,-26.07109530115351,875.6736474556612,-1601.675558073018,634.1286503051108,417.3286865631928,-1830.818079518748,-1328.954738869792,558.4800483670895,-311.4124292362264,-43.152256722135164,-725.2201979960719,911.7387002797788
5,-89.52931318326655,-1506.8666903340581,-1217.6503464813115,-1174.4618316578244,-1509.766505273905,-10.061381694173097,778.3120793574694,-1407.690965551065,580.12009942629,367.62680987492774,-1635.1404347615942,-1221.4167753424742,498.9861344318209,-302.86462702827254,-32.84301626301381,-648.620254168639,827.3226633437293
6,-18.473577609397104,-503.18259632671266,-417.1358397505238,-428.8121695710974,-553.7635194177761,-14.285735909307942,456.71468970201926,-544.1004673597414,199.2844794523788,146.66603006721868,-584.940743944288,-439.6483733932915,159.79317935169885,-101.02239723654343,-36.260301021560664,-232.33033791858406,312.2345505293971
7,-80.49305551922583,-1679.1836870744596,-1415.5379902729678,-1361.4208476879508,-1744.3802767440955,-49.09543798038752,905.8805034213892,-1741.5145002797815,653.5982740287881,417.1604641020192,-2034.2515613311618,-1420.2966611791487,572.7401490634786,-357.3222690406262,-38.56502836410577,-763.3301611572684,983.8562212573196
8,-42.29944303190424,-1087.5224051411367,-925.1793244925304,-1076.6097121517012,-1171.5774206436129,-18.759179418906623,600.186625827643,-1149.4335920562041,434.3500170552227,277.94905094917215,-1238.6370830510507,-936.9752778029264,332.22640310818906,-234.7565472123873,-35.569717659346594,-505.8531899871058,636.0815870361396
9,-26.90387011605446,-503.6374256627342,-293.23617225281464,-405.1070125162538,-527.998181935049,0.8268723606013887,253.50745969569135,-507.1805541234035,191.95289376624723,121.7334575973003,-560.1669997520986,-318.68942343723006,166.1727920592902,-121.1405950755593,-10.25178067716141,-215.08861584602866,278.8135758970519
11,-69.84431713269575,-1602.0355456006444,-1402.992113080667,-1346.089163540806,-1941.2837492038468,-29.762158366828384,917.7412214297656,-1688.2248577053192,662.659252333544,434.6693396272322,-1916.706427732405,-1384.8047389610933,584.5187877526942,-320.4779497687121,-45.041602672776214,-764.8827369973388,949.4946142758337
12,-84.14072910453704,-1655.6012077999449,-1541.1130244633034,-1467.4961893234656,-1937.738805775387,-26.813313841087716,991.515847587147,-1833.7523491600957,725.3979470746932,460.2078858900657,-2066.341361204237,-1496.8504987196188,635.0201772508065,-343.3009743189269,-40.269491007965854,-848.5049878869229,1010.0234444988458
