,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18
1,-99.98535418032542,113.64893222155439,23.364073770540134,-127.95186806261395,78.02286698968916,8.847475306739874,-15.456162867553896,74.84685265249014,-42.09896951871149,27.073914643844635,24.97569087468562,83.91138676546385,125.26006461876901,27.872064778855002,-19.837032274179347,79.75333885894749,-30.00378139403336,-71.11755328534956
2,-143.12154157438903,113.76385766248868,23.654054848148633,-135.02115832381543,90.65479569056444,-17.441585216453475,-5.983936094759836,-90.56434588385213,-43.60120787680797,30.704037813963286,26.588280862169203,314.8068831413058,138.30104667794447,33.27327095790894,-25.805059603627832,115.65403388425224,-38.56397708477823,-86.99753912431272
4,-206.696337529875,46.905841377593845,50.306639764719655,-171.60770106003557,107.56793298761531,2.2223283321682716,-0.5251277640440923,-142.89419343602847,-14.910502929925062,16.9214425411807,29.67080501880043,114.07357195725486,178.23974470082382,45.45981490020301,7.193699563032401,135.6642958926506,-123.64519746210097,-132.6246367909757
5,-140.37137942331498,132.8128994986332,-2.005551375903665,-143.79776814869,81.56942609568708,-15.022439101991221,-27.95748402070881,-99.42997520156588,-69.66853585133744,28.409394027989975,2.0891187306810504,147.5531959642832,144.96692211383007,18.975373319870055,-43.058706896798235,125.15366369975071,-243.47100126671344,-59.35612722905851
6,-60.331425467785536,47.00111622713702,9.726306134888167,-7.996827924551483,31.57222888270865,-1.4794835930332932,174.25472427111038,-32.998076043218155,-18.39298258578282,12.866452454967742,11.858091169258723,40.028010701230926,51.576799992278104,9.874477347709878,-15.381899571622222,36.85906040690989,-6.322866420605619,-20.074851220310038
7,-141.75830079407348,137.26091660430515,-1.550152164490534,-145.1190805849621,82.33272288225957,-15.03529228931417,-28.08590689023701,-103.70085811951006,-70.2228898207134,28.440312563999544,2.520004560005448,146.70881326975356,145.36434247309236,18.920192622054905,-43.6600332589803,125.32715695734564,-244.5646534451985,-59.857859307531044
8,-184.80582659555247,293.1781850637757,36.97227281282418,-163.08924633573002,93.65941933279576,-2.312031080348526,-10.310048291214736,-127.42518593137709,-57.362134830759054,12.754445777883008,14.378991681341427,48.43411039929674,125.02637055807973,27.246259787916564,-41.33646871435419,124.89103479212635,-74.80201479715042,-108.41086111071989
9,-108.09020261800715,66.2599477852776,10.837189624944637,65.77747308337433,46.02300598549053,-10.316169015927477,-12.057955440324054,-61.47633099276895,-36.533430444664546,11.509906158462783,-1.7140012834528098,69.8997028283992,72.70725973441742,7.500817024031264,-5.906688619697573,171.97805887821576,-31.529248560267792,-45.848899224069335
11,-210.81589081489346,52.210316426476865,44.93008950231376,-171.82834722077033,105.98736026567033,1.8328844867916212,-5.909680230970474,-145.05668713959875,-51.97833876032167,17.862645253020037,25.108144423215936,112.76627937524292,187.29596607712864,38.83430776438491,-1.8919857266844735,130.94913298397069,-169.44691383803584,-129.8758291205315
12,-151.32901686507412,22.327494538975667,9.946426473078686,-164.30954143479929,95.27455579233431,0.0818359308275591,-20.033233362602363,-110.01986286753365,-63.01259663298476,20.397484846536685,2.1299912977625644,66.63721705019705,64.90638509971605,38.95815286374492,-40.021791381700695,139.76445650240493,24.24001437092522,-96.87051287780521
13,-152.4805948265475,81.18324507182047,-2.833199403528804,-155.83673495017428,50.87235770892783,-47.73157751494817,-36.73214733145514,-124.302552267286,-99.75692109499487,-0.1259723443211394,-15.832605403894647,78.16745187512907,162.03202853515603,-30.186630426887895,-85.4846775294175,110.42605311567733,43.64252991065431,-19.28397589326819
