,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18
1,1917.6432182522244,2008.8729608347865,-270.76717735554564,776.4739168926053,1289.305441874732,151.97161052845004,-3468.0441125675684,-1341.9399613012226,-750.3977077779003,4322.326623639399,-591.5116692132768,-1030.926669723069,-141.93206469464582,406.8220069269917,1273.990791219049,3947.464018993567,152.0685940169947,2847.818744311869
2,1090.195894647702,1150.4003791538598,-147.69456132710255,437.5322632080562,645.8321496984886,79.43761124454477,-1852.711038547215,-769.3985616320329,-445.32709989899496,2450.199543352444,-241.55699686311675,-585.724218897937,-61.431567185906246,216.1768133668387,749.4665359703624,2261.9212571258745,91.27495984969597,1620.1007230739897
4,1898.831214002853,1989.0835185596143,-271.384677316468,768.8399949615847,1277.6317036116277,150.29121382529092,-3431.3146068463616,-1329.0197275434261,-743.2443924695086,4279.894726387408,-584.7572511490775,-1020.739053403662,-140.11516146758046,402.9426233566189,1261.990287692895,3909.5318118644686,150.66134244565376,2820.7139890340027
5,2027.7816180911987,2000.702834821574,-255.34367807699454,758.1728757436467,1131.8230834261933,141.32147731887824,-3394.7591898766236,-1315.141523708265,-743.5523126397665,4255.406572256049,-558.8018073704748,-1004.1216619321897,-135.4454270526273,392.63725597340726,1245.6138357300476,3850.0718430606844,142.86052238334676,2780.2747931576655
6,1682.0202915257921,1838.6345128845765,-279.7785989805853,682.0519865123957,926.1476463316208,138.404716213734,-3114.823545197328,-1195.6520466277334,-665.1412024443857,3827.798326919299,-533.4780486021382,-915.3637033216497,-167.3703032215572,366.09913438750743,1128.6892569370093,3479.797686263789,137.59591259231482,2527.015179241364
7,2030.796107116286,2139.8724929124633,-116.81956328098337,819.2283597590865,1229.5190628536936,163.45744640250155,-3689.186324607543,-1415.4102495218608,-802.9928653185771,4571.794405952007,-579.2779000730841,-1095.1050348682827,-152.27672853917332,410.1459918854777,1349.4917122780557,4158.531613580798,161.6375384167432,2975.3384869672964
8,1837.3261390590665,1931.672582745675,-79.85891951999788,739.225372647085,1103.9767754722066,148.7005835900612,-3306.1613332028332,-1275.3867485881226,-722.6709141399311,4137.374109422403,-496.1629373433934,-983.8509585345761,-145.16625792861674,369.86121699711384,1225.0239887529053,3752.337848093374,144.58773390026823,2677.632198518295
9,2216.1717661561183,2400.536511379095,-347.871244589368,905.2787591835868,1325.0425479754492,172.0533920547611,-4055.891235342033,-1562.1601153202164,-889.8443008010144,5123.30217417333,-607.8059418869781,-1199.0960902696177,-179.3409125812483,483.9977673545376,1498.4243004271796,4569.59406984899,183.3891900236676,3307.2084186738552
11,1503.5003638546307,1628.9976796335409,-219.45879523372017,607.0770996765337,879.1031856287863,116.04527220237223,-2746.7862602616324,-1060.002148823818,-596.8242196568406,3418.247576881982,-473.5140303159168,-816.5944595727277,-125.24627702556181,326.7343504522247,1001.4561246216134,3096.2262934971145,125.81346022499456,2012.7642485805375
12,2134.3557712523148,2317.2204000834545,-329.87078806967304,871.1267829989949,1269.318865147371,166.32234745641878,-3905.845452843258,-1501.1297488173668,-852.6111869659107,4945.744127261335,-582.4824354874205,-1150.9151336658265,-183.11980044386695,471.0075572110562,1442.852063255727,4391.453369402701,176.0126169397573,3130.5215729652346
13,2184.444115244071,2375.93075502328,-345.83915225144125,892.3314168517007,1284.8855732766522,172.35638523772167,-4008.799307582172,-1539.2306209450674,-872.1381541768084,5061.589825900741,-599.3672618761216,-1179.105624227106,-193.86985299870742,482.03641530234125,1478.629987475016,4500.355368957018,179.2984024861346,3268.1301862532036
14,516.0157336483768,527.0245102740165,-73.04814897002954,336.87421579609446,316.1950376828496,32.76074890875149,-960.0472051450163,-394.23841461724527,-208.58823491414577,1194.9904454778384,-108.97603934963122,-270.10377296236334,-19.56597766415774,98.30804894733878,334.6144839182866,1013.3867836191986,60.64985126947832,791.9940179971649
15,2004.3562065984534,1980.4197870544538,-250.04308932052297,749.76973578732,1114.0938625868519,141.47702744324243,-3357.2623327415326,-1304.8222663584702,-736.2708945217277,4199.9818702202465,-554.5282773473342,-981.0933147104591,-133.50072556262805,387.64311657195555,1231.8083622608374,3776.913605123706,143.64253566865278,2745.615592191044
16,1837.3261390590665,1931.672582745675,-79.85891951999788,739.225372647085,1103.9767754722066,148.7005835900612,-3306.1613332028332,-1275.3867485881226,-722.6709141399311,4137.374109422403,-496.1629373433934,-983.8509585345761,-145.16625792861674,369.86121699711384,1225.0239887529053,3752.337848093374,144.58773390026823,2677.632198518295
17,2104.4352201526303,2284.6692786153303,-324.9182534221187,858.6522611419983,1250.798633638874,163.70402224779667,-3851.0831562322455,-1479.8521196441525,-840.598669693934,4878.448520548588,-573.0379941383884,-1133.8136835278392,-181.23645224738345,470.09597993874127,1422.505243171728,4328.932134366352,173.76754649943234,3085.020153762773
18,2016.8077588809956,2186.286533025581,-310.7687879069274,822.7581241141518,1196.032886564926,156.67627969112522,-3660.4682051146233,-1417.9146430654368,-807.1199753201184,4675.664254101994,-525.4988079105048,-1084.3615931430304,-172.14835490699213,442.6302781505262,1368.8509528902548,4150.257483661923,166.0813962110439,3000.605650227026
19,2052.195809370297,2181.0944425727375,-289.3621367618208,833.8834309662686,1264.738681855479,155.2690295258975,-3752.10606137812,-1458.694902944952,-838.1480576974951,4612.199701990777,-641.5610284238722,-1132.6166874268336,-108.04248189878601,416.10974862402225,1367.3424653325033,4266.018390366553,173.54669362900538,3081.973429648657
20,2026.840153485961,2153.5212780321153,-321.37897780848124,824.3021867891124,1271.3292236437544,152.83740647034867,-3704.5216547938867,-1442.589292099274,-826.7927682742694,4556.873783521366,-643.6901078259275,-1118.6550283873535,-106.41837477044224,415.0493317388648,1350.697109515518,4218.952234668961,171.50728449411355,3054.33242354018
21,1991.9542608296217,2128.91931324026,-324.84181447244583,809.7828667556437,1208.4774818634905,150.48480622759433,-3652.7197342114796,-1421.0112142701591,-814.9792208020972,4480.240576601966,-635.1429303182624,-1102.7418897027367,-109.42356316231785,408.03670957524076,1328.596384600153,4150.240840418472,169.88863284985237,3015.685783846156
22,1589.6007701407623,1719.673939771663,-228.76650245549615,642.9233292588613,944.6929550290785,121.27345702813922,-2896.2350149868266,-1117.7469711203673,-632.3600393499364,3631.0703280463276,-481.79985023925656,-860.9062019423238,-128.22093966535047,346.765905330963,1061.112972973005,3268.1501090347783,133.22466313084533,2126.2288228271022
23,1912.8282852450718,1999.598022161225,-231.9450983223572,773.1765258709894,1281.38102759933,153.81400432568597,-3453.8871717941884,-1332.200914281027,-742.4877894926439,4313.235432030678,-577.4979653343496,-1022.486547897395,-151.88477018873297,405.48016166081925,1269.9743717817983,3923.2794942167725,149.38903409423574,2823.8258822085627
24,2196.0423082540733,2197.9861269552935,-243.20388710920443,835.0651819403522,1243.170794640054,159.3097852651265,-3737.108598147781,-1445.8655357002494,-816.4789507408818,4675.379079294289,-608.6921588856562,-1098.587659350552,-151.33908726701355,429.057107174498,1370.699023879414,4221.0585294022585,153.2091841095938,3047.274432507178
25,2027.7816180911987,2000.702834821574,-255.34367807699454,758.1728757436467,1131.8230834261933,141.32147731887824,-3394.7591898766236,-1315.141523708265,-743.5523126397665,4255.406572256049,-558.8018073704748,-1004.1216619321897,-135.4454270526273,392.63725597340726,1245.6138357300476,3850.0718430606844,142.86052238334676,2780.2747931576655
26,1912.8282852450718,1999.598022161225,-231.9450983223572,773.1765258709894,1281.38102759933,153.81400432568597,-3453.8871717941884,-1332.200914281027,-742.4877894926439,4313.235432030678,-577.4979653343496,-1022.486547897395,-151.88477018873297,405.48016166081925,1269.9743717817983,3923.2794942167725,149.38903409423574,2823.8258822085627
27,983.9236361528962,921.7941876616135,-144.13204758266454,340.50537567439034,498.86891944755473,63.97969732563564,-1553.7463743143182,-620.5320660922692,-348.4071654874669,1915.9747505505436,-267.80854482883643,-429.76506587919636,-60.809974631378,179.99033295024176,570.3588456486332,1658.2850599567482,103.75594329736519,1274.6017621702354
28,727.1943454959478,743.0168239933188,-100.58204172415915,278.855310528823,423.3367303221389,37.45048360865868,-1299.9048447906375,-507.07350706222076,-298.2251034571503,1616.1232252490045,-217.66389457041683,-362.5423709582834,-38.32236953675251,135.07598865977587,457.9599636431649,1463.706692531447,-202.54063698146732,1055.0891541882509
29,1910.6439022971258,2014.2358126717047,-92.741165699665,768.4713527188495,1145.679139764119,154.5037028009064,-3463.1460087357664,-1326.2054521914845,-749.8889206810909,4303.063596498583,-539.3750195827806,-1024.0535060028726,-153.573644740024,388.59358616949066,1267.5812421423439,3894.7296024851667,151.68830852288974,2737.9658072174225
30,871.0571394741623,835.2635621185364,-134.6483415713063,305.9412704086668,445.09530121250856,57.615082299259804,-1403.0725455035006,-561.4666221157341,-315.05924220360475,1726.566872375865,-245.19341822463684,-386.61945225681245,-57.02707489420117,164.6706815634382,514.5865962389038,1485.500980197952,100.06249493862883,1102.7284548058267
31,2205.8646205408013,2212.7373229237487,-286.79359821937965,840.5169909172585,1255.1828096083589,157.44526778711557,-3760.8087321140033,-1459.2857722281324,-826.8870912720724,4696.305064719496,-625.2921148816487,-1111.5738999305859,-140.67319977485425,431.5076157504186,1378.0854890634866,4260.180990995489,156.21456767791696,3080.7508531665817
32,1840.1703742452953,1935.376591325502,-81.03069581468081,740.4642890776009,1103.6371357631483,148.73027798190222,-3312.24743299026,-1277.9682585608557,-724.6231645114589,4143.4754210542405,-497.4703467942,-986.0985124025237,-144.2715173512709,370.0781473433016,1227.0110927029195,3759.3325194433696,145.0807473601615,2682.9005158129903
33,1096.5427056907674,1158.6294390102494,-149.22429267256052,440.26103849249625,646.7803665857651,79.87285480913417,-1865.2025711171284,-774.0613693875687,-448.2590980656251,2467.0676923081623,-242.01797067787473,-589.2913596352562,-62.2160822081796,217.7979162467971,754.1952162250482,2275.1225022855647,91.92951680125624,1629.8306116667868
34,1999.5223887701493,2124.929386177942,-316.8684959983645,812.8875435830297,1259.094522458495,150.37602644627364,-3654.2774697876202,-1423.1820616868206,-816.4639473252587,4494.785519477377,-634.5414794537978,-1103.4738262759554,-103.96135540825468,409.1450317601947,1332.29414369432,4161.459837382539,169.4581807858091,3012.2727707100585
35,1087.6902042704285,1143.798900318618,-105.73069425157614,435.1074118367766,636.6876052389839,81.5144098555368,-1843.0672041419982,-761.1589082489934,-438.4905521757931,2446.1995309745903,-227.29362422622629,-578.5938596262471,-71.59538826865719,214.90280452839042,746.9909516567648,2242.0442342794313,88.79068450652368,1598.7103046983455
36,2058.3050851362464,2225.036663684025,-319.9876626354459,839.3582528196894,1229.4641467995202,161.3003210864817,-3760.3136276103355,-1447.3222076473007,-821.6958176471314,4809.620136073888,-567.412200004043,-1111.7827716339243,-168.50023243206599,449.4465376887553,1389.1133401393329,4234.4918492548595,168.6303208593929,3064.315166642745
37,2184.444115244071,2375.93075502328,-345.83915225144125,892.3314168517007,1284.8855732766522,172.35638523772167,-4008.799307582172,-1539.2306209450674,-872.1381541768084,5061.589825900741,-599.3672618761216,-1179.105624227106,-193.86985299870742,482.03641530234125,1478.629987475016,4500.355368957018,179.2984024861346,3268.1301862532036
38,1532.7415632765365,1649.218840497768,-221.63329896753768,618.1810921446591,916.592017251443,115.44125818680591,-2788.4025531420057,-1080.1804025854549,-612.7716753428655,3469.569910287224,-482.68891933115907,-833.7176147524136,-110.55219964579186,327.97353156340023,1017.8186453645335,3154.0477654872348,130.24853839598623,2045.4295873550402
39,1840.1703742452953,1935.376591325502,-81.03069581468081,740.4642890776009,1103.6371357631483,148.73027798190222,-3312.24743299026,-1277.9682585608557,-724.6231645114589,4143.4754210542405,-497.4703467942,-986.0985124025237,-144.2715173512709,370.0781473433016,1227.0110927029195,3759.3325194433696,145.0807473601615,2682.9005158129903
40,2005.1979904402244,2106.536415694023,-106.27357662883703,808.0781118844434,1232.5758202352174,163.19019687593206,-3634.4114265206986,-1392.1766597672624,-785.422611974829,4516.88260126546,-567.5112150158249,-1074.8770500567534,-160.32939373528603,408.1936187697874,1331.6077767279262,4095.5795714308388,157.2004172777039,2927.923631315034
41,1589.6007701407623,1719.673939771663,-228.76650245549615,642.9233292588613,944.6929550290785,121.27345702813922,-2896.2350149868266,-1117.7469711203673,-632.3600393499364,3631.0703280463276,-481.79985023925656,-860.9062019423238,-128.22093966535047,346.765905330963,1061.112972973005,3268.1501090347783,133.22466313084533,2126.2288228271022
42,2028.532877530738,2139.0339267550407,-117.41852390426378,818.3725120852937,1223.9083028009409,163.36987148451422,-3686.7329817049367,-1414.2985750477417,-802.3712815158976,4567.38027979129,-578.9102918955082,-1094.2410013686422,-152.7637772974678,409.76393927756226,1348.2547076976023,4154.5404771867225,161.55097507771842,2973.7219181354367
43,1840.0424900995436,2013.225714470791,-308.6083233643373,748.94649852239,1022.5264956754831,151.4436459346537,-3411.004288681394,-1308.2513317588694,-729.994875404425,4210.298821243357,-566.2239821827625,-1001.8586547487216,-181.9712024395528,401.91019578738786,1240.0025940694486,3812.660106806364,149.65359086273176,2814.271889266946
44,902.5642239500895,923.9841619581663,-133.69648742497515,356.0023244255547,559.7705409164827,69.67278884533025,-1559.2136822251748,-631.6507232044834,-355.6078254860045,2232.743437270415,-331.56485771236663,-494.8648311932158,-29.68815530154574,169.77868684807754,577.0328583489141,1843.0354211660242,73.36306988274339,1334.1393609614593
45,1987.530137582166,1960.6914578410817,-251.25706841730198,742.0805051676494,1102.9590914654657,139.67819664861761,-3323.027391914417,-1291.7498651592716,-728.9782307116161,4157.984619516423,-549.539242195816,-971.6467149686229,-131.91135954118943,384.0011314518465,1219.2998434459007,3739.8149364895485,142.60766949602805,2718.9156282560925
46,2044.3740364053338,2126.0503674462234,-105.68241200204024,812.5809242383473,1212.7558761919306,162.86798737274034,-3656.0332045754503,-1401.5067114855979,-792.3881353796401,4546.245695101934,-567.6898239112195,-1078.9030975504277,-159.51930993224897,409.1084891286374,1339.0498554980425,4113.50609410746,156.8758954262244,2943.666523381918
47,1783.1832832353177,1942.770615196896,-301.47511987637887,724.2042614081878,994.4255578978477,145.61144709332035,-3303.171826836573,-1270.684763223957,-710.4065113973539,4048.7984034842543,-567.1130512746649,-974.6700675588114,-164.30246241999419,383.1178220198251,1196.7082664609768,3698.5577632588206,146.67746612787263,2733.4726537948845
48,1885.752981320986,1976.76904298487,-269.99744421104725,763.3308863623936,1272.6801108208224,149.18825077263156,-3410.8334782905326,-1319.921662777494,-738.3739324641555,4250.733054203825,-582.2451014215344,-1013.5716715580463,-139.75097850208894,400.467817912682,1252.8099856937445,3881.672983382719,149.73764239007878,2801.5400789222263
49,1096.5427056907674,1158.6294390102494,-149.22429267256052,440.26103849249625,646.7803665857651,79.87285480913417,-1865.2025711171284,-774.0613693875687,-448.2590980656251,2467.0676923081623,-242.01797067787473,-589.2913596352562,-62.2160822081796,217.7979162467971,754.1952162250482,2275.1225022855647,91.92951680125624,1629.8306116667868
50,2035.4501941145745,2162.588904045928,-322.3097485306589,827.8868097473451,1277.8882005837838,153.3602249529254,-3719.4665302664066,-1448.363774328929,-830.3463502435791,4578.1560586378,-644.5186898182614,-1123.0862026243133,-106.7158410344211,417.05248722673855,1356.662794350657,4236.144616222728,172.24840478469864,3065.678880964836
52,1774.4170595124792,1934.9175634347228,-299.9551842284113,721.2841242860928,990.4871955683225,144.66903250949983,-3291.1672097422447,-1265.7720372105027,-707.9925618027726,4034.0675512356283,-564.8986760002344,-976.5502925713494,-163.44883245715292,381.26065902165357,1191.7894050292325,3686.3961609422017,145.8371027594649,2723.1294672229706
53,1794.9004323602287,1957.561591473931,-302.85912076700725,729.8326824935693,1002.8201385555143,146.66748111921152,-3328.115132692607,-1279.9350822712206,-715.6708665581027,4080.5304403480663,-571.3248382759956,-982.7321496312916,-165.48543052351698,386.1666016864505,1205.7849300703388,3728.718361009912,147.13000059250575,2749.0104288305815
54,2090.3082639166146,2235.8118765960116,-336.6762912630613,851.5899396335127,1280.811392516519,157.18984211624272,-3829.4369804930207,-1489.217369654632,-856.1127499405706,4725.555273078549,-648.2998459735076,-1154.3264357605447,-114.26352499317579,431.2603605384485,1397.9839120623747,4350.964686265865,178.05285400971633,3151.6313094681504
55,2056.0911855302447,2140.841343723258,-107.06641289266867,818.2093453237288,1221.1504568495973,163.9240213986315,-3680.9765104314843,-1410.7570305328618,-797.6524905403888,4577.977731965746,-571.9016109125502,-1086.9651796229077,-160.70227803577177,412.15726879526284,1348.1265191074044,4143.6666918585515,157.3284298908575,2959.204298417615
56,1808.5193073880178,1972.5002529817255,-305.3867279073617,735.5377688370727,1010.9357863084716,147.79370337991853,-3353.355393639018,-1289.5196517136455,-721.1771452485021,4113.397285328441,-573.8419029071996,-989.9823729243791,-166.85790204297987,389.27264298345284,1215.3284073274067,3756.80094251911,148.19969943772858,2774.1177475840345
58,1912.8282852450718,1999.598022161225,-231.9450983223572,773.1765258709894,1281.38102759933,153.81400432568597,-3453.8871717941884,-1332.200914281027,-742.4877894926439,4313.235432030678,-577.4979653343496,-1022.486547897395,-151.88477018873297,405.48016166081925,1269.9743717817983,3923.2794942167725,149.38903409423574,2823.8258822085627
59,2184.444115244071,2375.93075502328,-345.83915225144125,892.3314168517007,1284.8855732766522,172.35638523772167,-4008.799307582172,-1539.2306209450674,-872.1381541768084,5061.589825900741,-599.3672618761216,-1179.105624227106,-193.86985299870742,482.03641530234125,1478.629987475016,4500.355368957018,179.2984024861346,3268.1301862532036
60,2063.3632495149686,2147.5509453746627,-108.06428868756508,821.1856563827922,1228.3178877152782,164.61500009474912,-3693.725238807982,-1415.678792219751,-800.226771064158,4593.976427990403,-573.9577017289962,-1090.6482621786763,-161.2902345329613,413.6422072123068,1352.9413161097868,4158.548028208059,157.74357178452004,2974.5817285782714
61,2030.796107116286,2139.8724929124633,-116.81956328098337,819.2283597590865,1229.5190628536936,163.45744640250155,-3689.186324607543,-1415.4102495218608,-802.9928653185771,4571.794405952007,-579.2779000730841,-1095.1050348682827,-152.27672853917332,410.1459918854777,1349.4917122780557,4158.531613580798,161.6375384167432,2975.3384869672964
62,2010.1141699618745,2132.8592662610986,-318.39814049967606,816.5533023184602,1261.3779721731598,151.17796866632722,-3669.2829634639616,-1429.5288858392403,-819.5757163924309,4513.5571767936135,-637.7898381857267,-1107.7738972587454,-104.16040141143542,410.8976662631108,1338.042653484227,4177.901436962438,170.7261714748427,3025.033787175686
63,1987.530137582166,1960.6914578410817,-251.25706841730198,742.0805051676494,1102.9590914654657,139.67819664861761,-3323.027391914417,-1291.7498651592716,-728.9782307116161,4157.984619516423,-549.539242195816,-971.6467149686229,-131.91135954118943,384.0011314518465,1219.2998434459007,3739.8149364895485,142.60766949602805,2718.9156282560925
64,920.837294827515,1053.0894372323153,0.9403102034064624,371.4071065785312,521.2008591012018,56.35243546212334,-1716.3721873295822,-673.3815234121092,-385.52874205893806,2166.291047446101,-341.8249286328102,-500.59211533022227,-70.89554421644434,227.87584349735715,617.6294845832288,1923.3302567405426,93.67813386423589,1481.0782003255931
65,2056.0911855302447,2140.841343723258,-107.06641289266867,818.2093453237288,1221.1504568495973,163.9240213986315,-3680.9765104314843,-1410.7570305328618,-797.6524905403888,4577.977731965746,-571.9016109125502,-1086.9651796229077,-160.70227803577177,412.15726879526284,1348.1265191074044,4143.6666918585515,157.3284298908575,2959.204298417615
66,1896.3447625127112,1984.6989230680265,-271.5270887123588,766.9966450978241,1274.9635605354872,149.99019299268514,-3425.838971966874,-1326.2684869299137,-741.4857015313277,4269.504711520061,-585.4934601534633,-1017.8717425408364,-139.95002450526965,402.2204524155981,1258.5584954836515,3898.114582962617,151.00563307911236,2814.301095387854
67,1203.070585590964,1139.633906777627,-166.38136684099075,428.1193932548194,656.0173201226272,72.92644764149911,-1944.2861632196625,-747.8866515256761,-427.75494487406297,2446.3831599107316,-318.2380663353113,-606.5731104586155,-80.0510088603177,227.00923312318378,713.623914751211,2258.572662399598,105.13258679498918,1608.6683266343543
68,1552.4818002487657,1664.8857848371865,-181.17578111819424,624.556702580195,922.8893668014445,119.38082488903147,-2816.904644389364,-1086.1396842063573,-613.4971538787396,3515.518833001678,-474.16140467763654,-837.8867428400117,-123.38829592863397,331.5828623413043,1029.5794820458534,3179.2143182041164,128.24254274788728,2054.878698336847
69,2165.097118438349,2355.110764006601,-342.1430878753427,884.3311181405006,1272.3313445385033,170.88069895647763,-3970.496808441701,-1525.2282708516937,-864.1059590589439,5018.14779624778,-591.0557656031526,-1167.9802165937353,-193.15880593765175,478.00793781350484,1466.1832151225008,4459.735992408277,177.59342203448708,3238.3595574083033
70,2010.1141699618745,2132.8592662610986,-318.39814049967606,816.5533023184602,1261.3779721731598,151.17796866632722,-3669.2829634639616,-1429.5288858392403,-819.5757163924309,4513.5571767936135,-637.7898381857267,-1107.7738972587454,-104.16040141143542,410.8976662631108,1338.042653484227,4177.901436962438,170.7261714748427,3025.033787175686
71,2217.8757565499363,2223.19071346356,-246.7575400894122,844.9088305153131,1258.3931664543434,161.0864923789763,-3780.8867321677394,-1462.6191264071356,-826.2698367969275,4729.211123814597,-616.2674461542396,-1112.5803778467484,-152.21527129038003,433.8077556043552,1386.5775884411726,4273.095134852852,154.5698739277827,3083.457954998227
72,1808.5193073880178,1972.5002529817255,-305.3867279073617,735.5377688370727,1010.9357863084716,147.79370337991853,-3353.355393639018,-1289.5196517136455,-721.1771452485021,4113.397285328441,-573.8419029071996,-989.9823729243791,-166.85790204297987,389.27264298345284,1215.3284073274067,3756.80094251911,148.19969943772858,2774.1177475840345
73,1224.9040338868274,1164.838493285894,-169.93501982119852,437.9630418297803,671.2396919369164,74.7031547553489,-1988.0642972396213,-764.6402422325622,-437.54583093010865,2500.2152044310387,-325.81335360389454,-620.5658289548118,-80.92719288368417,231.759881553041,729.5024793129696,2310.6092678501923,106.49327661317807,1644.8518491254033
74,2005.1979904402244,2106.536415694023,-106.27357662883703,808.0781118844434,1232.5758202352174,163.19019687593206,-3634.4114265206986,-1392.1766597672624,-785.422611974829,4516.88260126546,-567.5112150158249,-1074.8770500567534,-160.32939373528603,408.1936187697874,1331.6077767279262,4095.5795714308388,157.2004172777039,2927.923631315034
75,1609.6701870185527,1675.9265708443427,-223.33771802567446,676.5681146806037,1100.0071396582682,127.5583140320682,-2908.0971949898058,-1128.1694175414293,-623.8431045659224,3634.5759462161873,-485.68484619013987,-857.9422793999244,-123.98452194179094,342.4707099679506,1066.3492834856731,3294.7688954545074,129.27234657146658,2387.5958794264757
76,1864.0757668765802,1983.2000198210176,-295.53713637104465,757.5442116560625,1148.001299224438,138.46506249430612,-3384.8110041660543,-1329.4925653669864,-766.6149046135787,4187.880729470865,-574.0168477818788,-1030.7405242327643,-89.87344962813259,377.31591292029447,1247.3374300709645,3886.696319075568,159.47417791559593,2810.9258768699956
77,1840.1703742452953,1935.376591325502,-81.03069581468081,740.4642890776009,1103.6371357631483,148.73027798190222,-3312.24743299026,-1277.9682585608557,-724.6231645114589,4143.4754210542405,-497.4703467942,-986.0985124025237,-144.2715173512709,370.0781473433016,1227.0110927029195,3759.3325194433696,145.0807473601615,2682.9005158129903
78,882.9673010729238,1004.1349158868597,5.691637005840087,355.26960160877394,508.66193284691366,52.26724934279876,-1646.2317597172923,-649.9870356113495,-373.77901373638514,2052.521362575466,-348.9818755424894,-485.14869276856064,-54.99772879759808,213.61718781346377,588.2266175865013,1854.2698472935979,91.56968548767243,1431.1941700498846
79,1361.1050435151806,1466.2235168392456,-188.22630818675995,548.0217536076184,806.272101684245,102.46110248821536,-2449.1556957572543,-956.9104923586025,-542.2406102202651,3088.9816582779263,-407.14924387005186,-736.4562569149032,-104.31791305860175,292.4394051048935,909.2294864011416,2799.8906054504055,114.55942369770011,1783.906821397088
80,1962.7295542673394,2095.492887531876,-312.33099058169466,798.1236991567121,1206.2138919269748,146.45043799174954,-3591.9792465014325,-1399.1461574600369,-804.6035450058865,4418.169098391232,-623.9577816538006,-1086.2553770666286,-100.83627606252554,402.203103056299,1308.5148243268334,4087.3312527276503,168.0969858480734,2911.904579358273
81,2021.387721862511,2018.3163733792485,-255.83870379896447,763.2770319312099,1136.8319804934738,144.7590854946797,-3422.577746690205,-1327.9284362586616,-749.9049448080511,4282.798506179331,-563.8492741625797,-1004.1268361007055,-134.15854477685366,395.54435730629393,1255.6014574628173,3915.3407027490152,139.90286982548076,2799.3694328682873
82,2184.444115244071,2375.93075502328,-345.83915225144125,892.3314168517007,1284.8855732766522,172.35638523772167,-4008.799307582172,-1539.2306209450674,-872.1381541768084,5061.589825900741,-599.3672618761216,-1179.105624227106,-193.86985299870742,482.03641530234125,1478.629987475016,4500.355368957018,179.2984024861346,3268.1301862532036
