,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15
1,463.0433572325841,380.3601615780953,-725.3494255858328,-495.9012274831955,-49.622878047971334,387.95525816886567,-462.4212909850172,900.658310155741,-47.28296987855769,843.6324047042228,213.60439338074258,-675.6145667199343,-311.8046652407328,-698.5636692183507,-240.22221189986632
2,378.500779463611,503.16686107650776,-930.7668324759322,-605.0474892883826,-69.08898808354348,527.5271584025483,-631.8195479898764,1221.8881055616505,-90.25976953507602,1104.3765178767208,307.7121970833773,-864.2677142646727,-377.3055104134363,-1058.9566897808652,-333.769405539229
4,436.41134580923773,584.9824730279,-1106.687671355852,-893.1806784164244,-67.68932206848348,618.3833689553604,-751.8340935789929,1434.5517462500213,-82.15067612198573,1278.1983495332902,331.3213876445835,-1095.3761292568672,-468.53388081656135,-1099.3518834110243,-376.1325815865833
5,380.77197857479007,488.07801342430395,-924.3511364031508,-638.4720778895482,-70.48868505678271,517.9861509309156,-627.865833604328,1198.6547377437416,-88.69661812420543,1091.4585329438153,300.6501726261878,-859.2063950320849,-386.3159416081337,-1058.7980547023728,-338.994847608509
6,415.9303588127496,552.0183016939735,-1053.3883467575797,-860.7162342245283,-36.555771272715695,587.4033415801096,-724.368517878252,1355.2076986776015,-85.3211266256987,1215.502071640991,314.1679947284196,-1044.5014919224711,-455.0776923685571,-1051.0904716697794,-367.5065445044928
7,410.4425137145012,540.0305687952524,-1038.5725018286576,-675.2537908233634,-68.79333293391363,566.9895489353676,-674.5052087302878,1311.4998106174207,-86.04437802322327,1184.3138769031734,326.5714523430378,-941.6493405265468,-401.50447415144237,-1131.412260459935,-358.603180694167
8,342.2874525388974,447.95081857774625,-883.971415297049,-536.3638821800371,-39.71979486459473,475.5964591909731,-575.2776328962924,1110.8289755863261,-27.20899231319057,996.8582707382037,259.2661843893074,-932.7753801442162,-376.49686695397247,-881.0276256500072,-293.1041343909485
9,271.54534829755573,299.35286963020604,-611.2375536379463,-426.8349600011922,123.05533870626711,357.0358206319389,-397.3773123392782,772.7487650251596,-40.436759222363236,744.3496285694021,203.07128843544336,-593.7603839616389,-257.50014500478295,-601.2528982008386,-209.04319106094124
11,442.50110697289045,571.3507882279258,-1104.1258961397903,-910.3371626200125,-65.55738734486899,611.7555289361447,-757.5111400737554,1390.98450522271,-93.33448601973146,1275.8355258956997,325.4996498485533,-1094.0239767547841,-490.3543481222624,-1105.8715152943346,-387.701150057085
12,299.9025131304931,471.7437675981108,-777.9437345767664,-561.0227764985433,-47.49544538169315,416.54309264177346,-473.3038422425531,973.417967655646,-28.773820593639694,868.1758192751824,273.2354543857904,-724.6852501538692,-309.8500711614572,-645.3716216788036,-255.47161247531764
13,335.00277895414786,410.8348629076112,-860.785002707158,-568.2081661652157,-62.00609499004117,471.90464227975747,-589.1501312942936,1074.2285447818465,-72.36000773895019,1006.1779863856506,240.43590762002998,-788.057034207178,-349.08896231763833,-687.1584814443601,-296.78576539853793
14,275.1689193260994,297.5099235529385,-593.3503530110335,-419.28819395593206,101.30654760713901,350.0327692050934,-386.88497822700293,775.3264992724381,-38.37542279018255,732.5619813628055,196.147833854153,-581.4933732818308,-257.6156803615844,-591.402152001792,-203.83401424337558
15,456.1507334590652,395.8368654115867,-761.987856751535,-520.4999577645856,-25.75147661469375,412.537085963751,-483.5212000698378,942.8256982634443,-49.65475168366282,895.1993825066987,227.41590431522968,-710.6393183618997,-330.1998239437316,-732.559043863289,-253.53650578127943
16,414.35700487274465,499.19524456713435,-1172.726700469088,-674.113750834361,-41.29363239949259,537.2206894567157,-647.5617366033458,1249.8292319880507,-64.67314592481478,1143.2463568402816,278.638996622238,-988.9950302100758,-417.087820045608,-981.4234386876516,-340.36684458993216
17,122.70518812463048,173.23753649098865,-313.0786552413949,-215.89494923573108,-10.152014697240062,163.9883228450477,-196.2270017619333,375.5573723194313,-25.405530671378184,348.376947242829,264.66163967386603,-282.3943814631439,-132.77002234323575,-279.13903140313386,-93.29034704293225
19,397.39939855137015,530.8612543853906,-980.3916029558122,-647.0424072466643,-67.97787042082675,554.4405650602364,-660.8299124474659,1277.7198907879774,-74.93425497634661,1155.0750053783324,322.5473808094778,-930.2592342579794,-395.22766135464036,-1113.0053603283404,-350.4771396309756
20,156.6215841310189,209.76544011688642,-384.3572050528945,-276.3180266452488,-26.68195438388661,209.87361158444446,-270.07341657650505,510.21833673212757,-33.497445892478,470.8429365919536,116.21707363672951,-605.7452871051674,-175.58256081458018,-393.40710350763896,-146.68288988485918
21,304.1186877722145,336.99383353755366,-669.3406428329646,-465.47551971662193,94.98190026671024,388.229260504459,-432.51279271244096,831.6779737201998,-40.84486733085441,846.6779717608081,223.64206543529139,-658.7071405368267,-283.37478891752545,-653.093193465566,-225.78336995131264
22,246.01470176107955,331.2188285101376,-776.2262957770103,-447.2860877078424,-4.034283026076349,340.3141269015396,-411.02125524796304,770.4754961945392,-41.9432260627755,736.3151386957903,201.1071748783101,-560.7448389244619,-276.82685305654445,-593.081936997622,-218.7746520057163
23,347.86892327573776,449.77596046643254,-884.4520071313514,-520.0120839434815,-38.77817210443045,476.76137908883123,-583.7525854626743,1085.4817254547988,-36.391170098690765,1003.2033879558918,259.90348093198565,-931.4264251992968,-387.8055062367535,-888.9410963637332,-299.4851024068212
24,286.38306056455264,335.42126521484556,-637.8587048508701,-433.6067255947185,-1.920177884028555,337.3103957352753,-419.01897649895506,805.2931233217515,-37.922080529432684,905.2988460599793,204.43928494413998,-647.7923293262506,-284.5662706526387,-597.6739076431419,-220.74547473888433
