,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17
1,-164.7313332917039,416.7202334242537,-200.63829982341994,49.37705332046604,9.500745879524574,-84.77420175935089,-141.9699480566513,-31.301350755566176,135.3563273391766,-71.53754406637212,149.95010727785257,-8.88922692693169,-103.2034495446028,-96.61071511310419,161.2772823278532,-54.41776074063422,-43.92782686410563
2,-324.0186983845934,381.52145549700225,-171.32792285996473,58.945171748557634,25.425571652672954,-78.83125623162725,-142.2063263796583,2.195099926956749,126.31060701227159,99.1848039593241,181.38739521876184,24.40478393496378,-77.9442328588729,-58.03147371737452,160.01449623199588,-51.420158743717316,43.564410372376386
4,-299.6990596723336,351.1113148355027,-157.6921420280977,54.74693190314527,24.46973644684652,-71.80457043609928,-130.57335184376558,4.23704141471792,116.81970587283244,106.23627509483354,140.75466541965793,22.51802470019159,-82.29208429093083,-52.21355308737612,191.695538842134,-47.37699888654369,46.71046489861293
5,-190.23235988899398,422.67865949705845,-207.4236683380175,46.61566938455399,-8.124265482738124,-91.01347466758482,-145.53178828536014,-17.91556331683285,131.27424002672979,-73.48573600080402,146.9739771836613,-19.61518986201765,-106.43204406749135,-84.43625341739028,155.76927495311628,-53.158532951833934,-55.19891246347414
6,-419.0423159849375,517.7056873993272,-219.4237833382793,35.60251086653532,15.514396776554735,-119.71145037641989,-194.0088984641449,-8.615519510757567,128.39076541049792,-87.81244961023961,140.57071326788494,42.364058089012566,-122.88850041774371,-102.57063051247718,163.61181370860828,-46.67826794933939,-23.89529525662805
7,-322.3489370267847,383.83923523549913,-170.8882749423816,58.38633636674101,23.99019942829422,-79.2547006021732,-142.27010797098416,3.6045544804382317,125.3280486360751,99.07475944385716,181.37965561126634,23.573106091255234,-79.02946167890889,-56.49977677758588,159.35972417425197,-51.17310903350066,43.37545742680339
8,-269.26174097657776,297.6740677815652,-151.33467867525874,31.64422036483631,13.83736372565238,-78.39641397129189,-121.93063276281472,-17.31719464575852,110.51738317583106,-65.74332775580751,274.484834899249,1.0594527434748324,-89.74791707508288,-63.128976958949,133.9127639754152,-35.93460330559691,-18.080794885342087
9,-173.22049160681323,200.37383130390347,54.61735886580869,23.373100544265633,101.6014061004445,-36.334616699446364,-81.68071472070326,8.046907838328533,67.30992932669545,-30.119086514132032,73.95468871616589,-8.343084644831459,-39.95498614883076,-15.694998277916588,83.74482792968122,-7.919842546100947,-10.464737214065186
11,-442.8986450355456,549.2432121227811,-234.69622035474418,35.974459351895206,8.258632968896082,-131.41847139430382,-214.64713622849797,1.657766650354845,133.73915193198948,-92.45754800923726,144.78885883597394,-3.4978609476067293,-133.9943695017694,-100.00552910744908,168.44403564290823,-47.891141725647344,-34.42593758082384
12,-305.9171093650471,194.61858463891804,-162.08205271469384,39.17941259465221,30.351933525606515,-62.1043038423077,-136.32860466155546,-43.48890426466321,104.1858508912649,-39.073456279573676,73.3697137708926,1.5125318758485813,-12.177252891401054,-69.83895323954022,108.35269522603198,-40.87367446926593,-15.862495625004492
